Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.164	COMP1407/COMP1412/COMP27	(0.150 COMP28/COMP40/COMP41) (0.133 COMP16/COMP18/COMP266/COMP53/COMP54) (0.123 COMP20) (0.062 COMP1377/COMP1385) (0.053 COMP987/COMP988/COMP990) (0.047 COMP1374) (0.043 COMP1409) (0.039 COMP1381) (0.038 COMP1394/COMP259) (0.036 COMP1406/COMP1408) (0.032 COMP1383) (0.031 COMP612)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.032	COMP987/COMP988/COMP990	(0.022 COMP1408) (0.020 COMP1394/COMP16/COMP18/COMP266/COMP53/COMP54) (0.019 COMP1406/COMP1409) (0.016 COMP32) (0.015 COMP14/COMP28/COMP40/COMP41) (0.014 COMP1134/COMP501) (0.013 COMP1143/COMP1407/COMP1412/COMP1415/COMP27/COMP612)
1.3-Beta-glucan synthase inhibitor	0.039	COMP1413	(0.036 COMP987/COMP988/COMP990) (0.035 COMP285) (0.033 COMP1417/COMP1418) (0.032 COMP1397) (0.031 COMP1407/COMP1412/COMP27) (0.030 COMP1411/COMP28/COMP40/COMP41/COMP462) (0.029 COMP1394/COMP1414) (0.028 COMP16/COMP18/COMP20/COMP266/COMP53/COMP54/COMP905)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.305	COMP501	(0.279 COMP136) (0.236 COMP905) (0.058 COMP1421) (0.053 COMP151) (0.047 COMP1404) (0.041 COMP616)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.093	COMP905	(0.071 COMP136) (0.055 COMP1409) (0.051 COMP1413) (0.049 COMP501) (0.046 COMP1411) (0.044 COMP285) (0.041 COMP1420) (0.039 COMP1399) (0.038 COMP616) (0.035 COMP1403) (0.028 COMP1415) (0.027 COMP987/COMP988/COMP990)
12-Lipoxygenase inhibitor	0.819	COMP1419	(0.798 COMP360) (0.796 COMP191) (0.758 COMP1381) (0.740 COMP198) (0.710 COMP101) (0.676 COMP1377/COMP1385) (0.664 COMP1405/COMP367) (0.599 COMP1383) (0.560 COMP1134) (0.531 COMP1394) (0.512 COMP612) (0.511 COMP1374) (0.503 COMP1143) (0.497 COMP1400) (0.456 COMP1409) (0.441 COMP1406) (0.407 COMP259) (0.357 COMP20) (0.343 COMP1407/COMP1412/COMP27) (0.342 COMP1396) (0.341 COMP1408) (0.332 COMP1395) (0.329 COMP1380) (0.327 COMP1415) (0.308 COMP28/COMP40/COMP41) (0.293 COMP1379) (0.281 COMP32) (0.280 COMP987/COMP988/COMP990) (0.260 COMP16/COMP18/COMP266/COMP53/COMP54) (0.254 COMP1414) (0.241 COMP670) (0.225 COMP1384) (0.224 COMP462) (0.199 COMP616) (0.178 COMP1399)
15-Lipoxygenase inhibitor	0.893	COMP1383	(0.889 COMP1381) (0.862 COMP1377/COMP1385) (0.828 COMP1374) (0.811 COMP1379) (0.801 COMP191) (0.738 COMP198/COMP259) (0.736 COMP1396) (0.730 COMP1419) (0.668 COMP360) (0.639 COMP101) (0.579 COMP612) (0.569 COMP1143) (0.566 COMP1134) (0.538 COMP1417/COMP1418) (0.510 COMP1394) (0.506 COMP1405/COMP367) (0.468 COMP1406) (0.461 COMP20) (0.456 COMP1380) (0.439 COMP1407/COMP1412/COMP27) (0.431 COMP1373/COMP1410) (0.429 COMP1395) (0.424 COMP1415) (0.423 COMP1388/COMP1389) (0.418 COMP1375) (0.414 COMP1378/COMP1382) (0.411 COMP1400/COMP1409) (0.392 COMP28/COMP40/COMP41) (0.386 COMP1384) (0.372 COMP1408) (0.359 COMP32) (0.346 COMP1376) (0.341 COMP987/COMP988/COMP990) (0.324 COMP670) (0.317 COMP16/COMP18/COMP266/COMP53/COMP54) (0.312 COMP616) (0.307 COMP1414) (0.286 COMP1390) (0.259 COMP462) (0.232 COMP1386/COMP1387) (0.212 COMP1392)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.158	COMP1377/COMP1385	(0.082 COMP285) (0.078 COMP1417/COMP1418) (0.076 COMP1396) (0.065 COMP987/COMP988/COMP990) (0.058 COMP1413) (0.054 COMP1407/COMP1412/COMP27/COMP616) (0.053 COMP1411) (0.052 COMP1374) (0.051 COMP32) (0.048 COMP1383/COMP1393/COMP28/COMP40/COMP41) (0.045 COMP1375/COMP20) (0.044 COMP1373/COMP1381/COMP1410/COMP905) (0.043 COMP1421) (0.041 COMP136/COMP1388/COMP1389/COMP1390) (0.037 COMP16/COMP18/COMP259/COMP266/COMP53/COMP54) (0.036 COMP1382) (0.035 COMP155/COMP501) (0.034 COMP1391/COMP1399)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.018	COMP136/COMP285	(0.016 COMP1413) (0.015 COMP905) (0.014 COMP1420)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.260	COMP612	(0.190 COMP1394) (0.159 COMP1415) (0.157 COMP1409) (0.156 COMP1406) (0.150 COMP1134) (0.146 COMP32) (0.144 COMP136) (0.143 COMP1143) (0.139 COMP905) (0.101 COMP101) (0.093 COMP1408) (0.092 COMP198) (0.087 COMP191) (0.082 COMP987/COMP988/COMP990) (0.080 COMP1403) (0.077 COMP501) (0.071 COMP1380) (0.065 COMP616) (0.063 COMP14/COMP285) (0.058 COMP16/COMP18/COMP266/COMP53/COMP54) (0.053 COMP1399) (0.052 COMP1384/COMP1420/COMP670) (0.051 COMP1395) (0.048 COMP155)
