Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.825	COMP32	(0.623 COMP14) (0.525 COMP1143) (0.488 COMP20) (0.422 COMP1403) (0.421 COMP28/COMP40/COMP41) (0.400 COMP1407/COMP1412/COMP27) (0.371 COMP987/COMP988/COMP990) (0.352 COMP16/COMP18/COMP266/COMP53/COMP54) (0.334 COMP1420) (0.320 COMP1377/COMP1385) (0.314 COMP1421) (0.312 COMP285) (0.272 COMP1383) (0.259 COMP1413) (0.255 COMP1373/COMP1374/COMP1410) (0.252 COMP1381) (0.243 COMP259) (0.228 COMP1391) (0.218 COMP1392) (0.213 COMP905) (0.203 COMP1378) (0.199 COMP1417/COMP1418) (0.198 COMP1375) (0.197 COMP136/COMP1388/COMP1389) (0.188 COMP1380/COMP1390) (0.186 COMP1396) (0.179 COMP1382/COMP1393) (0.178 COMP1395) (0.172 COMP1376) (0.164 COMP1384) (0.161 COMP101/COMP1372) (0.159 COMP1386/COMP1387) (0.155 COMP1379) (0.152 COMP1406/COMP151) (0.135 COMP1415) (0.131 COMP1394/COMP501/COMP616) (0.124 COMP1400/COMP155) (0.121 COMP1134/COMP1405/COMP1409/COMP367) (0.120 COMP612) (0.119 COMP1401) (0.118 COMP1397) (0.117 COMP1411) (0.108 COMP1408)
Aldehyde dehydrogenase substrate	0.899	COMP14	(0.700 COMP32) (0.491 COMP1143) (0.336 COMP20) (0.311 COMP28/COMP40/COMP41) (0.301 COMP1407/COMP1412/COMP27) (0.298 COMP987/COMP988/COMP990) (0.294 COMP16/COMP18/COMP266/COMP53/COMP54) (0.231 COMP1391) (0.228 COMP1373/COMP1410) (0.211 COMP1375) (0.207 COMP1378) (0.195 COMP1376/COMP1388/COMP1389/COMP259) (0.194 COMP1377/COMP1385) (0.193 COMP1390/COMP1421) (0.188 COMP1406) (0.185 COMP1420) (0.175 COMP1392) (0.173 COMP1386/COMP1387) (0.172 COMP101/COMP1393) (0.170 COMP1394) (0.168 COMP1374) (0.165 COMP1405/COMP367) (0.156 COMP1400) (0.155 COMP1380/COMP1383) (0.154 COMP1409) (0.148 COMP1382) (0.146 COMP1396) (0.144 COMP1395) (0.143 COMP1384) (0.141 COMP1381) (0.140 COMP1408) (0.132 COMP151) (0.126 COMP1415) (0.125 COMP1134) (0.117 COMP1379) (0.114 COMP612) (0.111 COMP1417/COMP1418) (0.108 COMP1372) (0.100 COMP1403) (0.099 COMP1397)
Aldehyde oxidase substrate	0.692	COMP14	(0.666 COMP32) (0.648 COMP1143) (0.440 COMP1402) (0.289 COMP1408) (0.265 COMP1406) (0.260 COMP1394) (0.255 COMP16/COMP18/COMP266/COMP53/COMP54) (0.250 COMP101) (0.249 COMP987/COMP988/COMP990) (0.239 COMP670) (0.231 COMP1399) (0.192 COMP1409) (0.186 COMP28/COMP40/COMP41) (0.182 COMP1401) (0.180 COMP501) (0.176 COMP616) (0.173 COMP191) (0.167 COMP1415) (0.166 COMP1407/COMP1412/COMP20/COMP27) (0.162 COMP198) (0.157 COMP1134/COMP1403) (0.152 COMP1411/COMP612) (0.142 COMP1419) (0.137 COMP360)
Aldose reductase substrate	0.885	COMP14	(0.722 COMP1397) (0.300 COMP462) (0.290 COMP1414) (0.253 COMP670) (0.248 COMP16/COMP18/COMP266/COMP53/COMP54) (0.224 COMP1417/COMP1418) (0.194 COMP28/COMP40/COMP41) (0.189 COMP1406) (0.187 COMP1134) (0.182 COMP32) (0.179 COMP1407/COMP1412/COMP20/COMP27) (0.174 COMP1409) (0.170 COMP1143) (0.166 COMP612) (0.162 COMP1408) (0.138 COMP1394) (0.136 COMP1403/COMP501) (0.130 COMP198) (0.125 COMP1411)
Arylamine N-Acetyltransferase substrate	0.418	COMP1407/COMP1412/COMP27	(0.390 COMP20) (0.381 COMP28/COMP40/COMP41) (0.318 COMP16/COMP18/COMP266/COMP53/COMP54) (0.255 COMP1409) (0.231 COMP1406) (0.206 COMP198) (0.194 COMP191) (0.175 COMP1394/COMP987/COMP988/COMP990) (0.160 COMP1408) (0.130 COMP1415) (0.123 COMP612) (0.121 COMP101) (0.103 COMP32) (0.097 COMP501) (0.095 COMP1400) (0.091 COMP1402) (0.085 COMP1419) (0.076 COMP1399) (0.071 COMP360)
CYP1A2 inhibitor	0.931	COMP1419	(0.921 COMP360) (0.843 COMP191) (0.796 COMP198) (0.561 COMP1380) (0.532 COMP1395) (0.510 COMP1375) (0.459 COMP1384) (0.416 COMP1134) (0.414 COMP1376) (0.413 COMP101) (0.405 COMP1406) (0.373 COMP1408) (0.364 COMP670) (0.342 COMP1143) (0.330 COMP1377/COMP1385) (0.322 COMP14) (0.309 COMP1383) (0.305 COMP259) (0.303 COMP1409) (0.291 COMP1374) (0.285 COMP1394) (0.272 COMP1414) (0.262 COMP462) (0.255 COMP1396) (0.254 COMP612) (0.252 COMP1373/COMP1410) (0.237 COMP1386/COMP1387) (0.236 COMP1405/COMP367) (0.233 COMP32) (0.232 COMP987/COMP988/COMP990) (0.229 COMP1378) (0.214 COMP1372) (0.207 COMP1415) (0.204 COMP1381) (0.198 COMP1399) (0.193 COMP1392) (0.178 COMP1407/COMP1412/COMP27) (0.174 COMP616)
CYP1A2 substrate	0.923	COMP1386/COMP1387	(0.867 COMP1375) (0.760 COMP1395) (0.758 COMP191) (0.746 COMP198) (0.743 COMP1393) (0.733 COMP1143) (0.718 COMP1380) (0.713 COMP1376) (0.707 COMP101) (0.691 COMP14/COMP1419) (0.665 COMP360) (0.644 COMP32) (0.600 COMP1407/COMP1412/COMP27) (0.549 COMP1409) (0.542 COMP1388/COMP1389) (0.536 COMP1384) (0.532 COMP28/COMP40/COMP41/COMP462) (0.513 COMP20) (0.512 COMP1414) (0.508 COMP1406) (0.504 COMP1394) (0.428 COMP16/COMP18/COMP266/COMP53/COMP54) (0.426 COMP1408) (0.425 COMP1390) (0.410 COMP616) (0.408 COMP1134) (0.385 COMP1372) (0.383 COMP612) (0.374 COMP1411) (0.369 COMP1403) (0.362 COMP987/COMP988/COMP990) (0.328 COMP501) (0.320 COMP1392) (0.315 COMP905) (0.308 COMP1405/COMP367) (0.305 COMP670) (0.293 COMP1391/COMP1400) (0.283 COMP1373/COMP1410) (0.273 COMP1399) (0.252 COMP1382/COMP259) (0.243 COMP1415) (0.236 COMP285) (0.233 COMP1396) (0.226 COMP1420) (0.222 COMP1402) (0.221 COMP136) (0.220 COMP1378) (0.215 COMP1417/COMP1418) (0.205 COMP155) (0.185 COMP1377/COMP1385) (0.182 COMP1401)
CYP24 inhibitor	0.067	COMP1413	(0.060 COMP285) (0.037 COMP1394) (0.034 COMP616) (0.027 COMP1408/COMP151) (0.026 COMP1390/COMP1406) (0.021 COMP1386/COMP1387/COMP905)
CYP2A6 inhibitor	0.390	COMP32	(0.245 COMP259) (0.226 COMP1373/COMP1410) (0.185 COMP1402) (0.171 COMP1143) (0.169 COMP670) (0.168 COMP1420) (0.167 COMP1411) (0.161 COMP987/COMP988/COMP990) (0.151 COMP616) (0.147 COMP1408) (0.146 COMP612) (0.143 COMP198) (0.135 COMP14) (0.123 COMP1377/COMP1385) (0.112 COMP1399/COMP1409) (0.109 COMP191) (0.108 COMP1378) (0.104 COMP1406) (0.100 COMP1417/COMP1418) (0.098 COMP501) (0.097 COMP1394) (0.093 COMP101/COMP1395) (0.081 COMP155) (0.073 COMP1415/COMP16/COMP18/COMP266/COMP53/COMP54) (0.072 COMP1396) (0.066 COMP28/COMP40/COMP41)
CYP2B6 inhibitor	0.728	COMP1373/COMP1410	(0.528 COMP191) (0.515 COMP1378) (0.506 COMP198) (0.435 COMP1409) (0.434 COMP1377/COMP1385) (0.430 COMP1407/COMP1412/COMP27) (0.423 COMP259) (0.391 COMP28/COMP40/COMP41) (0.375 COMP20) (0.374 COMP1406) (0.351 COMP987/COMP988/COMP990) (0.342 COMP1408) (0.330 COMP101/COMP16/COMP18/COMP266/COMP53/COMP54) (0.317 COMP1419) (0.308 COMP670) (0.307 COMP360) (0.305 COMP1394) (0.298 COMP616) (0.292 COMP1396) (0.287 COMP1399) (0.284 COMP1375) (0.277 COMP1374) (0.272 COMP1381) (0.261 COMP1143/COMP1383) (0.246 COMP1380) (0.244 COMP612) (0.240 COMP1395) (0.231 COMP1134) (0.226 COMP1415) (0.225 COMP1417/COMP1418/COMP32) (0.222 COMP14/COMP501) (0.197 COMP1382) (0.193 COMP1411) (0.192 COMP1405/COMP367) (0.191 COMP1390) (0.178 COMP1400) (0.176 COMP1403) (0.172 COMP136) (0.170 COMP155) (0.168 COMP1402) (0.167 COMP1421) (0.157 COMP905) (0.156 COMP1414/COMP462) (0.154 COMP1376) (0.152 COMP1386/COMP1387) (0.150 COMP1393)
