Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.566	COMP285	(0.544 COMP28/COMP40/COMP41) (0.530 COMP1407/COMP1412/COMP27) (0.527 COMP1421) (0.515 COMP1420) (0.507 COMP16/COMP18/COMP266/COMP53/COMP54) (0.506 COMP20) (0.485 COMP1390) (0.472 COMP1393) (0.471 COMP151) (0.467 COMP1373/COMP1410) (0.465 COMP1413) (0.463 COMP1374) (0.456 COMP1391) (0.452 COMP1411) (0.451 COMP1378) (0.450 COMP1377/COMP1385) (0.448 COMP905) (0.441 COMP987/COMP988/COMP990) (0.437 COMP1383) (0.434 COMP259) (0.429 COMP1382) (0.428 COMP1396) (0.416 COMP1406) (0.411 COMP1376) (0.409 COMP1381) (0.404 COMP136) (0.402 COMP1388/COMP1389) (0.400 COMP1375) (0.396 COMP1379) (0.395 COMP1403) (0.384 COMP1394) (0.381 COMP1417/COMP1418) (0.366 COMP1408) (0.361 COMP1384/COMP1392) (0.358 COMP1386/COMP1387) (0.347 COMP1380) (0.346 COMP612) (0.344 COMP1134) (0.343 COMP1399) (0.320 COMP101) (0.315 COMP1409) (0.301 COMP1395) (0.277 COMP616) (0.273 COMP501) (0.267 COMP198) (0.252 COMP191) (0.247 COMP1415) (0.242 COMP1401) (0.240 COMP670) (0.234 COMP14) (0.230 COMP32) (0.224 COMP1143) (0.217 COMP1400) (0.204 COMP155) (0.203 COMP360) (0.194 COMP1397) (0.193 COMP1402) (0.191 COMP1372/COMP1419) (0.175 COMP1405/COMP367)
Carcinogenic	0.944	COMP285	(0.921 COMP1413) (0.834 COMP1383) (0.818 COMP1414) (0.814 COMP462) (0.779 COMP1417/COMP1418) (0.775 COMP20) (0.748 COMP1407/COMP1412/COMP27) (0.742 COMP1377/COMP1385) (0.708 COMP28/COMP40/COMP41) (0.705 COMP1374) (0.703 COMP1381) (0.675 COMP191) (0.639 COMP198) (0.602 COMP16/COMP18/COMP266/COMP53/COMP54) (0.582 COMP1375) (0.581 COMP1386/COMP1387/COMP1392) (0.540 COMP1373/COMP1410) (0.517 COMP1382) (0.516 COMP1409) (0.504 COMP101) (0.495 COMP1403) (0.489 COMP1415) (0.475 COMP1419) (0.471 COMP1378) (0.470 COMP1397) (0.469 COMP1376) (0.466 COMP1379) (0.456 COMP32) (0.440 COMP1143) (0.430 COMP1396) (0.422 COMP1411) (0.420 COMP151) (0.406 COMP1393) (0.393 COMP360) (0.381 COMP1372) (0.372 COMP1380/COMP987/COMP988/COMP990) (0.367 COMP905) (0.366 COMP1390) (0.356 COMP1388/COMP1389) (0.355 COMP1420) (0.349 COMP1391) (0.339 COMP1421) (0.327 COMP1395) (0.291 COMP1384) (0.286 COMP1394/COMP1406) (0.279 COMP612) (0.271 COMP136) (0.256 COMP14) (0.249 COMP501) (0.248 COMP616) (0.227 COMP155) (0.217 COMP259) (0.204 COMP1134) (0.202 COMP1408) (0.198 COMP670) (0.193 COMP1402) (0.137 COMP1399) (0.128 COMP1400)
Carcinogenic. group 1	0.530	COMP1406	(0.519 COMP1408) (0.461 COMP16/COMP18/COMP266/COMP53/COMP54) (0.445 COMP1409) (0.441 COMP28/COMP40/COMP41) (0.407 COMP987/COMP988/COMP990) (0.393 COMP1407/COMP1412/COMP20/COMP27) (0.377 COMP1394) (0.370 COMP32) (0.356 COMP14) (0.324 COMP670) (0.318 COMP198) (0.317 COMP101) (0.292 COMP1411) (0.291 COMP259) (0.288 COMP1397) (0.277 COMP1399) (0.273 COMP191) (0.261 COMP462) (0.260 COMP360) (0.258 COMP1143) (0.243 COMP1419) (0.242 COMP616) (0.228 COMP501) (0.227 COMP1134) (0.225 COMP1415) (0.220 COMP612) (0.217 COMP1414) (0.208 COMP1403) (0.206 COMP1402) (0.205 COMP1401) (0.160 COMP1400) (0.154 COMP905) (0.148 COMP1377/COMP1385) (0.146 COMP155) (0.137 COMP136) (0.136 COMP1395) (0.133 COMP1373/COMP1410/COMP1420) (0.131 COMP1405/COMP367) (0.130 COMP1382)
Carcinogenic. group 2A	0.341	COMP1408	(0.264 COMP32) (0.260 COMP1397) (0.246 COMP1406) (0.220 COMP987/COMP988/COMP990) (0.204 COMP670) (0.199 COMP14) (0.198 COMP101) (0.193 COMP1409) (0.174 COMP501) (0.170 COMP1399) (0.150 COMP1143) (0.147 COMP1134) (0.146 COMP1394/COMP1402) (0.144 COMP616) (0.133 COMP1415) (0.130 COMP462) (0.126 COMP612) (0.122 COMP1414/COMP16/COMP18/COMP266/COMP53/COMP54) (0.110 COMP198) (0.109 COMP1403) (0.100 COMP155) (0.099 COMP28/COMP40/COMP41) (0.093 COMP259) (0.086 COMP191) (0.082 COMP1407/COMP1412/COMP20/COMP27) (0.078 COMP360) (0.077 COMP1411/COMP905)
Carcinogenic. group 2B	0.589	COMP1409	(0.492 COMP101) (0.365 COMP32) (0.338 COMP198) (0.334 COMP14) (0.328 COMP191) (0.325 COMP1397) (0.306 COMP1406) (0.295 COMP1408) (0.278 COMP1415) (0.264 COMP1143) (0.249 COMP987/COMP988/COMP990) (0.237 COMP1394) (0.225 COMP612) (0.221 COMP670) (0.203 COMP16/COMP18/COMP259/COMP266/COMP53/COMP54) (0.202 COMP1134) (0.200 COMP136) (0.197 COMP1399/COMP501) (0.194 COMP1414) (0.183 COMP462) (0.161 COMP28/COMP40/COMP41) (0.149 COMP905) (0.141 COMP1419) (0.139 COMP1403) (0.135 COMP1407/COMP1412/COMP27) (0.130 COMP616) (0.125 COMP155) (0.121 COMP1395) (0.119 COMP1421/COMP20) (0.110 COMP1380) (0.105 COMP1417/COMP1418) (0.104 COMP1420/COMP360)
Carcinogenic. group 3	0.608	COMP198	(0.607 COMP1409) (0.533 COMP191) (0.454 COMP28/COMP40/COMP41) (0.431 COMP16/COMP18/COMP266/COMP53/COMP54) (0.420 COMP462) (0.389 COMP1415) (0.381 COMP1407/COMP1412/COMP27) (0.359 COMP101) (0.352 COMP987/COMP988/COMP990) (0.344 COMP32) (0.343 COMP1414) (0.332 COMP14) (0.325 COMP1406) (0.317 COMP20) (0.308 COMP1394) (0.299 COMP1421) (0.282 COMP612) (0.280 COMP259) (0.274 COMP1419) (0.272 COMP501) (0.264 COMP1408) (0.255 COMP1378) (0.252 COMP155) (0.246 COMP1403) (0.244 COMP616) (0.241 COMP360) (0.234 COMP1420) (0.228 COMP1373/COMP1410) (0.216 COMP1395) (0.214 COMP1143) (0.211 COMP1397) (0.210 COMP670) (0.157 COMP1399) (0.154 COMP1384) (0.147 COMP1380) (0.131 COMP905) (0.114 COMP285) (0.111 COMP1134/COMP1400/COMP1417/COMP1418) (0.104 COMP1382) (0.100 COMP1372) (0.097 COMP136) (0.095 COMP1388/COMP1389)
Cardiodepressant	0.626	COMP101	(0.566 COMP136) (0.547 COMP905) (0.497 COMP360) (0.496 COMP1419) (0.473 COMP1415) (0.462 COMP1394) (0.438 COMP987/COMP988/COMP990) (0.426 COMP1134) (0.423 COMP1406) (0.412 COMP16/COMP18/COMP266/COMP53/COMP54) (0.400 COMP1408) (0.381 COMP1403) (0.373 COMP612) (0.357 COMP1399) (0.348 COMP259) (0.342 COMP191) (0.329 COMP1405/COMP367) (0.328 COMP198) (0.316 COMP28/COMP40/COMP41) (0.305 COMP1409) (0.301 COMP1381) (0.297 COMP1404) (0.270 COMP285) (0.269 COMP1143) (0.268 COMP1400) (0.264 COMP1407/COMP1412/COMP27) (0.258 COMP1377/COMP1385) (0.255 COMP1417/COMP1418) (0.242 COMP1380) (0.231 COMP670) (0.216 COMP501) (0.204 COMP1379) (0.200 COMP20/COMP616) (0.196 COMP1413) (0.189 COMP1395) (0.182 COMP1382) (0.178 COMP14) (0.175 COMP1374) (0.164 COMP32) (0.157 COMP1386/COMP1387) (0.150 COMP1414) (0.148 COMP1388/COMP1389) (0.141 COMP1383) (0.139 COMP1375) (0.137 COMP1373/COMP1410) (0.133 COMP462) (0.132 COMP1411)
Cytotoxic	0.626	COMP1414	(0.623 COMP462) (0.586 COMP285) (0.572 COMP1413) (0.557 COMP151) (0.532 COMP1383) (0.511 COMP1417/COMP1418) (0.502 COMP1379) (0.496 COMP1382) (0.495 COMP1390) (0.488 COMP1381) (0.484 COMP155) (0.483 COMP1396) (0.477 COMP20) (0.476 COMP1391) (0.458 COMP1374) (0.457 COMP1388/COMP1389) (0.456 COMP1407/COMP1412/COMP27) (0.449 COMP1377/COMP1385) (0.448 COMP1386/COMP1387) (0.447 COMP1143) (0.446 COMP1411) (0.435 COMP1397) (0.433 COMP28/COMP40/COMP41) (0.428 COMP191) (0.426 COMP1419) (0.403 COMP360) (0.398 COMP198) (0.389 COMP1393) (0.384 COMP101) (0.369 COMP905) (0.360 COMP16/COMP18/COMP266/COMP53/COMP54) (0.341 COMP1375) (0.340 COMP32) (0.327 COMP1392) (0.319 COMP1376) (0.303 COMP1406) (0.297 COMP1380/COMP1421) (0.284 COMP1394) (0.281 COMP1378) (0.275 COMP1373/COMP1410) (0.273 COMP1384) (0.271 COMP1372) (0.265 COMP612) (0.263 COMP616) (0.262 COMP1403) (0.259 COMP136) (0.256 COMP987/COMP988/COMP990) (0.249 COMP1134) (0.244 COMP1395) (0.229 COMP1420) (0.227 COMP501) (0.223 COMP1415) (0.210 COMP1408) (0.205 COMP1409) (0.186 COMP14) (0.185 COMP1405/COMP367) (0.169 COMP1400) (0.144 COMP259) (0.143 COMP1399/COMP670)
DNA damaging	0.677	COMP1414	(0.644 COMP462) (0.585 COMP360) (0.583 COMP1419) (0.500 COMP191) (0.463 COMP198) (0.382 COMP1143) (0.380 COMP905) (0.362 COMP1397) (0.339 COMP1402) (0.334 COMP16/COMP18/COMP266/COMP53/COMP54) (0.325 COMP32) (0.316 COMP1406) (0.300 COMP1408) (0.299 COMP1383) (0.296 COMP987/COMP988/COMP990) (0.290 COMP616) (0.288 COMP101) (0.275 COMP28/COMP40/COMP41) (0.271 COMP1405/COMP367) (0.258 COMP1379) (0.246 COMP1411) (0.232 COMP1417/COMP1418) (0.228 COMP1400) (0.226 COMP1399/COMP1407/COMP1412/COMP27) (0.222 COMP1394) (0.221 COMP1396/COMP1409) (0.220 COMP1134) (0.211 COMP670) (0.207 COMP1380) (0.204 COMP1381) (0.202 COMP1382) (0.200 COMP136) (0.189 COMP1395) (0.187 COMP155) (0.182 COMP1377/COMP1385) (0.180 COMP20) (0.178 COMP151) (0.175 COMP612) (0.172 COMP1413) (0.159 COMP1415)
Embryotoxic	0.899	COMP285	(0.897 COMP1397) (0.818 COMP1413) (0.759 COMP1383/COMP1393) (0.752 COMP1390) (0.749 COMP1420) (0.746 COMP1373/COMP1410) (0.738 COMP1388/COMP1389) (0.733 COMP1378) (0.730 COMP1392) (0.708 COMP1386/COMP1387) (0.702 COMP28/COMP40/COMP41) (0.695 COMP1421) (0.685 COMP905) (0.679 COMP1375) (0.671 COMP16/COMP18/COMP266/COMP53/COMP54) (0.658 COMP1376) (0.644 COMP1407/COMP1412/COMP27) (0.626 COMP20) (0.620 COMP1417/COMP1418) (0.607 COMP1377/COMP1385) (0.587 COMP1374/COMP1381) (0.577 COMP1380) (0.570 COMP1403) (0.569 COMP1409) (0.550 COMP1384) (0.515 COMP1414) (0.512 COMP462) (0.486 COMP1391) (0.472 COMP987/COMP988/COMP990) (0.466 COMP1395) (0.431 COMP612) (0.426 COMP136) (0.403 COMP1372) (0.391 COMP191) (0.384 COMP101) (0.366 COMP14) (0.365 COMP198) (0.343 COMP1379) (0.333 COMP1415) (0.323 COMP1406) (0.308 COMP1411) (0.307 COMP155) (0.287 COMP1394) (0.272 COMP1134) (0.249 COMP1419) (0.245 COMP616) (0.243 COMP32) (0.238 COMP1382/COMP1396) (0.234 COMP1399/COMP151) (0.231 COMP1408) (0.229 COMP1143) (0.223 COMP259) (0.218 COMP360) (0.199 COMP501) (0.196 COMP1402) (0.175 COMP670) (0.133 COMP1401)
