COMP1372;Plant;PMID:18303850
COMP1373;Leaf Essent. Oil;PMID:18681481
COMP1373;Bud;PMID:18681481
COMP1373;Inflorescence;PMID:18681481
COMP1373;Sprout Seedling;PMID:18681481
COMP1373;Resin, Exudate, Sap;PMID:18681481
COMP1373;Plant;PMID:18681481
COMP1373;Fruit;PMID:18681481
COMP1373;Seed;PMID:18681481
COMP1373;Leaf;PMID:18681481
COMP1373;Shoot;PMID:18681481
COMP1373;Root;PMID:18681481
COMP1374;Plant;PMID:18681481
COMP1375;Plant;PMID:18681481
COMP1376;Plant;PMID:18681481
COMP1377;Plant;PMID:18681481
COMP1377;Root;PMID:18681481
COMP1377;Shoot;PMID:18681481
COMP1377;Sprout Seedling;PMID:18681481
COMP1377;Resin, Exudate, Sap;PMID:18681481
COMP1377;Leaf;PMID:18681481
COMP1377;Inflorescence;PMID:18681481
COMP1378;Plant;PMID:18681481
COMP1379;Plant;PMID:19344127
COMP1380;Plant;PMID:19344127
COMP1381;Plant;PMID:19344127
COMP1382;Plant;PMID:19344127
COMP1383;Plant;PMID:19344127
COMP1384;Plant;PMID:19344127
COMP1377;Plant;PMID:21902175
COMP1377;Root;PMID:21902175
COMP1377;Shoot;PMID:21902175
COMP1377;Sprout Seedling;PMID:21902175
COMP1377;Resin, Exudate, Sap;PMID:21902175
COMP1377;Leaf;PMID:21902175
COMP1377;Inflorescence;PMID:21902175
COMP1373;Leaf Essent. Oil;PMID:21902175
COMP1373;Bud;PMID:21902175
COMP1373;Inflorescence;PMID:21902175
COMP1373;Sprout Seedling;PMID:21902175
COMP1373;Resin, Exudate, Sap;PMID:21902175
COMP1373;Plant;PMID:21902175
COMP1373;Fruit;PMID:21902175
COMP1373;Seed;PMID:21902175
COMP1373;Leaf;PMID:21902175
COMP1373;Shoot;PMID:21902175
COMP1373;Root;PMID:21902175
COMP1375;Plant;PMID:21902175
COMP1385;Plant;PMID:21902175
COMP1386;Plant;PMID:26000707
COMP1387;Plant;PMID:26000707
COMP1388;Plant;PMID:26000707
COMP1389;Plant;PMID:26000707
COMP1390;Plant;PMID:26000707
COMP1391;Plant;PMID:26000707
COMP1392;Plant;PMID:26000707
COMP1393;Plant;PMID:26000707
