Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.071	COMP2196	(0.053 COMP2193) (0.036 COMP2203) (0.033 COMP666) (0.025 COMP192)
5 Hydroxytryptamine 1A agonist	0.045	COMP2193	
5 Hydroxytryptamine 2A agonist	0.115	COMP2196	(0.103 COMP2193) (0.092 COMP2204) (0.073 COMP521) (0.069 COMP192)
5 Hydroxytryptamine 2B agonist	0.093	COMP2196	(0.072 COMP2193) (0.043 COMP521) (0.042 COMP192) (0.040 COMP2204)
5 Hydroxytryptamine 2C antagonist	0.086	COMP2196	(0.083 COMP2193)
5 Hydroxytryptamine 3 agonist	0.128	COMP2196	(0.122 COMP2193) (0.111 COMP32) (0.081 COMP521) (0.065 COMP192) (0.064 COMP799) (0.061 COMP2204) (0.057 COMP248)
5 Hydroxytryptamine 3A agonist	0.288	COMP2196	(0.282 COMP2193) (0.154 COMP32) (0.134 COMP521) (0.107 COMP994) (0.105 COMP666) (0.103 COMP110) (0.102 COMP192/COMP2203) (0.097 COMP2204)
5 Hydroxytryptamine 4 agonist	0.028	COMP2193	(0.026 COMP2196) (0.025 COMP473/COMP488)
5 Hydroxytryptamine uptake inhibitor	0.153	COMP2196	(0.092 COMP2193)
ATPase inhibitor	0.322	COMP2195	(0.321 COMP506) (0.308 COMP2201) (0.301 COMP2199) (0.279 COMP2196) (0.273 COMP994) (0.255 COMP248) (0.245 COMP2202) (0.239 COMP2193/COMP547) (0.237 COMP500) (0.235 COMP473/COMP488) (0.230 COMP1) (0.229 COMP7) (0.207 COMP1430/COMP2189/COMP31) (0.205 COMP2194) (0.200 COMP478/COMP499/COMP511/COMP513/COMP518) (0.194 COMP521) (0.188 COMP632) (0.184 COMP192/COMP2192) (0.176 COMP666) (0.171 COMP2190) (0.166 COMP110/COMP2203) (0.149 COMP32)
Acetylcholine M1 receptor agonist	0.119	COMP2193	(0.090 COMP2204) (0.085 COMP259) (0.056 COMP2196) (0.048 COMP473/COMP488)
Acetylcholine M1 receptor antagonist	0.247	COMP2191	(0.239 COMP666) (0.213 COMP473/COMP488) (0.212 COMP2193) (0.194 COMP547) (0.170 COMP192) (0.158 COMP2196/COMP7) (0.156 COMP793) (0.153 COMP248) (0.140 COMP500) (0.139 COMP2202/COMP521) (0.134 COMP2192) (0.129 COMP259) (0.119 COMP632)
Acetylcholine M2 receptor agonist	0.093	COMP2193	
Acetylcholine M2 receptor antagonist	0.095	COMP666	(0.078 COMP2193) (0.071 COMP259) (0.065 COMP32) (0.063 COMP473/COMP488) (0.055 COMP2204)
Acetylcholine M3 receptor agonist	0.174	COMP2193	(0.081 COMP547) (0.071 COMP2202)
Acetylcholine M3 receptor antagonist	0.090	COMP666	(0.075 COMP2193) (0.069 COMP192) (0.063 COMP259/COMP32) (0.060 COMP473/COMP488) (0.056 COMP2204)
Acetylcholinesterase inhibitor	0.453	COMP2190	(0.309 COMP2193) (0.192 COMP793) (0.171 COMP110) (0.157 COMP2203) (0.138 COMP478/COMP499/COMP511/COMP513/COMP518) (0.117 COMP666)
Aconitate hydratase inhibitor	0.718	COMP994	(0.452 COMP2201) (0.212 COMP1430/COMP2189/COMP31) (0.196 COMP2193) (0.171 COMP632) (0.163 COMP2192) (0.161 COMP500) (0.160 COMP248) (0.159 COMP192) (0.149 COMP473/COMP488) (0.139 COMP666) (0.136 COMP2202) (0.130 COMP32) (0.122 COMP2196) (0.120 COMP7) (0.119 COMP2197) (0.112 COMP2194) (0.107 COMP521) (0.098 COMP478/COMP499/COMP511/COMP513/COMP518) (0.090 COMP2199) (0.082 COMP2195) (0.081 COMP506) (0.077 COMP2203) (0.065 COMP1/COMP547) (0.061 COMP799) (0.060 COMP110) (0.055 COMP2204) (0.052 COMP30/COMP621) (0.050 COMP259)
Acyl-CoA dehydrogenase inhibitor	0.259	COMP2201	(0.249 COMP7) (0.243 COMP473/COMP488) (0.240 COMP666) (0.238 COMP248) (0.237 COMP994) (0.231 COMP1430/COMP2189/COMP31) (0.226 COMP2202) (0.207 COMP2193) (0.198 COMP478/COMP499/COMP511/COMP513/COMP518) (0.197 COMP632) (0.183 COMP2195) (0.173 COMP500) (0.171 COMP2199) (0.153 COMP506) (0.146 COMP192) (0.145 COMP2196) (0.139 COMP521) (0.131 COMP2194) (0.128 COMP2197) (0.120 COMP2192) (0.118 COMP799) (0.115 COMP32) (0.106 COMP2203) (0.088 COMP1) (0.086 COMP259) (0.067 COMP2204) (0.053 COMP110) (0.052 COMP2191)
Adenosine A2a receptor antagonist	0.157	COMP2204	(0.139 COMP2191) (0.116 COMP259) (0.060 COMP2193)
Adenosine deaminase inhibitor	0.111	COMP473/COMP488	(0.094 COMP1430/COMP2189/COMP31) (0.089 COMP248) (0.083 COMP7) (0.081 COMP192/COMP478/COMP499/COMP511/COMP513/COMP518) (0.077 COMP632) (0.074 COMP2202) (0.073 COMP500) (0.071 COMP2193) (0.068 COMP2194/COMP994) (0.065 COMP2199/COMP666) (0.060 COMP2190/COMP2197/COMP506) (0.058 COMP2201) (0.055 COMP2192/COMP2196) (0.048 COMP2195) (0.044 COMP521) (0.043 COMP259) (0.041 COMP32)
