Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.959	COMP2195	(0.951 COMP2199/COMP506) (0.928 COMP478/COMP499/COMP511/COMP513/COMP518) (0.920 COMP1) (0.880 COMP110) (0.858 COMP2202) (0.842 COMP7) (0.825 COMP32) (0.806 COMP248) (0.745 COMP2194) (0.714 COMP621) (0.654 COMP666) (0.638 COMP473/COMP488) (0.580 COMP547) (0.551 COMP500) (0.523 COMP1430/COMP2189/COMP31) (0.521 COMP30) (0.520 COMP994) (0.417 COMP2201) (0.409 COMP632) (0.371 COMP2192) (0.285 COMP192) (0.243 COMP259) (0.175 COMP2204) (0.165 COMP2197) (0.151 COMP521) (0.146 COMP2193)
Aldehyde dehydrogenase substrate	0.934	COMP478/COMP499/COMP511/COMP513/COMP518	(0.851 COMP2195) (0.843 COMP2199) (0.837 COMP506) (0.783 COMP1) (0.759 COMP2194) (0.729 COMP110) (0.700 COMP32) (0.497 COMP621) (0.351 COMP547) (0.327 COMP473/COMP488) (0.325 COMP2202) (0.304 COMP30) (0.290 COMP7) (0.281 COMP632) (0.279 COMP248) (0.255 COMP500) (0.210 COMP1430/COMP2189/COMP31/COMP994) (0.207 COMP192) (0.198 COMP666) (0.195 COMP2197/COMP259) (0.166 COMP2201) (0.160 COMP2193) (0.132 COMP521) (0.125 COMP2196) (0.119 COMP2204)
Aldehyde oxidase substrate	0.666	COMP32	(0.332 COMP478/COMP499/COMP511/COMP513/COMP518/COMP521) (0.313 COMP192) (0.306 COMP1430/COMP2189/COMP31) (0.292 COMP2193) (0.281 COMP2197) (0.258 COMP994) (0.248 COMP2199) (0.245 COMP2196) (0.238 COMP2195) (0.222 COMP506) (0.213 COMP500) (0.212 COMP473/COMP488) (0.208 COMP2194) (0.203 COMP2201) (0.201 COMP632) (0.194 COMP248) (0.192 COMP2202) (0.179 COMP2203) (0.178 COMP621) (0.172 COMP7) (0.170 COMP1) (0.161 COMP799) (0.158 COMP666) (0.155 COMP2190) (0.149 COMP2204) (0.138 COMP793) (0.136 COMP2192)
Aldose reductase substrate	0.992	COMP478/COMP499/COMP511/COMP513/COMP518	(0.968 COMP1430/COMP2189/COMP31) (0.896 COMP2194) (0.877 COMP2195) (0.851 COMP2199) (0.826 COMP506) (0.737 COMP1) (0.398 COMP500) (0.334 COMP632) (0.323 COMP994) (0.249 COMP192) (0.247 COMP2201) (0.214 COMP473/COMP488) (0.194 COMP2202) (0.193 COMP248) (0.182 COMP32) (0.177 COMP7) (0.166 COMP2196) (0.149 COMP2197)
Arylamine N-Acetyltransferase substrate	0.875	COMP2191	(0.498 COMP2197) (0.324 COMP2201) (0.296 COMP994) (0.209 COMP2196) (0.190 COMP248) (0.178 COMP2193) (0.171 COMP7) (0.170 COMP1430/COMP2189/COMP31) (0.147 COMP799) (0.141 COMP2202) (0.137 COMP192/COMP2190/COMP521) (0.131 COMP473/COMP488) (0.126 COMP2203) (0.112 COMP2195) (0.103 COMP32) (0.077 COMP666) (0.070 COMP500)
CYP1A2 inhibitor	0.884	COMP2190	(0.341 COMP30) (0.325 COMP799) (0.318 COMP2204) (0.305 COMP259) (0.267 COMP2196) (0.251 COMP2203) (0.247 COMP666) (0.239 COMP521) (0.238 COMP2193) (0.233 COMP32) (0.232 COMP192) (0.197 COMP473/COMP488)
CYP1A2 substrate	0.904	COMP2190	(0.671 COMP521) (0.669 COMP248) (0.664 COMP621) (0.655 COMP30) (0.644 COMP32) (0.565 COMP192) (0.557 COMP2195/COMP506) (0.551 COMP7) (0.500 COMP2199) (0.488 COMP473/COMP488) (0.487 COMP994) (0.473 COMP2201) (0.450 COMP2196) (0.440 COMP2202) (0.430 COMP666) (0.427 COMP1) (0.368 COMP1430/COMP2189/COMP31) (0.342 COMP478/COMP499/COMP511/COMP513/COMP518) (0.339 COMP2193/COMP793) (0.337 COMP500) (0.335 COMP2194) (0.302 COMP799) (0.295 COMP2192) (0.281 COMP2204) (0.273 COMP2203) (0.253 COMP2197/COMP632) (0.252 COMP259) (0.235 COMP547)
CYP24 inhibitor	0.053	COMP521	(0.028 COMP2191) (0.025 COMP547) (0.021 COMP2193)
CYP2A6 inhibitor	0.390	COMP32	(0.284 COMP799) (0.257 COMP2204) (0.252 COMP547) (0.245 COMP259) (0.197 COMP2196) (0.183 COMP1) (0.171 COMP2193) (0.150 COMP521/COMP621) (0.141 COMP2203) (0.140 COMP666) (0.134 COMP2190) (0.100 COMP2195) (0.091 COMP478/COMP499/COMP511/COMP513/COMP518) (0.085 COMP192) (0.083 COMP994) (0.077 COMP2201) (0.076 COMP2192/COMP248) (0.075 COMP2199)
CYP2B6 inhibitor	0.429	COMP7	(0.423 COMP259) (0.370 COMP799) (0.367 COMP2190/COMP473/COMP488) (0.357 COMP2196) (0.353 COMP30) (0.350 COMP2202) (0.349 COMP547) (0.330 COMP248) (0.326 COMP2204) (0.321 COMP666) (0.319 COMP1) (0.310 COMP2193) (0.290 COMP500) (0.287 COMP994) (0.281 COMP192) (0.279 COMP632) (0.278 COMP521/COMP621) (0.260 COMP506) (0.250 COMP478/COMP499/COMP511/COMP513/COMP518) (0.245 COMP2201) (0.240 COMP1430/COMP2189/COMP2199/COMP31) (0.238 COMP2194) (0.225 COMP32) (0.206 COMP2192) (0.199 COMP2203) (0.198 COMP2195) (0.152 COMP2197) (0.148 COMP110)
CYP2C19 inhibitor	0.608	COMP2190	(0.546 COMP2191) (0.537 COMP2204) (0.509 COMP259) (0.433 COMP2192/COMP666) (0.431 COMP521) (0.409 COMP2203) (0.389 COMP32) (0.388 COMP30) (0.351 COMP7) (0.350 COMP2196) (0.349 COMP2202) (0.335 COMP2193/COMP994) (0.330 COMP192) (0.326 COMP1430/COMP2189/COMP31/COMP473/COMP488/COMP793) (0.314 COMP547) (0.297 COMP2201) (0.290 COMP621) (0.287 COMP1) (0.242 COMP2199)
