Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.874	COMP685	(0.805 COMP708) (0.785 COMP2251) (0.697 COMP2250/COMP739) (0.666 COMP2246) (0.644 COMP2245) (0.601 COMP1554/COMP181) (0.538 COMP478/COMP499/COMP513/COMP518/COMP57) (0.520 COMP2228) (0.509 COMP994) (0.488 COMP2204) (0.435 COMP30) (0.412 COMP1254) (0.377 COMP287/COMP450) (0.362 COMP77) (0.325 COMP621) (0.294 COMP259) (0.240 COMP285) (0.231 COMP55) (0.198 COMP1415) (0.190 COMP2239/COMP2254) (0.174 COMP9) (0.173 COMP1156) (0.163 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.162 COMP34/COMP36) (0.158 COMP521) (0.151 COMP864/COMP878) (0.150 COMP663) (0.149 COMP2255) (0.146 COMP114/COMP131) (0.144 COMP124/COMP715) (0.142 COMP1775/COMP2256) (0.141 COMP48) (0.140 COMP1152/COMP14/COMP488/COMP538) (0.139 COMP1245/COMP144/COMP19) (0.138 COMP2241) (0.135 COMP2235) (0.124 COMP767) (0.123 COMP113/COMP132/COMP142) (0.122 COMP158/COMP172) (0.119 COMP26/COMP28/COMP40/COMP41) (0.117 COMP43) (0.115 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.112 COMP1672/COMP22/COMP2219) (0.110 COMP2223) (0.109 COMP2214/COMP617) (0.107 COMP1166/COMP502) (0.106 COMP826) (0.104 COMP11/COMP8) (0.103 COMP27) (0.102 COMP1142/COMP191/COMP500) (0.099 COMP2232) (0.098 COMP153) (0.097 COMP2038) (0.094 COMP544) (0.093 COMP2218) (0.092 COMP594) (0.091 COMP910) (0.090 COMP141/COMP264/COMP547) (0.089 COMP2215) (0.087 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.086 COMP2240) (0.085 COMP248) (0.083 COMP2/COMP2247) (0.082 COMP2213/COMP2244)
AR expression inhibitor	0.991	COMP478/COMP499/COMP513/COMP518/COMP57	(0.970 COMP2251) (0.968 COMP685) (0.952 COMP2228) (0.941 COMP708) (0.937 COMP48) (0.927 COMP34/COMP36) (0.902 COMP1414) (0.891 COMP2246) (0.877 COMP2245) (0.873 COMP2159) (0.870 COMP191) (0.856 COMP1254) (0.849 COMP2250/COMP739) (0.806 COMP30) (0.805 COMP715) (0.786 COMP910) (0.773 COMP1274/COMP508) (0.742 COMP119/COMP157/COMP160/COMP162/COMP169) (0.731 COMP302) (0.730 COMP337) (0.723 COMP43) (0.706 COMP1672/COMP22) (0.666 COMP2238) (0.658 COMP11/COMP8) (0.650 COMP621) (0.642 COMP2038) (0.636 COMP1258) (0.615 COMP476) (0.610 COMP2267) (0.609 COMP14) (0.590 COMP1775/COMP2256) (0.570 COMP1554/COMP181) (0.559 COMP994) (0.556 COMP26/COMP28/COMP40/COMP41) (0.529 COMP1668/COMP523) (0.527 COMP2266) (0.524 COMP27) (0.518 COMP1139) (0.508 COMP2255) (0.504 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.500 COMP2229) (0.499 COMP287/COMP450) (0.485 COMP77) (0.477 COMP2241) (0.471 COMP141/COMP264/COMP547) (0.469 COMP2230) (0.457 COMP285) (0.445 COMP110/COMP1166/COMP502) (0.435 COMP248) (0.422 COMP521) (0.417 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.411 COMP55) (0.409 COMP663) (0.397 COMP2209) (0.393 COMP2208) (0.390 COMP1405/COMP367) (0.388 COMP2248) (0.387 COMP2214) (0.377 COMP2205/COMP767) (0.376 COMP1415) (0.375 COMP2240) (0.369 COMP1400) (0.362 COMP2211) (0.359 COMP2207/COMP2243) (0.358 COMP2215) (0.351 COMP2/COMP2202/COMP2247) (0.348 COMP2213/COMP2244) (0.347 COMP1152/COMP488/COMP538) (0.346 COMP2233) (0.343 COMP124/COMP2239/COMP2254) (0.338 COMP153/COMP2220/COMP864/COMP878) (0.337 COMP4) (0.336 COMP500) (0.334 COMP1151/COMP666) (0.332 COMP2249) (0.326 COMP594) (0.325 COMP259/COMP617) (0.320 COMP113/COMP132/COMP142) (0.319 COMP1104) (0.313 COMP2223) (0.311 COMP1408) (0.306 COMP2226) (0.305 COMP2210) (0.303 COMP826) (0.301 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.297 COMP2227) (0.292 COMP2222) (0.287 COMP2204) (0.282 COMP2206) (0.281 COMP2232) (0.277 COMP1142) (0.276 COMP901) (0.263 COMP1525) (0.261 COMP144/COMP19) (0.258 COMP1156) (0.257 COMP2235) (0.255 COMP114/COMP131) (0.242 COMP2252) (0.236 COMP1245) (0.222 COMP9) (0.221 COMP2219) (0.218 COMP2217) (0.208 COMP44) (0.206 COMP32)
CTGF expression inhibitor	0.928	COMP48	(0.912 COMP191) (0.868 COMP34/COMP36) (0.824 COMP287/COMP450) (0.814 COMP901) (0.813 COMP2241) (0.811 COMP77) (0.795 COMP1274/COMP508) (0.786 COMP1672/COMP22) (0.783 COMP715) (0.779 COMP32) (0.777 COMP26/COMP28/COMP40/COMP41) (0.767 COMP285) (0.766 COMP1014/COMP121/COMP1414/COMP16/COMP18/COMP266/COMP43/COMP53/COMP54) (0.758 COMP2038) (0.742 COMP27) (0.717 COMP1139) (0.704 COMP478/COMP499/COMP513/COMP518/COMP57) (0.703 COMP2230) (0.686 COMP1152/COMP488/COMP538) (0.671 COMP2252) (0.668 COMP2215) (0.667 COMP2218) (0.651 COMP14) (0.640 COMP337) (0.624 COMP2233) (0.623 COMP2224) (0.622 COMP1415) (0.614 COMP994) (0.609 COMP2159) (0.602 COMP663) (0.596 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.592 COMP2211) (0.588 COMP767) (0.585 COMP1151/COMP666) (0.581 COMP2228) (0.571 COMP2/COMP2202/COMP2247) (0.570 COMP2220) (0.561 COMP2222) (0.556 COMP2219) (0.552 COMP1405/COMP367) (0.551 COMP144/COMP19) (0.549 COMP1142) (0.541 COMP1408) (0.533 COMP2229) (0.532 COMP2210/COMP2232) (0.530 COMP2249) (0.521 COMP55) (0.518 COMP1400) (0.506 COMP259) (0.499 COMP2223) (0.489 COMP2248) (0.483 COMP2213/COMP2244) (0.478 COMP1554/COMP181) (0.477 COMP2235) (0.476 COMP2226) (0.471 COMP500) (0.467 COMP2214) (0.464 COMP521) (0.461 COMP617) (0.450 COMP864/COMP878) (0.449 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.443 COMP604) (0.436 COMP9) (0.427 COMP594) (0.414 COMP2221/COMP2240) (0.413 COMP544) (0.408 COMP2227) (0.393 COMP2204) (0.383 COMP613/COMP621) (0.378 COMP1166/COMP502) (0.373 COMP1165) (0.364 COMP2251) (0.360 COMP1258) (0.356 COMP1156) (0.353 COMP114/COMP131) (0.343 COMP476) (0.342 COMP2207/COMP2243) (0.332 COMP2239/COMP2254) (0.330 COMP1245/COMP248/COMP30) (0.329 COMP826) (0.322 COMP110) (0.303 COMP708) (0.283 COMP158/COMP172) (0.268 COMP44) (0.267 COMP11/COMP8) (0.264 COMP141/COMP264/COMP547) (0.257 COMP1254) (0.244 COMP2205) (0.242 COMP2246) (0.238 COMP2236) (0.230 COMP2255) (0.228 COMP153) (0.223 COMP113/COMP132/COMP142) (0.222 COMP119/COMP157/COMP160/COMP162/COMP169/COMP745) (0.213 COMP302) (0.207 COMP685) (0.203 COMP4) (0.202 COMP124) (0.201 COMP2209) (0.199 COMP2238) (0.198 COMP2245) (0.193 COMP1668/COMP523)
GRP78 expression inhibitor	0.043	COMP2211	(0.041 COMP994) (0.040 COMP2252) (0.038 COMP55) (0.035 COMP1411/COMP2212/COMP2231/COMP2253/COMP568/COMP767) (0.034 COMP1142/COMP2233) (0.033 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.032 COMP1139/COMP864/COMP878) (0.031 COMP1165/COMP1408/COMP2210) (0.030 COMP613) (0.029 COMP2220) (0.028 COMP500) (0.027 COMP1152/COMP488/COMP538) (0.026 COMP1258/COMP1554/COMP181/COMP2214/COMP2229/COMP2241) (0.025 COMP114/COMP131/COMP144/COMP19/COMP2219/COMP2222/COMP2227/COMP337/COMP617/COMP663) (0.024 COMP1274/COMP2/COMP2202/COMP2218/COMP2247/COMP508/COMP901) (0.023 COMP2215/COMP2230/COMP26/COMP28/COMP40/COMP41/COMP826) (0.022 COMP2226/COMP9) (0.021 COMP110/COMP2221/COMP2239/COMP2254/COMP27/COMP32) (0.020 COMP1151/COMP1415/COMP2224/COMP544/COMP666)
ICAM1 expression inhibitor	0.633	COMP34/COMP36	(0.606 COMP2251) (0.594 COMP1258) (0.569 COMP337) (0.560 COMP1274/COMP48/COMP508) (0.556 COMP2267) (0.549 COMP910) (0.539 COMP2266) (0.531 COMP1415) (0.524 COMP708) (0.511 COMP27) (0.504 COMP1414) (0.501 COMP2250/COMP739) (0.500 COMP2246) (0.498 COMP153) (0.497 COMP2222) (0.496 COMP158/COMP172) (0.495 COMP2206) (0.488 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.486 COMP2159) (0.481 COMP1775/COMP2256) (0.477 COMP26/COMP28/COMP40/COMP41) (0.475 COMP2245) (0.474 COMP2239/COMP2254) (0.472 COMP2255) (0.466 COMP2208) (0.463 COMP2241) (0.457 COMP685) (0.456 COMP191) (0.445 COMP2252) (0.440 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.438 COMP2229) (0.436 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.435 COMP2038) (0.432 COMP1525) (0.429 COMP2249/COMP715) (0.427 COMP287/COMP450) (0.425 COMP2214) (0.417 COMP1139) (0.416 COMP2215) (0.413 COMP77) (0.408 COMP594) (0.405 COMP285/COMP544) (0.403 COMP1554/COMP181/COMP994) (0.394 COMP901) (0.392 COMP1104) (0.387 COMP2230) (0.386 COMP114/COMP131) (0.383 COMP1245) (0.381 COMP144/COMP19/COMP826) (0.378 COMP663) (0.376 COMP1668/COMP523) (0.375 COMP2248) (0.371 COMP2217) (0.368 COMP1142) (0.366 COMP1254/COMP2232) (0.360 COMP9) (0.358 COMP1405/COMP367) (0.354 COMP1152/COMP2207/COMP2243/COMP488/COMP538) (0.353 COMP141/COMP264/COMP547) (0.352 COMP2/COMP2202/COMP2247) (0.351 COMP767) (0.350 COMP476) (0.349 COMP1400) (0.346 COMP613) (0.340 COMP2235/COMP2240) (0.337 COMP124) (0.335 COMP1672/COMP22/COMP2223) (0.328 COMP43) (0.326 COMP864/COMP878) (0.325 COMP30) (0.324 COMP2213/COMP2244) (0.317 COMP500) (0.311 COMP113/COMP132/COMP142) (0.305 COMP1408) (0.300 COMP2205) (0.299 COMP2204) (0.298 COMP259) (0.293 COMP1156/COMP2211/COMP2233) (0.290 COMP2209/COMP55) (0.282 COMP2219) (0.246 COMP11/COMP8) (0.243 COMP617) (0.238 COMP621) (0.218 COMP4/COMP521) (0.214 COMP1166/COMP502) (0.209 COMP2210/COMP2220) (0.203 COMP2226) (0.201 COMP302) (0.199 COMP2236) (0.195 COMP248) (0.192 COMP1740/COMP1741/COMP2238/COMP2258)
LDLR expression enhancer	0.431	COMP685	(0.393 COMP715) (0.378 COMP287/COMP450) (0.369 COMP708) (0.365 COMP77) (0.349 COMP48) (0.319 COMP2246) (0.316 COMP2248) (0.315 COMP191) (0.294 COMP1139) (0.291 COMP1405/COMP367) (0.286 COMP2251) (0.279 COMP2213/COMP2244) (0.276 COMP2240) (0.275 COMP1254) (0.271 COMP30) (0.270 COMP2207/COMP2243) (0.264 COMP2250/COMP739) (0.262 COMP2245) (0.260 COMP476) (0.259 COMP1408) (0.258 COMP1775/COMP2256) (0.256 COMP285) (0.251 COMP34/COMP36) (0.249 COMP2229) (0.248 COMP4) (0.244 COMP119/COMP157/COMP160/COMP162/COMP169) (0.236 COMP617) (0.235 COMP2241/COMP302) (0.233 COMP2205) (0.228 COMP2222) (0.227 COMP1152/COMP1400/COMP488/COMP538) (0.226 COMP2215/COMP27) (0.225 COMP2038/COMP544) (0.223 COMP9) (0.222 COMP2214) (0.221 COMP663) (0.220 COMP2211) (0.218 COMP2220) (0.217 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.215 COMP2219) (0.214 COMP11/COMP8) (0.213 COMP1414) (0.210 COMP26/COMP28/COMP40/COMP41/COMP994) (0.208 COMP1142/COMP153) (0.205 COMP2252) (0.203 COMP2/COMP2247) (0.198 COMP500) (0.197 COMP1165) (0.196 COMP1151/COMP666) (0.194 COMP158/COMP172) (0.193 COMP2227) (0.189 COMP124/COMP2255) (0.188 COMP2230/COMP521) (0.183 COMP2210) (0.182 COMP1166/COMP2218/COMP502) (0.181 COMP1554/COMP181) (0.178 COMP1014/COMP121/COMP16/COMP18/COMP2221/COMP266/COMP53/COMP54) (0.176 COMP864/COMP878) (0.173 COMP1668/COMP523) (0.172 COMP621) (0.171 COMP2202) (0.168 COMP2223/COMP613) (0.164 COMP2235) (0.162 COMP1415/COMP2224) (0.157 COMP767) (0.152 COMP1672/COMP22) (0.151 COMP2226/COMP248) (0.150 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.147 COMP113/COMP132/COMP142/COMP43) (0.141 COMP144/COMP19) (0.139 COMP259) (0.136 COMP2159)
NOS2 expression inhibitor	0.963	COMP1414	(0.950 COMP1274/COMP508) (0.949 COMP2159) (0.943 COMP337) (0.903 COMP48) (0.861 COMP191) (0.858 COMP2267) (0.822 COMP715) (0.821 COMP1258) (0.769 COMP2266) (0.761 COMP910) (0.730 COMP1405/COMP367) (0.640 COMP2038) (0.635 COMP2206) (0.625 COMP1668/COMP523) (0.618 COMP1400) (0.604 COMP141/COMP264/COMP547) (0.603 COMP77) (0.594 COMP4) (0.578 COMP153) (0.576 COMP1254) (0.573 COMP287/COMP450) (0.563 COMP302) (0.561 COMP34/COMP36) (0.560 COMP1775/COMP2256) (0.555 COMP1139) (0.548 COMP119/COMP157/COMP160/COMP162/COMP169) (0.547 COMP2241) (0.542 COMP27) (0.537 COMP30) (0.530 COMP2230) (0.521 COMP476) (0.516 COMP2229) (0.515 COMP26/COMP28/COMP285/COMP40/COMP41) (0.492 COMP2215) (0.488 COMP11/COMP8) (0.478 COMP2251) (0.476 COMP2238) (0.469 COMP2255) (0.466 COMP2207/COMP2243) (0.461 COMP708) (0.457 COMP158/COMP172/COMP2248) (0.447 COMP2208/COMP2252) (0.445 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.439 COMP2240) (0.438 COMP1166/COMP502) (0.435 COMP248) (0.431 COMP685) (0.423 COMP1408/COMP663) (0.422 COMP2220) (0.415 COMP767) (0.409 COMP2233) (0.408 COMP2205/COMP2210) (0.403 COMP2226) (0.401 COMP617) (0.400 COMP2214/COMP500) (0.397 COMP521) (0.396 COMP594) (0.395 COMP2213/COMP2244) (0.394 COMP1142) (0.392 COMP1151/COMP666) (0.387 COMP2223) (0.384 COMP2/COMP2202/COMP2247/COMP901) (0.376 COMP1152/COMP144/COMP19/COMP488/COMP538) (0.374 COMP994) (0.373 COMP2245) (0.372 COMP124/COMP2249) (0.371 COMP2211) (0.369 COMP544) (0.367 COMP1415) (0.364 COMP2246/COMP864/COMP878) (0.361 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.358 COMP2239/COMP2254/COMP43/COMP9) (0.355 COMP1411/COMP1672/COMP22/COMP2212/COMP2231/COMP2253/COMP568) (0.351 COMP113/COMP132/COMP142) (0.350 COMP1245) (0.344 COMP1156) (0.334 COMP2235) (0.324 COMP2222) (0.322 COMP2219) (0.321 COMP55) (0.316 COMP2228/COMP2232) (0.311 COMP613) (0.302 COMP2218) (0.300 COMP1554/COMP181) (0.291 COMP826) (0.290 COMP2250/COMP478/COMP499/COMP513/COMP518/COMP57/COMP739) (0.281 COMP14) (0.277 COMP110) (0.273 COMP32) (0.271 COMP114/COMP131/COMP2209) (0.269 COMP259) (0.267 COMP621) (0.265 COMP2224) (0.262 COMP1165) (0.256 COMP2204) (0.224 COMP2227) (0.202 COMP604) (0.201 COMP44) (0.189 COMP2221)
NOS3 expression enhancer	0.730	COMP1414	(0.721 COMP34/COMP36) (0.715 COMP1274/COMP508) (0.704 COMP2159) (0.703 COMP48) (0.672 COMP1258) (0.668 COMP715) (0.661 COMP337) (0.599 COMP191) (0.520 COMP2038) (0.487 COMP994) (0.356 COMP2267) (0.340 COMP2208) (0.331 COMP2207/COMP2243) (0.324 COMP285/COMP521) (0.323 COMP2229) (0.320 COMP2222) (0.316 COMP2266) (0.301 COMP287/COMP450) (0.299 COMP1415) (0.288 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.275 COMP1400) (0.269 COMP2241) (0.263 COMP77) (0.260 COMP2205) (0.258 COMP1405/COMP367) (0.253 COMP1254) (0.252 COMP1139/COMP2219) (0.250 COMP2211) (0.243 COMP1525) (0.232 COMP1554/COMP181) (0.213 COMP1142) (0.203 COMP302) (0.187 COMP2215) (0.183 COMP4) (0.171 COMP11/COMP8) (0.170 COMP26/COMP28/COMP40/COMP41) (0.165 COMP248) (0.161 COMP2251) (0.147 COMP2230/COMP2252) (0.141 COMP27) (0.139 COMP2248/COMP864/COMP878) (0.134 COMP2240) (0.129 COMP9) (0.128 COMP1166/COMP502) (0.125 COMP119/COMP157/COMP160/COMP162/COMP169) (0.123 COMP2217)
NOS3 expression inhibitor	0.919	COMP287/COMP450	(0.910 COMP77) (0.862 COMP285) (0.842 COMP27) (0.827 COMP48) (0.806 COMP337) (0.801 COMP1274/COMP508) (0.780 COMP521) (0.769 COMP2208) (0.764 COMP26/COMP28/COMP40/COMP41) (0.719 COMP2229) (0.703 COMP1414/COMP191) (0.681 COMP2255) (0.680 COMP1258) (0.674 COMP715) (0.664 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.652 COMP2159) (0.649 COMP1775/COMP2256) (0.609 COMP2241) (0.587 COMP2266) (0.584 COMP617) (0.582 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.568 COMP864/COMP878) (0.557 COMP55) (0.556 COMP11/COMP8) (0.555 COMP2267) (0.553 COMP1672/COMP22) (0.549 COMP1166/COMP502) (0.541 COMP43) (0.532 COMP2/COMP2202/COMP2247) (0.508 COMP119/COMP157/COMP160/COMP162/COMP169) (0.507 COMP2038) (0.499 COMP994) (0.498 COMP910) (0.489 COMP2249) (0.486 COMP1152/COMP488/COMP538) (0.482 COMP663) (0.479 COMP767) (0.462 COMP2248) (0.461 COMP2239/COMP2254) (0.453 COMP2223) (0.449 COMP1254) (0.447 COMP248) (0.446 COMP2252) (0.444 COMP500) (0.439 COMP901) (0.433 COMP1554/COMP181) (0.426 COMP2207/COMP2243) (0.420 COMP1139) (0.417 COMP2215) (0.415 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.413 COMP2230) (0.410 COMP2205) (0.405 COMP1151/COMP666) (0.402 COMP594) (0.385 COMP2220) (0.375 COMP1415/COMP2240) (0.372 COMP2209) (0.367 COMP708) (0.366 COMP34/COMP36) (0.362 COMP476) (0.359 COMP2213/COMP2244) (0.353 COMP1400) (0.348 COMP1405/COMP367) (0.344 COMP2210/COMP9) (0.343 COMP158/COMP172) (0.342 COMP2233) (0.340 COMP2232) (0.339 COMP2219) (0.337 COMP1525) (0.324 COMP2245) (0.323 COMP2206) (0.315 COMP110/COMP2235) (0.314 COMP114/COMP131) (0.313 COMP2226) (0.310 COMP2246) (0.309 COMP478/COMP499/COMP513/COMP518/COMP57) (0.303 COMP826) (0.291 COMP1245) (0.287 COMP544) (0.285 COMP2250/COMP739) (0.282 COMP2211/COMP2217) (0.275 COMP1104) (0.270 COMP144/COMP19) (0.266 COMP302) (0.264 COMP1668/COMP523) (0.258 COMP2228) (0.248 COMP259) (0.241 COMP2238) (0.237 COMP1142) (0.226 COMP113/COMP132/COMP142) (0.217 COMP30) (0.213 COMP1408) (0.208 COMP2222) (0.202 COMP124) (0.200 COMP141/COMP264/COMP547) (0.194 COMP613) (0.189 COMP14) (0.180 COMP2204)
TNF expression inhibitor	0.956	COMP2246	(0.949 COMP34/COMP36) (0.947 COMP337) (0.938 COMP708) (0.931 COMP1274/COMP508) (0.918 COMP2245) (0.905 COMP685) (0.904 COMP119/COMP157/COMP160/COMP162/COMP169) (0.899 COMP77) (0.881 COMP27) (0.877 COMP48) (0.876 COMP1775/COMP2256) (0.875 COMP287/COMP450) (0.870 COMP11/COMP8) (0.862 COMP2250/COMP739) (0.857 COMP26/COMP28/COMP40/COMP41) (0.843 COMP476) (0.841 COMP30) (0.836 COMP191) (0.815 COMP1258) (0.806 COMP2223/COMP2255) (0.796 COMP1166/COMP502) (0.769 COMP1414) (0.763 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.762 COMP617) (0.755 COMP285) (0.749 COMP1254) (0.745 COMP2038) (0.742 COMP2267) (0.733 COMP1151/COMP666/COMP864/COMP878) (0.729 COMP2202) (0.710 COMP910) (0.709 COMP2251) (0.701 COMP2249) (0.700 COMP2248) (0.695 COMP715) (0.685 COMP248) (0.665 COMP901) (0.658 COMP2241/COMP302) (0.648 COMP2/COMP2247) (0.642 COMP1139/COMP2232) (0.634 COMP153) (0.633 COMP1415) (0.627 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.625 COMP1554/COMP181) (0.622 COMP2240) (0.621 COMP994) (0.615 COMP2159/COMP767) (0.609 COMP594) (0.605 COMP1668/COMP2213/COMP2244/COMP523) (0.601 COMP2207/COMP2243) (0.600 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.596 COMP2235) (0.592 COMP2229) (0.590 COMP1152/COMP488/COMP538/COMP663) (0.584 COMP1104) (0.582 COMP158/COMP172) (0.580 COMP1245) (0.575 COMP1405/COMP367) (0.572 COMP55) (0.571 COMP2208) (0.567 COMP500) (0.557 COMP2210) (0.542 COMP1672/COMP22/COMP2214) (0.534 COMP2205/COMP2226) (0.533 COMP2230) (0.525 COMP2220) (0.524 COMP1408) (0.523 COMP43) (0.522 COMP2215) (0.507 COMP2233) (0.505 COMP621) (0.502 COMP2211) (0.499 COMP544) (0.496 COMP1400) (0.493 COMP141/COMP264/COMP547) (0.489 COMP521) (0.485 COMP2252) (0.484 COMP1525) (0.478 COMP1142) (0.475 COMP144/COMP19) (0.469 COMP9) (0.460 COMP2219) (0.456 COMP124/COMP2266) (0.448 COMP478/COMP499/COMP513/COMP518/COMP57) (0.446 COMP4) (0.439 COMP2239/COMP2254) (0.432 COMP2209) (0.427 COMP2227) (0.426 COMP113/COMP132/COMP142) (0.420 COMP2228) (0.413 COMP2222) (0.412 COMP2218) (0.398 COMP259) (0.396 COMP613) (0.370 COMP826) (0.368 COMP1165) (0.365 COMP2206) (0.361 COMP2224) (0.352 COMP2238) (0.342 COMP114/COMP131) (0.338 COMP110/COMP32) (0.327 COMP1156) (0.325 COMP2221) (0.309 COMP2204) (0.308 COMP2217) (0.307 COMP14) (0.288 COMP44) (0.254 COMP604)
