Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.939	COMP43	(0.933 COMP1672/COMP22) (0.928 COMP478/COMP499/COMP513/COMP518/COMP57) (0.880 COMP110) (0.858 COMP2202) (0.857 COMP2228) (0.825 COMP32) (0.806 COMP248) (0.803 COMP617) (0.790 COMP1166/COMP502) (0.788 COMP685) (0.725 COMP2/COMP2247) (0.714 COMP621) (0.669 COMP708) (0.654 COMP1151/COMP666) (0.639 COMP476) (0.638 COMP1152/COMP488/COMP538) (0.633 COMP2251) (0.623 COMP14) (0.580 COMP141/COMP264/COMP547/COMP663) (0.563 COMP2038) (0.553 COMP2246) (0.551 COMP500) (0.537 COMP826) (0.521 COMP30) (0.520 COMP994) (0.519 COMP2245) (0.500 COMP1668/COMP523) (0.490 COMP2250/COMP739) (0.489 COMP2216) (0.466 COMP2238) (0.423 COMP2249) (0.421 COMP26/COMP28/COMP40/COMP41) (0.408 COMP604) (0.400 COMP27) (0.399 COMP1254/COMP2210) (0.371 COMP302) (0.365 COMP119/COMP157/COMP160/COMP162/COMP169) (0.361 COMP767) (0.352 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.338 COMP2225/COMP2234/COMP2237/COMP287/COMP450/COMP649/COMP674) (0.332 COMP77) (0.325 COMP11/COMP8) (0.321 COMP594) (0.320 COMP2242) (0.315 COMP2226) (0.312 COMP285) (0.303 COMP2232) (0.302 COMP864/COMP878) (0.288 COMP2223) (0.285 COMP910) (0.283 COMP2235) (0.278 COMP1554/COMP181) (0.277 COMP144/COMP19) (0.270 COMP1245) (0.253 COMP2209) (0.243 COMP259) (0.237 COMP1775/COMP2256) (0.234 COMP2220) (0.197 COMP1156) (0.196 COMP2255) (0.193 COMP2205/COMP2229) (0.187 COMP2207/COMP2243) (0.185 COMP2206/COMP2248) (0.183 COMP55) (0.181 COMP1898) (0.176 COMP2241/COMP4) (0.175 COMP2204) (0.166 COMP2267) (0.162 COMP1258) (0.153 COMP1139) (0.152 COMP2208) (0.151 COMP521) (0.149 COMP901) (0.144 COMP158/COMP172) (0.139 COMP2240) (0.135 COMP1415) (0.134 COMP2211) (0.132 COMP2213/COMP2244/COMP34/COMP36) (0.130 COMP114/COMP131) (0.129 COMP2217) (0.127 COMP153) (0.124 COMP124/COMP1400/COMP2215) (0.122 COMP2239/COMP2254/COMP544) (0.121 COMP1405/COMP2222/COMP367) (0.118 COMP2259) (0.117 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.109 COMP2266) (0.108 COMP1408/COMP715) (0.106 COMP1142/COMP337)
Aldehyde dehydrogenase substrate	0.934	COMP478/COMP499/COMP513/COMP518/COMP57	(0.899 COMP14) (0.821 COMP43) (0.817 COMP2228) (0.809 COMP1672/COMP22) (0.729 COMP110) (0.700 COMP32) (0.497 COMP621) (0.422 COMP685) (0.362 COMP708) (0.354 COMP2/COMP2247) (0.351 COMP141/COMP264/COMP547) (0.346 COMP2246) (0.341 COMP604) (0.340 COMP2242) (0.327 COMP1152/COMP488/COMP538) (0.325 COMP2202) (0.322 COMP2251) (0.321 COMP1166/COMP502) (0.319 COMP2245) (0.316 COMP2238) (0.311 COMP26/COMP28/COMP40/COMP41) (0.309 COMP2216/COMP2250/COMP739) (0.308 COMP2249) (0.305 COMP663) (0.304 COMP30) (0.301 COMP27) (0.297 COMP1668/COMP523) (0.294 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.284 COMP617) (0.279 COMP248) (0.269 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.255 COMP500) (0.243 COMP1898) (0.234 COMP2232) (0.230 COMP2241) (0.226 COMP2038) (0.223 COMP2235) (0.216 COMP2223) (0.215 COMP864/COMP878) (0.212 COMP2217/COMP594) (0.211 COMP144/COMP19) (0.210 COMP1254/COMP994) (0.208 COMP2248) (0.198 COMP1139/COMP1151/COMP666) (0.197 COMP1104) (0.195 COMP259) (0.189 COMP2259/COMP55) (0.181 COMP826) (0.179 COMP1554/COMP181) (0.172 COMP1258) (0.170 COMP2207/COMP2213/COMP2243/COMP2244) (0.168 COMP2205) (0.167 COMP2240) (0.165 COMP1405/COMP367) (0.160 COMP2211) (0.159 COMP2220) (0.156 COMP1400) (0.149 COMP1525) (0.146 COMP11/COMP8) (0.143 COMP767) (0.142 COMP2215/COMP476) (0.140 COMP1408) (0.136 COMP910) (0.134 COMP1245) (0.132 COMP521) (0.129 COMP302) (0.126 COMP1415) (0.122 COMP119/COMP157/COMP160/COMP162/COMP169) (0.121 COMP2219) (0.119 COMP2204) (0.115 COMP158/COMP172/COMP2209) (0.111 COMP1156) (0.108 COMP34/COMP36) (0.099 COMP2230)
Aldehyde oxidase substrate	0.692	COMP14	(0.666 COMP32) (0.579 COMP2221) (0.390 COMP1898) (0.352 COMP2222) (0.347 COMP2211) (0.340 COMP1139/COMP2214) (0.334 COMP2228) (0.332 COMP478/COMP499/COMP513/COMP518/COMP521/COMP57) (0.323 COMP2227) (0.303 COMP2218/COMP2241) (0.289 COMP1408/COMP864/COMP878) (0.276 COMP2224) (0.269 COMP1142) (0.258 COMP994) (0.255 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.246 COMP1165) (0.242 COMP2223) (0.239 COMP9) (0.237 COMP617) (0.236 COMP2210) (0.234 COMP44) (0.223 COMP55) (0.222 COMP2219/COMP43) (0.220 COMP2220) (0.217 COMP767) (0.213 COMP500) (0.212 COMP1152/COMP488/COMP538/COMP604) (0.210 COMP745) (0.200 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.199 COMP2230) (0.198 COMP1672/COMP22/COMP2229) (0.196 COMP2242) (0.194 COMP248) (0.192 COMP2/COMP2202/COMP2247) (0.190 COMP663) (0.186 COMP26/COMP28/COMP40/COMP41) (0.183 COMP2038/COMP613) (0.181 COMP1554/COMP181/COMP2226) (0.180 COMP1245) (0.178 COMP621) (0.174 COMP2215) (0.173 COMP191) (0.171 COMP594) (0.167 COMP1415) (0.166 COMP27) (0.165 COMP1104) (0.158 COMP1151/COMP666) (0.156 COMP1156/COMP1166/COMP502/COMP544) (0.154 COMP2232) (0.152 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.149 COMP1254/COMP2204) (0.147 COMP2249) (0.143 COMP2251) (0.141 COMP2236/COMP2252) (0.140 COMP826) (0.139 COMP48/COMP715) (0.138 COMP2213/COMP2235/COMP2244) (0.136 COMP2217)
Aldose reductase substrate	0.992	COMP478/COMP499/COMP513/COMP518/COMP57	(0.976 COMP2228) (0.885 COMP14) (0.826 COMP43) (0.797 COMP1672/COMP22) (0.608 COMP663) (0.549 COMP1258) (0.482 COMP337) (0.398 COMP1274/COMP500/COMP508) (0.380 COMP2267) (0.358 COMP864/COMP878) (0.354 COMP1525) (0.344 COMP2159) (0.323 COMP994) (0.290 COMP1414) (0.269 COMP1245) (0.268 COMP767) (0.263 COMP2208/COMP2266) (0.258 COMP55) (0.252 COMP617) (0.248 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.238 COMP2217) (0.233 COMP594) (0.231 COMP826) (0.220 COMP2240) (0.218 COMP2241) (0.217 COMP1104) (0.214 COMP1152/COMP488/COMP538) (0.213 COMP1554/COMP181) (0.210 COMP2211) (0.202 COMP2233) (0.196 COMP2252) (0.194 COMP2/COMP2202/COMP2247/COMP26/COMP28/COMP40/COMP41) (0.193 COMP248) (0.189 COMP1139/COMP901) (0.187 COMP34/COMP36) (0.186 COMP2205) (0.182 COMP32) (0.180 COMP2226) (0.179 COMP27) (0.176 COMP2038) (0.174 COMP2230) (0.172 COMP2232) (0.165 COMP1166/COMP502) (0.162 COMP1408) (0.159 COMP2235) (0.158 COMP613) (0.155 COMP2255) (0.148 COMP2215) (0.145 COMP2223) (0.140 COMP2259) (0.139 COMP2209) (0.133 COMP287/COMP450) (0.125 COMP1411/COMP2212/COMP2231/COMP2253/COMP568)
Arylamine N-Acetyltransferase substrate	0.557	COMP2224	(0.500 COMP2218) (0.418 COMP27) (0.381 COMP26/COMP28/COMP40/COMP41) (0.318 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.296 COMP994) (0.265 COMP2214) (0.263 COMP864/COMP878) (0.262 COMP2211) (0.256 COMP2241) (0.240 COMP2215) (0.218 COMP1165) (0.215 COMP1139) (0.197 COMP1142) (0.194 COMP191/COMP2227) (0.190 COMP248) (0.188 COMP2222) (0.186 COMP767) (0.179 COMP1166/COMP502) (0.178 COMP1554/COMP181) (0.172 COMP55) (0.170 COMP617) (0.167 COMP2221) (0.166 COMP2223) (0.160 COMP1408) (0.150 COMP1898) (0.149 COMP2219) (0.142 COMP2038/COMP2210) (0.141 COMP2/COMP2202/COMP2247) (0.137 COMP521) (0.134 COMP44) (0.131 COMP1152/COMP488/COMP538) (0.130 COMP1415) (0.129 COMP1254) (0.125 COMP2229/COMP2230) (0.116 COMP2220) (0.114 COMP337/COMP48) (0.109 COMP2242) (0.105 COMP2233) (0.103 COMP32) (0.099 COMP43) (0.098 COMP1672/COMP22) (0.097 COMP745) (0.095 COMP1274/COMP1400/COMP508) (0.094 COMP9) (0.088 COMP2248) (0.085 COMP2251) (0.079 COMP2249) (0.077 COMP1151/COMP2225/COMP2234/COMP2237/COMP649/COMP666/COMP674) (0.070 COMP500) (0.066 COMP302)
CYP1A2 inhibitor	0.945	COMP48	(0.843 COMP191) (0.525 COMP2222) (0.478 COMP4) (0.425 COMP1274/COMP508) (0.392 COMP1139) (0.386 COMP745) (0.377 COMP337) (0.373 COMP1408) (0.366 COMP685) (0.355 COMP1156) (0.354 COMP2230) (0.341 COMP30) (0.339 COMP1165) (0.322 COMP14) (0.318 COMP2204) (0.305 COMP259) (0.300 COMP2248) (0.299 COMP715) (0.293 COMP826) (0.281 COMP2038) (0.277 COMP2224) (0.272 COMP1414/COMP2213/COMP2227/COMP2244) (0.267 COMP2211) (0.264 COMP476) (0.261 COMP1142) (0.259 COMP2207/COMP2243) (0.255 COMP2214) (0.254 COMP2218) (0.247 COMP1151/COMP666) (0.239 COMP521) (0.236 COMP1405/COMP2221/COMP367) (0.233 COMP32) (0.232 COMP2251) (0.221 COMP1254) (0.219 COMP2210) (0.214 COMP2220) (0.213 COMP708) (0.207 COMP1415) (0.200 COMP2241) (0.197 COMP1152/COMP488/COMP538) (0.196 COMP2215) (0.190 COMP2205) (0.186 COMP2229) (0.182 COMP43/COMP604) (0.180 COMP2219) (0.178 COMP27) (0.173 COMP9)
CYP1A2 substrate	0.935	COMP685	(0.912 COMP48) (0.903 COMP708) (0.837 COMP2250/COMP739) (0.829 COMP2246) (0.792 COMP4) (0.776 COMP2038) (0.766 COMP1274/COMP508) (0.764 COMP1166/COMP502) (0.758 COMP191) (0.733 COMP2224) (0.706 COMP715) (0.691 COMP14) (0.671 COMP521) (0.669 COMP248) (0.664 COMP621) (0.655 COMP30) (0.648 COMP2218) (0.644 COMP32) (0.625 COMP2245) (0.615 COMP43) (0.600 COMP27) (0.590 COMP1672/COMP22) (0.538 COMP617) (0.532 COMP26/COMP28/COMP40/COMP41) (0.517 COMP2251) (0.512 COMP1414) (0.500 COMP2241) (0.497 COMP1139) (0.495 COMP2229) (0.488 COMP1152/COMP488/COMP538) (0.487 COMP994) (0.485 COMP2230) (0.480 COMP745) (0.443 COMP2252) (0.440 COMP2202) (0.438 COMP1254) (0.432 COMP337) (0.431 COMP663) (0.430 COMP1151/COMP666/COMP864/COMP878) (0.428 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.426 COMP1408/COMP2222) (0.410 COMP2/COMP2247) (0.404 COMP2211) (0.399 COMP1142) (0.389 COMP1165/COMP9) (0.375 COMP2210) (0.374 COMP1411/COMP2212/COMP2231/COMP2253/COMP476/COMP568) (0.348 COMP767) (0.343 COMP2214) (0.342 COMP1554/COMP181/COMP478/COMP499/COMP513/COMP518/COMP57) (0.337 COMP500) (0.334 COMP2215) (0.330 COMP2159) (0.325 COMP2219) (0.318 COMP287/COMP450) (0.316 COMP901) (0.308 COMP1405/COMP367) (0.300 COMP2227) (0.297 COMP2226) (0.294 COMP2228) (0.293 COMP1400) (0.281 COMP2204) (0.277 COMP613) (0.273 COMP2220) (0.272 COMP2221) (0.269 COMP77) (0.266 COMP544) (0.265 COMP2248) (0.252 COMP259) (0.246 COMP604) (0.243 COMP1415) (0.240 COMP11/COMP8) (0.239 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.237 COMP55) (0.236 COMP285) (0.235 COMP141/COMP264/COMP547) (0.233 COMP2239/COMP2254) (0.232 COMP1898) (0.231 COMP1156) (0.230 COMP34/COMP36) (0.224 COMP2213/COMP2244) (0.218 COMP2223) (0.217 COMP144/COMP19) (0.210 COMP826) (0.208 COMP302) (0.207 COMP1258) (0.202 COMP2233/COMP2249) (0.198 COMP2232) (0.196 COMP2208) (0.195 COMP2240) (0.189 COMP2207/COMP2243) (0.187 COMP1525) (0.181 COMP158/COMP172/COMP594)
CYP24 inhibitor	0.070	COMP158/COMP172	(0.068 COMP124) (0.066 COMP287/COMP450) (0.060 COMP285/COMP77) (0.053 COMP153/COMP521) (0.049 COMP113/COMP132/COMP142) (0.043 COMP708) (0.038 COMP1775/COMP2255/COMP2256) (0.031 COMP2206) (0.027 COMP1408/COMP2245/COMP2250/COMP739) (0.025 COMP141/COMP264/COMP547) (0.024 COMP9) (0.023 COMP1142) (0.022 COMP2038) (0.021 COMP2211)
CYP2A6 inhibitor	0.390	COMP32	(0.329 COMP604) (0.268 COMP1156) (0.260 COMP2210) (0.257 COMP2204) (0.255 COMP1142) (0.252 COMP141/COMP264/COMP547) (0.246 COMP2221) (0.245 COMP259) (0.218 COMP2211) (0.205 COMP44/COMP476) (0.198 COMP2230) (0.196 COMP2222) (0.192 COMP4) (0.188 COMP2214) (0.183 COMP2251) (0.182 COMP1668/COMP302/COMP523) (0.173 COMP826) (0.171 COMP745) (0.168 COMP2218) (0.167 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.164 COMP9) (0.156 COMP1254) (0.155 COMP1165/COMP613) (0.150 COMP2229/COMP521/COMP621) (0.147 COMP1408) (0.145 COMP2224) (0.144 COMP2220) (0.140 COMP1151/COMP666) (0.135 COMP14) (0.127 COMP2226) (0.117 COMP2227) (0.115 COMP2219) (0.113 COMP544) (0.109 COMP191) (0.107 COMP767) (0.101 COMP119/COMP157/COMP160/COMP162/COMP169) (0.098 COMP2238) (0.093 COMP48) (0.091 COMP43/COMP478/COMP499/COMP513/COMP518/COMP57) (0.083 COMP994) (0.081 COMP617) (0.080 COMP1139/COMP1672/COMP22/COMP2252) (0.076 COMP248) (0.074 COMP11/COMP8) (0.073 COMP1014/COMP121/COMP1415/COMP16/COMP18/COMP266/COMP53/COMP54) (0.067 COMP158/COMP172/COMP2223) (0.066 COMP26/COMP28/COMP40/COMP41)
CYP2B6 inhibitor	0.646	COMP685	(0.543 COMP708) (0.528 COMP191) (0.449 COMP1254) (0.443 COMP2246) (0.430 COMP27) (0.424 COMP2222) (0.423 COMP259) (0.409 COMP1166/COMP502) (0.391 COMP26/COMP28/COMP40/COMP41) (0.381 COMP2251) (0.378 COMP2250/COMP739) (0.377 COMP1156) (0.374 COMP48) (0.369 COMP476) (0.367 COMP1152/COMP2038/COMP488/COMP538) (0.364 COMP1139) (0.353 COMP30) (0.350 COMP2202) (0.349 COMP141/COMP264/COMP302/COMP547) (0.342 COMP1408) (0.340 COMP2220) (0.338 COMP2245) (0.333 COMP2/COMP2247) (0.330 COMP1014/COMP121/COMP16/COMP18/COMP248/COMP266/COMP53/COMP54) (0.328 COMP2218) (0.327 COMP2230) (0.326 COMP2204) (0.325 COMP1668/COMP523) (0.322 COMP2211) (0.321 COMP1151/COMP666) (0.313 COMP663) (0.312 COMP2241) (0.309 COMP119/COMP157/COMP160/COMP162/COMP169) (0.307 COMP617) (0.304 COMP2248) (0.302 COMP2214) (0.295 COMP1672/COMP22) (0.292 COMP1142) (0.290 COMP500) (0.289 COMP2225/COMP2234/COMP2237/COMP43/COMP649/COMP674) (0.287 COMP994) (0.281 COMP2221) (0.279 COMP11/COMP8) (0.278 COMP521/COMP621) (0.277 COMP826) (0.275 COMP2249) (0.274 COMP2210) (0.272 COMP2224) (0.270 COMP1554/COMP181) (0.262 COMP2213/COMP2244) (0.260 COMP9) (0.257 COMP604) (0.256 COMP2215/COMP745) (0.255 COMP4) (0.250 COMP478/COMP499/COMP513/COMP518/COMP57) (0.244 COMP124) (0.243 COMP2232) (0.239 COMP1165/COMP144/COMP19/COMP594) (0.234 COMP544/COMP767) (0.232 COMP2226) (0.228 COMP2219) (0.226 COMP113/COMP132/COMP1415/COMP142/COMP158/COMP172) (0.225 COMP32) (0.222 COMP14) (0.221 COMP2240) (0.219 COMP2223/COMP2229) (0.217 COMP2207/COMP2235/COMP2243) (0.216 COMP2227) (0.210 COMP864/COMP878) (0.197 COMP153) (0.196 COMP2228/COMP715) (0.193 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.192 COMP1405/COMP367) (0.188 COMP1245) (0.185 COMP55) (0.179 COMP2236) (0.178 COMP1400) (0.171 COMP2238) (0.167 COMP613) (0.161 COMP114/COMP131) (0.160 COMP287/COMP450) (0.159 COMP1775/COMP2256) (0.156 COMP1414) (0.154 COMP2205) (0.153 COMP44) (0.152 COMP77) (0.151 COMP2233) (0.148 COMP110) (0.147 COMP2252)
