Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.750	COMP2249	(0.651 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.641 COMP2/COMP2247) (0.637 COMP9) (0.629 COMP2223) (0.623 COMP544) (0.615 COMP2232) (0.613 COMP1415) (0.600 COMP2252) (0.594 COMP1142) (0.578 COMP1152/COMP488/COMP538) (0.576 COMP2215) (0.567 COMP2235) (0.544 COMP2202) (0.518 COMP2219) (0.494 COMP2211) (0.488 COMP1151/COMP666) (0.480 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.472 COMP26/COMP28/COMP40/COMP41) (0.462 COMP1014/COMP121/COMP16/COMP18/COMP2210/COMP266/COMP53/COMP54) (0.445 COMP594) (0.441 COMP617) (0.420 COMP27) (0.409 COMP144/COMP19) (0.399 COMP114/COMP131) (0.392 COMP1245) (0.390 COMP2220) (0.389 COMP1408) (0.387 COMP767) (0.379 COMP158/COMP172) (0.378 COMP994) (0.377 COMP2226) (0.369 COMP141/COMP264/COMP547) (0.367 COMP2214/COMP2229) (0.364 COMP1165) (0.359 COMP1672/COMP22) (0.354 COMP663) (0.353 COMP478/COMP499/COMP513/COMP518/COMP57) (0.343 COMP1139) (0.341 COMP43) (0.331 COMP500) (0.317 COMP2227) (0.315 COMP2218) (0.314 COMP2230) (0.313 COMP2251) (0.311 COMP2233) (0.309 COMP2038/COMP2241) (0.305 COMP613/COMP901) (0.301 COMP1166/COMP502) (0.295 COMP521) (0.293 COMP32) (0.280 COMP2224) (0.277 COMP2221) (0.274 COMP476) (0.265 COMP55) (0.263 COMP248) (0.251 COMP864/COMP878) (0.240 COMP2222) (0.236 COMP110) (0.232 COMP14) (0.231 COMP2228/COMP30) (0.230 COMP1554/COMP181) (0.228 COMP2248) (0.227 COMP2213/COMP2244) (0.214 COMP153) (0.206 COMP1258) (0.202 COMP259) (0.200 COMP1156) (0.199 COMP113/COMP132/COMP142/COMP4) (0.198 COMP44) (0.196 COMP2239/COMP2254) (0.187 COMP2238) (0.184 COMP2204) (0.180 COMP1668/COMP191/COMP523) (0.171 COMP1254) (0.167 COMP621) (0.166 COMP124) (0.164 COMP826) (0.161 COMP2207/COMP2243) (0.143 COMP1274/COMP508) (0.136 COMP685) (0.126 COMP708) (0.124 COMP604) (0.123 COMP48) (0.117 COMP302) (0.115 COMP337) (0.113 COMP2236) (0.111 COMP2240) (0.109 COMP11/COMP8)
Acetylcholine release stimulant	0.318	COMP2225/COMP2234/COMP2237/COMP649/COMP674	(0.207 COMP1408) (0.205 COMP2223) (0.199 COMP2221) (0.192 COMP1152/COMP2214/COMP488/COMP538) (0.191 COMP2211) (0.184 COMP1151/COMP666) (0.183 COMP2249) (0.176 COMP594) (0.175 COMP2222) (0.173 COMP2232) (0.172 COMP1165) (0.168 COMP2218) (0.167 COMP1142) (0.165 COMP2224) (0.164 COMP2220) (0.163 COMP2219) (0.158 COMP2235) (0.157 COMP2210) (0.156 COMP1139) (0.152 COMP521) (0.150 COMP1245) (0.149 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.145 COMP9) (0.144 COMP259) (0.142 COMP1400/COMP994) (0.140 COMP1405/COMP367/COMP745) (0.138 COMP2227) (0.134 COMP663) (0.133 COMP1156/COMP2215/COMP2229) (0.132 COMP14/COMP2/COMP2247) (0.131 COMP478/COMP499/COMP513/COMP518/COMP57) (0.130 COMP617) (0.128 COMP2213/COMP2244) (0.127 COMP2226/COMP500) (0.126 COMP32) (0.125 COMP114/COMP131) (0.124 COMP2204/COMP26/COMP28/COMP40/COMP41) (0.122 COMP476) (0.118 COMP2038/COMP248) (0.117 COMP2202) (0.114 COMP767) (0.113 COMP2236) (0.112 COMP113/COMP132/COMP1415/COMP142/COMP27) (0.111 COMP2241) (0.108 COMP2230) (0.107 COMP1672/COMP22/COMP613) (0.105 COMP43/COMP544) (0.103 COMP2248) (0.102 COMP1166/COMP502/COMP604) (0.100 COMP124) (0.097 COMP2228)
Actinic keratosis treatment	0.545	COMP2246	(0.539 COMP708) (0.516 COMP685) (0.513 COMP2250/COMP739) (0.422 COMP287/COMP450) (0.404 COMP2245) (0.383 COMP77) (0.293 COMP30) (0.291 COMP621) (0.284 COMP141/COMP264/COMP547) (0.275 COMP285) (0.256 COMP2249) (0.254 COMP2251) (0.253 COMP1415/COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.251 COMP144/COMP19) (0.249 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.248 COMP715) (0.240 COMP26/COMP28/COMP40/COMP41) (0.231 COMP114/COMP131) (0.229 COMP124) (0.227 COMP994) (0.222 COMP2223/COMP2241) (0.221 COMP27) (0.218 COMP1525/COMP9) (0.217 COMP594) (0.210 COMP1554/COMP181) (0.198 COMP2232) (0.193 COMP2215) (0.189 COMP32) (0.186 COMP617) (0.184 COMP1668/COMP523) (0.182 COMP767) (0.181 COMP2219/COMP544) (0.180 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.179 COMP1142/COMP1245) (0.178 COMP153/COMP2235) (0.177 COMP1151/COMP666) (0.176 COMP55/COMP910) (0.175 COMP1152/COMP488/COMP538) (0.174 COMP113/COMP132/COMP142) (0.173 COMP1414) (0.172 COMP2/COMP2202/COMP2247) (0.168 COMP2255) (0.165 COMP663) (0.163 COMP613) (0.162 COMP191) (0.161 COMP864/COMP878) (0.159 COMP2238) (0.157 COMP2239/COMP2254) (0.155 COMP2211) (0.152 COMP2220) (0.150 COMP1166/COMP502) (0.149 COMP2210) (0.148 COMP158/COMP172) (0.143 COMP48) (0.141 COMP1104) (0.140 COMP1775/COMP2256) (0.139 COMP2038/COMP337) (0.137 COMP2226) (0.136 COMP2252) (0.135 COMP1258/COMP476) (0.132 COMP500) (0.131 COMP2159) (0.129 COMP2233) (0.125 COMP2230) (0.118 COMP248) (0.117 COMP2229) (0.113 COMP1254) (0.108 COMP1274/COMP508) (0.107 COMP1139/COMP1165/COMP2218) (0.105 COMP110/COMP1408) (0.104 COMP521) (0.102 COMP2214/COMP2224/COMP478/COMP499/COMP513/COMP518/COMP57) (0.100 COMP2204) (0.096 COMP11/COMP1672/COMP22/COMP2222/COMP34/COMP36/COMP8) (0.095 COMP259/COMP43) (0.094 COMP2227/COMP826) (0.090 COMP2228) (0.089 COMP44) (0.088 COMP901) (0.087 COMP2221) (0.086 COMP1156/COMP14) (0.083 COMP2208) (0.082 COMP1400)
Acute neurologic disorders treatment	0.838	COMP34/COMP36	(0.828 COMP767) (0.759 COMP901) (0.590 COMP1554/COMP181) (0.470 COMP864/COMP878) (0.454 COMP1898) (0.440 COMP2224) (0.421 COMP2218) (0.419 COMP43) (0.413 COMP1672/COMP22) (0.396 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.377 COMP26/COMP28/COMP40/COMP41) (0.349 COMP2241) (0.343 COMP14) (0.339 COMP27) (0.326 COMP663) (0.325 COMP2252) (0.312 COMP2228) (0.305 COMP119/COMP157/COMP160/COMP162/COMP169) (0.298 COMP478/COMP499/COMP513/COMP518/COMP57) (0.296 COMP1165) (0.291 COMP617) (0.290 COMP124) (0.264 COMP1415) (0.262 COMP114/COMP131) (0.254 COMP11/COMP8) (0.252 COMP476) (0.240 COMP994) (0.235 COMP1104) (0.230 COMP2211) (0.224 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.200 COMP2249) (0.198 COMP1152/COMP488/COMP538) (0.194 COMP2223) (0.184 COMP2217) (0.162 COMP2/COMP2236/COMP2247)
Acute respiratory distress syndrome (ARDS) treatment	0.429	COMP2267	(0.402 COMP11/COMP8) (0.398 COMP910) (0.375 COMP1104) (0.368 COMP1258) (0.359 COMP119/COMP157/COMP160/COMP162/COMP169) (0.353 COMP2217) (0.343 COMP1274/COMP508) (0.336 COMP337) (0.303 COMP27) (0.280 COMP1525/COMP617) (0.269 COMP2208) (0.259 COMP2266) (0.250 COMP2249) (0.243 COMP26/COMP28/COMP40/COMP41) (0.241 COMP663) (0.235 COMP2/COMP2247) (0.234 COMP1151/COMP666) (0.230 COMP2252) (0.218 COMP55) (0.215 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.209 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.202 COMP2255) (0.201 COMP2223) (0.196 COMP1166/COMP502) (0.188 COMP594) (0.181 COMP2202) (0.180 COMP285) (0.177 COMP1152/COMP476/COMP488/COMP538) (0.166 COMP9) (0.162 COMP500) (0.156 COMP287/COMP450/COMP994) (0.152 COMP77) (0.151 COMP248) (0.150 COMP1775/COMP2256) (0.141 COMP1245) (0.134 COMP864/COMP878) (0.133 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.130 COMP1898) (0.129 COMP1414/COMP2241) (0.128 COMP1400/COMP767) (0.127 COMP2232) (0.126 COMP2235) (0.123 COMP2222)
Age-related macular degeneration treatment	0.527	COMP685	(0.405 COMP708) (0.342 COMP2214) (0.330 COMP2246) (0.324 COMP521) (0.307 COMP2245) (0.291 COMP30) (0.287 COMP2250/COMP739) (0.284 COMP2257) (0.275 COMP2242) (0.265 COMP2216) (0.263 COMP9) (0.258 COMP2241) (0.256 COMP621) (0.249 COMP1142/COMP2251) (0.242 COMP2218) (0.240 COMP745) (0.239 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.217 COMP2229) (0.213 COMP2224) (0.199 COMP1139) (0.197 COMP1408) (0.190 COMP2222) (0.189 COMP287/COMP450) (0.185 COMP26/COMP28/COMP40/COMP41) (0.184 COMP2227) (0.182 COMP1152/COMP1405/COMP367/COMP488/COMP538) (0.179 COMP2211/COMP994) (0.178 COMP77) (0.168 COMP2219) (0.167 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.164 COMP2213/COMP2244) (0.163 COMP27)
Allergic rhinitis treatment	0.330	COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54	(0.265 COMP26/COMP28/COMP40/COMP41) (0.176 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.161 COMP27) (0.158 COMP2241) (0.127 COMP1245) (0.122 COMP994) (0.113 COMP1152/COMP488/COMP538) (0.108 COMP55)
Alzheimer's disease treatment	0.763	COMP1740/COMP1741/COMP2258	(0.750 COMP2255) (0.747 COMP1775/COMP2256) (0.688 COMP621) (0.655 COMP2221) (0.634 COMP2257) (0.600 COMP285) (0.599 COMP2266) (0.596 COMP2259) (0.573 COMP1165) (0.560 COMP34/COMP36) (0.558 COMP1274/COMP508) (0.535 COMP2226) (0.524 COMP715) (0.509 COMP2159) (0.504 COMP191) (0.502 COMP48) (0.456 COMP337) (0.455 COMP1414) (0.447 COMP901) (0.438 COMP1258) (0.428 COMP77) (0.421 COMP476/COMP544) (0.400 COMP745) (0.380 COMP2251) (0.371 COMP910) (0.351 COMP30) (0.342 COMP617) (0.326 COMP153) (0.313 COMP287/COMP450) (0.308 COMP141/COMP264/COMP547) (0.305 COMP2228) (0.291 COMP2222) (0.288 COMP2233) (0.287 COMP1411/COMP144/COMP19/COMP2212/COMP2231/COMP2253/COMP568) (0.279 COMP663) (0.276 COMP1405/COMP367) (0.267 COMP2/COMP2247) (0.262 COMP685) (0.247 COMP158/COMP172) (0.240 COMP2240) (0.236 COMP1151/COMP666)
Amyotrophic lateral sclerosis treatment	0.709	COMP287/COMP450	(0.701 COMP285) (0.685 COMP77) (0.430 COMP34/COMP36) (0.346 COMP476) (0.337 COMP2223) (0.310 COMP1165) (0.307 COMP1151/COMP666) (0.289 COMP2236) (0.285 COMP745) (0.279 COMP2222) (0.257 COMP2221/COMP663) (0.256 COMP994) (0.235 COMP2211) (0.229 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.227 COMP119/COMP157/COMP160/COMP162/COMP169) (0.225 COMP1415) (0.210 COMP767) (0.207 COMP2210) (0.205 COMP594) (0.202 COMP2249) (0.200 COMP1142) (0.199 COMP2218) (0.195 COMP910) (0.194 COMP141/COMP264/COMP547) (0.193 COMP2219) (0.190 COMP27/COMP9) (0.189 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.186 COMP521) (0.183 COMP1152/COMP488/COMP538) (0.181 COMP1898) (0.180 COMP500) (0.179 COMP11/COMP8) (0.175 COMP26/COMP28/COMP40/COMP41) (0.172 COMP48) (0.171 COMP302) (0.169 COMP2/COMP2247)
Anabolic	0.216	COMP287/COMP450	(0.213 COMP77) (0.212 COMP285) (0.192 COMP2229/COMP27) (0.191 COMP476) (0.190 COMP11/COMP8) (0.189 COMP1151/COMP666) (0.187 COMP26/COMP28/COMP40/COMP41) (0.186 COMP124/COMP2252) (0.183 COMP153) (0.182 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.180 COMP119/COMP157/COMP160/COMP162/COMP169) (0.176 COMP910) (0.175 COMP1166/COMP502) (0.174 COMP113/COMP1254/COMP132/COMP142/COMP2220) (0.173 COMP259) (0.171 COMP144/COMP1668/COMP19/COMP2249/COMP523) (0.170 COMP110/COMP2209/COMP617) (0.169 COMP2206/COMP2225/COMP2234/COMP2237/COMP302/COMP649/COMP674) (0.168 COMP2210/COMP2241/COMP767) (0.167 COMP1152/COMP488/COMP538) (0.166 COMP2/COMP2202/COMP2246/COMP2247/COMP621) (0.165 COMP2223) (0.164 COMP1411/COMP2212/COMP2231/COMP2253/COMP248/COMP568) (0.163 COMP141/COMP264/COMP547/COMP55) (0.162 COMP1415) (0.161 COMP2211) (0.160 COMP994) (0.159 COMP1672/COMP22/COMP2204/COMP32) (0.157 COMP2233/COMP2239/COMP2254/COMP43) (0.156 COMP114/COMP131/COMP1775/COMP2256) (0.155 COMP1142/COMP158/COMP172) (0.154 COMP2226/COMP478/COMP499/COMP513/COMP518/COMP57/COMP613/COMP715) (0.153 COMP521/COMP708/COMP864/COMP878) (0.152 COMP2215) (0.151 COMP2232) (0.149 COMP1525) (0.148 COMP594) (0.147 COMP191/COMP30/COMP901) (0.146 COMP1156/COMP544/COMP604) (0.145 COMP2235) (0.143 COMP1165/COMP2038) (0.142 COMP2230) (0.141 COMP2214/COMP500) (0.140 COMP1408/COMP1554/COMP181/COMP2219) (0.139 COMP1139/COMP2251/COMP663/COMP826) (0.138 COMP2218/COMP9) (0.136 COMP2208) (0.134 COMP2238) (0.133 COMP2222/COMP48) (0.131 COMP1245) (0.130 COMP14/COMP2228/COMP2250/COMP739) (0.127 COMP685) (0.124 COMP2227) (0.123 COMP2245) (0.120 COMP2221/COMP2255) (0.117 COMP2224) (0.114 COMP2248/COMP34/COMP36) (0.109 COMP44) (0.108 COMP1400) (0.106 COMP2213/COMP2244) (0.096 COMP1258/COMP1274/COMP4/COMP508) (0.093 COMP1414) (0.091 COMP1104)
