Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.566 COMP285) (0.565 COMP287/COMP450) (0.555 COMP910) (0.544 COMP26/COMP28/COMP40/COMP41) (0.541 COMP11/COMP8) (0.540 COMP119/COMP157/COMP160/COMP162/COMP169) (0.530 COMP27) (0.519 COMP1166/COMP502) (0.507 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.484 COMP617) (0.478 COMP663) (0.476 COMP994) (0.473 COMP2238) (0.472 COMP594) (0.470 COMP2223) (0.469 COMP248) (0.465 COMP1152/COMP488/COMP500/COMP538) (0.462 COMP2249) (0.460 COMP2202/COMP2209) (0.456 COMP34/COMP36) (0.455 COMP2038) (0.454 COMP1668/COMP523) (0.453 COMP2/COMP2247) (0.452 COMP1411/COMP2212/COMP2225/COMP2231/COMP2234/COMP2237/COMP2253/COMP568/COMP649/COMP674) (0.448 COMP1554/COMP181) (0.442 COMP124) (0.441 COMP864/COMP878) (0.435 COMP2246) (0.434 COMP259/COMP476) (0.432 COMP55) (0.426 COMP113/COMP132/COMP142) (0.424 COMP1775/COMP2256) (0.422 COMP2235) (0.420 COMP2208) (0.419 COMP110) (0.418 COMP1245) (0.417 COMP1672/COMP22) (0.411 COMP1254) (0.410 COMP2232/COMP302) (0.407 COMP708) (0.406 COMP2229) (0.405 COMP141/COMP264/COMP547) (0.402 COMP43) (0.399 COMP2255) (0.394 COMP2241) (0.390 COMP2215/COMP767) (0.389 COMP1151/COMP666) (0.382 COMP2220) (0.378 COMP2204) (0.375 COMP521) (0.373 COMP2219) (0.368 COMP2251) (0.367 COMP2211) (0.366 COMP1408) (0.364 COMP4) (0.361 COMP1139/COMP2226/COMP685) (0.358 COMP2228/COMP478/COMP499/COMP513/COMP518/COMP57) (0.354 COMP2210) (0.349 COMP2206) (0.337 COMP826) (0.334 COMP153) (0.328 COMP30) (0.327 COMP114/COMP1142/COMP131/COMP2250/COMP739) (0.323 COMP144/COMP19) (0.321 COMP2239/COMP2254) (0.319 COMP613) (0.318 COMP715) (0.311 COMP2248) (0.306 COMP2245) (0.304 COMP2205) (0.300 COMP621) (0.299 COMP1156) (0.283 COMP1165) (0.270 COMP2240) (0.263 COMP2221) (0.260 COMP2214) (0.259 COMP158/COMP172) (0.252 COMP191) (0.247 COMP1415) (0.245 COMP2207/COMP2243) (0.240 COMP2222) (0.234 COMP14) (0.233 COMP2218) (0.232 COMP9) (0.230 COMP32) (0.229 COMP2233) (0.228 COMP2230) (0.227 COMP901) (0.225 COMP2213/COMP2244/COMP604) (0.222 COMP2252) (0.217 COMP1400) (0.216 COMP2227) (0.205 COMP544) (0.201 COMP48) (0.199 COMP2224) (0.175 COMP1405/COMP367) (0.163 COMP2236) (0.161 COMP1258) (0.148 COMP44)
Carcinogenic	0.944	COMP285	(0.925 COMP77) (0.924 COMP119/COMP157/COMP160/COMP162/COMP169) (0.912 COMP2246) (0.910 COMP708) (0.907 COMP1274/COMP508) (0.899 COMP901) (0.890 COMP11/COMP2267/COMP8) (0.867 COMP302) (0.853 COMP337) (0.851 COMP287/COMP450) (0.830 COMP2250/COMP739) (0.820 COMP1258) (0.818 COMP1414) (0.816 COMP1254) (0.814 COMP685) (0.812 COMP1672/COMP22) (0.802 COMP43) (0.753 COMP48) (0.750 COMP715) (0.748 COMP27) (0.743 COMP2159) (0.736 COMP1166/COMP502) (0.735 COMP34/COMP36) (0.731 COMP478/COMP499/COMP513/COMP518/COMP57) (0.718 COMP2251) (0.713 COMP2245) (0.708 COMP26/COMP28/COMP40/COMP41) (0.704 COMP476) (0.699 COMP2238) (0.698 COMP1775/COMP2256) (0.693 COMP55) (0.675 COMP191) (0.671 COMP141/COMP264/COMP547) (0.668 COMP30) (0.657 COMP1668/COMP523) (0.649 COMP2223) (0.647 COMP617) (0.637 COMP248) (0.632 COMP2224) (0.626 COMP2252) (0.616 COMP2038) (0.614 COMP2249) (0.609 COMP113/COMP132/COMP142) (0.608 COMP2202) (0.605 COMP864/COMP878) (0.602 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.571 COMP2225/COMP2234/COMP2237/COMP594/COMP649/COMP674) (0.566 COMP1152/COMP488/COMP538) (0.561 COMP994) (0.559 COMP1151/COMP2/COMP2247/COMP666) (0.550 COMP521) (0.542 COMP2218) (0.532 COMP110) (0.531 COMP2255) (0.516 COMP1245) (0.512 COMP2235) (0.510 COMP663) (0.503 COMP500) (0.499 COMP910) (0.497 COMP124) (0.489 COMP1415/COMP158/COMP172) (0.474 COMP2232) (0.464 COMP2228) (0.458 COMP604) (0.457 COMP2208) (0.456 COMP32) (0.455 COMP2220) (0.451 COMP4) (0.450 COMP621) (0.449 COMP2229) (0.444 COMP2230) (0.436 COMP613) (0.429 COMP826) (0.422 COMP114/COMP131/COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.416 COMP2241) (0.370 COMP2206) (0.364 COMP1525) (0.363 COMP767) (0.329 COMP153) (0.325 COMP1142) (0.319 COMP2215) (0.315 COMP2210) (0.305 COMP2211) (0.303 COMP1554/COMP181) (0.298 COMP1139) (0.284 COMP2239/COMP2254) (0.283 COMP9) (0.256 COMP14) (0.251 COMP1156) (0.248 COMP144/COMP19) (0.244 COMP2209) (0.242 COMP2214) (0.238 COMP2233) (0.236 COMP2226) (0.230 COMP2219) (0.220 COMP2266) (0.217 COMP259) (0.214 COMP544) (0.211 COMP2227) (0.207 COMP2217) (0.202 COMP1408) (0.197 COMP1104) (0.185 COMP2221) (0.184 COMP1165) (0.173 COMP44) (0.169 COMP2204) (0.160 COMP2222) (0.157 COMP2205) (0.147 COMP2207/COMP2243) (0.143 COMP2248) (0.128 COMP1400)
Carcinogenic. group 1	0.866	COMP2218	(0.665 COMP2224) (0.592 COMP2211) (0.519 COMP1408) (0.473 COMP1139) (0.461 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.460 COMP864/COMP878) (0.452 COMP2230) (0.448 COMP248) (0.447 COMP521) (0.441 COMP26/COMP28/COMP40/COMP41) (0.435 COMP994) (0.412 COMP1142) (0.406 COMP613) (0.404 COMP2227) (0.398 COMP2241) (0.395 COMP826) (0.393 COMP27) (0.392 COMP2214/COMP2219) (0.383 COMP1152/COMP488/COMP538) (0.378 COMP2/COMP2202/COMP2247) (0.370 COMP32) (0.369 COMP617) (0.357 COMP1166/COMP4/COMP502) (0.356 COMP14) (0.353 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.350 COMP2220) (0.341 COMP1156/COMP2210/COMP337) (0.337 COMP663) (0.333 COMP2204/COMP2215) (0.329 COMP2221) (0.328 COMP55) (0.327 COMP1554/COMP181) (0.315 COMP1165) (0.314 COMP767) (0.311 COMP500) (0.298 COMP604) (0.292 COMP1411/COMP2038/COMP2212/COMP2231/COMP2253/COMP568) (0.291 COMP259/COMP9) (0.289 COMP2223) (0.285 COMP43) (0.282 COMP1258) (0.281 COMP2249) (0.280 COMP2251) (0.279 COMP2229) (0.278 COMP2226) (0.277 COMP1254) (0.274 COMP2252) (0.273 COMP191) (0.271 COMP2232) (0.270 COMP901) (0.268 COMP48) (0.267 COMP478/COMP499/COMP513/COMP518/COMP57) (0.266 COMP594) (0.263 COMP2228) (0.261 COMP2159) (0.257 COMP1672/COMP22) (0.254 COMP1151/COMP666) (0.245 COMP1245/COMP1274/COMP2235/COMP508) (0.232 COMP2222) (0.228 COMP544) (0.226 COMP302) (0.225 COMP1415) (0.217 COMP1414) (0.216 COMP44) (0.208 COMP2233) (0.204 COMP476) (0.195 COMP141/COMP264/COMP547) (0.191 COMP11/COMP1104/COMP8) (0.176 COMP715) (0.167 COMP110) (0.165 COMP2239/COMP2254) (0.164 COMP2238) (0.163 COMP113/COMP132/COMP142) (0.162 COMP119/COMP157/COMP160/COMP162/COMP169) (0.160 COMP1400) (0.158 COMP114/COMP131/COMP2236) (0.157 COMP144/COMP19) (0.151 COMP124) (0.148 COMP158/COMP172) (0.143 COMP621) (0.139 COMP1668/COMP523/COMP745) (0.133 COMP1525) (0.131 COMP1405/COMP367)
Carcinogenic. group 2A	0.687	COMP2218	(0.500 COMP2211) (0.498 COMP2224) (0.341 COMP1408) (0.338 COMP521) (0.334 COMP1142) (0.275 COMP2214) (0.271 COMP2219) (0.269 COMP2227) (0.264 COMP32) (0.261 COMP1139) (0.256 COMP1525) (0.246 COMP2210/COMP613) (0.242 COMP4) (0.237 COMP2221) (0.236 COMP826) (0.235 COMP994) (0.232 COMP1254) (0.227 COMP1104) (0.224 COMP2252/COMP248) (0.222 COMP1165) (0.219 COMP2229) (0.214 COMP2230) (0.209 COMP1156) (0.203 COMP1258) (0.199 COMP14) (0.195 COMP337) (0.191 COMP2/COMP2202/COMP2247) (0.189 COMP302) (0.188 COMP2251) (0.187 COMP2220/COMP9) (0.186 COMP2215) (0.185 COMP604) (0.183 COMP1166/COMP502) (0.180 COMP901) (0.177 COMP1152/COMP488/COMP538) (0.176 COMP2038) (0.174 COMP2217) (0.170 COMP2226) (0.166 COMP500) (0.165 COMP2204/COMP2233) (0.161 COMP2159) (0.159 COMP767) (0.152 COMP2222) (0.151 COMP44) (0.148 COMP11/COMP663/COMP8) (0.145 COMP478/COMP499/COMP513/COMP518/COMP57) (0.140 COMP43) (0.137 COMP617) (0.134 COMP2228/COMP2267) (0.133 COMP1415) (0.132 COMP1151/COMP666) (0.128 COMP476) (0.127 COMP544) (0.125 COMP1554/COMP181) (0.122 COMP1014/COMP114/COMP121/COMP131/COMP1414/COMP16/COMP1672/COMP18/COMP22/COMP266/COMP53/COMP54) (0.118 COMP1274/COMP508/COMP55) (0.117 COMP864/COMP878) (0.111 COMP119/COMP157/COMP160/COMP162/COMP169) (0.106 COMP141/COMP264/COMP547) (0.103 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.099 COMP110/COMP26/COMP28/COMP40/COMP41) (0.096 COMP715) (0.093 COMP1245/COMP259) (0.091 COMP113/COMP132/COMP142) (0.087 COMP2223) (0.086 COMP191) (0.083 COMP2249) (0.082 COMP27) (0.081 COMP2238) (0.078 COMP2239/COMP2254) (0.077 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.076 COMP124/COMP621)
Carcinogenic. group 2B	0.767	COMP2224	(0.718 COMP113/COMP132/COMP142) (0.714 COMP2252) (0.702 COMP2218) (0.666 COMP521) (0.511 COMP2229) (0.474 COMP604) (0.408 COMP4) (0.403 COMP1258) (0.402 COMP994) (0.396 COMP2211) (0.395 COMP1156) (0.387 COMP1142) (0.385 COMP826) (0.370 COMP2204) (0.365 COMP32) (0.356 COMP1254) (0.344 COMP302) (0.337 COMP1139) (0.336 COMP613) (0.334 COMP14) (0.328 COMP191/COMP337) (0.313 COMP1166/COMP502) (0.304 COMP248) (0.298 COMP2038) (0.295 COMP1408) (0.294 COMP1525) (0.286 COMP617) (0.278 COMP1415) (0.277 COMP2251) (0.261 COMP2227) (0.259 COMP2230) (0.257 COMP478/COMP499/COMP513/COMP518/COMP57) (0.253 COMP1274/COMP508) (0.235 COMP55) (0.231 COMP1165/COMP124) (0.229 COMP864/COMP878) (0.228 COMP43) (0.226 COMP48) (0.217 COMP2241) (0.214 COMP2214) (0.212 COMP2210) (0.211 COMP11/COMP8) (0.209 COMP2228) (0.205 COMP2223) (0.203 COMP1014/COMP1152/COMP121/COMP16/COMP18/COMP259/COMP266/COMP488/COMP53/COMP538/COMP54) (0.199 COMP1672/COMP22) (0.198 COMP767) (0.197 COMP2215/COMP2233) (0.194 COMP1414) (0.193 COMP2/COMP2202/COMP2247) (0.187 COMP2222) (0.183 COMP1554/COMP181/COMP9) (0.181 COMP2220) (0.170 COMP2221/COMP663) (0.168 COMP500) (0.166 COMP1245) (0.162 COMP114/COMP131) (0.161 COMP26/COMP28/COMP40/COMP41) (0.158 COMP2159) (0.155 COMP119/COMP157/COMP160/COMP162/COMP169) (0.153 COMP2219) (0.152 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.151 COMP901) (0.148 COMP44) (0.145 COMP141/COMP264/COMP547) (0.143 COMP621) (0.139 COMP2226) (0.135 COMP27) (0.132 COMP745) (0.130 COMP2267) (0.126 COMP153) (0.124 COMP1151/COMP666) (0.117 COMP715) (0.113 COMP476) (0.112 COMP144/COMP19/COMP2249) (0.108 COMP544) (0.103 COMP594) (0.088 COMP110/COMP2232) (0.087 COMP158/COMP172)
Carcinogenic. group 3	0.793	COMP2224	(0.772 COMP141/COMP264/COMP547) (0.751 COMP48) (0.739 COMP1672/COMP22) (0.738 COMP43) (0.726 COMP2218) (0.721 COMP478/COMP499/COMP513/COMP518/COMP521/COMP57) (0.697 COMP604) (0.565 COMP613) (0.544 COMP1156) (0.539 COMP2252) (0.533 COMP191) (0.530 COMP2229) (0.527 COMP2038) (0.501 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.492 COMP1142) (0.454 COMP26/COMP28/COMP40/COMP41) (0.451 COMP2230) (0.449 COMP994) (0.441 COMP2223) (0.431 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.419 COMP2228) (0.406 COMP2211) (0.391 COMP1668/COMP523) (0.389 COMP1415) (0.388 COMP1166/COMP502) (0.387 COMP1274/COMP508) (0.383 COMP2249) (0.381 COMP27) (0.378 COMP248) (0.363 COMP826) (0.357 COMP2210) (0.355 COMP767) (0.352 COMP2227) (0.349 COMP1245) (0.348 COMP2159) (0.347 COMP1152/COMP488/COMP538) (0.344 COMP32) (0.343 COMP1414) (0.336 COMP2219) (0.332 COMP14) (0.328 COMP594) (0.322 COMP9) (0.309 COMP2238) (0.307 COMP663) (0.302 COMP2251/COMP337) (0.300 COMP302/COMP617) (0.298 COMP864/COMP878) (0.297 COMP2215) (0.291 COMP1139) (0.286 COMP1151/COMP666) (0.283 COMP2204) (0.280 COMP259) (0.274 COMP11/COMP8) (0.268 COMP1254) (0.266 COMP1258) (0.265 COMP2/COMP2202/COMP2235/COMP2247) (0.264 COMP1408) (0.252 COMP144/COMP19) (0.248 COMP4) (0.246 COMP2226) (0.243 COMP2220) (0.242 COMP2232) (0.240 COMP77) (0.237 COMP1554/COMP181/COMP2241) (0.235 COMP544) (0.233 COMP2214) (0.229 COMP158/COMP172) (0.225 COMP287/COMP450) (0.222 COMP500) (0.220 COMP2222) (0.219 COMP2233) (0.218 COMP1165) (0.217 COMP476) (0.205 COMP55) (0.183 COMP114/COMP131) (0.178 COMP153) (0.175 COMP119/COMP157/COMP160/COMP162/COMP169/COMP715) (0.166 COMP2221/COMP44) (0.162 COMP901) (0.148 COMP113/COMP132/COMP142) (0.144 COMP124) (0.142 COMP621) (0.134 COMP2239/COMP2254) (0.114 COMP1898/COMP2206/COMP285) (0.111 COMP1400) (0.110 COMP30) (0.108 COMP2209) (0.097 COMP2257)
Cardiodepressant	0.734	COMP4	(0.558 COMP1104) (0.509 COMP1166/COMP2225/COMP2234/COMP2237/COMP502/COMP649/COMP674) (0.507 COMP663) (0.498 COMP2241) (0.496 COMP617) (0.482 COMP1152/COMP488/COMP538) (0.475 COMP1139) (0.473 COMP1415/COMP248) (0.468 COMP594) (0.463 COMP2223) (0.435 COMP2240) (0.415 COMP2214) (0.414 COMP864/COMP878) (0.413 COMP500) (0.412 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.409 COMP2232) (0.407 COMP2213/COMP2244) (0.405 COMP1245) (0.400 COMP1408) (0.399 COMP2215) (0.394 COMP287/COMP450) (0.387 COMP2219) (0.374 COMP521) (0.373 COMP2211) (0.364 COMP2235) (0.357 COMP77) (0.354 COMP1142) (0.352 COMP2217) (0.348 COMP259) (0.346 COMP2249) (0.342 COMP191/COMP2210) (0.341 COMP1151/COMP666) (0.337 COMP55) (0.334 COMP2038) (0.329 COMP1405/COMP2218/COMP367/COMP48) (0.321 COMP715) (0.316 COMP26/COMP28/COMP40/COMP41) (0.315 COMP2229) (0.313 COMP2226) (0.309 COMP767) (0.307 COMP2248) (0.304 COMP2/COMP2202/COMP2247) (0.300 COMP2220) (0.287 COMP2224) (0.286 COMP1156) (0.277 COMP9) (0.272 COMP901) (0.270 COMP285) (0.268 COMP1400) (0.264 COMP114/COMP131/COMP27/COMP994) (0.262 COMP2221) (0.249 COMP1525) (0.248 COMP2227) (0.243 COMP11/COMP8) (0.241 COMP910) (0.239 COMP34/COMP36) (0.230 COMP2230) (0.227 COMP1165/COMP2204) (0.226 COMP113/COMP132/COMP142) (0.224 COMP478/COMP499/COMP513/COMP518/COMP57) (0.220 COMP2222) (0.219 COMP124/COMP2257) (0.216 COMP826) (0.213 COMP2205/COMP2228) (0.206 COMP2252) (0.201 COMP2207/COMP2243) (0.194 COMP2208) (0.178 COMP14) (0.164 COMP32) (0.163 COMP613) (0.162 COMP1254) (0.150 COMP1414) (0.148 COMP119/COMP157/COMP160/COMP162/COMP169) (0.140 COMP2233) (0.135 COMP1554/COMP181/COMP2159) (0.132 COMP1411/COMP2212/COMP2231/COMP2253/COMP568)
Cytotoxic	0.925	COMP2266	(0.666 COMP2267) (0.665 COMP2208) (0.645 COMP1525) (0.644 COMP2159) (0.627 COMP1104) (0.626 COMP1414) (0.620 COMP337) (0.607 COMP77) (0.605 COMP1274/COMP508) (0.604 COMP2246) (0.597 COMP1258/COMP2250/COMP287/COMP450/COMP739) (0.596 COMP708) (0.588 COMP1775/COMP2256) (0.586 COMP285) (0.575 COMP2255) (0.560 COMP2217) (0.552 COMP910) (0.550 COMP34/COMP36) (0.538 COMP2239/COMP2254) (0.524 COMP2245) (0.514 COMP2206) (0.504 COMP685) (0.500 COMP715) (0.489 COMP2252) (0.479 COMP1672/COMP22) (0.473 COMP43) (0.472 COMP2238) (0.470 COMP158/COMP172) (0.457 COMP153) (0.456 COMP27) (0.454 COMP48) (0.451 COMP30) (0.446 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.433 COMP26/COMP28/COMP40/COMP41) (0.428 COMP191) (0.425 COMP2249) (0.424 COMP2228/COMP2251) (0.410 COMP1166/COMP502) (0.406 COMP119/COMP157/COMP160/COMP162/COMP169) (0.402 COMP617) (0.394 COMP621) (0.392 COMP2205) (0.390 COMP864/COMP878) (0.387 COMP144/COMP19) (0.385 COMP248) (0.371 COMP11/COMP8) (0.370 COMP2229) (0.368 COMP2209) (0.366 COMP476) (0.362 COMP110) (0.361 COMP1254/COMP594) (0.360 COMP1014/COMP121/COMP16/COMP18/COMP2/COMP2247/COMP266/COMP53/COMP54) (0.357 COMP1668/COMP523) (0.354 COMP1554/COMP181) (0.352 COMP1245) (0.340 COMP302/COMP32) (0.339 COMP2207/COMP2243) (0.332 COMP2223) (0.330 COMP478/COMP499/COMP513/COMP518/COMP57) (0.329 COMP2202/COMP544) (0.327 COMP613) (0.326 COMP2235) (0.322 COMP141/COMP264/COMP547) (0.321 COMP901) (0.315 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.311 COMP663) (0.309 COMP1139) (0.307 COMP994) (0.302 COMP2232) (0.293 COMP500) (0.286 COMP1151/COMP666) (0.277 COMP2241) (0.276 COMP521) (0.263 COMP1152/COMP488/COMP538) (0.262 COMP2230) (0.255 COMP2248/COMP767) (0.252 COMP124) (0.243 COMP2220) (0.242 COMP2038) (0.239 COMP2218) (0.238 COMP2215) (0.237 COMP2240) (0.234 COMP2222) (0.232 COMP2210/COMP2224) (0.227 COMP2226) (0.223 COMP1415) (0.216 COMP2211) (0.214 COMP114/COMP131/COMP9) (0.212 COMP55) (0.211 COMP745) (0.210 COMP1142/COMP1408) (0.205 COMP2219) (0.201 COMP2214/COMP2233) (0.194 COMP2213/COMP2244) (0.190 COMP4) (0.187 COMP826) (0.186 COMP14/COMP1898) (0.185 COMP113/COMP132/COMP1405/COMP142/COMP367) (0.169 COMP1400) (0.163 COMP2227) (0.155 COMP1165) (0.144 COMP259) (0.135 COMP2221) (0.134 COMP604) (0.133 COMP2236)
DNA damaging	0.805	COMP1274/COMP508	(0.743 COMP337) (0.727 COMP1258) (0.677 COMP1414) (0.589 COMP2159) (0.530 COMP1525) (0.500 COMP191) (0.479 COMP48) (0.438 COMP1104/COMP1740/COMP1741/COMP2258) (0.423 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.422 COMP2038) (0.421 COMP2257) (0.409 COMP2221/COMP715) (0.402 COMP2223) (0.391 COMP2222) (0.375 COMP2252/COMP521) (0.371 COMP544) (0.369 COMP994) (0.364 COMP1139) (0.359 COMP2267) (0.339 COMP158/COMP172/COMP4) (0.335 COMP613) (0.334 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.326 COMP2224) (0.325 COMP32) (0.321 COMP2229) (0.320 COMP2218) (0.318 COMP1152/COMP488/COMP538) (0.302 COMP144/COMP19) (0.300 COMP1408) (0.297 COMP2241) (0.296 COMP2211) (0.292 COMP2266) (0.291 COMP745) (0.280 COMP2219) (0.279 COMP2227) (0.277 COMP2230) (0.275 COMP26/COMP28/COMP40/COMP41) (0.271 COMP1405/COMP367) (0.263 COMP2202) (0.259 COMP2249) (0.248 COMP153) (0.247 COMP1554/COMP181) (0.246 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.244 COMP594) (0.242 COMP1142) (0.241 COMP2217) (0.235 COMP34/COMP36) (0.232 COMP2214) (0.231 COMP2235) (0.229 COMP9) (0.228 COMP1400/COMP2215/COMP663) (0.227 COMP287/COMP450) (0.226 COMP1165/COMP27) (0.216 COMP2220/COMP617) (0.207 COMP1151/COMP666) (0.206 COMP2232) (0.205 COMP2210) (0.203 COMP2206) (0.202 COMP826) (0.201 COMP2213/COMP2244) (0.194 COMP77) (0.184 COMP2233) (0.182 COMP1166/COMP502) (0.180 COMP621) (0.178 COMP1245) (0.169 COMP767) (0.168 COMP2204) (0.165 COMP1156/COMP864/COMP878) (0.163 COMP500) (0.162 COMP2251) (0.161 COMP248) (0.160 COMP113/COMP132/COMP142/COMP2/COMP2247) (0.159 COMP1415/COMP2248)
Embryotoxic	0.978	COMP2208	(0.908 COMP77) (0.906 COMP2267) (0.899 COMP285) (0.897 COMP287/COMP450) (0.890 COMP2246/COMP2266) (0.850 COMP708) (0.836 COMP901) (0.804 COMP1166/COMP502/COMP685) (0.800 COMP2250/COMP739) (0.767 COMP248) (0.763 COMP337) (0.754 COMP1258) (0.733 COMP1274/COMP508) (0.730 COMP2225/COMP2234/COMP2237/COMP649/COMP674) (0.729 COMP1525) (0.712 COMP478/COMP499/COMP513/COMP518/COMP57) (0.705 COMP55) (0.702 COMP26/COMP28/COMP40/COMP41) (0.697 COMP2223) (0.695 COMP476) (0.694 COMP617) (0.693 COMP2245) (0.691 COMP2235) (0.689 COMP302) (0.687 COMP2249) (0.682 COMP1668/COMP523) (0.675 COMP1152/COMP488/COMP538) (0.673 COMP119/COMP157/COMP160/COMP162/COMP169) (0.671 COMP1014/COMP121/COMP16/COMP18/COMP266/COMP53/COMP54) (0.668 COMP1254) (0.667 COMP1151/COMP666) (0.665 COMP2217) (0.650 COMP141/COMP2251/COMP264/COMP547) (0.645 COMP2238) (0.644 COMP27) (0.636 COMP1672/COMP22) (0.633 COMP11/COMP8) (0.631 COMP715) (0.622 COMP663) (0.620 COMP43) (0.617 COMP1104) (0.608 COMP594) (0.579 COMP2232) (0.570 COMP2202) (0.563 COMP994) (0.562 COMP2229) (0.557 COMP2/COMP2247) (0.535 COMP30) (0.515 COMP1414) (0.508 COMP1245) (0.494 COMP1554/COMP181/COMP910) (0.483 COMP613) (0.477 COMP2215) (0.471 COMP521) (0.468 COMP2228) (0.466 COMP2241) (0.463 COMP2252) (0.461 COMP48) (0.452 COMP2038/COMP2159) (0.451 COMP767) (0.450 COMP500) (0.437 COMP2220) (0.436 COMP864/COMP878) (0.426 COMP621) (0.416 COMP2218) (0.412 COMP2224) (0.391 COMP191) (0.372 COMP2210) (0.366 COMP14) (0.350 COMP2209) (0.336 COMP2211) (0.333 COMP1415) (0.321 COMP2219) (0.317 COMP1139) (0.308 COMP1411/COMP2212/COMP2231/COMP2253/COMP568) (0.307 COMP2206) (0.299 COMP2230) (0.297 COMP544) (0.293 COMP1898) (0.290 COMP158/COMP172) (0.280 COMP1142) (0.278 COMP2226) (0.268 COMP144/COMP19/COMP2221) (0.262 COMP2204) (0.256 COMP2214/COMP2239/COMP2254) (0.253 COMP1775/COMP2256) (0.250 COMP2233) (0.249 COMP9) (0.245 COMP153) (0.243 COMP32) (0.232 COMP124) (0.231 COMP1408) (0.223 COMP259) (0.215 COMP113/COMP132/COMP142) (0.214 COMP4) (0.211 COMP2227) (0.208 COMP1165) (0.196 COMP2255) (0.188 COMP110) (0.182 COMP826) (0.170 COMP114/COMP131) (0.169 COMP1156) (0.160 COMP34/COMP36) (0.150 COMP2248) (0.140 COMP2222)
