Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.750	COMP517	(0.581 COMP1762) (0.580 COMP141/COMP547) (0.523 COMP31/COMP845/COMP904) (0.481 COMP1247) (0.474 COMP297) (0.421 COMP1312) (0.371 COMP302) (0.340 COMP1184) (0.331 COMP2820) (0.212 COMP6) (0.146 COMP2822) (0.137 COMP2821) (0.131 COMP616) (0.130 COMP131) (0.124 COMP492) (0.122 COMP544)
Aldehyde dehydrogenase substrate	0.351	COMP141/COMP547	(0.349 COMP517) (0.314 COMP1247) (0.311 COMP1312) (0.309 COMP297) (0.232 COMP1762) (0.210 COMP31/COMP845/COMP904) (0.185 COMP6) (0.162 COMP1184/COMP2820) (0.149 COMP1525) (0.142 COMP2821) (0.137 COMP2822) (0.129 COMP302)
Aldehyde oxidase substrate	0.338	COMP1762	(0.306 COMP31/COMP845/COMP904) (0.239 COMP9) (0.186 COMP1312) (0.176 COMP616) (0.156 COMP544)
Aldose reductase substrate	0.968	COMP31/COMP845/COMP904	(0.947 COMP1762) (0.793 COMP2822) (0.733 COMP2821) (0.522 COMP1184) (0.493 COMP2820) (0.354 COMP1525) (0.194 COMP1312)
Arylamine N-Acetyltransferase substrate	0.381	COMP1312	(0.198 COMP1762) (0.170 COMP31/COMP845/COMP904) (0.094 COMP9) (0.066 COMP302)
CYP1A2 inhibitor	0.227	COMP6	(0.174 COMP616) (0.173 COMP9)
CYP1A2 substrate	0.532	COMP1312	(0.485 COMP2820) (0.445 COMP1762) (0.410 COMP616) (0.402 COMP1184) (0.389 COMP9) (0.368 COMP31/COMP845/COMP904) (0.360 COMP6) (0.343 COMP297) (0.266 COMP1247/COMP544) (0.250 COMP2821) (0.235 COMP141/COMP547) (0.208 COMP302) (0.204 COMP517) (0.202 COMP2822) (0.187 COMP1525)
CYP24 inhibitor	0.068	COMP492	(0.049 COMP142) (0.048 COMP297) (0.034 COMP616) (0.025 COMP141/COMP547) (0.024 COMP9) (0.021 COMP6)
CYP2A6 inhibitor	0.252	COMP141/COMP547	(0.229 COMP1247) (0.182 COMP302) (0.164 COMP9) (0.152 COMP6) (0.151 COMP616) (0.129 COMP297) (0.113 COMP544) (0.103 COMP517) (0.068 COMP1762) (0.066 COMP1312)
CYP2B6 inhibitor	0.391	COMP1312	(0.349 COMP141/COMP302/COMP547) (0.298 COMP616) (0.267 COMP6) (0.265 COMP1762) (0.260 COMP9) (0.249 COMP517) (0.244 COMP492) (0.240 COMP31/COMP845/COMP904) (0.234 COMP544) (0.229 COMP1247) (0.226 COMP142) (0.206 COMP297) (0.161 COMP131)
CYP2C19 inhibitor	0.384	COMP1312	(0.378 COMP1247/COMP302) (0.328 COMP9) (0.326 COMP31/COMP845/COMP904) (0.320 COMP1762) (0.314 COMP141/COMP547) (0.302 COMP297) (0.268 COMP616) (0.260 COMP2822) (0.247 COMP6) (0.218 COMP131) (0.216 COMP544)
CYP2C19 substrate	0.893	COMP297	(0.822 COMP1247) (0.806 COMP141/COMP547) (0.709 COMP517) (0.632 COMP1312) (0.602 COMP2820) (0.551 COMP6) (0.545 COMP1184) (0.529 COMP616) (0.499 COMP302) (0.443 COMP544) (0.440 COMP9) (0.424 COMP492) (0.337 COMP2821) (0.329 COMP1762) (0.300 COMP2822) (0.277 COMP31/COMP845/COMP904) (0.263 COMP142) (0.255 COMP131)
CYP2C9 inhibitor	0.299	COMP6	(0.286 COMP9) (0.279 COMP1312) (0.235 COMP616) (0.217 COMP302)
CYP2C9 substrate	0.903	COMP297	(0.830 COMP141/COMP547) (0.796 COMP517) (0.742 COMP2820) (0.737 COMP1312) (0.683 COMP1247) (0.649 COMP1184) (0.537 COMP616) (0.523 COMP9) (0.521 COMP2822) (0.464 COMP544) (0.419 COMP492) (0.409 COMP6) (0.367 COMP2821) (0.366 COMP1762) (0.307 COMP31/COMP845/COMP904) (0.291 COMP142) (0.278 COMP302) (0.240 COMP131) (0.198 COMP1525)
CYP2D6 inhibitor	0.271	COMP131	(0.224 COMP492) (0.209 COMP9) (0.184 COMP1762)
CYP2D6 substrate	0.590	COMP2820	(0.538 COMP1184) (0.442 COMP1312) (0.424 COMP1762) (0.403 COMP302) (0.400 COMP297) (0.360 COMP31/COMP845/COMP904) (0.341 COMP616) (0.316 COMP141/COMP547) (0.308 COMP9) (0.299 COMP544) (0.282 COMP6) (0.269 COMP2821) (0.242 COMP517) (0.217 COMP1247) (0.204 COMP2822) (0.198 COMP131)
CYP3A4 inhibitor	0.227	COMP302	(0.191 COMP9) (0.190 COMP1762)
CYP3A4 substrate	0.740	COMP2820	(0.692 COMP1184) (0.606 COMP2822) (0.580 COMP2821) (0.559 COMP297) (0.555 COMP1312) (0.481 COMP1762) (0.460 COMP492) (0.433 COMP616) (0.411 COMP31/COMP845/COMP904) (0.373 COMP9) (0.359 COMP544) (0.328 COMP142) (0.321 COMP141/COMP547) (0.319 COMP1525) (0.287 COMP6) (0.284 COMP517) (0.274 COMP131) (0.245 COMP1247)
FMO1 substrate	0.658	COMP1312	(0.619 COMP9) (0.561 COMP1762) (0.554 COMP302) (0.545 COMP616) (0.535 COMP31/COMP845/COMP904) (0.530 COMP297) (0.529 COMP6) (0.509 COMP544) (0.499 COMP131) (0.473 COMP141/COMP547) (0.460 COMP1247) (0.453 COMP142) (0.414 COMP492) (0.341 COMP517) (0.244 COMP2822) (0.229 COMP2821)
FMO3 substrate	0.528	COMP1312	(0.402 COMP9) (0.375 COMP302) (0.366 COMP1762) (0.340 COMP31/COMP845/COMP904) (0.337 COMP616) (0.327 COMP131) (0.322 COMP6) (0.304 COMP544) (0.302 COMP297) (0.278 COMP142) (0.261 COMP141/COMP547) (0.250 COMP1247/COMP492) (0.195 COMP517)
Flavin-containing monooxygenase substrate	0.509	COMP1312	(0.379 COMP9) (0.333 COMP1762) (0.320 COMP302) (0.305 COMP297) (0.304 COMP616) (0.301 COMP131/COMP31/COMP845/COMP904) (0.275 COMP6) (0.263 COMP544) (0.235 COMP142) (0.216 COMP141/COMP547) (0.207 COMP1247) (0.206 COMP492)
GST A substrate	0.948	COMP1312	(0.831 COMP1762) (0.805 COMP31/COMP845/COMP904) (0.750 COMP302) (0.575 COMP9) (0.553 COMP297) (0.513 COMP616) (0.489 COMP6) (0.475 COMP544) (0.454 COMP517) (0.438 COMP1247) (0.435 COMP141/COMP547) (0.405 COMP2821) (0.374 COMP2822) (0.363 COMP142) (0.345 COMP131) (0.325 COMP492) (0.253 COMP1184) (0.243 COMP2820)
GST M1-1 substrate	0.610	COMP1312	(0.426 COMP1762) (0.403 COMP31/COMP845/COMP904) (0.392 COMP9) (0.361 COMP616) (0.356 COMP544) (0.355 COMP6) (0.352 COMP302) (0.329 COMP297) (0.327 COMP131) (0.320 COMP2822) (0.300 COMP142) (0.296 COMP2821) (0.287 COMP141/COMP547) (0.284 COMP1247/COMP492) (0.256 COMP517) (0.228 COMP1184) (0.208 COMP2820)
