Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine 2A agonist	0.055	COMP1449	(0.054 COMP1450)
5 Hydroxytryptamine 3A agonist	0.120	COMP1449	
ATPase inhibitor	0.276	COMP2341	(0.261 COMP1449) (0.248 COMP1450) (0.218 COMP1448) (0.188 COMP1441) (0.183 COMP2342) (0.135 COMP49)
Acetylcholinesterase inhibitor	0.443	COMP49	(0.242 COMP2342) (0.222 COMP1450) (0.170 COMP1449) (0.143 COMP1441) (0.108 COMP1448)
Aconitate hydratase inhibitor	0.162	COMP1448	(0.057 COMP1441) (0.055 COMP1449) (0.046 COMP49)
Acyl-CoA dehydrogenase inhibitor	0.102	COMP1448	(0.048 COMP1441)
Adenosine A1 receptor agonist	0.024	COMP2341	
Adenosine deaminase inhibitor	0.067	COMP49	(0.052 COMP1441/COMP1448) (0.051 COMP2341)
Adenylate cyclase inhibitor	0.268	COMP2341	(0.197 COMP1448) (0.193 COMP1441) (0.165 COMP1449) (0.107 COMP1450)
Adenylate kinase inhibitor	0.210	COMP1448	(0.125 COMP1441) (0.113 COMP1449) (0.109 COMP2341) (0.096 COMP49)
Alcohol dehydrogenase inhibitor	0.425	COMP49	(0.400 COMP1448) (0.227 COMP2341) (0.205 COMP1449) (0.179 COMP1441) (0.135 COMP1450)
Aldosterone antagonist	0.050	COMP1449	(0.044 COMP1450) (0.043 COMP1448)
Alkaline phosphatase inhibitor	0.367	COMP49	(0.274 COMP1450) (0.263 COMP1449) (0.248 COMP1448) (0.188 COMP1441) (0.132 COMP2341)
Alpha-mannosidase inhibitor	0.154	COMP2341	(0.060 COMP1441)
Androgen agonist	0.069	COMP1449	(0.058 COMP1441) (0.056 COMP2342) (0.054 COMP49) (0.053 COMP1450)
Androgen antagonist	0.188	COMP49	(0.130 COMP1449) (0.106 COMP1450) (0.101 COMP1441) (0.099 COMP2342) (0.077 COMP1448)
Arginase inhibitor	0.103	COMP49	(0.056 COMP2341) (0.043 COMP1448)
Argininosuccinate synthase inhibitor	0.149	COMP1448	(0.063 COMP1441) (0.060 COMP1449)
Aryl hydrocarbon receptor agonist	0.797	COMP49	(0.460 COMP1450) (0.413 COMP1449) (0.314 COMP1448) (0.257 COMP1441)
Beta 1 adrenoreceptor agonist	0.022	COMP1448	
Beta 2 adrenoreceptor agonist	0.076	COMP1441	(0.060 COMP1448) (0.058 COMP1449)
Beta 2 adrenoreceptor antagonist	0.054	COMP1441	(0.047 COMP1449)
Butyrylcholinesterase inhibitor	0.262	COMP49	(0.110 COMP1450) (0.087 COMP1449)
CYP1A2 inhibitor	0.914	COMP49	(0.587 COMP1450) (0.467 COMP1449) (0.404 COMP1441) (0.389 COMP2342) (0.331 COMP1448)
CYP2C9 inhibitor	0.637	COMP49	(0.422 COMP1450) (0.415 COMP1448) (0.396 COMP1449) (0.340 COMP1441)
CYP3A4 inhibitor	0.357	COMP49	(0.213 COMP1450)
Ca2+-transporting ATPase inhibitor	0.217	COMP1448	(0.198 COMP1449) (0.184 COMP2341) (0.183 COMP1441) (0.180 COMP1450) (0.179 COMP2342) (0.151 COMP49)
Cannabinoid CB2 receptor antagonist	0.070	COMP1449	(0.055 COMP1450)
Carbonic anhydrase inhibitor	0.081	COMP49	
Catalase inhibitor	0.158	COMP1448	(0.087 COMP1441)
Cyclooxygenase 1 inhibitor	0.267	COMP49	(0.194 COMP1450) (0.184 COMP1449) (0.175 COMP1448) (0.158 COMP1441)
Cyclooxygenase 2 inhibitor	0.219	COMP49	(0.138 COMP1450) (0.133 COMP1449) (0.113 COMP1441/COMP1448)
Cyclooxygenase inhibitor	0.259	COMP49	(0.166 COMP1450) (0.156 COMP1449) (0.138 COMP1448) (0.130 COMP1441)
Cystathionine beta-synthase inhibitor	0.929	COMP49	(0.760 COMP1448) (0.657 COMP1450) (0.608 COMP1449) (0.491 COMP2341) (0.475 COMP1441) (0.469 COMP2342)
DNA polymerase beta inhibitor	0.430	COMP49	(0.367 COMP1450) (0.332 COMP1449) (0.315 COMP1448)
DOPA decarboxylase inhibitor	0.317	COMP1448	(0.274 COMP49) (0.237 COMP1449) (0.231 COMP1441) (0.216 COMP1450) (0.138 COMP2342)
Dihydrofolate reductase inhibitor	0.042	COMP1450	
Electron transport complex I inhibitor	0.255	COMP2342	(0.205 COMP49) (0.189 COMP1450) (0.153 COMP1449) (0.132 COMP1441) (0.127 COMP1448)
Estrogen agonist	0.364	COMP49	(0.125 COMP2341) (0.108 COMP1449) (0.105 COMP1441) (0.096 COMP1450) (0.080 COMP1448) (0.067 COMP2342)
Fumarate hydratase inhibitor	0.047	COMP1448	
GABA aminotransferase inhibitor	0.371	COMP1448	(0.159 COMP1449) (0.137 COMP2341) (0.128 COMP1441) (0.127 COMP2342) (0.102 COMP1450) (0.076 COMP49)
GRP78 expression inhibitor	0.033	COMP2341	(0.022 COMP1441) (0.021 COMP1448) (0.020 COMP1449)
Glucose-6-phosphate isomerase inhibitor	0.092	COMP2341	(0.070 COMP1441) (0.055 COMP1448) (0.054 COMP1449) (0.050 COMP49)
Glutamate dehydrogenase inhibitor	0.292	COMP1448	(0.134 COMP1449) (0.131 COMP1441) (0.105 COMP2341) (0.076 COMP1450) (0.074 COMP2342) (0.068 COMP49)
Heat shock protein 70 antagonist	0.264	COMP49	(0.205 COMP1448) (0.199 COMP2341) (0.179 COMP1449) (0.175 COMP1450) (0.170 COMP1441) (0.138 COMP2342)
Hexokinase inhibitor	0.672	COMP2341	(0.446 COMP1448) (0.382 COMP1441) (0.363 COMP1449) (0.351 COMP1450) (0.181 COMP49) (0.166 COMP2342)
MAO A inhibitor	0.649	COMP49	(0.371 COMP1450) (0.336 COMP1441) (0.330 COMP1449) (0.151 COMP1448)
MAO inhibitor	0.635	COMP49	(0.383 COMP1441) (0.369 COMP1450) (0.332 COMP1449) (0.171 COMP1448)
NMDA receptor agonist	0.101	COMP1448	(0.057 COMP1449)
Na+ K+ transporting ATPase inhibitor	0.130	COMP2341	(0.106 COMP49) (0.105 COMP1441) (0.095 COMP1449) (0.090 COMP2342) (0.083 COMP1450) (0.076 COMP1448)
Nav1.5 sodium channel blocker	0.130	COMP49	
Opioid delta receptor antagonist	0.060	COMP49	
Opioid mu receptor agonist	0.040	COMP49	
Ornithine carbamoyltransferase inhibitor	0.061	COMP1448	
Peroxidase inhibitor	0.847	COMP49	(0.584 COMP1448) (0.541 COMP1449) (0.477 COMP1441) (0.473 COMP1450) (0.346 COMP2342)
Phenylalanine 4-hydroxylase inhibitor	0.270	COMP1448	(0.126 COMP1449) (0.121 COMP1441) (0.073 COMP49)
Phosphodiesterase 4D inhibitor	0.110	COMP49	(0.067 COMP1450)
Phosphofructokinase-1 inhibitor	0.274	COMP2341	(0.157 COMP1448) (0.137 COMP1441) (0.087 COMP1449) (0.076 COMP49)
Phosphoglycerate kinase inhibitor	0.034	COMP1441	(0.032 COMP1448)
Phospholipase A2 inhibitor	0.268	COMP1448	(0.170 COMP1441) (0.161 COMP49) (0.157 COMP1449) (0.152 COMP1450)
Phospholipase C inhibitor	0.335	COMP1448	(0.333 COMP1441) (0.227 COMP1449) (0.193 COMP2341/COMP49) (0.172 COMP1450) (0.158 COMP2342)
Phosphorylase inhibitor	0.178	COMP2341	(0.052 COMP1448) (0.042 COMP1441)
Prostaglandin F2 alpha agonist	0.023	COMP1448	(0.021 COMP1449)
Pyruvate kinase inhibitor	0.546	COMP49	(0.483 COMP1450) (0.466 COMP1449) (0.427 COMP1448) (0.278 COMP1441) (0.255 COMP2342)
Retinoic acid alpha receptor agonist	0.125	COMP1448	(0.046 COMP1449) (0.045 COMP49) (0.044 COMP1441) (0.036 COMP2341)
Succinate dehydrogenase inhibitor	0.380	COMP1448	(0.266 COMP49) (0.250 COMP1449) (0.238 COMP1441) (0.227 COMP1450) (0.222 COMP2342)
Superoxide dismutase inhibitor	0.639	COMP49	(0.560 COMP1448) (0.405 COMP1450) (0.353 COMP1449) (0.284 COMP1441) (0.197 COMP2342)
Thyroid hormone agonist	0.039	COMP1441/COMP1449	(0.032 COMP1450) (0.031 COMP1448)
Thyroid hormone alpha agonist	0.017	COMP1449	(0.015 COMP1441)
Thyroid hormone beta agonist	0.009	COMP1441/COMP1449	
Topoisomerase I inhibitor	0.603	COMP2342	(0.436 COMP2341) (0.383 COMP1441) (0.306 COMP1448) (0.305 COMP1449) (0.302 COMP1450) (0.272 COMP49)
Topoisomerase II alpha inhibitor	0.518	COMP49	(0.407 COMP2341) (0.398 COMP2342) (0.367 COMP1449) (0.366 COMP1448) (0.365 COMP1441) (0.347 COMP1450)
Triose-phosphate isomerase inhibitor	0.445	COMP2341	(0.314 COMP1448) (0.227 COMP1441) (0.172 COMP1449) (0.105 COMP49) (0.101 COMP2342) (0.088 COMP1450)
Tyrosine 3 hydroxylase inhibitor	0.374	COMP1449	(0.355 COMP1448) (0.339 COMP1441) (0.319 COMP49) (0.286 COMP2342) (0.271 COMP1450)
