Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.434	COMP1448	(0.391 COMP1449) (0.361 COMP2342) (0.291 COMP1441) (0.254 COMP1450) (0.180 COMP49) (0.174 COMP2341)
Acetylcholine release stimulant	0.126	COMP1449	(0.123 COMP1450) (0.117 COMP1441) (0.106 COMP1448)
Actinic keratosis treatment	0.216	COMP1448	(0.183 COMP1441) (0.176 COMP2342) (0.173 COMP1449) (0.150 COMP2341) (0.148 COMP49) (0.133 COMP1450)
Acute neurologic disorders treatment	0.211	COMP1448	
Acute respiratory distress syndrome (ARDS) treatment	0.338	COMP2341	(0.132 COMP1441)
Alzheimer's disease treatment	0.451	COMP49	
Amyotrophic lateral sclerosis treatment	0.180	COMP49	
Anabolic	0.151	COMP1448	(0.150 COMP2342) (0.149 COMP1449) (0.143 COMP1441) (0.141 COMP1450) (0.135 COMP49) (0.109 COMP2341)
Analeptic	0.583	COMP2341	(0.368 COMP1448) (0.333 COMP1449) (0.330 COMP1441) (0.297 COMP49) (0.275 COMP2342) (0.266 COMP1450)
Anesthetic	0.125	COMP1449	(0.116 COMP1448) (0.110 COMP1441) (0.104 COMP1450)
Anesthetic general	0.254	COMP2341	(0.239 COMP1448) (0.234 COMP1449) (0.192 COMP1441) (0.181 COMP1450)
Anesthetic inhalation	0.051	COMP1450	(0.050 COMP1449)
Anesthetic local	0.098	COMP1449	
Angiogenesis inhibitor	0.243	COMP1450	(0.223 COMP2341) (0.191 COMP49)
Angiogenesis stimulant	0.635	COMP2341	(0.394 COMP49) (0.296 COMP1441) (0.264 COMP1448) (0.256 COMP2342) (0.225 COMP1450) (0.205 COMP1449)
Antiacne	0.305	COMP1448	(0.270 COMP2341) (0.181 COMP1441) (0.145 COMP1449) (0.105 COMP1450)
Antialcoholic	0.267	COMP1441	(0.253 COMP2341) (0.235 COMP1449) (0.223 COMP1448) (0.222 COMP49) (0.200 COMP1450)
Antiallergic	0.196	COMP49	
Antiamyloidogenic	0.449	COMP49	(0.382 COMP1450) (0.373 COMP1448) (0.328 COMP2341) (0.301 COMP1441) (0.287 COMP1449)
Antianemic	0.262	COMP1448	(0.174 COMP1441) (0.173 COMP1449) (0.135 COMP1450) (0.129 COMP49)
Antianorexic	0.237	COMP1441	(0.214 COMP1449) (0.206 COMP1448) (0.168 COMP1450) (0.123 COMP2342)
Antiarthritic	0.535	COMP2342	(0.365 COMP2341) (0.338 COMP1448) (0.256 COMP1441)
Antibacterial	0.740	COMP2341	(0.576 COMP2342) (0.554 COMP1448) (0.505 COMP49) (0.485 COMP1441) (0.468 COMP1449) (0.450 COMP1450)
Antibiotic	0.278	COMP2341	(0.140 COMP1448) (0.127 COMP2342) (0.119 COMP1441) (0.104 COMP1449) (0.099 COMP1450) (0.083 COMP49)
Antibiotic Aminoglycoside-like	0.089	COMP2341	(0.035 COMP1441)
Antibiotic Anthracycline-like	0.040	COMP1441/COMP1449	(0.035 COMP2341) (0.034 COMP1448/COMP1450) (0.024 COMP2342) (0.019 COMP49)
Antibiotic Glycopeptide-like	0.196	COMP2341	(0.069 COMP49) (0.051 COMP1441) (0.043 COMP1448)
Antibiotic Naphthyridine-like	0.034	COMP1448	
Antibiotic Quinolone-like	0.025	COMP1448	
Antibiotic Tetracycline-like	0.030	COMP1449	(0.027 COMP1441/COMP1448) (0.026 COMP2342) (0.025 COMP1450) (0.019 COMP2341) (0.016 COMP49)
Anticataract	0.144	COMP2341	(0.136 COMP49)
Anticholelithogenic	0.127	COMP1448	(0.088 COMP1449) (0.085 COMP1450) (0.083 COMP1441) (0.078 COMP2341) (0.077 COMP49) (0.066 COMP2342)
Antidiabetic	0.797	COMP2341	(0.461 COMP49) (0.410 COMP1441) (0.403 COMP1448)
Antidiabetic (type 1)	0.234	COMP2341	
Antidiabetic (type 2)	0.457	COMP2341	(0.271 COMP1448) (0.201 COMP1441)
Antidiabetic symptomatic	0.594	COMP2342	(0.358 COMP2341) (0.329 COMP1448) (0.300 COMP1441) (0.266 COMP49) (0.212 COMP1449) (0.192 COMP1450)
Antidiarrheal	0.268	COMP2341	(0.222 COMP1448) (0.194 COMP1441) (0.159 COMP1449) (0.152 COMP49) (0.138 COMP1450)
Antidote	0.405	COMP49	(0.350 COMP2341) (0.312 COMP1448) (0.284 COMP1441) (0.221 COMP1449) (0.202 COMP1450) (0.123 COMP2342)
Antidote. heavy metal	0.177	COMP49	(0.146 COMP1441) (0.139 COMP1448) (0.082 COMP1449) (0.073 COMP1450) (0.054 COMP2341)
Antidote. mercury	0.140	COMP1449	(0.136 COMP1441/COMP1448) (0.129 COMP49) (0.091 COMP1450/COMP2342)
Antidote. organophosphates	0.087	COMP1449	(0.081 COMP1448) (0.080 COMP1441) (0.079 COMP49)
Antieczematic	0.181	COMP1448	(0.123 COMP1441)
Antifungal	0.497	COMP2341	(0.401 COMP49) (0.368 COMP2342) (0.343 COMP1449) (0.334 COMP1441) (0.311 COMP1450) (0.310 COMP1448)
Antifungal (Aspergillus)	0.126	COMP1449	(0.125 COMP1450) (0.112 COMP1448) (0.103 COMP49) (0.096 COMP2342) (0.095 COMP1441)
Antifungal (Candida)	0.098	COMP1449	
Antifungal (Cryptococcus)	0.209	COMP2341	(0.156 COMP2342) (0.138 COMP1449) (0.133 COMP49)
Antifungal (Pneumocystis)	0.231	COMP1448	(0.195 COMP1441) (0.191 COMP1450) (0.178 COMP1449) (0.157 COMP2341) (0.142 COMP2342) (0.140 COMP49)
Antifungal enhancer	0.471	COMP2341	(0.320 COMP1450) (0.260 COMP1449) (0.255 COMP1441) (0.213 COMP2342) (0.207 COMP1448) (0.197 COMP49)
Antiglaucomic	0.185	COMP2342	(0.156 COMP1441)
Antihelmintic	0.471	COMP49	(0.392 COMP2341) (0.300 COMP1441) (0.292 COMP1449) (0.253 COMP1450) (0.243 COMP2342) (0.202 COMP1448)
