Name	Activation_Prob	Compound	Another_Probs
ATPase inhibitor	0.366	COMP217	(0.176 COMP1276)
Acetylcholinesterase inhibitor	0.483	COMP1276	(0.205 COMP217) (0.133 COMP1278)
Adenosine A1 receptor agonist	0.025	COMP217	(0.022 COMP1281)
Adenosine deaminase inhibitor	0.043	COMP1281	(0.042 COMP217)
Alcohol dehydrogenase inhibitor	0.157	COMP1276	(0.125 COMP217) (0.088 COMP1278) (0.087 COMP1281)
Alkaline phosphatase inhibitor	0.364	COMP1276	(0.222 COMP217)
Alpha-mannosidase inhibitor	0.217	COMP217	(0.110 COMP1281)
Androgen agonist	0.054	COMP1276	
Androgen antagonist	0.140	COMP1276	
Arginase inhibitor	0.047	COMP217	(0.039 COMP1281)
Aryl hydrocarbon receptor agonist	0.679	COMP1276	(0.215 COMP217)
Beta 2 adrenoreceptor agonist	0.058	COMP1278	
Beta 2 adrenoreceptor antagonist	0.045	COMP1278	
Butyrylcholinesterase inhibitor	0.313	COMP1276	
CYP1A2 inhibitor	0.776	COMP1276	(0.240 COMP217) (0.170 COMP1278)
CYP2C9 inhibitor	0.465	COMP1276	(0.211 COMP1278)
CYP3A4 inhibitor	0.276	COMP1276	
Ca2+-transporting ATPase inhibitor	0.152	COMP1276	(0.142 COMP217) (0.131 COMP1280)
Carbonic anhydrase inhibitor	0.131	COMP217	
Cyclooxygenase 1 inhibitor	0.237	COMP1276	(0.100 COMP217)
Cyclooxygenase 2 inhibitor	0.169	COMP1276	(0.108 COMP217)
Cyclooxygenase inhibitor	0.209	COMP1276	(0.121 COMP217)
Cystathionine beta-synthase inhibitor	0.676	COMP1276	(0.330 COMP217) (0.245 COMP1278) (0.151 COMP1281)
DNA polymerase beta inhibitor	0.399	COMP1276	
DOPA decarboxylase inhibitor	0.262	COMP1276	(0.109 COMP1278)
Electron transport complex I inhibitor	0.190	COMP1276	(0.189 COMP1277) (0.168 COMP1278) (0.131 COMP1281) (0.117 COMP217) (0.109 COMP1279)
Estrogen agonist	0.237	COMP1278	(0.172 COMP1276) (0.164 COMP1281) (0.064 COMP217)
GABA aminotransferase inhibitor	0.097	COMP217	
GRP78 expression inhibitor	0.034	COMP217	
Glucose-6-phosphate isomerase inhibitor	0.185	COMP217	(0.054 COMP1281)
HMG CoA reductase inhibitor	0.039	COMP1277	(0.032 COMP1279)
Heat shock protein 70 antagonist	0.203	COMP1276	(0.179 COMP217)
Hexokinase inhibitor	0.299	COMP217	(0.175 COMP1276)
MAO A inhibitor	0.557	COMP1276	(0.107 COMP217)
MAO inhibitor	0.543	COMP1276	(0.103 COMP217)
Na+ K+ transporting ATPase inhibitor	0.154	COMP217	(0.129 COMP1281) (0.124 COMP1277) (0.104 COMP1279) (0.094 COMP1280) (0.091 COMP1282) (0.090 COMP1283) (0.088 COMP1278) (0.084 COMP1276)
Opioid delta receptor antagonist	0.112	COMP1278	
Opioid kappa receptor agonist	0.094	COMP1278	(0.044 COMP1281)
Opioid mu receptor agonist	0.070	COMP1278	
Peroxidase inhibitor	0.642	COMP1276	
Phosphodiesterase 4D inhibitor	0.183	COMP1276	(0.083 COMP217)
Phosphofructokinase-1 inhibitor	0.328	COMP217	(0.085 COMP1281)
Phosphoglycerate kinase inhibitor	0.032	COMP217	
Phospholipase A2 inhibitor	0.133	COMP1276	(0.120 COMP1278)
Phospholipase C inhibitor	0.154	COMP1276	
Phosphorylase inhibitor	0.058	COMP217	(0.039 COMP1281)
Pyruvate kinase inhibitor	0.461	COMP1276	
Retinoic acid alpha receptor agonist	0.148	COMP1279	(0.102 COMP1280) (0.095 COMP1283) (0.092 COMP1282) (0.044 COMP1277) (0.038 COMP1276)
Succinate dehydrogenase inhibitor	0.270	COMP1276	(0.175 COMP1278)
Superoxide dismutase inhibitor	0.634	COMP1276	(0.184 COMP1278)
Topoisomerase I inhibitor	0.368	COMP217	(0.301 COMP1276) (0.204 COMP1281) (0.122 COMP1279) (0.108 COMP1280) (0.100 COMP1283)
Topoisomerase II alpha inhibitor	0.449	COMP1276	(0.232 COMP217) (0.140 COMP1281) (0.101 COMP1278)
Triose-phosphate isomerase inhibitor	0.228	COMP217	
Tyrosine 3 hydroxylase inhibitor	0.259	COMP1276	(0.194 COMP1278)
UDP-glucose 4-epimerase inhibitor	0.376	COMP217	(0.116 COMP1281) (0.097 COMP1276)
