Name	Activation_Prob	Compound	Another_Probs
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.016	COMP9	
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.027	COMP9	
12-Lipoxygenase inhibitor	0.322	COMP9	
15-Lipoxygenase inhibitor	0.280	COMP9	
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.046	COMP9	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.067	COMP9	
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.056	COMP9	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.089	COMP9	
3C-like protease (Human coronavirus) inhibitor	0.272	COMP9	
5 Hydroxytryptamine 1E antagonist	0.255	COMP9	
5 Hydroxytryptamine 2 agonist	0.054	COMP9	
5 Hydroxytryptamine 2B agonist	0.049	COMP9	
5 Hydroxytryptamine 3 agonist	0.060	COMP9	
5 Hydroxytryptamine 3A agonist	0.143	COMP9	
5 Hydroxytryptamine 3E antagonist	0.237	COMP9	(0.191 COMP1928)
5 Hydroxytryptamine 7 agonist	0.113	COMP9	
5 Hydroxytryptamine release inhibitor	0.455	COMP9	(0.246 COMP1928)
5 Hydroxytryptamine release stimulant	0.452	COMP9	(0.204 COMP1928)
5 Hydroxytryptamine uptake stimulant	0.382	COMP9	(0.350 COMP1927/COMP1929) (0.342 COMP1926) (0.263 COMP1928)
5-Alpha-reductase 1 inhibitor	0.023	COMP9	
5-Alpha-reductase 2 inhibitor	0.024	COMP9	
5-Alpha-reductase inhibitor	0.073	COMP9	(0.049 COMP1927/COMP1929) (0.048 COMP1926)
5-Lipoxygenase inhibitor	0.104	COMP9	
ABCA1 expression enhancer	0.445	COMP1926	(0.389 COMP1927/COMP1929) (0.174 COMP9)
AICAR transformylase inhibitor	0.060	COMP9	
AMPA 4 receptor antagonist	0.049	COMP9	
AMPA receptor agonist	0.058	COMP9	(0.043 COMP1927/COMP1929) (0.041 COMP1926)
ATP citrate lysase inhibitor	0.052	COMP9	
ATPase (Vacuolar H+) inhibitor	0.130	COMP9	
ATPase inhibitor	0.292	COMP9	(0.175 COMP1928)
Acetyl-CoA transferase 1 inhibitor	0.251	COMP9	(0.046 COMP1928)
Acetyl-CoA transferase 2 inhibitor	0.068	COMP1928	(0.062 COMP9)
Acetyl-CoA transferase inhibitor	0.366	COMP9	(0.082 COMP1928)
Acetylcholine M1 receptor antagonist	0.118	COMP9	
Acetylcholine M4 receptor antagonist	0.065	COMP9	
Acetylcholine M5 receptor agonist	0.108	COMP9	
Acetylcholine muscarinic agonist	0.051	COMP9	
Acetylcholine nicotinic antagonist	0.073	COMP9	
Acetylcholine release stimulant	0.145	COMP9	
Acid ceramidase inhibitor	0.027	COMP9	
Aconitate hydratase inhibitor	0.086	COMP9	(0.056 COMP1928)
Acyl-CoA dehydrogenase inhibitor	0.092	COMP9	(0.050 COMP1926)
Adenosine uptake inhibitor	0.040	COMP9	
Adenylate cyclase inhibitor	0.136	COMP9	
Adenylate cyclase stimulant	0.178	COMP1928	(0.172 COMP9) (0.126 COMP1926)
Adenylate kinase inhibitor	0.148	COMP9	(0.092 COMP1928)
Alcohol dehydrogenase inhibitor	0.089	COMP9	
Alcohol oxidase inhibitor	0.103	COMP9	
Aldehyde dehydrogenase inhibitor	0.172	COMP9	
Aldehyde oxidase inhibitor	0.437	COMP9	
Aldosterone antagonist	0.055	COMP9	(0.052 COMP1927/COMP1929)
Alkaline phosphatase inhibitor	0.141	COMP9	
Alkylator	0.181	COMP1926	(0.137 COMP1927/COMP1929) (0.116 COMP9)
Alpha 1L adrenoreceptor agonist	0.120	COMP9	(0.054 COMP1928)
Alpha 1L adrenoreceptor antagonist	0.057	COMP9	
Alpha 1d adrenoreceptor agonist	0.063	COMP9	
Alpha 2 adrenoreceptor agonist	0.056	COMP9	
Alpha 2a adrenoreceptor agonist	0.016	COMP9	
Alpha 2b adrenoreceptor agonist	0.024	COMP9	
Alpha 2c adrenoreceptor agonist	0.019	COMP9	
Alpha 2d adrenoreceptor antagonist	0.113	COMP9	
Alpha-N-acetylglucosaminidase inhibitor	0.383	COMP9	(0.205 COMP1928) (0.116 COMP1926)
Alpha-mannosidase inhibitor	0.052	COMP9	
Amidase inhibitor	0.072	COMP9	
Aminopeptidase B inhibitor	0.152	COMP9	
Aminopeptidase I inhibitor	0.118	COMP9	(0.064 COMP1928)
Amylase inhibitor	0.222	COMP9	
Amyloid beta precursor protein antagonist	0.538	COMP1928	(0.268 COMP9)
Anabolic	0.140	COMP1926/COMP1927/COMP1929	(0.138 COMP9) (0.118 COMP1928)
Analgesic	0.556	COMP1927/COMP1929	(0.242 COMP9)
Androgen agonist	0.092	COMP9	(0.056 COMP1928)
Androgen antagonist	0.110	COMP9	
Anesthetic general	0.534	COMP9	(0.185 COMP1928)
Anesthetic local	0.258	COMP9	
Angiogenesis stimulant	0.385	COMP1926	(0.315 COMP1927/COMP1929)
Angiotensin AT1 receptor antagonist	0.046	COMP9	
Angiotensin II receptor antagonist	0.036	COMP9	
Antiamyloidogenic	0.200	COMP9	
Antibacterial	0.351	COMP1927/COMP1929	(0.340 COMP1928) (0.302 COMP1926) (0.272 COMP9)
Antibiotic Anthracycline-like	0.018	COMP9	
Antibiotic Macrolide-like	0.012	COMP1928	
Anticonvulsant	0.154	COMP9	
Antiinflammatory	0.906	COMP1927/COMP1929	(0.752 COMP1926) (0.723 COMP1928) (0.506 COMP9)
