Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.372	COMP1926	(0.327 COMP1927/COMP1929) (0.247 COMP1928) (0.232 COMP9)
Carcinogenic	0.494	COMP1926	(0.472 COMP1927/COMP1929) (0.283 COMP9) (0.130 COMP1928)
Carcinogenic. group 1	0.291	COMP9	(0.173 COMP1928)
Carcinogenic. group 2A	0.187	COMP9	(0.073 COMP1928)
Carcinogenic. group 2B	0.183	COMP9	
Carcinogenic. group 3	0.448	COMP1927/COMP1929	(0.387 COMP1926) (0.322 COMP9)
Cardiodepressant	0.277	COMP9	
Cytotoxic	0.410	COMP1926	(0.354 COMP1927/COMP1929) (0.214 COMP9) (0.160 COMP1928)
DNA damaging	0.229	COMP9	(0.171 COMP1927/COMP1929)
Embryotoxic	0.693	COMP1927/COMP1929	(0.654 COMP1926) (0.249 COMP9)
Eye irritation. high	0.412	COMP9	(0.332 COMP1927/COMP1929) (0.277 COMP1926) (0.148 COMP1928)
Genotoxic	0.184	COMP9	
Hypoglycemic	0.305	COMP9	
Mutagenic	0.776	COMP1927/COMP1929	(0.588 COMP1926) (0.257 COMP9) (0.197 COMP1928)
Pneumotoxic	0.443	COMP9	(0.369 COMP1926) (0.317 COMP1927/COMP1929) (0.228 COMP1928)
Sedative	0.269	COMP9	(0.137 COMP1928)
Sensitization	0.558	COMP1927/COMP1929	(0.473 COMP9) (0.429 COMP1926) (0.171 COMP1928)
Skin irritative effect	0.516	COMP9	(0.505 COMP1926) (0.412 COMP1927/COMP1929) (0.101 COMP1928)
Teratogen	0.694	COMP1927/COMP1929	(0.652 COMP1926) (0.235 COMP9)
Toxic. respiratory center	0.140	COMP1927/COMP1929	
Ulceration	0.580	COMP9	(0.286 COMP1928)
