Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.382	COMP9	(0.350 COMP1927/COMP1929) (0.342 COMP1926) (0.263 COMP1928)
Adenosine uptake inhibitor	0.040	COMP9	
Dopamine uptake inhibitor	0.056	COMP9	
Electron transport complex I inhibitor	0.122	COMP9	
Endocannabinoid uptake inhibitor	0.070	COMP9	
Excitatory amino acid transporter 3 inhibitor	0.026	COMP9	
Excitatory amino acid transporter EAAC1 inhibitor	0.205	COMP9	(0.109 COMP1928)
GABA uptake inhibitor	0.043	COMP9	
Glycine transporter 2 inhibitor	0.092	COMP9	
Glycine transporter inhibitor	0.044	COMP9	
Ileal bile acid transport inhibitor	0.018	COMP9	
Proline transporter inhibitor	0.015	COMP9	
Sodium-dependent vitamin C transporter 2 inhibitor	0.042	COMP9	
Sodium/bile acid cotransporter inhibitor	0.411	COMP9	(0.311 COMP1928)
Sodium/glucose cotransporter 1 inhibitor	0.040	COMP9	
Sodium/glucose cotransporter 2 inhibitor	0.046	COMP9	
Sodium/glucose cotransporter inhibitor	0.041	COMP9	
Sodium/hydrogen exchanger 3 inhibitor	0.012	COMP9	
Urate transporter 1 inhibitor	0.068	COMP9	
Vesicular glutamate transport inhibitor	0.020	COMP9	
