Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP128/COMP478/COMP499/COMP513/COMP624	(0.469 COMP1061/COMP1890/COMP1908) (0.432 COMP1673/COMP1674) (0.427 COMP1909) (0.412 COMP1254) (0.366 COMP501) (0.362 COMP77) (0.346 COMP697/COMP889) (0.339 COMP1902) (0.332 COMP1920) (0.324 COMP389/COMP390) (0.309 COMP1758) (0.246 COMP728) (0.233 COMP1900) (0.231 COMP1119) (0.225 COMP887) (0.182 COMP548/COMP683) (0.180 COMP155) (0.174 COMP9) (0.171 COMP60) (0.169 COMP126) (0.168 COMP112/COMP134) (0.163 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.158 COMP521) (0.157 COMP525) (0.154 COMP474) (0.146 COMP114/COMP131) (0.144 COMP124) (0.140 COMP1425/COMP1428/COMP1508/COMP1891/COMP473/COMP475) (0.139 COMP144/COMP179/COMP19/COMP633) (0.138 COMP598) (0.137 COMP1100) (0.136 COMP122) (0.135 COMP1116/COMP1261) (0.133 COMP109/COMP136/COMP145) (0.131 COMP1896) (0.128 COMP271) (0.127 COMP1917/COMP505) (0.126 COMP616) (0.124 COMP1888/COMP1893/COMP297) (0.123 COMP113/COMP132/COMP142) (0.122 COMP158/COMP172) (0.120 COMP1244) (0.119 COMP26/COMP28/COMP322) (0.115 COMP1913) (0.114 COMP1241) (0.113 COMP154) (0.112 COMP509/COMP872) (0.107 COMP261) (0.106 COMP1881) (0.105 COMP1309) (0.104 COMP11/COMP8) (0.102 COMP1883) (0.099 COMP1/COMP1894/COMP6) (0.098 COMP1181/COMP153/COMP1878/COMP1879) (0.094 COMP544) (0.092 COMP1880/COMP1910) (0.090 COMP141/COMP547) (0.089 COMP1895/COMP1903/COMP1911) (0.084 COMP941)
AR expression inhibitor	0.991	COMP128/COMP478/COMP499/COMP513/COMP624	(0.987 COMP1673/COMP1674) (0.958 COMP1061/COMP1890/COMP1908) (0.946 COMP1917) (0.938 COMP1564) (0.901 COMP1119) (0.884 COMP1/COMP1894) (0.856 COMP1254) (0.844 COMP1567) (0.843 COMP1556) (0.832 COMP100) (0.813 COMP1913) (0.805 COMP1572/COMP1574) (0.793 COMP46) (0.792 COMP1580) (0.731 COMP302) (0.717 COMP1916) (0.707 COMP1881) (0.706 COMP296/COMP509/COMP524) (0.697 COMP1569) (0.680 COMP1892) (0.673 COMP1901) (0.672 COMP1880) (0.670 COMP1425/COMP1428/COMP1508) (0.668 COMP1905) (0.659 COMP389/COMP390) (0.658 COMP11/COMP8) (0.653 COMP1914/COMP299/COMP955) (0.652 COMP697/COMP889) (0.651 COMP1116/COMP1261) (0.643 COMP1878/COMP1879) (0.640 COMP1238/COMP335/COMP474) (0.635 COMP1758) (0.631 COMP683) (0.626 COMP633) (0.616 COMP1893) (0.614 COMP548) (0.613 COMP728) (0.596 COMP112/COMP134) (0.594 COMP1909) (0.587 COMP1193/COMP887) (0.578 COMP1562/COMP1918) (0.577 COMP150/COMP151/COMP163) (0.575 COMP1888/COMP297) (0.557 COMP1899/COMP1906) (0.556 COMP26/COMP28) (0.540 COMP60) (0.536 COMP109/COMP136/COMP145) (0.532 COMP1907) (0.530 COMP1920) (0.509 COMP261) (0.504 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.500 COMP941) (0.499 COMP122) (0.492 COMP1900) (0.489 COMP1910) (0.486 COMP1897) (0.485 COMP77) (0.484 COMP1911) (0.481 COMP1902) (0.474 COMP271) (0.471 COMP141/COMP547) (0.450 COMP1100/COMP1895/COMP1903) (0.445 COMP123/COMP161) (0.440 COMP1240/COMP1247/COMP295) (0.431 COMP1915/COMP595) (0.422 COMP521) (0.416 COMP1016/COMP1024) (0.412 COMP1883) (0.388 COMP1896) (0.387 COMP179/COMP505) (0.375 COMP184) (0.363 COMP322) (0.353 COMP1886) (0.350 COMP1885/COMP1904) (0.347 COMP1891/COMP473/COMP475) (0.343 COMP124) (0.338 COMP1181/COMP153/COMP1578/COMP1887) (0.322 COMP1919) (0.321 COMP598) (0.320 COMP113/COMP132/COMP142) (0.297 COMP1309) (0.296 COMP126) (0.278 COMP616) (0.268 COMP6) (0.264 COMP501) (0.261 COMP144/COMP19) (0.255 COMP114/COMP131) (0.243 COMP872) (0.236 COMP154) (0.235 COMP525) (0.231 COMP1884) (0.225 COMP1244) (0.222 COMP9) (0.187 COMP1912) (0.181 COMP155)
CTGF expression inhibitor	0.882	COMP1917	(0.821 COMP1758/COMP389/COMP390) (0.815 COMP1556) (0.811 COMP77) (0.807 COMP697/COMP889) (0.802 COMP887) (0.801 COMP100) (0.787 COMP1567) (0.786 COMP509) (0.777 COMP26/COMP28) (0.771 COMP1880) (0.766 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.761 COMP1881) (0.759 COMP1913) (0.748 COMP1569) (0.740 COMP1574) (0.731 COMP728) (0.719 COMP1909) (0.716 COMP1673/COMP1674) (0.713 COMP941) (0.710 COMP505) (0.706 COMP1878/COMP1879) (0.704 COMP128/COMP1572/COMP478/COMP499/COMP513/COMP60/COMP624) (0.688 COMP1580) (0.686 COMP1891/COMP473/COMP475) (0.683 COMP1900) (0.678 COMP1911) (0.677 COMP271) (0.664 COMP1883) (0.653 COMP1910) (0.652 COMP683) (0.640 COMP261) (0.635 COMP179) (0.633 COMP1100) (0.611 COMP501) (0.610 COMP322) (0.608 COMP46) (0.604 COMP1309) (0.581 COMP122) (0.563 COMP123/COMP161) (0.551 COMP144/COMP19) (0.540 COMP1916) (0.533 COMP598) (0.515 COMP1885/COMP1904) (0.501 COMP1886) (0.484 COMP1578/COMP1887) (0.475 COMP184) (0.473 COMP1889) (0.464 COMP521) (0.463 COMP1/COMP1894) (0.456 COMP1061/COMP1890/COMP1908) (0.451 COMP1892) (0.443 COMP604) (0.436 COMP9) (0.413 COMP544) (0.410 COMP1193) (0.408 COMP474) (0.393 COMP872) (0.387 COMP1116/COMP1261) (0.384 COMP1896) (0.380 COMP525) (0.377 COMP1915/COMP595) (0.376 COMP154/COMP616) (0.374 COMP1241) (0.363 COMP1425/COMP1428/COMP1508) (0.353 COMP109/COMP114/COMP131/COMP136/COMP145) (0.342 COMP6) (0.340 COMP1571) (0.334 COMP1919) (0.332 COMP1893) (0.318 COMP1897) (0.308 COMP1240/COMP1247/COMP295) (0.305 COMP155) (0.302 COMP296/COMP524) (0.294 COMP1888/COMP297) (0.283 COMP158/COMP172) (0.280 COMP1016/COMP1024) (0.278 COMP112/COMP134) (0.273 COMP1901) (0.267 COMP11/COMP8) (0.266 COMP1244/COMP1905) (0.265 COMP633) (0.264 COMP141/COMP547) (0.257 COMP1254) (0.254 COMP1238/COMP335) (0.244 COMP1562/COMP1918) (0.233 COMP1899/COMP1906) (0.231 COMP126) (0.228 COMP1181/COMP153) (0.226 COMP1895/COMP1903) (0.223 COMP113/COMP132/COMP142/COMP1914/COMP299/COMP955) (0.213 COMP302) (0.212 COMP1902) (0.202 COMP124) (0.201 COMP1912) (0.196 COMP1907) (0.194 COMP1119/COMP1882/COMP355)
GRP78 expression inhibitor	0.041	COMP1309	(0.039 COMP474) (0.033 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627/COMP683) (0.032 COMP1100/COMP1886) (0.031 COMP122) (0.030 COMP109/COMP136/COMP145/COMP322/COMP60) (0.027 COMP1885/COMP1891/COMP1904/COMP473/COMP475/COMP501) (0.026 COMP1897/COMP1900) (0.025 COMP114/COMP131/COMP144/COMP19/COMP271) (0.024 COMP1562/COMP1909/COMP1918) (0.023 COMP112/COMP134/COMP1882/COMP1896/COMP1907/COMP1910/COMP26/COMP28/COMP355/COMP872) (0.022 COMP9) (0.021 COMP1883/COMP1911/COMP697/COMP889) (0.020 COMP1193/COMP179/COMP505/COMP544/COMP616)
ICAM1 expression inhibitor	0.785	COMP155	(0.611 COMP46) (0.594 COMP1905) (0.590 COMP1901) (0.587 COMP1900) (0.583 COMP1916) (0.571 COMP1238/COMP335) (0.558 COMP1562/COMP1918) (0.540 COMP1907) (0.539 COMP1899/COMP1906) (0.530 COMP1917) (0.503 COMP184/COMP1910) (0.502 COMP112/COMP134) (0.500 COMP1911) (0.498 COMP1181/COMP153) (0.496 COMP158/COMP172) (0.493 COMP474) (0.482 COMP1580) (0.481 COMP872) (0.480 COMP389/COMP390) (0.477 COMP26/COMP28) (0.476 COMP697/COMP889) (0.472 COMP100) (0.471 COMP1567/COMP633) (0.470 COMP1100) (0.468 COMP1556/COMP1758) (0.464 COMP1193) (0.463 COMP1572/COMP60) (0.461 COMP1893) (0.460 COMP1574/COMP1919) (0.453 COMP1241) (0.452 COMP887) (0.451 COMP1881/COMP1909) (0.449 COMP123/COMP161/COMP941) (0.448 COMP154) (0.446 COMP683) (0.442 COMP598) (0.441 COMP1244) (0.436 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.434 COMP1880) (0.433 COMP1425/COMP1428/COMP1508) (0.432 COMP271) (0.429 COMP728) (0.427 COMP1878/COMP1879/COMP6) (0.426 COMP505) (0.424 COMP1564/COMP1578/COMP1887) (0.423 COMP548) (0.422 COMP1896) (0.413 COMP77) (0.412 COMP616) (0.405 COMP150/COMP151/COMP163/COMP544) (0.399 COMP122) (0.395 COMP179) (0.392 COMP1061/COMP1116/COMP1261/COMP1890/COMP1908) (0.388 COMP1914/COMP299/COMP955) (0.386 COMP114/COMP131) (0.381 COMP144/COMP1885/COMP19/COMP1904) (0.380 COMP261) (0.372 COMP322) (0.371 COMP109/COMP136/COMP145) (0.370 COMP1888/COMP297) (0.366 COMP1254) (0.360 COMP126/COMP9) (0.354 COMP1891/COMP473/COMP475) (0.353 COMP141/COMP547) (0.347 COMP1569) (0.346 COMP1883) (0.345 COMP1309) (0.340 COMP296/COMP524) (0.337 COMP124) (0.335 COMP1673/COMP1674/COMP509) (0.333 COMP1119) (0.325 COMP525) (0.321 COMP1886) (0.311 COMP113/COMP132/COMP142) (0.290 COMP1895/COMP1903) (0.284 COMP1884) (0.283 COMP1913) (0.274 COMP501) (0.273 COMP1897) (0.257 COMP1892) (0.247 COMP1920) (0.246 COMP11/COMP8) (0.240 COMP1240/COMP1247/COMP295) (0.238 COMP1/COMP1894) (0.234 COMP1016/COMP1024) (0.225 COMP1902) (0.218 COMP521) (0.213 COMP1912) (0.201 COMP302)
LDLR expression enhancer	0.365	COMP77	(0.335 COMP1119) (0.327 COMP1569/COMP1880) (0.312 COMP887) (0.307 COMP1574/COMP728) (0.306 COMP100/COMP271) (0.305 COMP1917) (0.301 COMP122) (0.299 COMP1580) (0.287 COMP1572/COMP1878/COMP1879) (0.280 COMP525) (0.279 COMP1556) (0.275 COMP1254) (0.273 COMP296/COMP524) (0.272 COMP261/COMP683) (0.266 COMP389/COMP390) (0.263 COMP1567) (0.262 COMP179/COMP60) (0.258 COMP1758) (0.255 COMP1881/COMP505) (0.249 COMP697/COMP889) (0.245 COMP1425/COMP1428/COMP1508) (0.237 COMP1914/COMP299/COMP955) (0.235 COMP302) (0.229 COMP1100/COMP616) (0.228 COMP474) (0.227 COMP1891/COMP473/COMP475) (0.225 COMP544/COMP941) (0.224 COMP1909) (0.223 COMP1/COMP1894/COMP9) (0.220 COMP112/COMP134) (0.215 COMP1309/COMP1900) (0.214 COMP11/COMP8) (0.211 COMP126/COMP1911) (0.210 COMP26/COMP28) (0.208 COMP1181/COMP153/COMP322) (0.207 COMP1910) (0.206 COMP1244/COMP1912/COMP548) (0.203 COMP1116/COMP1261) (0.201 COMP184/COMP1913) (0.194 COMP158/COMP172/COMP1896) (0.192 COMP501) (0.189 COMP124) (0.188 COMP521) (0.187 COMP123/COMP161) (0.186 COMP1886) (0.178 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627/COMP633) (0.176 COMP155) (0.173 COMP1564) (0.172 COMP154) (0.171 COMP1889) (0.166 COMP6) (0.163 COMP1241) (0.162 COMP1061/COMP1890/COMP1908) (0.160 COMP1893) (0.158 COMP109/COMP136/COMP145/COMP598) (0.152 COMP1571/COMP1673/COMP1674/COMP509) (0.147 COMP113/COMP132/COMP142) (0.146 COMP1885/COMP1904) (0.145 COMP150/COMP151/COMP163) (0.141 COMP144/COMP19) (0.139 COMP1578/COMP1887) (0.138 COMP872) (0.136 COMP1919)
NOS2 expression inhibitor	0.972	COMP1238/COMP335	(0.970 COMP1899/COMP1906) (0.967 COMP1901/COMP46) (0.964 COMP1905) (0.962 COMP1562/COMP1907/COMP1916/COMP1918) (0.932 COMP1880) (0.907 COMP1878/COMP1879) (0.894 COMP1881) (0.826 COMP1556) (0.800 COMP1574) (0.785 COMP1567) (0.762 COMP1572) (0.759 COMP1917) (0.749 COMP100) (0.743 COMP1580/COMP1913) (0.741 COMP1569) (0.681 COMP548) (0.679 COMP1119) (0.650 COMP1914/COMP299/COMP955) (0.649 COMP887) (0.640 COMP296/COMP524) (0.626 COMP261) (0.613 COMP155) (0.605 COMP1895/COMP1903) (0.604 COMP1240/COMP1247/COMP141/COMP295/COMP547) (0.603 COMP77) (0.585 COMP389/COMP390) (0.578 COMP1181/COMP153) (0.576 COMP1254) (0.575 COMP1758) (0.568 COMP1116/COMP1261) (0.563 COMP302) (0.558 COMP697/COMP889) (0.555 COMP728) (0.544 COMP1888/COMP297) (0.537 COMP1892) (0.533 COMP941) (0.530 COMP633) (0.522 COMP1425/COMP1428/COMP1508/COMP474) (0.517 COMP1893) (0.515 COMP26/COMP28) (0.509 COMP123/COMP161) (0.508 COMP271) (0.506 COMP1910) (0.502 COMP1911) (0.495 COMP505) (0.492 COMP184) (0.488 COMP11/COMP8) (0.485 COMP179) (0.471 COMP1900) (0.470 COMP1100) (0.467 COMP1/COMP1894) (0.460 COMP1578/COMP1887) (0.459 COMP1885/COMP1904) (0.457 COMP158/COMP172/COMP60) (0.452 COMP1919) (0.447 COMP1915/COMP595) (0.446 COMP1909) (0.445 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.442 COMP1920) (0.432 COMP525) (0.430 COMP122) (0.428 COMP154) (0.427 COMP1061/COMP1890/COMP1908) (0.419 COMP150/COMP151/COMP163) (0.413 COMP872) (0.412 COMP1886) (0.411 COMP683) (0.410 COMP112/COMP134) (0.402 COMP6) (0.397 COMP521/COMP616) (0.384 COMP598) (0.376 COMP144/COMP1891/COMP19/COMP473/COMP475) (0.374 COMP1244) (0.372 COMP124) (0.371 COMP126) (0.369 COMP544) (0.362 COMP1309) (0.361 COMP1016/COMP1024/COMP322) (0.358 COMP109/COMP136/COMP145/COMP9) (0.355 COMP1673/COMP1674/COMP509) (0.351 COMP113/COMP132/COMP142) (0.345 COMP1902) (0.337 COMP501) (0.327 COMP1883) (0.321 COMP1241) (0.317 COMP1896) (0.315 COMP1193) (0.308 COMP1897) (0.290 COMP128/COMP478/COMP499/COMP513/COMP624) (0.271 COMP114/COMP131) (0.202 COMP604) (0.200 COMP1889) (0.191 COMP1912) (0.161 COMP1571) (0.155 COMP1564)
NOS3 expression enhancer	0.722	COMP46	(0.673 COMP1909/COMP389/COMP390) (0.672 COMP697/COMP889) (0.662 COMP1917) (0.656 COMP1758) (0.644 COMP1901/COMP1905) (0.622 COMP1916) (0.588 COMP1238/COMP335) (0.576 COMP1913) (0.552 COMP1562/COMP1918/COMP728) (0.550 COMP887) (0.496 COMP1899/COMP1906) (0.485 COMP1881) (0.476 COMP1907) (0.435 COMP683) (0.423 COMP1880) (0.421 COMP941) (0.386 COMP1878/COMP1879) (0.381 COMP60) (0.380 COMP1900) (0.324 COMP521) (0.313 COMP100) (0.304 COMP1580) (0.302 COMP261) (0.294 COMP474) (0.283 COMP271) (0.269 COMP1556) (0.263 COMP77) (0.262 COMP1567) (0.261 COMP122) (0.253 COMP1254) (0.236 COMP1574) (0.234 COMP1569) (0.227 COMP1572) (0.218 COMP1425/COMP1428/COMP1508) (0.203 COMP302) (0.199 COMP1100/COMP322) (0.191 COMP1061/COMP1890/COMP1908) (0.171 COMP11/COMP8) (0.170 COMP26/COMP28) (0.164 COMP1119) (0.161 COMP1896) (0.160 COMP179) (0.153 COMP1571) (0.151 COMP1910) (0.147 COMP1016/COMP1024) (0.143 COMP1889) (0.141 COMP1911) (0.140 COMP1888/COMP297/COMP633) (0.134 COMP1116/COMP1261) (0.132 COMP505) (0.131 COMP616) (0.129 COMP1893/COMP9) (0.119 COMP1241/COMP1886)
NOS3 expression inhibitor	0.910	COMP77	(0.826 COMP1910) (0.823 COMP1911) (0.780 COMP521) (0.764 COMP26/COMP28) (0.757 COMP46) (0.747 COMP1917) (0.731 COMP1919) (0.724 COMP184) (0.710 COMP1562/COMP1918) (0.683 COMP1913) (0.682 COMP1905) (0.674 COMP1901/COMP1916) (0.667 COMP1899/COMP1906) (0.664 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.660 COMP1907) (0.638 COMP1238/COMP261/COMP335) (0.634 COMP474) (0.628 COMP1881) (0.581 COMP1880) (0.561 COMP1878/COMP1879) (0.556 COMP11/COMP8) (0.553 COMP1673/COMP1674/COMP1883/COMP509) (0.539 COMP100) (0.537 COMP1016/COMP1024) (0.526 COMP697/COMP889) (0.523 COMP112/COMP134) (0.511 COMP1758) (0.510 COMP1888/COMP297) (0.508 COMP1556) (0.506 COMP389/COMP390) (0.502 COMP1580) (0.490 COMP1567) (0.486 COMP1891/COMP473/COMP475) (0.476 COMP1574) (0.471 COMP1119) (0.467 COMP1569) (0.464 COMP1909) (0.460 COMP179/COMP505) (0.454 COMP1572/COMP887) (0.451 COMP60) (0.449 COMP1254) (0.440 COMP1425/COMP1428/COMP1508) (0.437 COMP109/COMP136/COMP145) (0.433 COMP683) (0.429 COMP728) (0.426 COMP123/COMP161) (0.423 COMP1193) (0.422 COMP1892) (0.417 COMP1244) (0.412 COMP1100) (0.410 COMP1241/COMP1893) (0.405 COMP1900) (0.403 COMP1920) (0.400 COMP271) (0.395 COMP1116/COMP1261) (0.393 COMP1902) (0.390 COMP126) (0.389 COMP1896) (0.384 COMP296/COMP524) (0.369 COMP598) (0.368 COMP322) (0.363 COMP633) (0.362 COMP122/COMP1886) (0.344 COMP872/COMP9) (0.343 COMP158/COMP172) (0.342 COMP548) (0.325 COMP1061/COMP1885/COMP1890/COMP1904/COMP1908) (0.320 COMP941) (0.315 COMP616) (0.314 COMP114/COMP131) (0.309 COMP128/COMP478/COMP499/COMP513/COMP624) (0.295 COMP1309) (0.294 COMP1895/COMP1903/COMP1914/COMP299/COMP955) (0.293 COMP525) (0.287 COMP544) (0.286 COMP1578/COMP1887) (0.284 COMP1564) (0.280 COMP1884) (0.273 COMP501) (0.270 COMP144/COMP19) (0.266 COMP302) (0.262 COMP1897) (0.255 COMP150/COMP151/COMP163) (0.227 COMP1/COMP1894) (0.226 COMP113/COMP132/COMP142) (0.205 COMP155) (0.202 COMP124) (0.200 COMP1240/COMP1247/COMP141/COMP295/COMP547)
TNF expression inhibitor	0.987	COMP1884	(0.965 COMP1899/COMP1906) (0.952 COMP1562/COMP1918) (0.946 COMP1907) (0.927 COMP1238/COMP335) (0.922 COMP1880) (0.912 COMP1901) (0.903 COMP1905) (0.899 COMP77) (0.892 COMP1911) (0.890 COMP1116/COMP1261) (0.887 COMP296/COMP524) (0.885 COMP1878/COMP1879) (0.882 COMP1881) (0.880 COMP1910/COMP1916) (0.870 COMP11/COMP8) (0.869 COMP46) (0.858 COMP1914/COMP299/COMP955) (0.857 COMP26/COMP28) (0.845 COMP1119/COMP1919) (0.833 COMP887) (0.825 COMP1893) (0.815 COMP184) (0.805 COMP633) (0.801 COMP389/COMP390) (0.785 COMP1758) (0.774 COMP1425/COMP1428/COMP1508) (0.772 COMP697/COMP889) (0.764 COMP1578/COMP1887) (0.763 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.760 COMP728) (0.749 COMP1254/COMP1900) (0.735 COMP1917) (0.699 COMP100) (0.696 COMP1556) (0.691 COMP1569) (0.684 COMP1885/COMP1904) (0.678 COMP1574) (0.664 COMP1909) (0.663 COMP261) (0.658 COMP302) (0.657 COMP1580/COMP474) (0.656 COMP941) (0.653 COMP1567) (0.651 COMP271) (0.636 COMP1572) (0.634 COMP1181/COMP153) (0.629 COMP112/COMP134) (0.619 COMP60) (0.618 COMP548) (0.615 COMP598) (0.611 COMP1061/COMP1890/COMP1908) (0.607 COMP505) (0.605 COMP1883) (0.601 COMP1/COMP1894) (0.590 COMP1891/COMP473/COMP475) (0.587 COMP123/COMP161) (0.586 COMP122) (0.584 COMP683) (0.583 COMP179) (0.582 COMP158/COMP172) (0.578 COMP1016/COMP1024) (0.562 COMP1888/COMP297) (0.544 COMP1892) (0.542 COMP1673/COMP1674/COMP509) (0.539 COMP1100) (0.535 COMP1244/COMP126/COMP616) (0.527 COMP109/COMP136/COMP145) (0.517 COMP322) (0.515 COMP525) (0.514 COMP154) (0.505 COMP1896) (0.499 COMP544) (0.496 COMP6) (0.493 COMP141/COMP547) (0.489 COMP521) (0.486 COMP1913) (0.485 COMP1886) (0.484 COMP150/COMP151/COMP163) (0.475 COMP144/COMP19) (0.469 COMP9) (0.457 COMP1241) (0.456 COMP124/COMP1895/COMP1903) (0.454 COMP1897) (0.448 COMP128/COMP478/COMP499/COMP513/COMP624) (0.447 COMP155) (0.444 COMP1193) (0.441 COMP872) (0.435 COMP1889) (0.426 COMP113/COMP132/COMP142) (0.418 COMP1309) (0.407 COMP1240/COMP1247/COMP295) (0.406 COMP501) (0.346 COMP1920) (0.342 COMP114/COMP131) (0.325 COMP1915/COMP595) (0.315 COMP1571) (0.295 COMP1902) (0.254 COMP604) (0.253 COMP1882/COMP355) (0.225 COMP1912)
