Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.933	COMP509	(0.928 COMP128/COMP478/COMP499/COMP513/COMP624) (0.920 COMP1/COMP1894) (0.909 COMP1673/COMP1674) (0.845 COMP1915/COMP595) (0.830 COMP1061/COMP1890/COMP1908) (0.792 COMP296/COMP524) (0.750 COMP1895/COMP1903) (0.695 COMP1116/COMP1261) (0.638 COMP1891/COMP473/COMP475) (0.580 COMP141/COMP547) (0.569 COMP1425/COMP1428/COMP1508) (0.544 COMP1016/COMP1024) (0.493 COMP1910) (0.488 COMP1911) (0.481 COMP1240/COMP1247/COMP295) (0.474 COMP1888/COMP1919/COMP297) (0.472 COMP1119) (0.471 COMP1892) (0.421 COMP26/COMP28) (0.408 COMP1920/COMP604) (0.405 COMP548) (0.399 COMP1254) (0.394 COMP1893) (0.387 COMP1914/COMP299/COMP955) (0.378 COMP633) (0.371 COMP302) (0.352 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.350 COMP184) (0.334 COMP1909) (0.332 COMP77) (0.330 COMP598) (0.325 COMP11/COMP8) (0.307 COMP697/COMP889) (0.306 COMP389/COMP390) (0.288 COMP1758) (0.277 COMP144/COMP19) (0.269 COMP1883) (0.254 COMP887) (0.252 COMP1902) (0.246 COMP1241) (0.245 COMP728) (0.213 COMP474) (0.212 COMP6) (0.197 COMP109/COMP136/COMP145) (0.193 COMP941) (0.186 COMP123/COMP154/COMP161) (0.181 COMP1898) (0.157 COMP261) (0.152 COMP150/COMP151/COMP163/COMP60) (0.151 COMP521) (0.146 COMP1244) (0.144 COMP158/COMP172) (0.143 COMP683) (0.141 COMP1100/COMP112/COMP134) (0.140 COMP126/COMP872) (0.135 COMP271) (0.133 COMP1900) (0.132 COMP179/COMP505) (0.131 COMP501/COMP616) (0.130 COMP114/COMP131) (0.127 COMP1181/COMP153) (0.125 COMP1564) (0.124 COMP124/COMP155) (0.122 COMP122/COMP544) (0.121 COMP1896) (0.117 COMP322) (0.115 COMP1193/COMP1912) (0.108 COMP1886) (0.107 COMP1309) (0.103 COMP1885/COMP1904)
Aldehyde dehydrogenase substrate	0.934	COMP128/COMP478/COMP499/COMP513/COMP624	(0.902 COMP1673/COMP1674) (0.809 COMP509) (0.783 COMP1/COMP1894) (0.698 COMP1061/COMP1890/COMP1908) (0.603 COMP1915/COMP595) (0.351 COMP141/COMP547) (0.349 COMP1895/COMP1903) (0.341 COMP604) (0.336 COMP1911) (0.335 COMP1910) (0.327 COMP1891/COMP473/COMP475) (0.314 COMP1240/COMP1247/COMP295) (0.311 COMP26/COMP28) (0.309 COMP1888/COMP297) (0.296 COMP1892) (0.294 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.281 COMP1919) (0.280 COMP1920) (0.268 COMP1425/COMP1428/COMP1508/COMP184) (0.260 COMP548) (0.247 COMP1883/COMP598) (0.243 COMP1898) (0.240 COMP1893) (0.223 COMP1116/COMP1261) (0.221 COMP1016/COMP1024) (0.219 COMP389/COMP390) (0.217 COMP60) (0.211 COMP144/COMP19/COMP1909/COMP697/COMP889) (0.210 COMP1254) (0.209 COMP1758) (0.207 COMP1241) (0.206 COMP683/COMP887) (0.203 COMP1119/COMP296/COMP524) (0.202 COMP271/COMP633) (0.188 COMP1100/COMP728) (0.185 COMP6) (0.183 COMP1902) (0.179 COMP122/COMP261) (0.174 COMP941) (0.166 COMP154) (0.149 COMP322) (0.146 COMP11/COMP1886/COMP8) (0.134 COMP1896) (0.132 COMP150/COMP151/COMP163/COMP521) (0.129 COMP1309/COMP302) (0.124 COMP1900) (0.123 COMP1914/COMP299/COMP955) (0.122 COMP1244) (0.116 COMP123/COMP161) (0.115 COMP158/COMP172) (0.111 COMP179/COMP505) (0.098 COMP1885/COMP1904)
Aldehyde oxidase substrate	0.390	COMP1898	(0.332 COMP128/COMP478/COMP499/COMP513/COMP521/COMP624) (0.325 COMP261) (0.322 COMP60) (0.303 COMP271) (0.295 COMP683) (0.292 COMP1309) (0.279 COMP322) (0.262 COMP1889) (0.259 COMP122) (0.257 COMP1578/COMP1887) (0.255 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.250 COMP598) (0.247 COMP1100/COMP1673/COMP1674) (0.239 COMP9) (0.228 COMP1886) (0.219 COMP389/COMP390) (0.216 COMP1909/COMP505) (0.212 COMP1891/COMP473/COMP475/COMP604) (0.205 COMP887) (0.204 COMP941) (0.198 COMP509) (0.197 COMP1896) (0.196 COMP1912) (0.194 COMP1915/COMP595) (0.191 COMP1900) (0.190 COMP1883) (0.186 COMP1910/COMP26/COMP28) (0.184 COMP179) (0.183 COMP1758) (0.181 COMP1061/COMP1890/COMP1892/COMP1908) (0.180 COMP501/COMP697/COMP889) (0.176 COMP616) (0.173 COMP728) (0.170 COMP1/COMP1894) (0.168 COMP1885/COMP1904) (0.166 COMP1911) (0.165 COMP1569) (0.162 COMP525) (0.156 COMP544) (0.155 COMP1917) (0.149 COMP1254/COMP1580) (0.144 COMP1571) (0.142 COMP123/COMP1244/COMP161) (0.137 COMP1241/COMP1556) (0.136 COMP1914/COMP299/COMP955) (0.135 COMP633)
Aldose reductase substrate	0.992	COMP128/COMP478/COMP499/COMP513/COMP624	(0.987 COMP1673/COMP1674) (0.949 COMP1061/COMP1890/COMP1908) (0.797 COMP509) (0.737 COMP1/COMP1894) (0.461 COMP1562/COMP1918) (0.435 COMP1907) (0.410 COMP1899/COMP1906) (0.379 COMP46) (0.373 COMP1916) (0.368 COMP1905) (0.358 COMP1901) (0.338 COMP1116/COMP1261) (0.336 COMP1238/COMP335) (0.300 COMP1425/COMP1428/COMP1508) (0.298 COMP1884) (0.289 COMP1919) (0.248 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.224 COMP1909/COMP633) (0.214 COMP1891/COMP473/COMP475) (0.204 COMP697/COMP889) (0.202 COMP1893) (0.201 COMP1896) (0.194 COMP1910/COMP26/COMP28) (0.190 COMP1758/COMP389/COMP390) (0.182 COMP728) (0.180 COMP1100/COMP887) (0.179 COMP1883/COMP1911) (0.177 COMP1913) (0.165 COMP60) (0.161 COMP322) (0.160 COMP122) (0.159 COMP271) (0.152 COMP296/COMP524/COMP683) (0.136 COMP501) (0.134 COMP1885/COMP1904) (0.128 COMP1578/COMP1887) (0.125 COMP1886)
Arylamine N-Acetyltransferase substrate	0.417	COMP1100	(0.393 COMP1886) (0.392 COMP1910) (0.390 COMP1911) (0.381 COMP26/COMP28) (0.377 COMP1885/COMP1904) (0.350 COMP60) (0.332 COMP683) (0.318 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.238 COMP271) (0.234 COMP322) (0.219 COMP697/COMP889) (0.214 COMP122) (0.196 COMP1758) (0.189 COMP1919) (0.188 COMP1578/COMP1887) (0.186 COMP1889) (0.185 COMP389/COMP390) (0.174 COMP1883) (0.172 COMP1909) (0.171 COMP1896) (0.160 COMP184) (0.150 COMP1898) (0.148 COMP1900) (0.138 COMP1917) (0.137 COMP521) (0.133 COMP179) (0.131 COMP1891/COMP473/COMP475) (0.129 COMP1254/COMP941) (0.123 COMP505) (0.121 COMP1309) (0.118 COMP1016/COMP1024/COMP1567) (0.115 COMP887) (0.110 COMP1556) (0.099 COMP728) (0.098 COMP1673/COMP1674/COMP509) (0.097 COMP261/COMP501) (0.094 COMP1119/COMP9) (0.073 COMP1569) (0.066 COMP302)
CYP1A2 inhibitor	0.931	COMP100	(0.920 COMP1556) (0.913 COMP1567) (0.889 COMP1574) (0.881 COMP1572) (0.873 COMP1917) (0.843 COMP1913) (0.823 COMP1880) (0.793 COMP1878/COMP1879) (0.790 COMP1580) (0.777 COMP1569) (0.701 COMP1881) (0.430 COMP887) (0.417 COMP941) (0.400 COMP728) (0.379 COMP1758) (0.362 COMP389/COMP390) (0.353 COMP261) (0.352 COMP697/COMP889) (0.320 COMP1916) (0.289 COMP1886) (0.286 COMP1909) (0.280 COMP46) (0.267 COMP1238/COMP335) (0.265 COMP525) (0.260 COMP271) (0.250 COMP1899/COMP1906) (0.244 COMP1900) (0.240 COMP122/COMP1885/COMP1904) (0.239 COMP521) (0.237 COMP1578/COMP1887) (0.235 COMP1309/COMP1907) (0.230 COMP1901) (0.227 COMP6) (0.223 COMP1119) (0.221 COMP1254) (0.220 COMP1905) (0.219 COMP179) (0.217 COMP60) (0.215 COMP505) (0.208 COMP154) (0.205 COMP683) (0.200 COMP1562/COMP1918) (0.197 COMP1891/COMP473/COMP475) (0.196 COMP296/COMP524) (0.189 COMP1889) (0.187 COMP1100) (0.182 COMP604) (0.178 COMP322) (0.174 COMP616) (0.173 COMP9) (0.171 COMP1912)
CYP1A2 substrate	0.932	COMP1878/COMP1879	(0.931 COMP1880) (0.928 COMP1881) (0.909 COMP1917) (0.872 COMP1578/COMP1887) (0.805 COMP1913) (0.788 COMP1885/COMP1904) (0.760 COMP261) (0.716 COMP1562/COMP1918) (0.694 COMP1907) (0.690 COMP1899/COMP1906) (0.682 COMP1905) (0.671 COMP521) (0.662 COMP1901) (0.659 COMP1238/COMP335) (0.639 COMP941) (0.604 COMP1758) (0.590 COMP509) (0.585 COMP728) (0.578 COMP1567) (0.574 COMP697/COMP889) (0.569 COMP389/COMP390) (0.564 COMP887) (0.557 COMP46) (0.555 COMP100) (0.553 COMP1556) (0.535 COMP1910) (0.532 COMP26/COMP28) (0.515 COMP1909) (0.513 COMP1911) (0.502 COMP1569) (0.488 COMP1891/COMP473/COMP475) (0.484 COMP1919) (0.481 COMP1572) (0.473 COMP179) (0.468 COMP1580) (0.458 COMP525) (0.456 COMP1574) (0.447 COMP505) (0.443 COMP1673/COMP1674) (0.438 COMP1254) (0.437 COMP1309) (0.428 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.427 COMP1/COMP1894) (0.414 COMP1916) (0.410 COMP616) (0.407 COMP1886) (0.397 COMP683) (0.389 COMP9) (0.373 COMP1016/COMP1024/COMP122) (0.360 COMP6) (0.359 COMP154/COMP60) (0.354 COMP271) (0.345 COMP184/COMP1889) (0.343 COMP1888/COMP297) (0.342 COMP128/COMP478/COMP499/COMP513/COMP624) (0.340 COMP296/COMP524) (0.333 COMP1900) (0.328 COMP501) (0.317 COMP1119) (0.315 COMP474) (0.308 COMP1116/COMP1261) (0.299 COMP1571) (0.298 COMP1100) (0.288 COMP123/COMP161) (0.282 COMP1896) (0.280 COMP1425/COMP1428/COMP1508) (0.275 COMP322) (0.272 COMP1892) (0.269 COMP77) (0.266 COMP1240/COMP1247/COMP295/COMP544) (0.260 COMP872) (0.259 COMP1883) (0.257 COMP1915/COMP595) (0.250 COMP1061/COMP1890/COMP1908) (0.246 COMP604) (0.240 COMP11/COMP8) (0.235 COMP141/COMP547/COMP598) (0.232 COMP1898) (0.223 COMP1920) (0.221 COMP109/COMP136/COMP145) (0.217 COMP112/COMP134/COMP144/COMP19) (0.208 COMP302) (0.205 COMP155) (0.204 COMP1895/COMP1903) (0.201 COMP1914/COMP299/COMP955) (0.195 COMP1241) (0.193 COMP1244) (0.185 COMP1902) (0.181 COMP158/COMP172)
CYP24 inhibitor	0.285	COMP126	(0.132 COMP548) (0.089 COMP1244) (0.070 COMP158/COMP172) (0.068 COMP124) (0.060 COMP77) (0.053 COMP1181/COMP153/COMP521) (0.049 COMP113/COMP132/COMP142) (0.048 COMP1888/COMP297) (0.035 COMP941) (0.034 COMP261/COMP616) (0.027 COMP150/COMP151/COMP163) (0.025 COMP141/COMP547) (0.024 COMP525/COMP9) (0.023 COMP123/COMP1241/COMP161) (0.022 COMP179) (0.021 COMP1309/COMP1758/COMP474/COMP6)
CYP2A6 inhibitor	0.329	COMP604	(0.307 COMP1915/COMP595) (0.252 COMP141/COMP547) (0.234 COMP1309) (0.229 COMP1240/COMP1247/COMP1886/COMP295) (0.200 COMP1119) (0.183 COMP1/COMP1894) (0.182 COMP302) (0.174 COMP1913) (0.167 COMP296/COMP524) (0.164 COMP9) (0.159 COMP1914/COMP299/COMP941/COMP955) (0.156 COMP1254) (0.152 COMP6) (0.151 COMP616) (0.150 COMP521) (0.135 COMP1889) (0.131 COMP154) (0.129 COMP1888/COMP297) (0.123 COMP1572) (0.122 COMP322) (0.119 COMP1241) (0.118 COMP100) (0.114 COMP1892) (0.113 COMP544) (0.111 COMP525) (0.110 COMP1569) (0.103 COMP1574/COMP1895/COMP1903) (0.098 COMP501) (0.095 COMP1896) (0.093 COMP179) (0.092 COMP1900) (0.091 COMP128/COMP478/COMP499/COMP513/COMP624) (0.089 COMP505) (0.087 COMP1920) (0.084 COMP1885/COMP1904/COMP1917) (0.082 COMP1567/COMP1580/COMP872) (0.081 COMP155) (0.080 COMP1673/COMP1674/COMP509) (0.079 COMP1244) (0.074 COMP11/COMP8) (0.073 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.068 COMP1556/COMP548) (0.067 COMP1061/COMP158/COMP172/COMP1890/COMP1908) (0.066 COMP1578/COMP1887/COMP26/COMP28)
CYP2B6 inhibitor	0.556	COMP296/COMP524	(0.522 COMP1119) (0.449 COMP1254) (0.427 COMP1116/COMP1261) (0.414 COMP1569) (0.391 COMP26/COMP28) (0.388 COMP100) (0.386 COMP548) (0.375 COMP1911) (0.367 COMP1891/COMP1910/COMP473/COMP475) (0.362 COMP1913) (0.359 COMP1886) (0.357 COMP1556/COMP1567) (0.349 COMP141/COMP302/COMP547) (0.348 COMP1425/COMP1428/COMP1508) (0.347 COMP1885/COMP1904) (0.342 COMP184) (0.340 COMP1309/COMP1572/COMP1574) (0.338 COMP1914/COMP299/COMP955) (0.330 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.323 COMP1758) (0.320 COMP887) (0.319 COMP1/COMP1894) (0.317 COMP697/COMP889) (0.315 COMP389/COMP390) (0.314 COMP1892) (0.312 COMP1917/COMP261) (0.298 COMP1578/COMP1887/COMP616) (0.295 COMP1673/COMP1674/COMP509) (0.294 COMP1893) (0.289 COMP1909) (0.286 COMP728) (0.285 COMP505) (0.280 COMP941) (0.279 COMP11/COMP8) (0.278 COMP521) (0.277 COMP1016/COMP1024) (0.274 COMP126) (0.272 COMP1883) (0.269 COMP1244) (0.267 COMP179/COMP6) (0.264 COMP1919) (0.261 COMP123/COMP161) (0.260 COMP1900/COMP598/COMP9) (0.259 COMP1580) (0.257 COMP604) (0.254 COMP1061/COMP1890/COMP1908) (0.253 COMP1880) (0.250 COMP128/COMP1889/COMP478/COMP499/COMP513/COMP624) (0.249 COMP1895/COMP1903/COMP525) (0.246 COMP633) (0.244 COMP124/COMP1878/COMP1879) (0.243 COMP271) (0.242 COMP154) (0.239 COMP144/COMP19/COMP1915/COMP1920/COMP322/COMP595) (0.238 COMP60) (0.236 COMP1100/COMP1881) (0.234 COMP544) (0.229 COMP1240/COMP1247/COMP295) (0.226 COMP113/COMP132/COMP142/COMP158/COMP172) (0.222 COMP501) (0.210 COMP683) (0.207 COMP122) (0.206 COMP1888/COMP297) (0.204 COMP872) (0.197 COMP1181/COMP153) (0.189 COMP1902) (0.180 COMP1897) (0.172 COMP109/COMP136/COMP145) (0.170 COMP155) (0.168 COMP1241) (0.161 COMP114/COMP1193/COMP131/COMP1571) (0.157 COMP474) (0.152 COMP77)
