Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.544 COMP26/COMP28) (0.541 COMP11/COMP8) (0.532 COMP296/COMP524) (0.528 COMP1116/COMP1261) (0.521 COMP1893) (0.515 COMP1425/COMP1428/COMP1508) (0.510 COMP1892) (0.507 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.506 COMP1911/COMP548) (0.495 COMP1910) (0.485 COMP184) (0.474 COMP1919) (0.471 COMP150/COMP151/COMP163/COMP1883) (0.468 COMP633) (0.465 COMP1891/COMP473/COMP475) (0.462 COMP1914/COMP299/COMP955) (0.454 COMP1240/COMP1247/COMP295) (0.450 COMP1016/COMP1024) (0.448 COMP112/COMP134/COMP474) (0.442 COMP124) (0.439 COMP1193) (0.435 COMP1920) (0.430 COMP1061/COMP1890/COMP1908) (0.429 COMP697/COMP889) (0.427 COMP1119) (0.426 COMP113/COMP132/COMP142) (0.423 COMP1100) (0.419 COMP60) (0.417 COMP1673/COMP1674/COMP509) (0.416 COMP126) (0.415 COMP1895/COMP1903) (0.413 COMP122/COMP1578/COMP1887/COMP1902) (0.412 COMP1758/COMP1896) (0.411 COMP1254) (0.410 COMP302/COMP598) (0.407 COMP1/COMP1894/COMP683) (0.405 COMP141/COMP271/COMP547) (0.404 COMP109/COMP136/COMP145) (0.400 COMP1888/COMP297) (0.396 COMP1909) (0.392 COMP389/COMP390) (0.385 COMP322) (0.384 COMP728) (0.378 COMP1900) (0.375 COMP521/COMP887) (0.369 COMP261) (0.366 COMP6) (0.361 COMP1244) (0.358 COMP128/COMP478/COMP499/COMP513/COMP624) (0.349 COMP123/COMP161) (0.347 COMP1309) (0.343 COMP1885/COMP1904) (0.338 COMP154) (0.334 COMP1181/COMP153/COMP1915/COMP595) (0.327 COMP114/COMP131) (0.323 COMP144/COMP19) (0.322 COMP1886) (0.321 COMP872) (0.320 COMP1897) (0.286 COMP1913) (0.280 COMP941) (0.277 COMP616) (0.274 COMP505) (0.273 COMP501) (0.259 COMP158/COMP172) (0.246 COMP1881) (0.241 COMP1878/COMP1879) (0.235 COMP179) (0.232 COMP9) (0.225 COMP604) (0.222 COMP1889) (0.217 COMP1569) (0.215 COMP1880/COMP525) (0.212 COMP1882/COMP355) (0.205 COMP544) (0.204 COMP155) (0.203 COMP1556/COMP1567) (0.192 COMP100) (0.191 COMP1580) (0.190 COMP1241) (0.189 COMP1571) (0.177 COMP1572/COMP1574) (0.174 COMP1917) (0.171 COMP1912)
Carcinogenic	0.940	COMP46	(0.925 COMP77) (0.899 COMP1919) (0.890 COMP11/COMP8) (0.881 COMP1119) (0.873 COMP1/COMP1894) (0.867 COMP302) (0.853 COMP1901) (0.849 COMP1905) (0.847 COMP1914/COMP299/COMP955) (0.843 COMP1562/COMP1918) (0.836 COMP1916/COMP296/COMP524) (0.832 COMP1893) (0.828 COMP1116/COMP1261) (0.822 COMP633) (0.816 COMP1254) (0.812 COMP509) (0.811 COMP1673/COMP1674) (0.806 COMP1425/COMP1428/COMP1508) (0.792 COMP123/COMP161) (0.786 COMP1061/COMP1890/COMP1908) (0.778 COMP1238/COMP335) (0.775 COMP1911) (0.774 COMP1895/COMP1903) (0.767 COMP1899/COMP1906) (0.761 COMP1910) (0.759 COMP1888/COMP297) (0.744 COMP1240/COMP1247/COMP295) (0.738 COMP1907) (0.735 COMP1917) (0.731 COMP128/COMP478/COMP499/COMP513/COMP624) (0.714 COMP184) (0.708 COMP26/COMP28) (0.671 COMP141/COMP547) (0.665 COMP1564) (0.647 COMP1915/COMP548/COMP595) (0.615 COMP1578/COMP1887) (0.609 COMP113/COMP132/COMP142/COMP1900) (0.607 COMP389/COMP390) (0.604 COMP598) (0.602 COMP1145/COMP16/COMP1758/COMP18/COMP53/COMP54/COMP627) (0.597 COMP697/COMP889) (0.596 COMP1892) (0.566 COMP1891/COMP473/COMP475) (0.550 COMP521) (0.540 COMP1881) (0.531 COMP261) (0.522 COMP683) (0.514 COMP1885/COMP1904) (0.507 COMP1909) (0.497 COMP124) (0.489 COMP158/COMP172) (0.468 COMP941) (0.462 COMP1241) (0.461 COMP728) (0.458 COMP604) (0.445 COMP60) (0.433 COMP1100/COMP887) (0.422 COMP114/COMP131) (0.421 COMP505) (0.420 COMP150/COMP151/COMP163) (0.419 COMP1880) (0.407 COMP179) (0.396 COMP1886) (0.379 COMP1244/COMP1883) (0.377 COMP112/COMP134/COMP1567/COMP1878/COMP1879) (0.375 COMP1556) (0.367 COMP474) (0.365 COMP322) (0.341 COMP1897) (0.340 COMP154) (0.329 COMP1181/COMP153/COMP6) (0.323 COMP122) (0.320 COMP126) (0.311 COMP1913) (0.298 COMP271) (0.295 COMP100) (0.288 COMP1016/COMP1024) (0.283 COMP9) (0.279 COMP1309) (0.277 COMP1572) (0.276 COMP1574) (0.271 COMP109/COMP136/COMP145) (0.266 COMP1580) (0.257 COMP1896/COMP1920) (0.255 COMP1889) (0.252 COMP1569) (0.249 COMP501) (0.248 COMP144/COMP19/COMP616) (0.232 COMP872) (0.227 COMP155) (0.214 COMP544) (0.202 COMP1571) (0.199 COMP525) (0.160 COMP1193) (0.145 COMP1902)
Carcinogenic. group 1	0.461	COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627	(0.453 COMP1309) (0.447 COMP521) (0.441 COMP1910/COMP26/COMP28) (0.412 COMP1889) (0.398 COMP1885/COMP1904) (0.393 COMP1911) (0.391 COMP1886) (0.383 COMP1891/COMP473/COMP475) (0.361 COMP322) (0.353 COMP941) (0.329 COMP122) (0.319 COMP1578/COMP1580/COMP1887) (0.318 COMP1909) (0.315 COMP683) (0.311 COMP1917) (0.306 COMP1100/COMP261) (0.304 COMP697/COMP889) (0.298 COMP598/COMP604) (0.294 COMP1883) (0.291 COMP9) (0.290 COMP728) (0.282 COMP1758) (0.281 COMP1900) (0.277 COMP1254) (0.275 COMP1571) (0.269 COMP1567) (0.267 COMP128/COMP1572/COMP478/COMP499/COMP513/COMP624) (0.266 COMP60) (0.263 COMP1569) (0.260 COMP1556) (0.258 COMP100/COMP1574) (0.257 COMP1673/COMP1674/COMP509) (0.253 COMP184) (0.251 COMP271) (0.242 COMP616) (0.236 COMP389/COMP390) (0.235 COMP179/COMP505) (0.233 COMP1919) (0.228 COMP1016/COMP1024/COMP501/COMP544) (0.227 COMP525) (0.226 COMP302) (0.223 COMP887) (0.218 COMP1244) (0.212 COMP1895/COMP1903) (0.209 COMP1896) (0.206 COMP1119) (0.205 COMP296/COMP524) (0.200 COMP1913) (0.197 COMP6) (0.195 COMP141/COMP547) (0.193 COMP1241/COMP46) (0.191 COMP11/COMP8) (0.189 COMP1425/COMP1428/COMP1508) (0.188 COMP1892) (0.183 COMP1888/COMP297) (0.180 COMP154) (0.179 COMP1882/COMP355) (0.178 COMP1/COMP1881/COMP1894) (0.173 COMP1116/COMP1261/COMP1915/COMP595) (0.171 COMP872) (0.168 COMP1914/COMP299/COMP955) (0.167 COMP1562/COMP1893/COMP1918) (0.165 COMP1061/COMP126/COMP1890/COMP1908) (0.164 COMP1878/COMP1879) (0.163 COMP113/COMP132/COMP142) (0.161 COMP123/COMP1240/COMP1247/COMP161/COMP1916/COMP295) (0.158 COMP114/COMP131) (0.157 COMP144/COMP19) (0.156 COMP633) (0.154 COMP474) (0.151 COMP124) (0.149 COMP1907) (0.148 COMP158/COMP172/COMP1880) (0.146 COMP155) (0.142 COMP1897) (0.138 COMP1920) (0.137 COMP109/COMP136/COMP145) (0.135 COMP1899/COMP1906)
Carcinogenic. group 2A	0.338	COMP521	(0.320 COMP1889) (0.243 COMP1885/COMP1904) (0.238 COMP941) (0.232 COMP1254/COMP1309) (0.227 COMP1913) (0.225 COMP322) (0.210 COMP1578/COMP1887) (0.195 COMP1571) (0.192 COMP1907) (0.189 COMP302) (0.188 COMP1562/COMP1918) (0.187 COMP9) (0.185 COMP122/COMP604) (0.183 COMP261) (0.179 COMP1909) (0.177 COMP1891/COMP473/COMP475) (0.176 COMP683) (0.174 COMP501) (0.171 COMP1119/COMP1899/COMP1906) (0.169 COMP1100) (0.161 COMP1886) (0.148 COMP11/COMP8) (0.147 COMP60) (0.146 COMP1900) (0.145 COMP128/COMP478/COMP499/COMP513/COMP624) (0.144 COMP616) (0.141 COMP872) (0.140 COMP728) (0.138 COMP1896/COMP271) (0.137 COMP6) (0.136 COMP296/COMP524) (0.134 COMP1569/COMP525) (0.127 COMP544) (0.122 COMP114/COMP1145/COMP131/COMP16/COMP1673/COMP1674/COMP18/COMP509/COMP53/COMP54/COMP627) (0.121 COMP697/COMP889) (0.119 COMP154) (0.117 COMP1580) (0.116 COMP179/COMP505) (0.112 COMP100/COMP1895/COMP1903) (0.110 COMP1905) (0.108 COMP1916) (0.107 COMP1758) (0.106 COMP141/COMP547) (0.105 COMP1888/COMP297) (0.104 COMP1/COMP1892/COMP1894) (0.103 COMP1901/COMP598) (0.102 COMP389/COMP390) (0.101 COMP1881) (0.100 COMP155/COMP1917) (0.099 COMP1572/COMP1910/COMP26/COMP28) (0.097 COMP1574) (0.094 COMP1238/COMP335) (0.093 COMP887) (0.091 COMP113/COMP132/COMP142) (0.090 COMP1241/COMP1425/COMP1428/COMP1508/COMP184) (0.088 COMP1244/COMP1878/COMP1879) (0.085 COMP1240/COMP1247/COMP295) (0.083 COMP46) (0.082 COMP1911) (0.080 COMP1567) (0.078 COMP1556) (0.077 COMP1016/COMP1024/COMP474) (0.076 COMP124) (0.075 COMP1116/COMP1261) (0.074 COMP1915/COMP595) (0.073 COMP123/COMP161)
Carcinogenic. group 2B	0.718	COMP113/COMP132/COMP142	(0.666 COMP521) (0.524 COMP261) (0.509 COMP389/COMP390) (0.504 COMP1909) (0.495 COMP697/COMP889) (0.474 COMP604) (0.452 COMP1758) (0.398 COMP1889) (0.375 COMP1309) (0.358 COMP941) (0.356 COMP1254) (0.348 COMP887) (0.344 COMP302) (0.297 COMP1916) (0.294 COMP1100) (0.288 COMP1562/COMP1918) (0.282 COMP1240/COMP1247/COMP295) (0.279 COMP728) (0.274 COMP1901) (0.264 COMP46) (0.257 COMP128/COMP478/COMP499/COMP513/COMP624) (0.254 COMP1905) (0.239 COMP1907) (0.234 COMP60) (0.231 COMP124) (0.227 COMP598) (0.223 COMP322) (0.221 COMP1881) (0.220 COMP1900) (0.212 COMP1899/COMP1906) (0.211 COMP11/COMP8) (0.209 COMP1892) (0.208 COMP1886) (0.207 COMP1061/COMP1890/COMP1908) (0.206 COMP1119) (0.205 COMP683) (0.203 COMP1145/COMP16/COMP18/COMP1891/COMP473/COMP475/COMP53/COMP54/COMP627) (0.200 COMP109/COMP136/COMP145) (0.199 COMP1673/COMP1674/COMP509) (0.197 COMP501) (0.194 COMP1913) (0.191 COMP1238/COMP335) (0.186 COMP505) (0.185 COMP633) (0.183 COMP9) (0.175 COMP179) (0.174 COMP1/COMP1894) (0.173 COMP1878/COMP1879) (0.168 COMP1917/COMP271) (0.166 COMP1425/COMP1428/COMP1508) (0.165 COMP1896) (0.162 COMP114/COMP131) (0.161 COMP1885/COMP1904/COMP26/COMP28) (0.156 COMP1914/COMP299/COMP955) (0.155 COMP1880/COMP1915/COMP595) (0.151 COMP112/COMP134) (0.149 COMP1571/COMP474) (0.146 COMP1116/COMP1261) (0.145 COMP141/COMP184/COMP547) (0.141 COMP1910) (0.139 COMP122) (0.138 COMP296/COMP524) (0.135 COMP1569) (0.133 COMP100/COMP1567) (0.130 COMP616) (0.129 COMP1241) (0.128 COMP154) (0.126 COMP1181/COMP153) (0.125 COMP155/COMP1888/COMP297) (0.124 COMP1897) (0.121 COMP525) (0.119 COMP1911) (0.117 COMP123/COMP161) (0.116 COMP872) (0.114 COMP1244) (0.113 COMP1895/COMP1903) (0.112 COMP144/COMP19/COMP6) (0.110 COMP1572) (0.108 COMP544) (0.106 COMP1578/COMP1887) (0.104 COMP1556) (0.101 COMP1893) (0.096 COMP126/COMP1883) (0.092 COMP1580) (0.091 COMP1193) (0.087 COMP158/COMP172) (0.083 COMP1574)
Carcinogenic. group 3	0.772	COMP141/COMP547	(0.739 COMP509) (0.738 COMP1673/COMP1674) (0.722 COMP1888/COMP297) (0.721 COMP128/COMP478/COMP499/COMP513/COMP521/COMP624) (0.702 COMP1892) (0.697 COMP604) (0.674 COMP1240/COMP1247/COMP295) (0.673 COMP1895/COMP1903) (0.624 COMP1915/COMP595) (0.598 COMP1900) (0.589 COMP941) (0.519 COMP697/COMP889) (0.516 COMP1758) (0.506 COMP1917) (0.494 COMP261) (0.463 COMP598) (0.459 COMP1909) (0.454 COMP26/COMP28) (0.439 COMP389/COMP390) (0.432 COMP60) (0.431 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.387 COMP184) (0.379 COMP683) (0.358 COMP1100) (0.354 COMP1885/COMP1904) (0.347 COMP1891/COMP473/COMP475) (0.337 COMP322) (0.332 COMP123/COMP161) (0.331 COMP1061/COMP1578/COMP1887/COMP1890/COMP1908) (0.327 COMP154) (0.322 COMP9) (0.317 COMP1911) (0.316 COMP1910) (0.315 COMP6) (0.314 COMP1919) (0.309 COMP1/COMP1894) (0.304 COMP548) (0.301 COMP505) (0.300 COMP302) (0.296 COMP1913) (0.295 COMP1241) (0.286 COMP46) (0.277 COMP887) (0.274 COMP11/COMP8) (0.272 COMP271/COMP501) (0.268 COMP1254/COMP1309/COMP1886) (0.257 COMP179) (0.256 COMP1893) (0.253 COMP1920) (0.252 COMP144/COMP155/COMP19) (0.250 COMP1881) (0.248 COMP872) (0.247 COMP728) (0.244 COMP616) (0.241 COMP122) (0.240 COMP77) (0.237 COMP1914/COMP299/COMP955) (0.236 COMP1889) (0.235 COMP1883/COMP544) (0.234 COMP633) (0.232 COMP1571) (0.229 COMP158/COMP172/COMP1896) (0.213 COMP1567) (0.198 COMP1580) (0.190 COMP1016/COMP1024) (0.184 COMP100) (0.183 COMP114/COMP131) (0.178 COMP112/COMP1181/COMP134/COMP153) (0.176 COMP1556) (0.170 COMP1572) (0.164 COMP1116/COMP1261/COMP1425/COMP1428/COMP1508/COMP1569) (0.163 COMP1119) (0.152 COMP1244) (0.149 COMP296/COMP524) (0.148 COMP113/COMP132/COMP142) (0.147 COMP1878/COMP1879/COMP525) (0.144 COMP124) (0.143 COMP1574) (0.131 COMP474) (0.123 COMP126) (0.121 COMP1897) (0.114 COMP1898) (0.113 COMP1880) (0.106 COMP1916) (0.099 COMP1902) (0.097 COMP109/COMP136/COMP145)
Cardiodepressant	0.817	COMP1578/COMP1887	(0.664 COMP1885/COMP1904) (0.589 COMP1886) (0.586 COMP598) (0.568 COMP112/COMP134) (0.566 COMP109/COMP136/COMP145) (0.547 COMP474) (0.535 COMP1580) (0.506 COMP1571) (0.503 COMP1900) (0.498 COMP261) (0.496 COMP271) (0.491 COMP1556) (0.482 COMP1891/COMP473/COMP475) (0.476 COMP1567) (0.465 COMP60) (0.445 COMP1309) (0.440 COMP1574) (0.427 COMP1572) (0.413 COMP100/COMP1889) (0.412 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.398 COMP122/COMP1896) (0.393 COMP683) (0.385 COMP505) (0.384 COMP1100) (0.374 COMP521) (0.373 COMP1569) (0.357 COMP77) (0.345 COMP322) (0.336 COMP1917) (0.317 COMP887) (0.316 COMP26/COMP28) (0.295 COMP389/COMP390) (0.288 COMP179) (0.286 COMP633) (0.283 COMP1897) (0.279 COMP525) (0.278 COMP1758) (0.277 COMP9) (0.276 COMP184) (0.274 COMP1919) (0.264 COMP114/COMP131/COMP941) (0.263 COMP1912) (0.257 COMP1116/COMP1261) (0.255 COMP1880) (0.250 COMP697/COMP889) (0.243 COMP11/COMP8) (0.242 COMP1893) (0.239 COMP1909) (0.237 COMP728) (0.236 COMP1913) (0.229 COMP1878/COMP1879) (0.226 COMP113/COMP132/COMP142) (0.225 COMP1881) (0.224 COMP128/COMP478/COMP499/COMP513/COMP624) (0.223 COMP1883) (0.219 COMP124) (0.216 COMP501) (0.205 COMP1882/COMP355) (0.201 COMP1016/COMP1024) (0.200 COMP1425/COMP1428/COMP1508/COMP1911/COMP616) (0.193 COMP1910) (0.180 COMP872) (0.162 COMP1254) (0.131 COMP1914/COMP299/COMP955)
Cytotoxic	0.753	COMP1899/COMP1906	(0.749 COMP1562/COMP1918) (0.720 COMP1907) (0.700 COMP1238/COMP1901/COMP335) (0.697 COMP1905) (0.658 COMP46) (0.651 COMP1916) (0.607 COMP77) (0.557 COMP150/COMP151/COMP163) (0.547 COMP1564) (0.536 COMP1061/COMP1890/COMP1908) (0.522 COMP1919) (0.513 COMP1880) (0.506 COMP1/COMP1894) (0.499 COMP1893/COMP633) (0.495 COMP1881) (0.485 COMP1878/COMP1879) (0.484 COMP155) (0.482 COMP1888/COMP297) (0.479 COMP509) (0.477 COMP1911) (0.471 COMP1910) (0.470 COMP158/COMP172) (0.457 COMP1181/COMP153) (0.447 COMP1425/COMP1428/COMP1508) (0.433 COMP26/COMP28) (0.422 COMP1119/COMP1917) (0.408 COMP1915/COMP548/COMP595) (0.407 COMP1556) (0.399 COMP1673/COMP1674) (0.390 COMP1914/COMP299/COMP955) (0.387 COMP144/COMP19) (0.385 COMP1567/COMP261) (0.384 COMP184) (0.371 COMP11/COMP8) (0.369 COMP474) (0.366 COMP1116/COMP1261) (0.361 COMP1254/COMP1892) (0.360 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.356 COMP1244) (0.355 COMP126) (0.354 COMP1240/COMP1247/COMP295) (0.352 COMP154) (0.350 COMP112/COMP134) (0.349 COMP123/COMP161) (0.344 COMP1883) (0.340 COMP302) (0.336 COMP179) (0.332 COMP598) (0.331 COMP1895/COMP1903) (0.330 COMP128/COMP478/COMP499/COMP513/COMP624) (0.329 COMP1580/COMP296/COMP524/COMP544) (0.326 COMP1574) (0.322 COMP141/COMP547) (0.319 COMP1900/COMP6) (0.317 COMP100) (0.315 COMP505) (0.305 COMP1569) (0.302 COMP1572) (0.300 COMP1885/COMP1904) (0.295 COMP683) (0.291 COMP887) (0.290 COMP389/COMP390) (0.288 COMP697/COMP889) (0.285 COMP1758/COMP271) (0.284 COMP60) (0.278 COMP728) (0.276 COMP1884/COMP521) (0.275 COMP1241) (0.273 COMP122) (0.272 COMP1886) (0.263 COMP1891/COMP473/COMP475/COMP616) (0.261 COMP1016/COMP1024) (0.259 COMP109/COMP136/COMP145) (0.252 COMP124) (0.245 COMP1578/COMP1887) (0.236 COMP1193) (0.231 COMP872) (0.228 COMP1897/COMP525) (0.227 COMP1913/COMP501) (0.223 COMP1100/COMP1896) (0.219 COMP1909) (0.217 COMP1902) (0.214 COMP114/COMP131/COMP9) (0.210 COMP941) (0.199 COMP1309/COMP322) (0.186 COMP1898) (0.185 COMP113/COMP132/COMP142) (0.178 COMP1920) (0.156 COMP1889) (0.134 COMP604)
DNA damaging	0.876	COMP46	(0.849 COMP1916) (0.765 COMP1899/COMP1906) (0.758 COMP1238/COMP335) (0.732 COMP1901) (0.716 COMP1907) (0.710 COMP1562/COMP1918) (0.704 COMP1905) (0.573 COMP1556) (0.540 COMP100) (0.528 COMP1574) (0.522 COMP1580) (0.518 COMP1567) (0.503 COMP1917) (0.478 COMP1569) (0.477 COMP1572) (0.474 COMP728) (0.467 COMP112/COMP134) (0.437 COMP887) (0.430 COMP1880) (0.429 COMP261) (0.428 COMP1913) (0.420 COMP598) (0.403 COMP389/COMP390) (0.397 COMP697/COMP889) (0.386 COMP1758) (0.385 COMP1909) (0.380 COMP474) (0.375 COMP521) (0.371 COMP544) (0.367 COMP1878/COMP1879) (0.359 COMP1881) (0.348 COMP941) (0.339 COMP1241/COMP158/COMP172) (0.334 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.327 COMP1886) (0.319 COMP1244) (0.318 COMP1891/COMP473/COMP475) (0.313 COMP122) (0.302 COMP144/COMP19) (0.297 COMP1889) (0.294 COMP683) (0.290 COMP616) (0.289 COMP1914/COMP299/COMP955) (0.283 COMP184) (0.279 COMP271) (0.275 COMP26/COMP28) (0.256 COMP1883) (0.248 COMP1181/COMP153) (0.242 COMP1893/COMP60/COMP633) (0.240 COMP1912) (0.238 COMP179) (0.232 COMP525) (0.230 COMP322) (0.229 COMP505/COMP9) (0.227 COMP123/COMP161) (0.219 COMP1309/COMP1885/COMP1904) (0.217 COMP296/COMP524) (0.207 COMP1116/COMP1261/COMP1578/COMP1887) (0.204 COMP154) (0.203 COMP1896) (0.202 COMP1571) (0.200 COMP109/COMP136/COMP145) (0.194 COMP6/COMP77) (0.187 COMP155) (0.185 COMP1919) (0.181 COMP1100) (0.180 COMP1911) (0.178 COMP150/COMP151/COMP163) (0.176 COMP1900) (0.170 COMP1910) (0.162 COMP1425/COMP1428/COMP1508) (0.160 COMP113/COMP132/COMP142)
Embryotoxic	0.978	COMP1884	(0.908 COMP77) (0.847 COMP1562/COMP1918) (0.801 COMP1901) (0.800 COMP1905) (0.798 COMP1899/COMP1906) (0.797 COMP46) (0.794 COMP1914/COMP299/COMP955) (0.784 COMP1907) (0.776 COMP1919) (0.764 COMP1/COMP1894) (0.746 COMP1893) (0.745 COMP1895/COMP1903) (0.744 COMP112/COMP134/COMP598) (0.742 COMP296/COMP524) (0.739 COMP1673/COMP1674) (0.737 COMP1238/COMP335) (0.732 COMP1888/COMP297) (0.731 COMP1116/COMP1261/COMP1885/COMP1904) (0.726 COMP1916) (0.724 COMP633) (0.721 COMP1578/COMP1887) (0.712 COMP128/COMP478/COMP499/COMP513/COMP624) (0.711 COMP1119) (0.702 COMP1892/COMP26/COMP28) (0.689 COMP302) (0.685 COMP474) (0.682 COMP184) (0.681 COMP1240/COMP1247/COMP295) (0.675 COMP1891/COMP473/COMP475) (0.671 COMP1145/COMP16/COMP18/COMP53/COMP54/COMP627) (0.668 COMP1254) (0.666 COMP548) (0.661 COMP1061/COMP1890/COMP1908) (0.650 COMP141/COMP547) (0.644 COMP1425/COMP1428/COMP1508) (0.636 COMP509) (0.633 COMP11/COMP8) (0.626 COMP1911) (0.608 COMP1910) (0.557 COMP1915/COMP595) (0.527 COMP1100) (0.516 COMP683) (0.513 COMP697/COMP889) (0.505 COMP1758) (0.503 COMP1886) (0.502 COMP389/COMP390) (0.471 COMP521/COMP60) (0.466 COMP1900) (0.455 COMP1909) (0.453 COMP1016/COMP1024) (0.451 COMP1917) (0.450 COMP261) (0.444 COMP1883) (0.434 COMP1896) (0.426 COMP109/COMP136/COMP145) (0.418 COMP1193) (0.409 COMP728) (0.408 COMP1881) (0.397 COMP123/COMP161) (0.381 COMP505) (0.377 COMP887) (0.376 COMP122) (0.375 COMP154) (0.351 COMP1920) (0.346 COMP271) (0.343 COMP6) (0.338 COMP126) (0.320 COMP1571) (0.313 COMP179/COMP1880) (0.307 COMP155) (0.303 COMP1309) (0.297 COMP544) (0.293 COMP1898) (0.292 COMP1889) (0.290 COMP158/COMP172/COMP1878/COMP1879) (0.284 COMP872) (0.276 COMP322) (0.270 COMP941) (0.268 COMP144/COMP19) (0.249 COMP9) (0.245 COMP1181/COMP153/COMP616) (0.240 COMP1244) (0.238 COMP1241) (0.234 COMP150/COMP151/COMP163) (0.232 COMP124) (0.215 COMP113/COMP132/COMP142) (0.214 COMP1556) (0.206 COMP1567) (0.201 COMP1569) (0.199 COMP501) (0.186 COMP1580) (0.177 COMP1902) (0.170 COMP114/COMP131) (0.168 COMP1574) (0.165 COMP525) (0.162 COMP1572) (0.149 COMP100)
