Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.683	COMP403	(0.362 COMP77) (0.324 COMP389/COMP390) (0.260 COMP398) (0.256 COMP402) (0.185 COMP290) (0.136 COMP122) (0.128 COMP271) (0.123 COMP394) (0.093 COMP386)
AR expression inhibitor	0.776	COMP290	(0.753 COMP403) (0.686 COMP394) (0.659 COMP389/COMP390) (0.642 COMP393) (0.577 COMP150) (0.563 COMP386) (0.555 COMP218) (0.551 COMP408) (0.542 COMP402) (0.529 COMP410) (0.499 COMP122) (0.493 COMP398) (0.485 COMP77) (0.474 COMP271) (0.460 COMP395) (0.437 COMP401) (0.424 COMP404) (0.374 COMP391) (0.345 COMP400) (0.296 COMP409) (0.270 COMP397) (0.195 COMP392/COMP396) (0.189 COMP407) (0.188 COMP387)
CTGF expression inhibitor	0.872	COMP394	(0.821 COMP389/COMP390) (0.811 COMP77) (0.738 COMP386) (0.731 COMP218) (0.716 COMP402) (0.677 COMP271) (0.599 COMP395) (0.586 COMP393) (0.581 COMP122) (0.580 COMP398) (0.457 COMP404) (0.360 COMP401) (0.347 COMP387) (0.343 COMP391) (0.335 COMP410) (0.334 COMP403) (0.328 COMP397) (0.282 COMP400) (0.277 COMP408) (0.262 COMP409) (0.255 COMP405) (0.230 COMP290) (0.215 COMP396) (0.210 COMP392/COMP407) (0.206 COMP388)
GRP78 expression inhibitor	0.031	COMP122	(0.029 COMP388) (0.025 COMP271)
ICAM1 expression inhibitor	0.698	COMP290	(0.628 COMP404) (0.627 COMP401) (0.522 COMP393) (0.484 COMP218) (0.480 COMP389/COMP390) (0.468 COMP395) (0.447 COMP398) (0.432 COMP271) (0.413 COMP77) (0.405 COMP150) (0.403 COMP400) (0.399 COMP122) (0.384 COMP392) (0.381 COMP409) (0.374 COMP391) (0.369 COMP386) (0.363 COMP410) (0.359 COMP396) (0.354 COMP402) (0.348 COMP403) (0.343 COMP394) (0.318 COMP387) (0.288 COMP407) (0.208 COMP397)
LDLR expression enhancer	0.365	COMP77	(0.320 COMP402) (0.306 COMP271) (0.301 COMP122) (0.291 COMP218) (0.278 COMP404) (0.273 COMP401) (0.269 COMP393/COMP398) (0.266 COMP389/COMP390) (0.263 COMP395) (0.232 COMP403) (0.229 COMP394) (0.222 COMP290) (0.221 COMP410) (0.191 COMP399) (0.171 COMP386) (0.160 COMP405) (0.145 COMP150)
NOS2 expression inhibitor	0.821	COMP404	(0.774 COMP218) (0.737 COMP401) (0.722 COMP290) (0.717 COMP393) (0.662 COMP395) (0.659 COMP402) (0.603 COMP77) (0.589 COMP410) (0.585 COMP389/COMP390) (0.548 COMP398) (0.545 COMP386) (0.508 COMP271) (0.498 COMP394) (0.444 COMP403) (0.430 COMP122) (0.419 COMP150) (0.359 COMP408) (0.262 COMP387) (0.238 COMP409) (0.230 COMP391) (0.223 COMP400) (0.201 COMP388) (0.200 COMP397) (0.162 COMP396) (0.153 COMP399) (0.149 COMP405)
NOS3 expression enhancer	0.673	COMP389/COMP390	(0.386 COMP408) (0.350 COMP404) (0.333 COMP401) (0.316 COMP410) (0.283 COMP271) (0.263 COMP77) (0.261 COMP122) (0.239 COMP402) (0.232 COMP394) (0.222 COMP386) (0.217 COMP403) (0.193 COMP218) (0.185 COMP398) (0.144 COMP393)
NOS3 expression inhibitor	0.910	COMP77	(0.877 COMP398) (0.864 COMP402) (0.590 COMP218) (0.559 COMP395) (0.524 COMP393) (0.506 COMP389/COMP390) (0.497 COMP290) (0.472 COMP408) (0.439 COMP403) (0.414 COMP410) (0.402 COMP404) (0.400 COMP271) (0.397 COMP386) (0.373 COMP401) (0.362 COMP122) (0.331 COMP391) (0.329 COMP394) (0.277 COMP397) (0.255 COMP150) (0.187 COMP400) (0.181 COMP387)
TNF expression inhibitor	0.939	COMP402	(0.899 COMP77) (0.884 COMP290) (0.820 COMP403) (0.805 COMP398) (0.801 COMP389/COMP390) (0.773 COMP218) (0.664 COMP393) (0.656 COMP395) (0.651 COMP271) (0.621 COMP410) (0.609 COMP404) (0.586 COMP122) (0.579 COMP387) (0.546 COMP401) (0.542 COMP394) (0.524 COMP386) (0.484 COMP150) (0.371 COMP400) (0.332 COMP409) (0.310 COMP405) (0.298 COMP388) (0.296 COMP407) (0.285 COMP396) (0.266 COMP408) (0.261 COMP392) (0.244 COMP391)
VCAM1 expression inhibitor	0.615	COMP404	(0.593 COMP401) (0.512 COMP271) (0.503 COMP389/COMP390) (0.492 COMP218) (0.487 COMP122) (0.455 COMP410) (0.437 COMP395) (0.380 COMP386) (0.378 COMP393) (0.374 COMP394) (0.282 COMP150) (0.252 COMP403) (0.249 COMP398/COMP405) (0.230 COMP407) (0.219 COMP400) (0.217 COMP409) (0.209 COMP392) (0.206 COMP402) (0.204 COMP77) (0.203 COMP396) (0.200 COMP387)
VEGF expression inhibitor	0.369	COMP218	(0.335 COMP395) (0.277 COMP271) (0.266 COMP393) (0.251 COMP122) (0.246 COMP404) (0.231 COMP389/COMP390) (0.221 COMP401) (0.216 COMP397) (0.215 COMP387) (0.208 COMP405) (0.205 COMP394) (0.200 COMP408) (0.185 COMP391) (0.179 COMP399) (0.171 COMP388) (0.169 COMP386) (0.166 COMP410) (0.155 COMP407)
