Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.037	COMP271/COMP389/COMP390	(0.036 COMP405) (0.035 COMP122)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.013	COMP271/COMP389/COMP390	
1.3-Beta-glucan synthase inhibitor	0.035	COMP77	(0.033 COMP402) (0.031 COMP290/COMP387/COMP398)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.300	COMP290	(0.053 COMP150) (0.042 COMP77) (0.041 COMP402)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.827	COMP290	(0.102 COMP77) (0.100 COMP402) (0.083 COMP398)
12-Lipoxygenase inhibitor	0.558	COMP393	(0.557 COMP218) (0.482 COMP271) (0.451 COMP122) (0.406 COMP409) (0.399 COMP389/COMP390) (0.390 COMP394) (0.382 COMP395) (0.363 COMP400) (0.303 COMP392) (0.284 COMP404) (0.263 COMP401) (0.260 COMP396) (0.235 COMP387) (0.228 COMP410) (0.224 COMP407)
15-Lipoxygenase inhibitor	0.749	COMP409	(0.740 COMP218) (0.703 COMP400) (0.655 COMP404) (0.646 COMP392) (0.641 COMP393) (0.634 COMP401) (0.583 COMP395) (0.573 COMP407) (0.549 COMP396) (0.491 COMP271) (0.486 COMP389/COMP390) (0.476 COMP122) (0.342 COMP399) (0.320 COMP410) (0.308 COMP394) (0.270 COMP405)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.203	COMP77	(0.112 COMP402) (0.094 COMP290) (0.066 COMP398) (0.034 COMP388)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.027	COMP398	(0.021 COMP402/COMP77)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.105	COMP271	(0.102 COMP122) (0.069 COMP77) (0.059 COMP404) (0.055 COMP389/COMP390/COMP401) (0.054 COMP397/COMP402) (0.053 COMP398) (0.050 COMP218/COMP393) (0.049 COMP290)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.161	COMP122	(0.148 COMP271) (0.065 COMP389/COMP390) (0.047 COMP218/COMP393) (0.044 COMP394) (0.041 COMP395) (0.040 COMP387)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.228	COMP389/COMP390	(0.207 COMP271) (0.197 COMP122) (0.089 COMP218) (0.080 COMP394) (0.073 COMP393) (0.071 COMP404) (0.068 COMP401) (0.056 COMP395/COMP410)
3C-like protease (Human coronavirus) inhibitor	0.408	COMP395	(0.328 COMP218) (0.271 COMP122) (0.270 COMP271) (0.266 COMP393) (0.244 COMP405) (0.242 COMP407) (0.211 COMP392) (0.208 COMP394) (0.174 COMP396) (0.144 COMP409)
5 Hydroxytryptamine 1 agonist	0.055	COMP399	
5 Hydroxytryptamine 1 antagonist	0.258	COMP399	(0.113 COMP405)
5 Hydroxytryptamine 1A agonist	0.071	COMP399	
5 Hydroxytryptamine 1A antagonist	0.240	COMP399	(0.101 COMP405)
5 Hydroxytryptamine 1B agonist	0.082	COMP405	(0.065 COMP399)
5 Hydroxytryptamine 1B antagonist	0.103	COMP399	(0.097 COMP405) (0.079 COMP388)
5 Hydroxytryptamine 1D agonist	0.074	COMP388	
5 Hydroxytryptamine 1D antagonist	0.096	COMP405	(0.076 COMP388)
5 Hydroxytryptamine 1E antagonist	0.282	COMP405	(0.281 COMP399) (0.280 COMP388) (0.219 COMP387) (0.218 COMP389/COMP390) (0.217 COMP395) (0.210 COMP394) (0.208 COMP271) (0.194 COMP218) (0.178 COMP392) (0.171 COMP122) (0.169 COMP407)
5 Hydroxytryptamine 1F antagonist	0.136	COMP388	(0.092 COMP399)
5 Hydroxytryptamine 2 agonist	0.083	COMP388	(0.075 COMP399) (0.062 COMP387) (0.059 COMP405) (0.058 COMP408)
5 Hydroxytryptamine 2 antagonist	0.402	COMP399	(0.090 COMP405) (0.087 COMP388)
5 Hydroxytryptamine 2A agonist	0.107	COMP405	(0.103 COMP388) (0.076 COMP387) (0.056 COMP399)
5 Hydroxytryptamine 2A antagonist	0.425	COMP399	
5 Hydroxytryptamine 2B agonist	0.060	COMP388	(0.037 COMP387)
5 Hydroxytryptamine 2B antagonist	0.149	COMP399	(0.104 COMP405) (0.101 COMP388) (0.100 COMP387)
5 Hydroxytryptamine 2C agonist	0.088	COMP388	(0.059 COMP399)
5 Hydroxytryptamine 2C antagonist	0.088	COMP388	(0.085 COMP405)
5 Hydroxytryptamine 3 agonist	0.059	COMP388	(0.057 COMP405)
5 Hydroxytryptamine 3 antagonist	0.104	COMP405	
5 Hydroxytryptamine 3A agonist	0.171	COMP405	(0.151 COMP408) (0.136 COMP388)
5 Hydroxytryptamine 3A antagonist	0.079	COMP405	(0.069 COMP407)
5 Hydroxytryptamine 3B antagonist	0.075	COMP405	(0.038 COMP399)
5 Hydroxytryptamine 3E antagonist	0.233	COMP388	(0.232 COMP399) (0.222 COMP387) (0.216 COMP405) (0.212 COMP408) (0.201 COMP407) (0.190 COMP392) (0.183 COMP395) (0.180 COMP389/COMP390) (0.179 COMP396)
5 Hydroxytryptamine 4 agonist	0.038	COMP388	
5 Hydroxytryptamine 4 antagonist	0.060	COMP399	(0.051 COMP405) (0.047 COMP388)
5 Hydroxytryptamine 5 antagonist	0.126	COMP405	(0.114 COMP399)
5 Hydroxytryptamine 5A antagonist	0.130	COMP399	(0.126 COMP405) (0.057 COMP388)
5 Hydroxytryptamine 6 agonist	0.037	COMP388	
5 Hydroxytryptamine 6 antagonist	0.055	COMP388	
5 Hydroxytryptamine 7 agonist	0.076	COMP405	(0.063 COMP399) (0.061 COMP388)
5 Hydroxytryptamine 7 antagonist	0.470	COMP399	
5 Hydroxytryptamine agonist	0.170	COMP388	(0.164 COMP399) (0.084 COMP408)
5 Hydroxytryptamine antagonist	0.323	COMP399	(0.126 COMP405)
5 Hydroxytryptamine release inhibitor	0.647	COMP408	(0.633 COMP271) (0.630 COMP122) (0.628 COMP395) (0.598 COMP218) (0.563 COMP393) (0.494 COMP387) (0.492 COMP407) (0.430 COMP409) (0.426 COMP392) (0.420 COMP396) (0.397 COMP389/COMP390) (0.394 COMP400) (0.392 COMP405) (0.365 COMP388) (0.328 COMP404) (0.327 COMP401) (0.314 COMP391) (0.250 COMP394)
