Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.841	COMP394	(0.673 COMP386) (0.402 COMP397) (0.349 COMP410) (0.332 COMP77) (0.330 COMP403) (0.311 COMP398) (0.306 COMP389/COMP390) (0.290 COMP402) (0.152 COMP150) (0.135 COMP271) (0.129 COMP404) (0.125 COMP290) (0.122 COMP122) (0.121 COMP401)
Aldehyde dehydrogenase substrate	0.613	COMP394	(0.446 COMP386) (0.439 COMP397) (0.219 COMP389/COMP390) (0.202 COMP271) (0.199 COMP403) (0.179 COMP122) (0.132 COMP150) (0.123 COMP410) (0.111 COMP218) (0.108 COMP404) (0.105 COMP400)
Aldehyde oxidase substrate	0.321	COMP387	(0.303 COMP271) (0.259 COMP122) (0.234 COMP394) (0.227 COMP405) (0.219 COMP389/COMP390) (0.204 COMP404) (0.182 COMP218) (0.173 COMP401) (0.165 COMP395) (0.159 COMP407) (0.158 COMP397/COMP408) (0.137 COMP393)
Aldose reductase substrate	0.582	COMP394	(0.324 COMP386) (0.190 COMP389/COMP390) (0.173 COMP397) (0.165 COMP391) (0.160 COMP122) (0.159 COMP271) (0.145 COMP405) (0.137 COMP218) (0.130 COMP403) (0.129 COMP409) (0.128 COMP402/COMP404)
Arylamine N-Acetyltransferase substrate	0.238	COMP271	(0.214 COMP122) (0.185 COMP389/COMP390) (0.155 COMP387) (0.092 COMP218)
CYP1A2 inhibitor	0.699	COMP218	(0.679 COMP393) (0.653 COMP395) (0.380 COMP400) (0.362 COMP389/COMP390) (0.360 COMP394) (0.351 COMP396) (0.334 COMP407) (0.326 COMP409) (0.315 COMP392) (0.303 COMP408) (0.302 COMP404) (0.268 COMP405) (0.260 COMP271/COMP401) (0.240 COMP122) (0.219 COMP386) (0.179 COMP410)
CYP1A2 substrate	0.795	COMP218	(0.738 COMP394) (0.705 COMP395) (0.671 COMP393) (0.627 COMP387) (0.569 COMP389/COMP390) (0.557 COMP410) (0.520 COMP386) (0.508 COMP403) (0.425 COMP397) (0.376 COMP405) (0.373 COMP122) (0.361 COMP404) (0.358 COMP401) (0.354 COMP271) (0.302 COMP391) (0.280 COMP388) (0.269 COMP77) (0.239 COMP399) (0.236 COMP408) (0.193 COMP402)
CYP24 inhibitor	0.060	COMP77	(0.056 COMP402) (0.046 COMP398) (0.027 COMP150)
CYP2A6 inhibitor	0.271	COMP395	(0.186 COMP218) (0.163 COMP393) (0.144 COMP407) (0.099 COMP392) (0.080 COMP396) (0.066 COMP409)
CYP2B6 inhibitor	0.448	COMP218	(0.410 COMP395) (0.315 COMP389/COMP390) (0.290 COMP393) (0.281 COMP407) (0.255 COMP400) (0.249 COMP409) (0.246 COMP403) (0.243 COMP271) (0.235 COMP392) (0.232 COMP387) (0.231 COMP396) (0.224 COMP394) (0.221 COMP388) (0.210 COMP404) (0.207 COMP122) (0.172 COMP405) (0.169 COMP401) (0.152 COMP77) (0.151 COMP402)
