Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.542 COMP402) (0.508 COMP398) (0.496 COMP403) (0.471 COMP150) (0.444 COMP290) (0.413 COMP122) (0.405 COMP271) (0.392 COMP389/COMP390) (0.323 COMP387) (0.299 COMP388) (0.296 COMP401) (0.285 COMP404) (0.261 COMP410) (0.236 COMP399) (0.220 COMP394) (0.213 COMP218) (0.205 COMP395) (0.188 COMP393) (0.173 COMP405) (0.157 COMP391) (0.146 COMP397)
Carcinogenic	0.930	COMP402	(0.925 COMP77) (0.911 COMP398) (0.678 COMP394) (0.607 COMP389/COMP390) (0.588 COMP387) (0.553 COMP403) (0.521 COMP393) (0.515 COMP218) (0.420 COMP150) (0.366 COMP386) (0.358 COMP395) (0.342 COMP290) (0.323 COMP122) (0.298 COMP271) (0.222 COMP401) (0.219 COMP410) (0.217 COMP404) (0.127 COMP400)
Carcinogenic. group 1	0.784	COMP393	(0.597 COMP395) (0.544 COMP218) (0.397 COMP401) (0.329 COMP122) (0.321 COMP404) (0.252 COMP387/COMP407) (0.251 COMP271) (0.245 COMP409) (0.243 COMP392) (0.239 COMP394) (0.236 COMP389/COMP390) (0.228 COMP396) (0.224 COMP405) (0.215 COMP400) (0.172 COMP397) (0.168 COMP388) (0.163 COMP399) (0.132 COMP410) (0.130 COMP408)
Carcinogenic. group 2A	0.444	COMP401	(0.363 COMP387) (0.360 COMP395) (0.296 COMP393) (0.293 COMP404) (0.263 COMP218) (0.204 COMP407) (0.185 COMP122) (0.175 COMP392) (0.166 COMP396) (0.155 COMP405) (0.153 COMP394/COMP409) (0.138 COMP271) (0.131 COMP400) (0.102 COMP389/COMP390)
Carcinogenic. group 2B	0.509	COMP389/COMP390	(0.233 COMP394) (0.201 COMP404) (0.185 COMP218) (0.168 COMP271) (0.162 COMP401) (0.153 COMP395) (0.143 COMP403) (0.139 COMP122) (0.127 COMP407) (0.122 COMP400) (0.115 COMP409) (0.108 COMP387) (0.107 COMP393) (0.093 COMP392) (0.088 COMP388)
Carcinogenic. group 3	0.466	COMP218	(0.439 COMP389/COMP390) (0.407 COMP395) (0.380 COMP398) (0.373 COMP393) (0.368 COMP394) (0.272 COMP271) (0.241 COMP122) (0.240 COMP77) (0.166 COMP387) (0.161 COMP403) (0.150 COMP400) (0.149 COMP409) (0.116 COMP402) (0.104 COMP396)
Cardiodepressant	0.804	COMP387	(0.638 COMP290) (0.496 COMP271) (0.398 COMP122) (0.382 COMP399) (0.357 COMP77) (0.332 COMP393) (0.315 COMP388) (0.302 COMP402) (0.295 COMP389/COMP390) (0.265 COMP218) (0.236 COMP404) (0.225 COMP405) (0.219 COMP398) (0.216 COMP395) (0.163 COMP401) (0.145 COMP394)
Cytotoxic	0.635	COMP402	(0.607 COMP77) (0.602 COMP290) (0.569 COMP398) (0.557 COMP150) (0.519 COMP386) (0.505 COMP404) (0.494 COMP401) (0.485 COMP403) (0.457 COMP394) (0.408 COMP393) (0.402 COMP218) (0.314 COMP395) (0.290 COMP389/COMP390/COMP410) (0.285 COMP271) (0.273 COMP122) (0.264 COMP400) (0.240 COMP387) (0.230 COMP408) (0.224 COMP409) (0.219 COMP391) (0.187 COMP396) (0.177 COMP405) (0.152 COMP392) (0.145 COMP388) (0.141 COMP407)
DNA damaging	0.564	COMP393	(0.505 COMP218) (0.475 COMP395) (0.403 COMP389/COMP390) (0.380 COMP401) (0.377 COMP410) (0.359 COMP404) (0.324 COMP391) (0.318 COMP405) (0.313 COMP122) (0.292 COMP408) (0.279 COMP271) (0.225 COMP399) (0.215 COMP400) (0.209 COMP394) (0.205 COMP396) (0.194 COMP77) (0.181 COMP398) (0.178 COMP150) (0.172 COMP402) (0.161 COMP409)
Embryotoxic	0.908	COMP77	(0.896 COMP398) (0.833 COMP402) (0.714 COMP387) (0.616 COMP403) (0.563 COMP394) (0.502 COMP389/COMP390) (0.376 COMP122) (0.354 COMP386) (0.346 COMP271) (0.291 COMP218) (0.269 COMP393) (0.261 COMP401) (0.243 COMP404) (0.234 COMP150) (0.215 COMP395) (0.185 COMP410) (0.170 COMP290) (0.135 COMP388)
Eye irritation. high	0.641	COMP403	(0.527 COMP387) (0.497 COMP394) (0.495 COMP389/COMP390) (0.239 COMP271) (0.230 COMP398) (0.228 COMP122) (0.212 COMP388) (0.204 COMP386) (0.198 COMP77) (0.188 COMP397) (0.177 COMP218) (0.162 COMP401) (0.161 COMP404) (0.156 COMP393) (0.153 COMP395) (0.152 COMP402) (0.131 COMP150) (0.128 COMP410)
Genotoxic	0.691	COMP394	(0.632 COMP404) (0.615 COMP386) (0.570 COMP271) (0.563 COMP401) (0.542 COMP122) (0.481 COMP218) (0.422 COMP389/COMP390) (0.374 COMP393) (0.298 COMP410) (0.296 COMP395) (0.203 COMP387) (0.177 COMP397) (0.169 COMP399) (0.142 COMP405) (0.140 COMP391) (0.130 COMP403) (0.128 COMP400) (0.127 COMP402) (0.122 COMP409)
Hypoglycemic	0.593	COMP386	(0.592 COMP290) (0.580 COMP410) (0.544 COMP389/COMP390) (0.507 COMP394) (0.424 COMP403) (0.390 COMP271) (0.384 COMP218) (0.381 COMP122) (0.363 COMP393) (0.358 COMP77) (0.350 COMP404) (0.347 COMP401) (0.343 COMP397) (0.332 COMP395) (0.288 COMP402) (0.270 COMP408) (0.257 COMP398) (0.236 COMP387)
