Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.933	COMP1422	(0.928 COMP128/COMP478/COMP518) (0.920 COMP1) (0.638 COMP488) (0.580 COMP141/COMP264/COMP547) (0.578 COMP1426) (0.569 COMP1425/COMP1428) (0.523 COMP1423/COMP1430) (0.481 COMP1240) (0.387 COMP955) (0.371 COMP1433) (0.325 COMP11) (0.248 COMP1431) (0.213 COMP543) (0.208 COMP1432) (0.197 COMP109) (0.186 COMP123) (0.153 COMP1429) (0.140 COMP126/COMP872) (0.133 COMP309) (0.132 COMP179/COMP505) (0.131 COMP501/COMP616) (0.130 COMP114/COMP1427) (0.124 COMP492)
Aldehyde dehydrogenase substrate	0.934	COMP128/COMP478/COMP518	(0.809 COMP1422) (0.783 COMP1) (0.351 COMP141/COMP264/COMP547) (0.327 COMP488) (0.314 COMP1240) (0.298 COMP1433) (0.284 COMP1426) (0.268 COMP1425/COMP1428) (0.210 COMP1423/COMP1430) (0.160 COMP1429) (0.146 COMP11) (0.123 COMP955) (0.122 COMP1432) (0.116 COMP123) (0.111 COMP179/COMP505) (0.110 COMP1431)
Aldehyde oxidase substrate	0.332	COMP128/COMP478/COMP518	(0.306 COMP1423/COMP1430) (0.273 COMP1424) (0.249 COMP1433) (0.216 COMP505) (0.212 COMP488) (0.201 COMP1426) (0.198 COMP1422) (0.184 COMP179) (0.180 COMP501) (0.176 COMP616) (0.170 COMP1) (0.166 COMP1429) (0.142 COMP123) (0.136 COMP955)
Aldose reductase substrate	0.992	COMP128/COMP478/COMP518	(0.968 COMP1423/COMP1430) (0.797 COMP1422) (0.737 COMP1) (0.532 COMP309) (0.461 COMP1432) (0.300 COMP1425/COMP1428) (0.252 COMP1426) (0.240 COMP1424) (0.214 COMP488) (0.136 COMP501)
Arylamine N-Acetyltransferase substrate	0.273	COMP1424	(0.175 COMP1433) (0.170 COMP1423/COMP1430) (0.149 COMP1426) (0.133 COMP179) (0.131 COMP488) (0.123 COMP505) (0.098 COMP1422) (0.097 COMP501)
CYP1A2 inhibitor	0.524	COMP1429	(0.413 COMP1424) (0.232 COMP1433) (0.219 COMP179) (0.215 COMP505) (0.197 COMP488) (0.174 COMP616)
CYP1A2 substrate	0.642	COMP1429	(0.590 COMP1422) (0.488 COMP488) (0.473 COMP179) (0.448 COMP1424) (0.447 COMP1426/COMP505) (0.427 COMP1) (0.410 COMP616) (0.368 COMP1423/COMP1430) (0.362 COMP1433) (0.342 COMP128/COMP478/COMP518) (0.328 COMP501) (0.315 COMP543) (0.288 COMP123) (0.280 COMP1425/COMP1428) (0.266 COMP1240) (0.260 COMP872) (0.240 COMP11) (0.235 COMP141/COMP264/COMP547) (0.221 COMP109) (0.201 COMP955)
CYP24 inhibitor	0.285	COMP126	(0.068 COMP492) (0.049 COMP113) (0.034 COMP616) (0.033 COMP1429) (0.025 COMP141/COMP264/COMP547) (0.023 COMP123) (0.022 COMP179) (0.021 COMP543)
CYP2A6 inhibitor	0.252	COMP141/COMP264/COMP547	(0.229 COMP1240) (0.198 COMP1424) (0.183 COMP1) (0.161 COMP1433) (0.159 COMP955) (0.151 COMP616) (0.098 COMP1429/COMP501) (0.093 COMP179) (0.091 COMP128/COMP478/COMP518) (0.089 COMP505) (0.082 COMP872) (0.080 COMP1422) (0.074 COMP11) (0.066 COMP1426)
CYP2B6 inhibitor	0.367	COMP488	(0.355 COMP1426) (0.351 COMP1433) (0.349 COMP141/COMP264/COMP547) (0.348 COMP1425/COMP1428) (0.338 COMP955) (0.337 COMP1424) (0.319 COMP1) (0.298 COMP616) (0.295 COMP1422/COMP1429) (0.285 COMP505) (0.279 COMP11) (0.274 COMP126) (0.267 COMP179) (0.261 COMP123) (0.250 COMP128/COMP478/COMP518) (0.244 COMP492) (0.240 COMP1423/COMP1430) (0.229 COMP1240) (0.226 COMP113) (0.222 COMP501) (0.204 COMP872) (0.199 COMP1431) (0.172 COMP109) (0.161 COMP114/COMP1427) (0.157 COMP543)
