Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.744	COMP2493	(0.102 COMP77) (0.052 COMP83/COMP85) (0.046 COMP75) (0.044 COMP69) (0.036 COMP68) (0.034 COMP61/COMP72) (0.033 COMP62) (0.029 COMP73)
5 Hydroxytryptamine 3A agonist	0.108	COMP63	
ATPase inhibitor	0.392	COMP925	(0.291 COMP868) (0.262 COMP683) (0.258 COMP2491) (0.252 COMP28/COMP40) (0.251 COMP20) (0.238 COMP60) (0.210 COMP83/COMP85) (0.206 COMP63) (0.205 COMP79) (0.199 COMP78/COMP81) (0.191 COMP61) (0.167 COMP2492) (0.158 COMP2490/COMP2494/COMP74) (0.153 COMP75) (0.141 COMP72) (0.140 COMP66) (0.135 COMP71)
Acetylcholine M1 receptor antagonist	0.149	COMP868	(0.136 COMP60) (0.132 COMP683) (0.127 COMP28/COMP40) (0.121 COMP72)
Acetylcholinesterase inhibitor	0.646	COMP2490/COMP2494	(0.476 COMP63) (0.467 COMP59) (0.462 COMP79) (0.431 COMP66) (0.428 COMP71) (0.346 COMP2492) (0.305 COMP2491) (0.254 COMP2495) (0.118 COMP2493) (0.115 COMP64)
Aconitate hydratase inhibitor	0.403	COMP28/COMP40	(0.346 COMP20) (0.329 COMP60) (0.318 COMP683) (0.134 COMP868) (0.061 COMP63) (0.051 COMP2492)
Acyl-CoA dehydrogenase inhibitor	0.269	COMP28/COMP40	(0.245 COMP20) (0.216 COMP683) (0.211 COMP60) (0.099 COMP868) (0.051 COMP925) (0.047 COMP73)
Adenosine A1 receptor agonist	0.024	COMP2491	
Adenosine deaminase inhibitor	0.087	COMP28/COMP40	(0.079 COMP683) (0.077 COMP868) (0.074 COMP20/COMP60) (0.067 COMP925) (0.058 COMP66) (0.054 COMP63/COMP71)
Adenylate cyclase inhibitor	0.253	COMP60	(0.241 COMP83/COMP85) (0.218 COMP683) (0.166 COMP75) (0.147 COMP28/COMP40) (0.146 COMP925) (0.145 COMP868) (0.134 COMP78/COMP81) (0.133 COMP2492) (0.132 COMP2491) (0.128 COMP62) (0.124 COMP63) (0.119 COMP61) (0.116 COMP64) (0.110 COMP20)
