Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.341 COMP69) (0.338 COMP67) (0.298 COMP72) (0.248 COMP68) (0.182 COMP683) (0.171 COMP60/COMP61) (0.159 COMP62) (0.145 COMP73) (0.128 COMP2493) (0.127 COMP71) (0.125 COMP66) (0.119 COMP28/COMP40) (0.113 COMP2495/COMP868) (0.107 COMP74) (0.103 COMP59/COMP80/COMP82) (0.099 COMP63) (0.090 COMP79) (0.089 COMP20) (0.087 COMP65)
AR expression inhibitor	0.885	COMP71	(0.877 COMP66) (0.857 COMP63) (0.767 COMP79) (0.756 COMP67) (0.700 COMP59) (0.688 COMP64) (0.674 COMP76) (0.673 COMP2495) (0.648 COMP75) (0.645 COMP80/COMP82) (0.640 COMP65) (0.631 COMP683) (0.629 COMP2493) (0.623 COMP73) (0.616 COMP74) (0.601 COMP2490/COMP2494) (0.600 COMP2492/COMP83/COMP85) (0.570 COMP70) (0.559 COMP69) (0.556 COMP28/COMP40) (0.540 COMP60) (0.537 COMP2491) (0.525 COMP84) (0.517 COMP868) (0.498 COMP925) (0.492 COMP61) (0.485 COMP77) (0.484 COMP20) (0.480 COMP78/COMP81) (0.479 COMP62) (0.477 COMP72) (0.447 COMP68)
CTGF expression inhibitor	0.904	COMP71	(0.900 COMP63) (0.894 COMP66) (0.871 COMP79) (0.811 COMP77) (0.777 COMP28/COMP40) (0.755 COMP59) (0.737 COMP2490/COMP2494) (0.704 COMP2492/COMP60) (0.686 COMP868) (0.678 COMP20) (0.652 COMP683) (0.626 COMP83/COMP85) (0.622 COMP75) (0.496 COMP78/COMP81) (0.438 COMP2495) (0.359 COMP76) (0.340 COMP74) (0.320 COMP65) (0.316 COMP80/COMP82) (0.291 COMP64) (0.289 COMP68) (0.288 COMP925) (0.284 COMP62) (0.282 COMP84) (0.274 COMP69) (0.273 COMP72) (0.267 COMP2491) (0.262 COMP73) (0.249 COMP70) (0.238 COMP61)
GRP78 expression inhibitor	0.033	COMP683	(0.030 COMP60) (0.027 COMP64) (0.026 COMP75/COMP83/COMP85) (0.025 COMP65) (0.024 COMP868) (0.023 COMP28/COMP40) (0.021 COMP20/COMP925) (0.020 COMP2491)
ICAM1 expression inhibitor	0.675	COMP2493	(0.532 COMP2491) (0.529 COMP71) (0.521 COMP66) (0.500 COMP20) (0.495 COMP62) (0.491 COMP2495) (0.486 COMP925) (0.477 COMP28/COMP40) (0.465 COMP64) (0.463 COMP60) (0.461 COMP73) (0.446 COMP683) (0.442 COMP59) (0.441 COMP63) (0.417 COMP84) (0.413 COMP77) (0.411 COMP83/COMP85) (0.407 COMP80/COMP82) (0.402 COMP79) (0.396 COMP65/COMP67) (0.384 COMP76/COMP868) (0.383 COMP74) (0.375 COMP75) (0.364 COMP2492) (0.360 COMP2490/COMP2494/COMP72) (0.335 COMP78/COMP81) (0.318 COMP61) (0.271 COMP70) (0.260 COMP68) (0.255 COMP69)
LDLR expression enhancer	0.365	COMP77	(0.362 COMP71) (0.341 COMP66) (0.308 COMP79) (0.279 COMP63) (0.272 COMP683) (0.269 COMP868) (0.264 COMP2495) (0.262 COMP60) (0.249 COMP59) (0.225 COMP75) (0.211 COMP20) (0.210 COMP28/COMP40) (0.200 COMP83/COMP85) (0.181 COMP2492) (0.157 COMP2493) (0.155 COMP78/COMP81) (0.151 COMP73) (0.147 COMP80/COMP82) (0.140 COMP2490/COMP2494) (0.136 COMP67)
NOS2 expression inhibitor	0.889	COMP71	(0.879 COMP59) (0.847 COMP66) (0.784 COMP63) (0.780 COMP79) (0.767 COMP2495/COMP62) (0.766 COMP64) (0.732 COMP65) (0.729 COMP2491) (0.678 COMP2492) (0.627 COMP61) (0.612 COMP76) (0.603 COMP77) (0.600 COMP83/COMP85) (0.599 COMP69) (0.580 COMP2493) (0.546 COMP73) (0.534 COMP2490/COMP2494) (0.533 COMP80/COMP82) (0.525 COMP75) (0.516 COMP68) (0.515 COMP28/COMP40) (0.504 COMP84) (0.502 COMP20) (0.490 COMP74) (0.486 COMP72) (0.457 COMP60) (0.431 COMP868) (0.411 COMP683) (0.385 COMP925) (0.371 COMP78/COMP81) (0.367 COMP70) (0.329 COMP67)
NOS3 expression enhancer	0.621	COMP71	(0.597 COMP66) (0.559 COMP63) (0.483 COMP59) (0.453 COMP2491) (0.435 COMP683) (0.422 COMP2495) (0.392 COMP79) (0.387 COMP868) (0.381 COMP60) (0.365 COMP62) (0.337 COMP925) (0.305 COMP2492) (0.286 COMP64) (0.263 COMP77) (0.260 COMP83/COMP85) (0.228 COMP2490/COMP2494) (0.227 COMP69) (0.221 COMP75) (0.201 COMP65) (0.180 COMP68) (0.172 COMP74) (0.170 COMP28/COMP40) (0.169 COMP76) (0.156 COMP80/COMP82) (0.141 COMP20) (0.121 COMP84)
NOS3 expression inhibitor	0.910	COMP77	(0.893 COMP62) (0.823 COMP20) (0.764 COMP28/COMP40) (0.757 COMP71) (0.741 COMP66) (0.695 COMP63) (0.684 COMP2491) (0.641 COMP83/COMP85) (0.622 COMP59) (0.621 COMP75) (0.583 COMP79) (0.567 COMP68) (0.549 COMP69) (0.534 COMP925) (0.521 COMP2493) (0.515 COMP78/COMP81) (0.490 COMP80/COMP82) (0.488 COMP2492) (0.473 COMP2495) (0.466 COMP65) (0.465 COMP73) (0.462 COMP72) (0.457 COMP76) (0.451 COMP60) (0.449 COMP64) (0.444 COMP2490/COMP2494) (0.440 COMP61) (0.435 COMP868) (0.433 COMP683) (0.428 COMP84) (0.426 COMP70) (0.422 COMP74) (0.331 COMP67)
TNF expression inhibitor	0.942	COMP62	(0.899 COMP77) (0.892 COMP20) (0.869 COMP59) (0.857 COMP28/COMP40) (0.851 COMP71) (0.809 COMP66) (0.789 COMP2493) (0.771 COMP2491) (0.769 COMP63) (0.750 COMP73) (0.745 COMP79) (0.714 COMP83/COMP85) (0.687 COMP75) (0.651 COMP80/COMP82) (0.636 COMP2495) (0.619 COMP60) (0.606 COMP64) (0.587 COMP78/COMP81) (0.584 COMP2492/COMP683) (0.569 COMP65) (0.568 COMP868) (0.558 COMP2490/COMP2494) (0.551 COMP76) (0.540 COMP925) (0.523 COMP67) (0.502 COMP68) (0.499 COMP74) (0.490 COMP69) (0.463 COMP84) (0.437 COMP61) (0.415 COMP70) (0.373 COMP72)
