Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.150	COMP28/COMP40	(0.123 COMP20) (0.049 COMP60) (0.040 COMP683)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.016	COMP60	(0.015 COMP28/COMP40) (0.014 COMP683)
1.3-Beta-glucan synthase inhibitor	0.037	COMP62	(0.035 COMP77) (0.031 COMP925) (0.030 COMP2491/COMP28/COMP40) (0.029 COMP2493) (0.028 COMP20)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.208	COMP2493	(0.068 COMP73) (0.051 COMP75) (0.042 COMP77/COMP83/COMP85)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.744	COMP2493	(0.102 COMP77) (0.052 COMP83/COMP85) (0.046 COMP75) (0.044 COMP69) (0.036 COMP68) (0.034 COMP61/COMP72) (0.033 COMP62) (0.029 COMP73)
12-Lipoxygenase inhibitor	0.843	COMP71	(0.821 COMP66) (0.736 COMP79) (0.729 COMP63) (0.571 COMP2490/COMP2494) (0.493 COMP868) (0.473 COMP2492) (0.450 COMP683) (0.449 COMP2495) (0.432 COMP60) (0.412 COMP59) (0.357 COMP20) (0.318 COMP925) (0.308 COMP28/COMP40)
15-Lipoxygenase inhibitor	0.838	COMP71	(0.818 COMP66) (0.731 COMP63) (0.720 COMP79) (0.693 COMP2495) (0.662 COMP868) (0.621 COMP59) (0.516 COMP683) (0.467 COMP60) (0.461 COMP20) (0.427 COMP2492) (0.418 COMP2490/COMP2494) (0.392 COMP28/COMP40) (0.317 COMP925)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.203	COMP77	(0.065 COMP72) (0.058 COMP73) (0.054 COMP68) (0.049 COMP61/COMP62) (0.048 COMP28/COMP40) (0.047 COMP69/COMP74) (0.045 COMP20) (0.043 COMP64) (0.041 COMP80/COMP82) (0.038 COMP83/COMP85) (0.037 COMP2495) (0.035 COMP75/COMP76)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.022	COMP75	(0.021 COMP77) (0.020 COMP83/COMP85) (0.018 COMP84) (0.017 COMP65) (0.016 COMP69/COMP76) (0.015 COMP62) (0.014 COMP64/COMP67/COMP68/COMP80/COMP82) (0.012 COMP70)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.155	COMP60	(0.129 COMP683) (0.113 COMP75) (0.101 COMP83/COMP85) (0.087 COMP63) (0.076 COMP68) (0.074 COMP2492/COMP868) (0.071 COMP59) (0.069 COMP77) (0.065 COMP2495) (0.061 COMP69) (0.060 COMP65/COMP79) (0.057 COMP2490/COMP2494) (0.055 COMP71/COMP84) (0.054 COMP76) (0.051 COMP64)
