Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.032	COMP461	(0.030 COMP462/COMP463)
12-Lipoxygenase inhibitor	0.224	COMP462	
15-Lipoxygenase inhibitor	0.259	COMP462	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.239	COMP462	(0.112 COMP461/COMP463)
5 Hydroxytryptamine release inhibitor	0.556	COMP461	(0.384 COMP462)
5 Hydroxytryptamine release stimulant	0.605	COMP461	(0.323 COMP462)
5 Hydroxytryptamine uptake stimulant	0.374	COMP461	(0.217 COMP463) (0.192 COMP462)
5-Alpha-reductase inhibitor	0.037	COMP463	
5-Lipoxygenase inhibitor	0.093	COMP463	(0.090 COMP462)
ABCA1 expression enhancer	0.086	COMP463	
AMP-activated protein kinase stimulant	0.544	COMP462	(0.408 COMP461) (0.239 COMP463)
ATP citrate lysase inhibitor	0.038	COMP463	(0.035 COMP462)
ATPase (Vacuolar H+) inhibitor	0.151	COMP461	(0.129 COMP463)
ATPase inhibitor	0.373	COMP461	(0.353 COMP463) (0.147 COMP462)
Acetylcholinesterase inhibitor	0.181	COMP461	(0.145 COMP462)
Aconitate hydratase inhibitor	0.050	COMP463	
Adenine nucleotide translocase inhibitor	0.070	COMP461	(0.059 COMP463)
Adenosine A1 receptor agonist	0.029	COMP462	(0.027 COMP461)
Adenosine A1 receptor antagonist	0.058	COMP462	
Adenosine A2b receptor agonist	0.013	COMP462	
Adenosine A3 receptor antagonist	0.088	COMP462	
Adenosine deaminase inhibitor	0.076	COMP462	(0.058 COMP461)
Adenylate cyclase inhibitor	0.222	COMP462	(0.163 COMP461) (0.157 COMP463)
Adenylate cyclase stimulant	0.202	COMP463	(0.181 COMP461) (0.159 COMP462)
Adenylate kinase inhibitor	0.096	COMP461	
Alcohol dehydrogenase inhibitor	0.206	COMP462	(0.202 COMP461) (0.098 COMP463)
Alcohol oxidase inhibitor	0.055	COMP463	
Aldehyde dehydrogenase inhibitor	0.587	COMP461	(0.543 COMP462)
Aldehyde oxidase inhibitor	0.416	COMP462	(0.195 COMP463)
Aldose reductase inhibitor	0.270	COMP462	(0.236 COMP463) (0.217 COMP461)
Alkaline phosphatase inhibitor	0.255	COMP461	(0.214 COMP462)
Alkylator	0.466	COMP461	(0.446 COMP462) (0.185 COMP463)
Alpha-N-acetylglucosaminidase inhibitor	0.591	COMP461	(0.268 COMP462) (0.209 COMP463)
Alpha-mannosidase inhibitor	0.230	COMP461	(0.077 COMP462)
Aminoacyl-tRNA synthetase inhibitor	0.188	COMP462	
Amylase inhibitor	0.887	COMP461	(0.794 COMP462) (0.410 COMP463)
Amyloid beta aggregation inhibitor	0.691	COMP462	(0.636 COMP463) (0.599 COMP461)
Anabolic	0.155	COMP463	(0.097 COMP462)
Androgen agonist	0.057	COMP461	
Anesthetic general	0.393	COMP461	(0.325 COMP463)
Angiogenesis inhibitor	0.197	COMP461	
Angiogenesis stimulant	0.735	COMP461	(0.546 COMP462) (0.331 COMP463)
Antiamyloidogenic	0.621	COMP462	(0.560 COMP461) (0.552 COMP463)
Antibacterial	0.731	COMP461	(0.644 COMP462) (0.639 COMP463)
Antibiotic Aminoglycoside-like	0.101	COMP461	(0.065 COMP462) (0.044 COMP463)
Antibiotic Anthracycline-like	0.024	COMP461	(0.023 COMP463) (0.019 COMP462)
Antibiotic Macrolide-like	0.019	COMP461	
Anticoagulant	0.159	COMP461	
Antiinflammatory	0.844	COMP461	(0.802 COMP463) (0.745 COMP462)
Antimitotic	0.222	COMP463	
Antineoplastic alkaloid	0.125	COMP463	
Antineoplastic antibiotic	0.322	COMP461	(0.307 COMP463) (0.271 COMP462)
Antiobesity	0.321	COMP462	
Antioxidant	0.876	COMP462	(0.872 COMP461) (0.837 COMP463)
Antithrombotic	0.699	COMP461	(0.472 COMP463) (0.392 COMP462)
