Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.374	COMP461	(0.217 COMP463) (0.192 COMP462)
Electron transport complex I inhibitor	0.155	COMP462	
Equilibrative nucleoside transport protein inhibitor	0.068	COMP462	(0.067 COMP461)
Ileal bile acid transport inhibitor	0.015	COMP461	
Multidrug resistance-associated protein 1 inhibitor	0.197	COMP462	(0.100 COMP461)
Nucleoside transporters inhibitor	0.086	COMP462	(0.045 COMP461)
P-glycoprotein inhibitor	0.666	COMP463	(0.385 COMP462) (0.249 COMP461)
Sodium/bile acid cotransporter inhibitor	0.300	COMP463	
Sodium/glucose cotransporter 1 inhibitor	0.184	COMP462	(0.108 COMP461)
Sodium/glucose cotransporter 2 inhibitor	0.172	COMP462	(0.129 COMP461)
Sodium/glucose cotransporter inhibitor	0.231	COMP462	(0.143 COMP461)
