Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.805	COMP708	(0.696 COMP3090) (0.538 COMP478/COMP499/COMP518/COMP57) (0.520 COMP2228) (0.435 COMP30) (0.325 COMP621) (0.324 COMP389/COMP390) (0.298 COMP3114) (0.294 COMP259) (0.279 COMP3088) (0.246 COMP728) (0.240 COMP285) (0.227 COMP2971) (0.220 COMP33) (0.199 COMP3081) (0.198 COMP3095) (0.196 COMP3079/COMP3117) (0.193 COMP3082) (0.189 COMP3087) (0.182 COMP683) (0.176 COMP3093/COMP3098) (0.175 COMP192) (0.171 COMP60) (0.170 COMP3097) (0.163 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.160 COMP152) (0.158 COMP521) (0.152 COMP3099) (0.149 COMP984) (0.147 COMP724) (0.146 COMP114/COMP131) (0.145 COMP49) (0.141 COMP48) (0.140 COMP1127/COMP14/COMP3110/COMP538) (0.137 COMP1100) (0.136 COMP122) (0.128 COMP271) (0.127 COMP71) (0.126 COMP1529) (0.124 COMP255) (0.121 COMP3111) (0.120 COMP1244) (0.119 COMP322) (0.117 COMP43/COMP615) (0.116 COMP1079/COMP257) (0.113 COMP2967) (0.112 COMP325) (0.109 COMP1213/COMP617) (0.108 COMP3085/COMP3091/COMP3101) (0.107 COMP1166) (0.106 COMP1881/COMP2171) (0.105 COMP1309) (0.104 COMP11/COMP3109/COMP8) (0.103 COMP27/COMP3107) (0.102 COMP198) (0.101 COMP847) (0.099 COMP3104) (0.098 COMP3092) (0.095 COMP1112) (0.094 COMP1257) (0.093 COMP3115) (0.092 COMP480) (0.091 COMP3106) (0.090 COMP141/COMP264/COMP547) (0.084 COMP941)
AR expression inhibitor	0.991	COMP478/COMP499/COMP518/COMP57	(0.981 COMP3093) (0.956 COMP3088) (0.953 COMP724) (0.952 COMP2228) (0.941 COMP708) (0.937 COMP48/COMP49) (0.890 COMP3090) (0.885 COMP1257/COMP1529/COMP71) (0.862 COMP198) (0.836 COMP2971) (0.820 COMP3084) (0.815 COMP3079/COMP3117) (0.806 COMP30) (0.796 COMP3087) (0.793 COMP46) (0.784 COMP2816/COMP2817/COMP348) (0.771 COMP56) (0.758 COMP305) (0.747 COMP3116) (0.743 COMP847) (0.731 COMP302) (0.726 COMP2019/COMP3097) (0.725 COMP1183) (0.723 COMP43) (0.712 COMP3102/COMP3103) (0.707 COMP1881/COMP2171) (0.659 COMP389/COMP390) (0.658 COMP11/COMP8) (0.650 COMP621) (0.631 COMP683) (0.629 COMP3099) (0.615 COMP476) (0.613 COMP728) (0.609 COMP14) (0.589 COMP3106) (0.578 COMP1562/COMP1918) (0.572 COMP3114) (0.545 COMP3081) (0.540 COMP3115/COMP60) (0.524 COMP27) (0.504 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.500 COMP941) (0.499 COMP122/COMP3085/COMP3091) (0.479 COMP152) (0.474 COMP271/COMP3092/COMP3111) (0.471 COMP141/COMP264/COMP547) (0.457 COMP285) (0.450 COMP1019/COMP1100) (0.449 COMP3096) (0.446 COMP1079) (0.445 COMP1166) (0.437 COMP1213) (0.422 COMP521) (0.417 COMP325) (0.414 COMP3095) (0.413 COMP984) (0.409 COMP3098) (0.401 COMP33) (0.397 COMP3082) (0.393 COMP3113) (0.392 COMP3104) (0.367 COMP2797) (0.363 COMP322) (0.360 COMP1112) (0.347 COMP1127/COMP3110/COMP538) (0.327 COMP3109) (0.325 COMP259/COMP617) (0.319 COMP1104) (0.315 COMP615) (0.301 COMP3101) (0.300 COMP943/COMP949) (0.299 COMP480) (0.297 COMP1309) (0.288 COMP3094) (0.272 COMP257) (0.269 COMP192) (0.266 COMP2967) (0.255 COMP114/COMP131) (0.244 COMP255) (0.225 COMP1244) (0.208 COMP44) (0.206 COMP32) (0.194 COMP3108) (0.190 COMP139/COMP3100) (0.185 COMP1654)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.916 COMP724) (0.907 COMP1529) (0.904 COMP71) (0.902 COMP198) (0.888 COMP1257) (0.821 COMP389/COMP390) (0.779 COMP32) (0.767 COMP285) (0.766 COMP1145/COMP117/COMP18/COMP43/COMP53/COMP593/COMP627/COMP634) (0.761 COMP1881/COMP2171) (0.742 COMP27/COMP3100) (0.735 COMP1213) (0.731 COMP728) (0.715 COMP325) (0.713 COMP941) (0.708 COMP3111) (0.707 COMP1654) (0.706 COMP847) (0.704 COMP478/COMP499/COMP518/COMP57/COMP60) (0.703 COMP3084) (0.686 COMP1127/COMP3110/COMP538) (0.677 COMP271) (0.674 COMP984) (0.673 COMP1079) (0.668 COMP3108) (0.664 COMP56) (0.655 COMP2971) (0.652 COMP683) (0.651 COMP14) (0.643 COMP3098) (0.633 COMP1100) (0.630 COMP2019) (0.627 COMP1112) (0.621 COMP3116) (0.619 COMP3097) (0.618 COMP305) (0.610 COMP322) (0.608 COMP46) (0.606 COMP3099) (0.604 COMP1309) (0.602 COMP3101) (0.588 COMP3095) (0.581 COMP122/COMP2228) (0.573 COMP257) (0.570 COMP3107) (0.565 COMP33) (0.561 COMP3104) (0.555 COMP2816/COMP2817/COMP348) (0.553 COMP192) (0.544 COMP2967) (0.515 COMP1183) (0.512 COMP615) (0.506 COMP259) (0.503 COMP3085/COMP3091) (0.493 COMP3109) (0.482 COMP255) (0.474 COMP3115) (0.466 COMP3106) (0.464 COMP521) (0.461 COMP617) (0.454 COMP1019) (0.453 COMP3082/COMP480) (0.449 COMP3102/COMP3103) (0.442 COMP3081) (0.426 COMP1160/COMP3090) (0.397 COMP3086) (0.390 COMP139) (0.386 COMP943/COMP949) (0.383 COMP3080/COMP621) (0.378 COMP1166) (0.376 COMP3083) (0.362 COMP3096) (0.356 COMP3113) (0.353 COMP114/COMP131) (0.343 COMP476) (0.338 COMP3105) (0.330 COMP30) (0.325 COMP2797) (0.321 COMP3089) (0.303 COMP708) (0.290 COMP3112) (0.288 COMP3092) (0.282 COMP3088) (0.281 COMP3093) (0.268 COMP44) (0.267 COMP11/COMP8) (0.266 COMP1244) (0.264 COMP141/COMP264/COMP547) (0.252 COMP3114) (0.248 COMP3094) (0.244 COMP1562/COMP1918) (0.216 COMP152) (0.213 COMP302)
GRP78 expression inhibitor	0.042	COMP3101	(0.041 COMP1309/COMP3102/COMP3103) (0.040 COMP2967/COMP480) (0.038 COMP255/COMP33) (0.036 COMP1112) (0.035 COMP257/COMP3092/COMP3104/COMP847) (0.034 COMP943/COMP949) (0.033 COMP1079/COMP1145/COMP117/COMP18/COMP3095/COMP53/COMP593/COMP627/COMP634/COMP683) (0.032 COMP1100) (0.031 COMP122) (0.030 COMP322/COMP60) (0.029 COMP192/COMP3115) (0.028 COMP3079/COMP3105/COMP3107/COMP3113/COMP3117) (0.027 COMP1127/COMP2797/COMP3110/COMP3112/COMP538) (0.026 COMP3087/COMP984) (0.025 COMP114/COMP1183/COMP131/COMP271/COMP305/COMP3083/COMP3090/COMP3098/COMP617) (0.024 COMP1562/COMP1918/COMP3085/COMP3091/COMP325) (0.023 COMP3084/COMP3116) (0.022 COMP3093/COMP3096/COMP3109) (0.021 COMP1213/COMP27/COMP2816/COMP2817/COMP3081/COMP3097/COMP3106/COMP32/COMP348) (0.020 COMP139/COMP56)
ICAM1 expression inhibitor	0.678	COMP3087	(0.676 COMP3079/COMP3117) (0.621 COMP3084) (0.619 COMP3090) (0.615 COMP2816/COMP2817/COMP348) (0.611 COMP46) (0.587 COMP1183) (0.585 COMP3116) (0.581 COMP305) (0.578 COMP56) (0.564 COMP49) (0.560 COMP48) (0.558 COMP1562/COMP1918) (0.556 COMP2019/COMP724) (0.551 COMP3113) (0.529 COMP3098/COMP71) (0.526 COMP1529) (0.524 COMP708) (0.511 COMP27) (0.504 COMP3081) (0.489 COMP3088) (0.480 COMP389/COMP390) (0.478 COMP3105) (0.470 COMP1100) (0.464 COMP3102/COMP3103) (0.463 COMP60) (0.452 COMP198) (0.451 COMP1881/COMP2171) (0.450 COMP1257) (0.449 COMP941) (0.447 COMP3096) (0.446 COMP683) (0.441 COMP1244) (0.436 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.432 COMP271/COMP615/COMP847) (0.429 COMP728) (0.426 COMP3082) (0.422 COMP3107) (0.420 COMP984) (0.414 COMP33) (0.408 COMP1213) (0.405 COMP285) (0.402 COMP3106) (0.399 COMP122) (0.397 COMP325) (0.396 COMP3115) (0.394 COMP3111) (0.392 COMP1104) (0.389 COMP152) (0.387 COMP480) (0.386 COMP114/COMP131) (0.383 COMP3083/COMP3092/COMP943/COMP949) (0.382 COMP257/COMP2967) (0.372 COMP322) (0.366 COMP3093) (0.365 COMP3101) (0.357 COMP192) (0.354 COMP1127/COMP3110/COMP538) (0.353 COMP141/COMP264/COMP547) (0.350 COMP476) (0.347 COMP2797) (0.345 COMP1309) (0.337 COMP1079) (0.335 COMP3089) (0.328 COMP43) (0.325 COMP30) (0.319 COMP2971) (0.299 COMP1019) (0.298 COMP259) (0.284 COMP3085/COMP3091) (0.276 COMP3114) (0.274 COMP255) (0.259 COMP3109) (0.246 COMP11/COMP8) (0.243 COMP617) (0.242 COMP1112) (0.238 COMP621) (0.218 COMP521) (0.214 COMP1166) (0.210 COMP3104) (0.201 COMP302) (0.194 COMP3100)
LDLR expression enhancer	0.391	COMP1529	(0.377 COMP3088) (0.369 COMP708) (0.365 COMP724) (0.362 COMP71) (0.349 COMP48) (0.314 COMP49) (0.307 COMP728) (0.306 COMP271) (0.301 COMP122) (0.286 COMP198) (0.272 COMP683) (0.271 COMP30) (0.267 COMP847) (0.266 COMP389/COMP390) (0.262 COMP60) (0.260 COMP476) (0.259 COMP1213) (0.258 COMP1257) (0.256 COMP285) (0.255 COMP1881/COMP2171) (0.246 COMP3104) (0.242 COMP325) (0.240 COMP3109) (0.238 COMP3090) (0.236 COMP617) (0.235 COMP302) (0.229 COMP1100) (0.227 COMP1127/COMP3110/COMP538) (0.226 COMP27/COMP3111) (0.225 COMP1112/COMP941) (0.220 COMP33) (0.218 COMP1079) (0.217 COMP3101) (0.215 COMP1309/COMP3102/COMP3103) (0.214 COMP11/COMP3106/COMP8) (0.208 COMP322) (0.207 COMP2967) (0.206 COMP1244/COMP3115/COMP984) (0.204 COMP3114) (0.203 COMP255) (0.201 COMP257) (0.195 COMP480) (0.193 COMP152) (0.192 COMP3096) (0.190 COMP3098) (0.188 COMP521) (0.183 COMP3083) (0.182 COMP1166) (0.179 COMP192) (0.178 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.174 COMP3113) (0.172 COMP3089/COMP3095/COMP3105/COMP621) (0.160 COMP3107) (0.151 COMP2971/COMP615) (0.149 COMP2019) (0.147 COMP43) (0.143 COMP3081) (0.140 COMP3112) (0.139 COMP259) (0.136 COMP1654/COMP943/COMP949)
NOS2 expression inhibitor	0.967	COMP46	(0.965 COMP2019) (0.962 COMP1562/COMP1918) (0.960 COMP2816/COMP2817/COMP348) (0.958 COMP56) (0.957 COMP1183) (0.951 COMP3084/COMP3116) (0.949 COMP305) (0.903 COMP48) (0.901 COMP1529) (0.894 COMP1881/COMP2171) (0.889 COMP71) (0.871 COMP49) (0.869 COMP724) (0.839 COMP1257) (0.807 COMP198) (0.750 COMP3079/COMP3117) (0.720 COMP3087) (0.604 COMP141/COMP264/COMP547) (0.585 COMP389/COMP390) (0.578 COMP3088) (0.563 COMP302) (0.555 COMP728) (0.542 COMP27) (0.537 COMP30) (0.533 COMP941) (0.530 COMP984) (0.521 COMP476) (0.515 COMP285) (0.508 COMP271) (0.488 COMP11/COMP8) (0.479 COMP1213) (0.471 COMP3115/COMP847) (0.470 COMP1100) (0.461 COMP708) (0.457 COMP60) (0.455 COMP325) (0.445 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.439 COMP480) (0.438 COMP1166) (0.436 COMP3090) (0.435 COMP3106) (0.433 COMP3096) (0.430 COMP122) (0.423 COMP3105) (0.420 COMP3114) (0.419 COMP192) (0.418 COMP3098/COMP3111) (0.417 COMP1019) (0.411 COMP3093/COMP683) (0.410 COMP152) (0.401 COMP617) (0.400 COMP2797) (0.397 COMP3109/COMP521/COMP615) (0.392 COMP1079) (0.389 COMP3092) (0.384 COMP3104) (0.382 COMP3113) (0.381 COMP1112/COMP2967/COMP3102/COMP3103) (0.376 COMP1127/COMP3110/COMP538) (0.374 COMP1244) (0.371 COMP257) (0.368 COMP3101) (0.362 COMP1309) (0.361 COMP322) (0.358 COMP2971/COMP43) (0.345 COMP3081) (0.342 COMP3095) (0.334 COMP33) (0.331 COMP3099) (0.316 COMP2228) (0.312 COMP3107) (0.307 COMP255) (0.303 COMP3082) (0.302 COMP3097) (0.301 COMP943/COMP949) (0.299 COMP3100) (0.292 COMP3083) (0.290 COMP478/COMP499/COMP518/COMP57) (0.281 COMP14) (0.273 COMP32) (0.271 COMP114/COMP1160/COMP131) (0.269 COMP259) (0.267 COMP621) (0.255 COMP3108) (0.248 COMP3085/COMP3091) (0.242 COMP1654) (0.226 COMP139) (0.201 COMP44) (0.194 COMP3094) (0.168 COMP3112)
NOS3 expression enhancer	0.722	COMP46	(0.721 COMP56) (0.720 COMP2816/COMP2817/COMP348) (0.718 COMP305) (0.717 COMP724) (0.712 COMP3116) (0.705 COMP3084) (0.703 COMP48) (0.698 COMP1183) (0.697 COMP49) (0.690 COMP2019) (0.673 COMP389/COMP390) (0.665 COMP1257) (0.623 COMP1529) (0.621 COMP71) (0.562 COMP198) (0.552 COMP1562/COMP1918/COMP728) (0.485 COMP1881/COMP2171) (0.484 COMP847) (0.477 COMP3079/COMP3117) (0.438 COMP3087) (0.435 COMP683) (0.421 COMP941) (0.412 COMP3104) (0.381 COMP60) (0.350 COMP1213) (0.334 COMP325) (0.324 COMP285/COMP521) (0.298 COMP1112) (0.288 COMP33) (0.283 COMP271) (0.270 COMP3112) (0.261 COMP122) (0.248 COMP3098) (0.223 COMP3102/COMP3103) (0.203 COMP302) (0.202 COMP257) (0.200 COMP3096) (0.199 COMP1100/COMP3115/COMP322) (0.194 COMP3111) (0.175 COMP3089) (0.174 COMP3106) (0.173 COMP3083) (0.171 COMP11/COMP8) (0.166 COMP984) (0.155 COMP3107) (0.143 COMP2971) (0.141 COMP27) (0.130 COMP480) (0.128 COMP1166/COMP943/COMP949) (0.122 COMP2967)
NOS3 expression inhibitor	0.866	COMP3084	(0.862 COMP285) (0.842 COMP27) (0.841 COMP305) (0.837 COMP56) (0.834 COMP49) (0.831 COMP724) (0.829 COMP3116) (0.827 COMP48) (0.817 COMP1183) (0.798 COMP2019) (0.780 COMP521) (0.764 COMP1257) (0.759 COMP2816/COMP2817/COMP348) (0.757 COMP46/COMP71) (0.744 COMP1529) (0.716 COMP3095) (0.710 COMP1562/COMP1918) (0.702 COMP198) (0.664 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.628 COMP1881/COMP2171/COMP3115) (0.600 COMP3079/COMP3117) (0.594 COMP3109) (0.592 COMP3087) (0.584 COMP617) (0.556 COMP11/COMP8) (0.549 COMP1166) (0.541 COMP43) (0.534 COMP943/COMP949) (0.523 COMP3105) (0.510 COMP1079) (0.506 COMP389/COMP390) (0.486 COMP1127/COMP3110/COMP538) (0.481 COMP3102/COMP3103/COMP984) (0.477 COMP1080) (0.470 COMP325) (0.466 COMP847) (0.465 COMP3081) (0.462 COMP615) (0.451 COMP60) (0.450 COMP1213) (0.433 COMP683) (0.429 COMP728) (0.426 COMP3096) (0.417 COMP1244) (0.413 COMP152) (0.412 COMP1100) (0.408 COMP3092) (0.403 COMP3111) (0.400 COMP271) (0.399 COMP3098) (0.395 COMP192) (0.394 COMP480) (0.378 COMP3085/COMP3091) (0.372 COMP33) (0.368 COMP322) (0.367 COMP708) (0.362 COMP122/COMP476) (0.360 COMP3113) (0.339 COMP3090) (0.320 COMP941) (0.314 COMP114/COMP131/COMP3104) (0.309 COMP3101/COMP478/COMP499/COMP518/COMP57) (0.298 COMP1019) (0.295 COMP1309) (0.280 COMP3093) (0.275 COMP1104/COMP3106) (0.271 COMP2967) (0.266 COMP302) (0.263 COMP2797) (0.261 COMP1654) (0.259 COMP3088) (0.258 COMP2228) (0.254 COMP3082) (0.251 COMP1112) (0.248 COMP257/COMP259) (0.244 COMP3114) (0.238 COMP139) (0.220 COMP3099) (0.217 COMP30) (0.216 COMP255) (0.211 COMP3083) (0.200 COMP141/COMP264/COMP547) (0.189 COMP14) (0.187 COMP3097) (0.181 COMP3094)
TNF expression inhibitor	0.959	COMP2019	(0.958 COMP3084) (0.952 COMP1562/COMP1918) (0.951 COMP56) (0.938 COMP708) (0.937 COMP305/COMP3116) (0.927 COMP1183) (0.882 COMP1881/COMP2171) (0.881 COMP27) (0.877 COMP48) (0.870 COMP11/COMP8) (0.869 COMP46) (0.864 COMP1529) (0.856 COMP3081) (0.851 COMP71) (0.849 COMP724) (0.847 COMP49) (0.843 COMP476) (0.841 COMP30) (0.836 COMP2816/COMP2817/COMP348) (0.833 COMP3088) (0.801 COMP389/COMP390) (0.796 COMP1166) (0.792 COMP198) (0.785 COMP3109) (0.763 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.762 COMP617) (0.760 COMP728) (0.755 COMP285) (0.737 COMP3079/COMP3117) (0.719 COMP3087) (0.712 COMP3090) (0.708 COMP1257) (0.673 COMP3098) (0.666 COMP615) (0.665 COMP3114) (0.658 COMP302) (0.656 COMP941) (0.653 COMP152) (0.651 COMP271) (0.643 COMP3106) (0.640 COMP3095) (0.619 COMP60) (0.603 COMP1213) (0.592 COMP1079) (0.590 COMP1127/COMP3110/COMP538) (0.588 COMP3115) (0.586 COMP122) (0.584 COMP1104/COMP683) (0.579 COMP325) (0.578 COMP847) (0.569 COMP3111) (0.551 COMP984) (0.539 COMP1100/COMP3096) (0.535 COMP1244) (0.530 COMP3102/COMP3103) (0.523 COMP43) (0.522 COMP3105) (0.517 COMP322) (0.514 COMP3092/COMP3104) (0.508 COMP33) (0.507 COMP943/COMP949) (0.505 COMP621) (0.493 COMP141/COMP264/COMP547) (0.491 COMP480) (0.490 COMP3113) (0.489 COMP521) (0.487 COMP1112) (0.485 COMP257) (0.471 COMP2797) (0.469 COMP2971) (0.463 COMP1019) (0.460 COMP192) (0.453 COMP3085/COMP3091) (0.448 COMP478/COMP499/COMP518/COMP57) (0.445 COMP3099) (0.431 COMP3093) (0.430 COMP3101) (0.420 COMP2228) (0.418 COMP1309) (0.407 COMP3107) (0.403 COMP2967) (0.398 COMP259) (0.384 COMP3097) (0.380 COMP3080) (0.355 COMP255) (0.342 COMP114/COMP131) (0.338 COMP32) (0.336 COMP1654) (0.332 COMP3100) (0.326 COMP3083) (0.307 COMP14) (0.304 COMP3082) (0.303 COMP3108) (0.288 COMP44) (0.272 COMP3112) (0.268 COMP139) (0.229 COMP3086) (0.220 COMP1160)
