Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.952	COMP2971	(0.939 COMP43) (0.928 COMP478/COMP499/COMP518/COMP57) (0.857 COMP2228) (0.825 COMP32) (0.803 COMP617) (0.793 COMP3109) (0.791 COMP3097) (0.790 COMP1166) (0.765 COMP3100) (0.714 COMP621) (0.707 COMP3088) (0.680 COMP3099) (0.669 COMP708) (0.658 COMP1654) (0.639 COMP476) (0.638 COMP1127/COMP3110/COMP538) (0.623 COMP14) (0.607 COMP139) (0.580 COMP141/COMP264/COMP547) (0.521 COMP30) (0.518 COMP3090) (0.485 COMP3114) (0.484 COMP3108) (0.476 COMP3082) (0.437 COMP3085/COMP3091) (0.422 COMP480) (0.400 COMP27) (0.380 COMP3083) (0.371 COMP1079/COMP302) (0.352 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.335 COMP1160) (0.325 COMP11/COMP8) (0.324 COMP3092) (0.312 COMP285) (0.308 COMP3079/COMP3117) (0.306 COMP389/COMP390) (0.298 COMP3087) (0.288 COMP3081) (0.285 COMP192/COMP615) (0.283 COMP3106) (0.265 COMP3111) (0.260 COMP984) (0.245 COMP728) (0.243 COMP259) (0.217 COMP3095) (0.203 COMP1019) (0.193 COMP941) (0.176 COMP847) (0.169 COMP3102/COMP3103) (0.154 COMP3115) (0.152 COMP60) (0.151 COMP521) (0.146 COMP1244) (0.145 COMP152/COMP3098/COMP33) (0.144 COMP1080/COMP2797) (0.143 COMP683) (0.141 COMP1100) (0.138 COMP3093) (0.135 COMP271) (0.133 COMP3104) (0.132 COMP1213) (0.130 COMP114/COMP131) (0.127 COMP3096/COMP325) (0.122 COMP122) (0.117 COMP322) (0.116 COMP3113) (0.112 COMP1112) (0.110 COMP3101) (0.107 COMP1309/COMP257)
Aldehyde dehydrogenase substrate	0.934	COMP478/COMP499/COMP518/COMP57	(0.899 COMP14) (0.869 COMP2971) (0.841 COMP3097) (0.821 COMP43) (0.817 COMP2228) (0.770 COMP3099) (0.700 COMP32) (0.609 COMP3100) (0.548 COMP1654) (0.497 COMP621) (0.453 COMP3108) (0.411 COMP3082) (0.373 COMP3085/COMP3091) (0.362 COMP708) (0.351 COMP141/COMP264/COMP547) (0.338 COMP1160) (0.335 COMP139) (0.327 COMP1127/COMP3110/COMP538) (0.321 COMP1166) (0.313 COMP3090) (0.304 COMP30) (0.301 COMP27) (0.298 COMP1079) (0.294 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.289 COMP3109) (0.284 COMP617) (0.280 COMP3088) (0.253 COMP3114) (0.250 COMP615) (0.237 COMP3111) (0.234 COMP480) (0.231 COMP3079/COMP3117) (0.227 COMP3087) (0.222 COMP3081) (0.219 COMP389/COMP390) (0.217 COMP60) (0.209 COMP984) (0.207 COMP192) (0.206 COMP683) (0.204 COMP33) (0.202 COMP271) (0.197 COMP1104/COMP847) (0.195 COMP259) (0.192 COMP3092) (0.188 COMP1100/COMP728) (0.179 COMP122) (0.174 COMP3095/COMP941) (0.173 COMP1213) (0.159 COMP325) (0.149 COMP322) (0.146 COMP11/COMP8) (0.142 COMP476) (0.140 COMP3098) (0.139 COMP3083) (0.132 COMP521) (0.130 COMP3101) (0.129 COMP1309/COMP302) (0.125 COMP1019) (0.123 COMP1112) (0.122 COMP1244) (0.112 COMP3106) (0.110 COMP2797) (0.109 COMP3093) (0.098 COMP2019)
Aldehyde oxidase substrate	0.692	COMP14	(0.681 COMP3089) (0.666 COMP32) (0.563 COMP1654) (0.507 COMP3086) (0.443 COMP3100) (0.387 COMP3080) (0.357 COMP1112) (0.354 COMP3108) (0.334 COMP2228) (0.333 COMP3083) (0.332 COMP478/COMP499/COMP518/COMP521/COMP57) (0.325 COMP847) (0.322 COMP60) (0.318 COMP33) (0.313 COMP192) (0.308 COMP3097) (0.303 COMP271) (0.295 COMP683) (0.292 COMP1309) (0.291 COMP3104) (0.290 COMP3101) (0.279 COMP322) (0.270 COMP2971) (0.265 COMP984) (0.260 COMP3099) (0.259 COMP122) (0.255 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.249 COMP1079) (0.247 COMP1100) (0.242 COMP1080) (0.241 COMP480) (0.237 COMP617) (0.235 COMP257) (0.234 COMP44) (0.232 COMP3112) (0.231 COMP1213) (0.222 COMP43) (0.221 COMP3102/COMP3103) (0.219 COMP389/COMP390) (0.218 COMP2967) (0.217 COMP1160) (0.212 COMP1127/COMP3109/COMP3110/COMP538) (0.211 COMP3095/COMP3098) (0.210 COMP3082) (0.204 COMP941) (0.203 COMP3085/COMP3091) (0.193 COMP139) (0.192 COMP255) (0.190 COMP325) (0.188 COMP3107) (0.178 COMP621) (0.176 COMP1257) (0.175 COMP3106) (0.174 COMP3105) (0.173 COMP615/COMP728) (0.166 COMP27/COMP3090) (0.165 COMP1104/COMP3111) (0.162 COMP198) (0.156 COMP1166) (0.148 COMP3115) (0.142 COMP1244) (0.140 COMP3113) (0.139 COMP1019/COMP48) (0.137 COMP1529)
Aldose reductase substrate	0.992	COMP478/COMP499/COMP518/COMP57	(0.976 COMP2228) (0.932 COMP3097) (0.886 COMP3099) (0.885 COMP14) (0.884 COMP2971) (0.826 COMP43) (0.716 COMP1080) (0.572 COMP3079/COMP3117) (0.559 COMP3087) (0.490 COMP1183) (0.482 COMP305) (0.461 COMP1562/COMP1918/COMP3084/COMP3116) (0.442 COMP56) (0.404 COMP2816/COMP2817/COMP348) (0.402 COMP2019) (0.387 COMP3086) (0.379 COMP46) (0.339 COMP3080) (0.291 COMP480) (0.252 COMP617) (0.249 COMP192) (0.248 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.233 COMP1112) (0.230 COMP3109) (0.221 COMP984) (0.218 COMP139) (0.217 COMP1104) (0.214 COMP1127/COMP3110/COMP538) (0.207 COMP3090) (0.201 COMP33) (0.190 COMP3092/COMP389/COMP390) (0.189 COMP847) (0.182 COMP32/COMP728) (0.180 COMP1100) (0.179 COMP27) (0.165 COMP1166/COMP3081/COMP60) (0.161 COMP3095/COMP322) (0.160 COMP122) (0.159 COMP271/COMP3083) (0.152 COMP683) (0.149 COMP3085/COMP3091) (0.148 COMP1019) (0.147 COMP3115) (0.146 COMP325) (0.137 COMP3113) (0.136 COMP1257/COMP3098) (0.134 COMP1213) (0.133 COMP3108) (0.130 COMP198) (0.128 COMP3100)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.417 COMP1100) (0.350 COMP60) (0.333 COMP33) (0.332 COMP683) (0.318 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.293 COMP847) (0.278 COMP1112) (0.238 COMP271) (0.234 COMP322) (0.214 COMP122) (0.212 COMP325) (0.206 COMP198) (0.192 COMP257) (0.185 COMP389/COMP390) (0.180 COMP1213) (0.179 COMP1166) (0.176 COMP1257) (0.175 COMP1079/COMP3104) (0.174 COMP3080/COMP3112) (0.171 COMP984) (0.170 COMP617) (0.169 COMP3109) (0.167 COMP3086/COMP3098) (0.149 COMP3089) (0.143 COMP3090/COMP480) (0.142 COMP3107) (0.139 COMP3102/COMP3103) (0.137 COMP192/COMP521) (0.134 COMP44) (0.131 COMP1127/COMP3110/COMP538) (0.129 COMP941) (0.123 COMP49) (0.122 COMP3101) (0.121 COMP1309) (0.114 COMP48) (0.103 COMP32) (0.099 COMP2967/COMP3106/COMP43/COMP728) (0.098 COMP615) (0.095 COMP3095) (0.084 COMP724) (0.079 COMP255/COMP3111) (0.075 COMP1019) (0.073 COMP3083) (0.072 COMP3100) (0.066 COMP302) (0.064 COMP3115)
CYP1A2 inhibitor	0.978	COMP1529	(0.970 COMP71) (0.945 COMP48) (0.919 COMP724) (0.914 COMP49) (0.796 COMP198) (0.779 COMP1257) (0.701 COMP1881/COMP2171) (0.472 COMP3084) (0.455 COMP2019) (0.417 COMP941) (0.400 COMP728) (0.397 COMP56) (0.385 COMP3112) (0.372 COMP3083/COMP3105) (0.362 COMP389/COMP390) (0.355 COMP305) (0.352 COMP3116) (0.341 COMP30) (0.322 COMP14) (0.317 COMP1112) (0.313 COMP847) (0.305 COMP259) (0.297 COMP1183) (0.285 COMP3089) (0.280 COMP46) (0.279 COMP3106) (0.278 COMP3102/COMP3103) (0.274 COMP984) (0.268 COMP255) (0.267 COMP3104) (0.264 COMP476) (0.260 COMP271) (0.259 COMP3107) (0.252 COMP2816/COMP2817/COMP348) (0.246 COMP257) (0.240 COMP122) (0.239 COMP3088/COMP521) (0.238 COMP3114) (0.235 COMP1309) (0.233 COMP32) (0.232 COMP1079/COMP192) (0.230 COMP3101) (0.229 COMP3098) (0.226 COMP1213) (0.220 COMP2967/COMP325) (0.217 COMP3100/COMP60) (0.215 COMP480) (0.213 COMP708) (0.205 COMP683) (0.200 COMP1562/COMP1918) (0.197 COMP1127/COMP3110/COMP538) (0.191 COMP2971) (0.187 COMP1100) (0.186 COMP3108) (0.182 COMP43) (0.178 COMP27/COMP322) (0.176 COMP1019/COMP1160)
CYP1A2 substrate	0.928	COMP1881/COMP2171	(0.919 COMP724) (0.912 COMP48/COMP71) (0.905 COMP49) (0.903 COMP708) (0.901 COMP1529) (0.851 COMP1257) (0.764 COMP1166) (0.746 COMP198/COMP2797) (0.716 COMP1562/COMP1918) (0.691 COMP14) (0.671 COMP521) (0.664 COMP621) (0.660 COMP3084) (0.655 COMP30) (0.644 COMP32) (0.642 COMP1654/COMP2971) (0.639 COMP941) (0.630 COMP984) (0.616 COMP3100) (0.615 COMP43) (0.600 COMP27) (0.585 COMP728) (0.572 COMP56) (0.569 COMP2019/COMP389/COMP390) (0.565 COMP192) (0.559 COMP305) (0.557 COMP46) (0.551 COMP3114) (0.544 COMP2816/COMP2817/COMP348) (0.540 COMP847) (0.539 COMP3115) (0.538 COMP617) (0.526 COMP3113) (0.520 COMP3090) (0.516 COMP3109) (0.511 COMP1183) (0.510 COMP3116) (0.502 COMP3108) (0.498 COMP3081) (0.488 COMP1127/COMP3110/COMP538) (0.467 COMP3082) (0.462 COMP1112) (0.448 COMP3085/COMP3091/COMP3104) (0.437 COMP1309) (0.428 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.423 COMP480) (0.417 COMP3101) (0.414 COMP255) (0.409 COMP325) (0.405 COMP1213) (0.402 COMP2967) (0.400 COMP3107) (0.397 COMP683) (0.392 COMP3111) (0.376 COMP3096) (0.374 COMP476) (0.373 COMP122) (0.369 COMP3112) (0.366 COMP257) (0.364 COMP3092) (0.362 COMP1079) (0.359 COMP60) (0.354 COMP271) (0.348 COMP943/COMP949) (0.342 COMP478/COMP499/COMP518/COMP57) (0.340 COMP3097) (0.339 COMP3102/COMP3103) (0.338 COMP3105) (0.313 COMP33) (0.298 COMP1100) (0.294 COMP2228) (0.293 COMP3088) (0.285 COMP3099) (0.279 COMP3098) (0.278 COMP3080) (0.275 COMP322) (0.274 COMP3083) (0.270 COMP1160) (0.266 COMP3086) (0.263 COMP3095) (0.262 COMP3106) (0.252 COMP1019/COMP259) (0.245 COMP139) (0.244 COMP1080) (0.240 COMP11/COMP615/COMP8) (0.236 COMP285) (0.235 COMP141/COMP264/COMP547) (0.229 COMP3079/COMP3117) (0.220 COMP3094) (0.208 COMP302) (0.204 COMP3087) (0.201 COMP3089) (0.193 COMP1244)
CYP24 inhibitor	0.089	COMP1244	(0.076 COMP152) (0.060 COMP285) (0.053 COMP521) (0.043 COMP708) (0.035 COMP941) (0.034 COMP3114) (0.032 COMP3104) (0.031 COMP3085/COMP3091) (0.029 COMP3081) (0.027 COMP255) (0.025 COMP141/COMP264/COMP547) (0.024 COMP257) (0.021 COMP1309/COMP2967) (0.020 COMP3101)
CYP2A6 inhibitor	0.437	COMP3100	(0.390 COMP32) (0.347 COMP3108) (0.283 COMP255) (0.265 COMP2967) (0.262 COMP257) (0.258 COMP1654) (0.252 COMP141/COMP264/COMP547) (0.246 COMP1112) (0.245 COMP259) (0.242 COMP3089) (0.237 COMP3107) (0.234 COMP1309/COMP3101) (0.218 COMP3082) (0.217 COMP3088) (0.208 COMP3105) (0.205 COMP44/COMP476) (0.204 COMP3083) (0.183 COMP1160) (0.182 COMP302) (0.175 COMP3106/COMP3112) (0.167 COMP3104) (0.161 COMP1079) (0.159 COMP941) (0.154 COMP2797/COMP943/COMP949) (0.150 COMP521/COMP621) (0.148 COMP1019) (0.143 COMP198) (0.140 COMP2971) (0.135 COMP14) (0.132 COMP3096) (0.127 COMP49) (0.122 COMP322) (0.120 COMP3102/COMP3103) (0.111 COMP480/COMP847) (0.108 COMP139) (0.093 COMP48) (0.092 COMP1257) (0.091 COMP43/COMP478/COMP499/COMP518/COMP57) (0.089 COMP33) (0.087 COMP3098) (0.085 COMP192) (0.082 COMP71) (0.081 COMP617) (0.080 COMP724) (0.079 COMP1244/COMP3097) (0.074 COMP11/COMP8) (0.073 COMP1145/COMP117/COMP18/COMP3090/COMP53/COMP593/COMP627/COMP634) (0.072 COMP3109) (0.066 COMP3085/COMP3091)
CYP2B6 inhibitor	0.543	COMP708	(0.530 COMP3088) (0.506 COMP198) (0.446 COMP1257) (0.430 COMP27) (0.423 COMP259) (0.409 COMP1166) (0.374 COMP48) (0.369 COMP476) (0.367 COMP1127/COMP3110/COMP538) (0.366 COMP1529/COMP71) (0.359 COMP3089) (0.356 COMP49) (0.353 COMP30) (0.351 COMP1079/COMP3114) (0.349 COMP141/COMP264/COMP302/COMP547) (0.346 COMP255) (0.345 COMP1112) (0.340 COMP1309) (0.338 COMP3090) (0.337 COMP3101) (0.333 COMP3105) (0.330 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.329 COMP724) (0.328 COMP847) (0.315 COMP389/COMP390) (0.313 COMP3109) (0.309 COMP984) (0.307 COMP3106/COMP617) (0.302 COMP2967) (0.300 COMP3083/COMP3104) (0.289 COMP43) (0.286 COMP728) (0.281 COMP192) (0.280 COMP941) (0.279 COMP11/COMP3098/COMP8) (0.278 COMP521/COMP621) (0.273 COMP615) (0.269 COMP1244) (0.268 COMP257) (0.261 COMP325) (0.259 COMP1213) (0.258 COMP3102/COMP3103) (0.255 COMP1160/COMP2971) (0.250 COMP478/COMP499/COMP518/COMP57) (0.248 COMP3111) (0.243 COMP271) (0.242 COMP3081) (0.239 COMP3107/COMP322) (0.238 COMP60) (0.236 COMP1019/COMP1100/COMP1881/COMP2171) (0.235 COMP480) (0.233 COMP3095) (0.225 COMP3096/COMP32) (0.222 COMP14) (0.219 COMP943/COMP949) (0.214 COMP3108) (0.212 COMP2797) (0.210 COMP33/COMP683) (0.208 COMP152) (0.207 COMP122) (0.203 COMP3112) (0.202 COMP3097) (0.196 COMP2228) (0.193 COMP1654) (0.192 COMP3099) (0.189 COMP3100) (0.176 COMP3082/COMP3113) (0.168 COMP139) (0.163 COMP3115) (0.161 COMP114/COMP131) (0.155 COMP3085/COMP3091) (0.153 COMP3094/COMP44)
