Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.566	COMP285	(0.563 COMP2797) (0.541 COMP11/COMP8) (0.530 COMP27) (0.519 COMP1166) (0.507 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.495 COMP3109) (0.484 COMP617) (0.472 COMP3088) (0.465 COMP1127/COMP3110/COMP538) (0.463 COMP152) (0.461 COMP615) (0.450 COMP3081) (0.446 COMP943/COMP949) (0.441 COMP1079) (0.437 COMP3095) (0.434 COMP259/COMP476) (0.424 COMP325) (0.423 COMP1100/COMP33) (0.421 COMP3093) (0.419 COMP60) (0.417 COMP3115) (0.416 COMP3102/COMP3103) (0.413 COMP122) (0.410 COMP302) (0.408 COMP3106) (0.407 COMP683/COMP708) (0.406 COMP3090) (0.405 COMP141/COMP264/COMP271/COMP547) (0.404 COMP3104) (0.402 COMP43) (0.394 COMP984) (0.392 COMP389/COMP390) (0.386 COMP1213/COMP3111) (0.385 COMP322) (0.384 COMP728) (0.375 COMP521) (0.373 COMP3099) (0.361 COMP1244) (0.360 COMP3092/COMP3101) (0.358 COMP2228/COMP478/COMP499/COMP518/COMP57) (0.354 COMP2971) (0.353 COMP192/COMP847) (0.347 COMP1309) (0.345 COMP1112) (0.343 COMP3096) (0.338 COMP480) (0.334 COMP3113) (0.333 COMP3105) (0.329 COMP2967) (0.328 COMP30) (0.327 COMP114/COMP131) (0.324 COMP3097) (0.321 COMP257) (0.314 COMP3085/COMP3091) (0.306 COMP3114) (0.302 COMP3098) (0.300 COMP621) (0.292 COMP1019) (0.291 COMP255) (0.280 COMP941) (0.267 COMP198) (0.261 COMP1257) (0.250 COMP3107) (0.246 COMP1881/COMP2171) (0.234 COMP14) (0.230 COMP32) (0.217 COMP3100) (0.210 COMP49) (0.207 COMP139/COMP3108/COMP71) (0.203 COMP3083) (0.201 COMP48) (0.198 COMP3112) (0.190 COMP1529) (0.187 COMP724) (0.184 COMP1160) (0.183 COMP3082) (0.177 COMP3079/COMP3117) (0.174 COMP1654) (0.169 COMP3087) (0.166 COMP3080) (0.148 COMP44)
Carcinogenic	0.954	COMP3094	(0.944 COMP285) (0.940 COMP46) (0.934 COMP3079/COMP3117) (0.932 COMP2816/COMP2817/COMP348) (0.916 COMP3087) (0.912 COMP56) (0.910 COMP708) (0.908 COMP1183) (0.898 COMP305) (0.894 COMP3084) (0.890 COMP11/COMP8) (0.886 COMP3116) (0.867 COMP302) (0.848 COMP2019) (0.843 COMP1562/COMP1918) (0.802 COMP43) (0.790 COMP724) (0.778 COMP2971) (0.756 COMP3093) (0.753 COMP48) (0.748 COMP27) (0.745 COMP3088) (0.736 COMP1166) (0.731 COMP478/COMP499/COMP518/COMP57) (0.724 COMP49) (0.723 COMP139) (0.704 COMP476) (0.671 COMP141/COMP264/COMP547) (0.670 COMP1257) (0.668 COMP30) (0.665 COMP3097) (0.664 COMP3109) (0.658 COMP3090) (0.647 COMP617) (0.639 COMP198) (0.638 COMP3111) (0.633 COMP3081) (0.614 COMP3113) (0.607 COMP389/COMP390) (0.602 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.599 COMP1529) (0.590 COMP71) (0.566 COMP1127/COMP3110/COMP538) (0.550 COMP521) (0.548 COMP615) (0.540 COMP1881/COMP2171) (0.531 COMP3105) (0.530 COMP3098) (0.526 COMP1160) (0.522 COMP683) (0.520 COMP3099) (0.514 COMP3085/COMP3091) (0.493 COMP847) (0.488 COMP3100) (0.485 COMP2797) (0.468 COMP941) (0.464 COMP2228) (0.461 COMP728) (0.460 COMP3114) (0.456 COMP32) (0.450 COMP621) (0.445 COMP60) (0.433 COMP1100) (0.422 COMP114/COMP131/COMP3096) (0.420 COMP1654) (0.408 COMP984) (0.379 COMP1244) (0.372 COMP1079) (0.366 COMP3092) (0.365 COMP3095/COMP322) (0.362 COMP3107) (0.361 COMP33) (0.359 COMP480) (0.358 COMP3102/COMP3103) (0.349 COMP3108) (0.343 COMP3082) (0.342 COMP1112) (0.337 COMP192) (0.331 COMP1213) (0.326 COMP3115) (0.323 COMP122) (0.322 COMP257) (0.321 COMP325) (0.298 COMP271) (0.297 COMP3106) (0.288 COMP2967) (0.279 COMP1309) (0.278 COMP3104) (0.275 COMP255/COMP3101) (0.256 COMP14) (0.255 COMP1080) (0.236 COMP3086) (0.235 COMP943/COMP949) (0.217 COMP259) (0.214 COMP3080) (0.212 COMP1019) (0.197 COMP1104) (0.177 COMP3083) (0.175 COMP152) (0.173 COMP44) (0.151 COMP3112)
Carcinogenic. group 1	0.691	COMP3105	(0.657 COMP1112) (0.555 COMP847) (0.480 COMP480) (0.465 COMP305) (0.461 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.453 COMP1309) (0.450 COMP1183) (0.447 COMP521) (0.437 COMP3101) (0.426 COMP192) (0.414 COMP3084/COMP3116) (0.407 COMP1079/COMP984) (0.404 COMP3104) (0.393 COMP27/COMP56) (0.383 COMP1127/COMP3110/COMP538) (0.377 COMP325) (0.371 COMP257) (0.370 COMP32) (0.369 COMP617) (0.362 COMP33) (0.361 COMP322) (0.357 COMP1166/COMP2019) (0.356 COMP14) (0.353 COMP941) (0.331 COMP3109) (0.329 COMP122/COMP2967) (0.318 COMP198) (0.315 COMP683) (0.313 COMP49) (0.307 COMP3102/COMP3103) (0.306 COMP1100) (0.304 COMP255) (0.298 COMP3095/COMP3107) (0.294 COMP724) (0.293 COMP3097) (0.292 COMP615) (0.291 COMP259) (0.290 COMP728) (0.289 COMP1213) (0.285 COMP43) (0.284 COMP3098) (0.282 COMP71) (0.274 COMP3106) (0.273 COMP1019) (0.270 COMP3099/COMP3108) (0.268 COMP48) (0.267 COMP478/COMP499/COMP518/COMP57) (0.266 COMP60) (0.263 COMP2228) (0.261 COMP3100) (0.260 COMP2971) (0.258 COMP3090) (0.254 COMP139) (0.253 COMP1654) (0.251 COMP271) (0.250 COMP3079/COMP3111/COMP3117) (0.249 COMP943/COMP949) (0.236 COMP389/COMP390) (0.235 COMP1257) (0.233 COMP1529) (0.231 COMP3087) (0.226 COMP302) (0.223 COMP1160) (0.222 COMP3083) (0.220 COMP2816/COMP2817/COMP348) (0.218 COMP1244) (0.216 COMP44) (0.210 COMP3088) (0.206 COMP2797) (0.204 COMP476) (0.195 COMP141/COMP264/COMP547) (0.193 COMP46) (0.192 COMP3112) (0.191 COMP11/COMP1104/COMP8) (0.190 COMP3113) (0.178 COMP1881/COMP2171) (0.171 COMP3081) (0.169 COMP3115) (0.167 COMP1562/COMP1918/COMP3096) (0.166 COMP3086) (0.164 COMP3089) (0.158 COMP114/COMP131) (0.155 COMP3082/COMP3092) (0.152 COMP3094) (0.145 COMP3085/COMP3091) (0.143 COMP621) (0.139 COMP3080) (0.138 COMP3093)
Carcinogenic. group 2A	0.557	COMP3105	(0.543 COMP1112) (0.368 COMP480) (0.338 COMP521) (0.313 COMP847) (0.281 COMP257) (0.269 COMP3104) (0.264 COMP32) (0.238 COMP192/COMP941) (0.232 COMP1309) (0.229 COMP33) (0.227 COMP1104) (0.226 COMP3101) (0.225 COMP322) (0.224 COMP3107) (0.220 COMP1079/COMP3102/COMP3103) (0.216 COMP3106) (0.209 COMP2971) (0.208 COMP3108) (0.207 COMP3079/COMP3117) (0.203 COMP3100) (0.199 COMP14) (0.190 COMP255) (0.189 COMP302) (0.188 COMP1562/COMP1918) (0.186 COMP3083) (0.185 COMP122/COMP2967) (0.184 COMP305) (0.183 COMP1166/COMP3097) (0.182 COMP325) (0.180 COMP1183) (0.177 COMP1127/COMP3110/COMP538) (0.176 COMP683) (0.173 COMP3098) (0.172 COMP984) (0.169 COMP1100) (0.168 COMP3087) (0.165 COMP139/COMP3084/COMP3116) (0.163 COMP1213) (0.158 COMP56) (0.157 COMP3095) (0.156 COMP1019) (0.153 COMP3089) (0.151 COMP1654/COMP44) (0.148 COMP11/COMP2019/COMP3090/COMP8) (0.147 COMP60) (0.146 COMP1257) (0.145 COMP478/COMP499/COMP518/COMP57) (0.144 COMP1160) (0.140 COMP43/COMP728) (0.139 COMP3088) (0.138 COMP271) (0.137 COMP617) (0.134 COMP2228) (0.133 COMP3112) (0.130 COMP3086/COMP615) (0.128 COMP476) (0.122 COMP114/COMP1145/COMP117/COMP131/COMP18/COMP3113/COMP53/COMP593/COMP627/COMP634) (0.119 COMP3082/COMP3109) (0.116 COMP3099) (0.110 COMP198) (0.107 COMP2816/COMP2817/COMP348) (0.106 COMP141/COMP264/COMP547) (0.102 COMP3080/COMP389/COMP390) (0.101 COMP1881/COMP2171) (0.100 COMP3096) (0.099 COMP3115) (0.093 COMP259/COMP3092) (0.088 COMP1244) (0.083 COMP46) (0.082 COMP27) (0.079 COMP724) (0.077 COMP49) (0.076 COMP621)
Carcinogenic. group 2B	0.666	COMP521	(0.509 COMP389/COMP390) (0.451 COMP1112) (0.429 COMP3079/COMP3117) (0.416 COMP847) (0.411 COMP2971) (0.381 COMP257) (0.380 COMP1257) (0.378 COMP3086) (0.375 COMP1309) (0.368 COMP3108) (0.367 COMP3101) (0.365 COMP32) (0.360 COMP3100) (0.359 COMP2967) (0.358 COMP941) (0.357 COMP3087) (0.344 COMP302) (0.338 COMP198) (0.334 COMP14) (0.331 COMP3080) (0.323 COMP255) (0.313 COMP1166) (0.302 COMP3098) (0.300 COMP3104) (0.294 COMP1100) (0.289 COMP3107) (0.288 COMP1562/COMP1918/COMP3097) (0.286 COMP617) (0.279 COMP728) (0.275 COMP3090) (0.273 COMP2816/COMP2817/COMP348) (0.269 COMP480) (0.264 COMP46) (0.257 COMP478/COMP499/COMP518/COMP57) (0.255 COMP192) (0.252 COMP3102/COMP3103) (0.249 COMP1079/COMP984) (0.245 COMP3109) (0.237 COMP1183) (0.236 COMP1019) (0.234 COMP60) (0.232 COMP1160/COMP3105/COMP49) (0.230 COMP33) (0.228 COMP139/COMP43) (0.226 COMP48) (0.225 COMP3082) (0.223 COMP3095/COMP322) (0.221 COMP1881/COMP2171) (0.218 COMP3106) (0.216 COMP615) (0.212 COMP3084/COMP3116) (0.211 COMP11/COMP8) (0.209 COMP2228) (0.207 COMP305) (0.205 COMP683) (0.203 COMP1127/COMP1145/COMP117/COMP18/COMP259/COMP3110/COMP53/COMP538/COMP593/COMP627/COMP634) (0.202 COMP56) (0.201 COMP3099) (0.192 COMP1529) (0.191 COMP724) (0.181 COMP71) (0.179 COMP1654) (0.178 COMP3112) (0.174 COMP3094/COMP3096) (0.168 COMP271) (0.166 COMP3115) (0.163 COMP1213) (0.162 COMP114/COMP131) (0.157 COMP325) (0.155 COMP2797) (0.148 COMP44) (0.147 COMP3083) (0.145 COMP141/COMP2019/COMP264/COMP547) (0.143 COMP621) (0.139 COMP122/COMP3093) (0.135 COMP27) (0.124 COMP3085/COMP3091) (0.118 COMP152/COMP3088) (0.114 COMP1244) (0.113 COMP3113/COMP476) (0.111 COMP943/COMP949) (0.105 COMP3089)
Carcinogenic. group 3	0.799	COMP49	(0.772 COMP141/COMP264/COMP547) (0.751 COMP48) (0.738 COMP43) (0.721 COMP478/COMP499/COMP518/COMP521/COMP57) (0.672 COMP724) (0.662 COMP1160) (0.625 COMP3105) (0.619 COMP71) (0.608 COMP198) (0.589 COMP941) (0.584 COMP2971) (0.573 COMP3084) (0.544 COMP1257) (0.510 COMP1529) (0.497 COMP257) (0.472 COMP3098) (0.463 COMP1112) (0.458 COMP139) (0.454 COMP305) (0.451 COMP33) (0.446 COMP480) (0.439 COMP389/COMP390) (0.438 COMP3094) (0.437 COMP615) (0.432 COMP3102/COMP3103/COMP60) (0.431 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.419 COMP2228) (0.414 COMP3107) (0.413 COMP3116) (0.407 COMP325) (0.402 COMP3100) (0.395 COMP56) (0.394 COMP3093) (0.390 COMP3108) (0.388 COMP1166) (0.386 COMP847) (0.381 COMP27) (0.379 COMP683) (0.364 COMP3104) (0.363 COMP3111) (0.358 COMP1100) (0.352 COMP1079) (0.350 COMP1213) (0.347 COMP1127/COMP3110/COMP538) (0.344 COMP32) (0.337 COMP322) (0.336 COMP255/COMP3097) (0.332 COMP14) (0.328 COMP3099) (0.324 COMP2816/COMP2817/COMP348) (0.323 COMP1183) (0.311 COMP1019) (0.307 COMP2967) (0.306 COMP3079/COMP3117) (0.301 COMP3109) (0.300 COMP302/COMP3090/COMP617) (0.292 COMP984) (0.286 COMP46) (0.280 COMP259/COMP3115) (0.279 COMP3106) (0.274 COMP11/COMP8) (0.272 COMP271) (0.268 COMP1309) (0.259 COMP3095) (0.257 COMP3096) (0.256 COMP192) (0.255 COMP3101) (0.250 COMP1881/COMP2171/COMP3087) (0.247 COMP728) (0.245 COMP3113) (0.241 COMP122) (0.240 COMP2019) (0.238 COMP3082) (0.231 COMP3085/COMP3091) (0.225 COMP1654) (0.217 COMP476) (0.211 COMP3083) (0.183 COMP114/COMP131) (0.166 COMP44) (0.158 COMP3080) (0.152 COMP1244) (0.142 COMP621) (0.138 COMP3086) (0.120 COMP3088) (0.116 COMP3092) (0.114 COMP285) (0.112 COMP3112) (0.110 COMP30) (0.109 COMP2797) (0.096 COMP152/COMP3081)
Cardiodepressant	0.560	COMP3111	(0.558 COMP1104) (0.509 COMP1166) (0.507 COMP3109) (0.496 COMP271/COMP617) (0.492 COMP3098) (0.488 COMP1213) (0.482 COMP1127/COMP3110/COMP538) (0.471 COMP984) (0.465 COMP60) (0.455 COMP192) (0.445 COMP1309) (0.444 COMP3095) (0.438 COMP1079/COMP3101) (0.434 COMP3104) (0.430 COMP325) (0.423 COMP615) (0.412 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.400 COMP33) (0.398 COMP122/COMP2967) (0.395 COMP255) (0.393 COMP683) (0.391 COMP847) (0.384 COMP1100) (0.381 COMP3107) (0.374 COMP521) (0.356 COMP1112) (0.349 COMP480) (0.348 COMP259) (0.345 COMP322) (0.338 COMP1529) (0.337 COMP3102/COMP3103) (0.334 COMP257) (0.329 COMP48) (0.328 COMP198) (0.319 COMP1257) (0.318 COMP71) (0.314 COMP49) (0.306 COMP3081) (0.295 COMP389/COMP390) (0.270 COMP285/COMP724) (0.265 COMP3115) (0.264 COMP114/COMP131/COMP27/COMP941) (0.243 COMP11/COMP8) (0.237 COMP728) (0.225 COMP1881/COMP2171/COMP3105) (0.224 COMP478/COMP499/COMP518/COMP57) (0.213 COMP2228) (0.195 COMP3097/COMP3113) (0.193 COMP3083) (0.190 COMP3114) (0.183 COMP3089) (0.182 COMP3108) (0.181 COMP3096) (0.178 COMP14) (0.176 COMP3106) (0.168 COMP3099) (0.164 COMP32) (0.161 COMP3112) (0.156 COMP1019) (0.152 COMP3092) (0.148 COMP2019) (0.145 COMP152) (0.137 COMP3100) (0.135 COMP56)
Cytotoxic	0.749	COMP1562/COMP1918	(0.728 COMP3087) (0.709 COMP3079/COMP3117) (0.658 COMP46) (0.643 COMP1183) (0.640 COMP2816/COMP2817/COMP348) (0.631 COMP3084) (0.627 COMP1104) (0.626 COMP2019/COMP56) (0.610 COMP305) (0.596 COMP3116/COMP708) (0.586 COMP285) (0.495 COMP1881/COMP2171) (0.475 COMP3115) (0.473 COMP3081/COMP3090/COMP43) (0.463 COMP3113) (0.456 COMP27/COMP724) (0.454 COMP48) (0.451 COMP30) (0.449 COMP3085/COMP3091) (0.439 COMP3088) (0.435 COMP2971) (0.424 COMP2228/COMP3092) (0.423 COMP49) (0.413 COMP1529) (0.410 COMP1166) (0.409 COMP1257/COMP3109) (0.407 COMP71) (0.402 COMP617) (0.398 COMP198) (0.394 COMP621) (0.371 COMP11/COMP8) (0.366 COMP476) (0.360 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.357 COMP2797) (0.356 COMP1244) (0.352 COMP3100) (0.348 COMP1654/COMP3111) (0.342 COMP943/COMP949) (0.340 COMP302/COMP32) (0.330 COMP478/COMP499/COMP518/COMP57) (0.327 COMP3108) (0.322 COMP141/COMP264/COMP547) (0.313 COMP3082) (0.307 COMP847) (0.304 COMP1213) (0.303 COMP325) (0.295 COMP683) (0.290 COMP389/COMP390) (0.289 COMP3096) (0.288 COMP615) (0.285 COMP271) (0.284 COMP3080/COMP60) (0.281 COMP3102/COMP3103) (0.279 COMP3105/COMP480) (0.278 COMP728) (0.277 COMP3099) (0.276 COMP521) (0.273 COMP122) (0.272 COMP3094) (0.271 COMP3098) (0.267 COMP3095) (0.266 COMP152) (0.263 COMP1127/COMP3110/COMP538) (0.256 COMP1079) (0.255 COMP3097) (0.244 COMP984) (0.241 COMP3086) (0.236 COMP3114) (0.227 COMP3106) (0.223 COMP1100) (0.215 COMP33) (0.214 COMP114/COMP131/COMP139) (0.210 COMP941) (0.208 COMP1112) (0.207 COMP257/COMP2967) (0.205 COMP3101) (0.204 COMP3104) (0.199 COMP1309/COMP322) (0.189 COMP255) (0.186 COMP14) (0.185 COMP1019) (0.182 COMP192) (0.177 COMP3083) (0.159 COMP3107) (0.144 COMP259) (0.143 COMP3093) (0.138 COMP1160)
DNA damaging	0.876	COMP46	(0.861 COMP2816/COMP2817/COMP348) (0.851 COMP2019) (0.843 COMP1183) (0.824 COMP56) (0.798 COMP305) (0.760 COMP3116) (0.710 COMP1562/COMP1918) (0.700 COMP3084) (0.661 COMP3079/COMP3117) (0.652 COMP3087) (0.519 COMP724) (0.500 COMP1257) (0.486 COMP1529) (0.479 COMP48) (0.474 COMP728) (0.463 COMP198) (0.449 COMP71) (0.441 COMP49) (0.438 COMP1104) (0.403 COMP389/COMP390) (0.396 COMP615) (0.375 COMP3111/COMP521) (0.363 COMP847) (0.359 COMP1881/COMP2171) (0.352 COMP3083) (0.348 COMP941) (0.336 COMP3102/COMP3103) (0.334 COMP1145/COMP117/COMP18/COMP3094/COMP53/COMP593/COMP627/COMP634) (0.327 COMP1019) (0.325 COMP32) (0.319 COMP1244) (0.318 COMP1127/COMP3110/COMP538) (0.317 COMP480) (0.313 COMP122/COMP3105) (0.309 COMP1112) (0.300 COMP1654) (0.297 COMP1213) (0.296 COMP1079) (0.294 COMP683) (0.291 COMP152/COMP325) (0.285 COMP3086) (0.280 COMP3100) (0.279 COMP271) (0.275 COMP3104) (0.248 COMP3080) (0.242 COMP60) (0.231 COMP3089) (0.230 COMP257/COMP322) (0.229 COMP3109) (0.226 COMP27/COMP33) (0.220 COMP3101) (0.219 COMP1309) (0.217 COMP3090) (0.216 COMP617) (0.215 COMP984) (0.208 COMP3108) (0.204 COMP192) (0.196 COMP3085/COMP3091/COMP3112) (0.191 COMP3096) (0.188 COMP2967) (0.186 COMP3098) (0.182 COMP1166) (0.181 COMP1100) (0.180 COMP621) (0.169 COMP3088) (0.166 COMP3107) (0.162 COMP3095) (0.159 COMP3081)
Embryotoxic	0.909	COMP3087	(0.901 COMP3079/COMP3117) (0.899 COMP285) (0.850 COMP708) (0.847 COMP1562/COMP1918) (0.804 COMP1166) (0.801 COMP1183) (0.798 COMP3084) (0.797 COMP46) (0.790 COMP3094) (0.784 COMP2816/COMP2817/COMP348) (0.768 COMP56) (0.756 COMP305) (0.752 COMP3090/COMP3093) (0.737 COMP3116) (0.712 COMP478/COMP499/COMP518/COMP57) (0.707 COMP3109) (0.705 COMP3111) (0.704 COMP2971) (0.702 COMP2019/COMP615) (0.695 COMP476) (0.694 COMP617) (0.689 COMP302) (0.675 COMP1127/COMP3110/COMP538) (0.674 COMP3081/COMP3088) (0.671 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.650 COMP141/COMP264/COMP547) (0.644 COMP27) (0.633 COMP11/COMP8) (0.620 COMP43) (0.617 COMP1104) (0.608 COMP3114) (0.575 COMP3095) (0.537 COMP984) (0.535 COMP30) (0.527 COMP1100) (0.516 COMP683) (0.502 COMP389/COMP390) (0.500 COMP724) (0.479 COMP192) (0.477 COMP3102/COMP3103) (0.472 COMP1079) (0.471 COMP521/COMP60) (0.468 COMP2228) (0.461 COMP48) (0.459 COMP3115) (0.453 COMP847) (0.451 COMP1257) (0.438 COMP49) (0.433 COMP325) (0.426 COMP621) (0.423 COMP33) (0.420 COMP1213) (0.411 COMP3098) (0.409 COMP728) (0.408 COMP1881/COMP2171) (0.400 COMP480) (0.379 COMP3085/COMP3091) (0.376 COMP122) (0.373 COMP3099) (0.366 COMP14) (0.365 COMP198) (0.360 COMP152) (0.347 COMP3086/COMP3105) (0.346 COMP271) (0.327 COMP3104) (0.324 COMP3106) (0.316 COMP1529) (0.312 COMP71) (0.306 COMP3101) (0.304 COMP3097) (0.303 COMP1112/COMP1309) (0.286 COMP3092) (0.276 COMP322) (0.272 COMP3080) (0.271 COMP3107) (0.270 COMP941) (0.268 COMP2967) (0.266 COMP2797) (0.264 COMP257) (0.262 COMP3113) (0.261 COMP3082) (0.258 COMP255) (0.243 COMP32) (0.242 COMP3096) (0.240 COMP1244) (0.232 COMP943/COMP949) (0.228 COMP3108) (0.226 COMP1654) (0.223 COMP259) (0.220 COMP3100) (0.176 COMP3083) (0.172 COMP1019) (0.171 COMP1080) (0.170 COMP114/COMP131) (0.141 COMP139)
