Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake inhibitor	0.092	COMP3104	(0.056 COMP1112)
5 Hydroxytryptamine uptake stimulant	0.607	COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634	(0.601 COMP60) (0.591 COMP271) (0.575 COMP1079) (0.566 COMP683) (0.564 COMP1100) (0.560 COMP33) (0.539 COMP847) (0.538 COMP122) (0.530 COMP1309) (0.528 COMP1881/COMP2171/COMP322) (0.527 COMP3101) (0.507 COMP141/COMP264/COMP27/COMP3098/COMP547) (0.505 COMP1112/COMP1213) (0.501 COMP3104) (0.488 COMP3102/COMP3103) (0.475 COMP3105) (0.473 COMP2967) (0.472 COMP480) (0.462 COMP3111) (0.460 COMP48) (0.457 COMP521) (0.456 COMP325) (0.453 COMP615) (0.452 COMP257) (0.448 COMP3095) (0.445 COMP1529/COMP198) (0.444 COMP1127/COMP3110/COMP538) (0.441 COMP49) (0.440 COMP3109) (0.439 COMP478/COMP499/COMP518/COMP57) (0.434 COMP192) (0.430 COMP14/COMP255) (0.429 COMP984) (0.426 COMP617/COMP724) (0.416 COMP1166) (0.415 COMP2797) (0.413 COMP389/COMP390) (0.406 COMP1257) (0.395 COMP71) (0.394 COMP32) (0.392 COMP3107) (0.383 COMP941) (0.372 COMP3106) (0.354 COMP114/COMP131) (0.351 COMP943/COMP949) (0.347 COMP3083/COMP3089) (0.344 COMP3096) (0.341 COMP259) (0.338 COMP3090/COMP3108/COMP43/COMP728) (0.335 COMP3115) (0.334 COMP3100) (0.330 COMP3097) (0.327 COMP1244/COMP3099/COMP44) (0.315 COMP2228) (0.308 COMP2971) (0.301 COMP3113) (0.298 COMP476) (0.297 COMP302) (0.296 COMP3088) (0.292 COMP1654) (0.272 COMP11/COMP8) (0.268 COMP1019) (0.267 COMP3093) (0.265 COMP3112) (0.264 COMP152) (0.263 COMP3092) (0.259 COMP139) (0.258 COMP1160) (0.239 COMP3082) (0.238 COMP3114/COMP621) (0.236 COMP3086) (0.221 COMP3081) (0.218 COMP3080) (0.206 COMP3085/COMP3091) (0.196 COMP30) (0.192 COMP3094)
Adenosine uptake inhibitor	0.095	COMP141/COMP264/COMP547	(0.057 COMP1079) (0.049 COMP257) (0.048 COMP2967) (0.047 COMP1127/COMP3110/COMP538) (0.042 COMP3101/COMP3107/COMP476) (0.041 COMP1309/COMP3104/COMP3114/COMP521) (0.040 COMP1112) (0.039 COMP3102/COMP3103) (0.038 COMP2797) (0.037 COMP1145/COMP117/COMP18/COMP478/COMP499/COMP518/COMP53/COMP57/COMP593/COMP615/COMP627/COMP634) (0.036 COMP192/COMP255/COMP3100) (0.035 COMP941) (0.034 COMP3096/COMP3106) (0.033 COMP1244/COMP480)
Adrenaline uptake inhibitor	0.083	COMP3104	(0.077 COMP1112) (0.061 COMP521)
Antiviral (CMV)	0.302	COMP1104	(0.291 COMP259) (0.211 COMP3096) (0.192 COMP1080) (0.173 COMP3113) (0.162 COMP1127/COMP3110/COMP480/COMP538) (0.151 COMP3079/COMP3117) (0.150 COMP3083) (0.146 COMP1079) (0.137 COMP3087) (0.131 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.127 COMP615) (0.122 COMP141/COMP264/COMP547) (0.119 COMP27) (0.118 COMP3109) (0.110 COMP192) (0.109 COMP617) (0.100 COMP3080)
Apical sodium codependent bile acid transporter inhibitor	0.047	COMP1079	(0.035 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.032 COMP1127/COMP3110/COMP538) (0.025 COMP3109/COMP617) (0.024 COMP285) (0.022 COMP615) (0.021 COMP27/COMP478/COMP499/COMP518/COMP57) (0.018 COMP1309/COMP259/COMP3101)
Dopamine transporter inhibitor	0.079	COMP521	(0.075 COMP325) (0.066 COMP1213) (0.064 COMP1112) (0.058 COMP3104)
Dopamine uptake inhibitor	0.093	COMP521	(0.085 COMP3104) (0.083 COMP1112) (0.080 COMP325) (0.072 COMP192) (0.068 COMP1213/COMP941) (0.067 COMP1309) (0.065 COMP3101) (0.060 COMP257) (0.059 COMP2967) (0.058 COMP1079/COMP984) (0.057 COMP322) (0.053 COMP3107)
Electron transport complex I inhibitor	0.609	COMP3088	(0.543 COMP476) (0.535 COMP1079) (0.509 COMP3109) (0.476 COMP617) (0.475 COMP1166) (0.328 COMP3090) (0.317 COMP1127/COMP3110/COMP538) (0.291 COMP11/COMP8) (0.260 COMP302) (0.248 COMP1529) (0.237 COMP259) (0.234 COMP71) (0.230 COMP3106) (0.205 COMP49) (0.195 COMP48) (0.187 COMP27) (0.183 COMP724) (0.181 COMP1881/COMP198/COMP2171) (0.172 COMP43) (0.169 COMP1145/COMP117/COMP18/COMP3095/COMP53/COMP593/COMP627/COMP634) (0.165 COMP3098) (0.162 COMP478/COMP499/COMP518/COMP57) (0.161 COMP1257) (0.159 COMP271/COMP3111) (0.151 COMP122) (0.145 COMP708) (0.141 COMP615) (0.130 COMP1213) (0.123 COMP2971) (0.122 COMP141/COMP264/COMP547) (0.120 COMP1562/COMP1918) (0.119 COMP3101/COMP728) (0.118 COMP2019) (0.117 COMP3084) (0.115 COMP2967/COMP44) (0.114 COMP192) (0.113 COMP1309) (0.112 COMP984) (0.111 COMP3114/COMP60) (0.108 COMP3099) (0.107 COMP2816/COMP2817/COMP3079/COMP3117/COMP348/COMP46) (0.105 COMP325) (0.101 COMP3116) (0.099 COMP322) (0.098 COMP3115) (0.097 COMP847) (0.095 COMP3087)
Endocannabinoid uptake inhibitor	0.225	COMP27	(0.217 COMP615) (0.216 COMP1166) (0.207 COMP3111) (0.190 COMP259) (0.185 COMP1127/COMP3110/COMP538) (0.163 COMP1079) (0.155 COMP3109) (0.148 COMP1145/COMP117/COMP18/COMP53/COMP593/COMP627/COMP634) (0.146 COMP984) (0.142 COMP43/COMP617) (0.135 COMP389/COMP390) (0.130 COMP480) (0.123 COMP941) (0.120 COMP847) (0.117 COMP192) (0.116 COMP478/COMP499/COMP518/COMP57) (0.113 COMP728) (0.110 COMP325) (0.109 COMP1213) (0.107 COMP1112/COMP3101) (0.105 COMP1309/COMP271) (0.104 COMP60) (0.101 COMP2967) (0.100 COMP521) (0.098 COMP257) (0.097 COMP322) (0.093 COMP3088) (0.091 COMP683) (0.089 COMP3107) (0.088 COMP1019/COMP122/COMP3098) (0.087 COMP1100/COMP14/COMP255/COMP3095) (0.085 COMP33) (0.083 COMP3104) (0.082 COMP3102/COMP3103/COMP3106) (0.081 COMP3090/COMP32) (0.080 COMP476) (0.079 COMP3100) (0.078 COMP302/COMP3108) (0.076 COMP2971) (0.074 COMP3099) (0.073 COMP3083) (0.070 COMP3097) (0.069 COMP139) (0.068 COMP2228) (0.067 COMP11/COMP8) (0.064 COMP3105) (0.062 COMP1160)
