Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.805	COMP708	(0.089 COMP2826)
AR expression inhibitor	0.941	COMP708	(0.376 COMP2828) (0.248 COMP1401) (0.237 COMP2829) (0.217 COMP2827) (0.182 COMP2826)
CTGF expression inhibitor	0.308	COMP2828	(0.303 COMP708) (0.296 COMP2829) (0.290 COMP2826) (0.248 COMP2827) (0.210 COMP2758)
ICAM1 expression inhibitor	0.524	COMP708	(0.306 COMP2829) (0.257 COMP2826)
LDLR expression enhancer	0.369	COMP708	
NOS2 expression inhibitor	0.461	COMP708	(0.333 COMP2827) (0.276 COMP2828) (0.250 COMP2758) (0.208 COMP2826) (0.204 COMP2829)
NOS3 expression enhancer	0.246	COMP2829	(0.186 COMP2826) (0.125 COMP2827)
NOS3 expression inhibitor	0.367	COMP708	
TNF expression inhibitor	0.938	COMP708	(0.358 COMP2827) (0.303 COMP2829) (0.284 COMP1401) (0.269 COMP2828)
VCAM1 expression inhibitor	0.325	COMP708	(0.228 COMP2829) (0.225 COMP2827) (0.172 COMP2826) (0.161 COMP2758)
VEGF expression inhibitor	0.215	COMP2828	(0.194 COMP2829) (0.191 COMP2826) (0.158 COMP2827)
