Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.843	COMP178	
5 Hydroxytryptamine 2A agonist	0.060	COMP177	
ATPase inhibitor	0.170	COMP177	(0.154 COMP0)
Acetylcholinesterase inhibitor	0.292	COMP177	(0.251 COMP176) (0.113 COMP178)
Adenosine A1 receptor agonist	0.034	COMP0	
Adenosine deaminase inhibitor	0.066	COMP0	
Adenylate cyclase inhibitor	0.109	COMP0	
Adenylate kinase inhibitor	0.113	COMP0	
Alcohol dehydrogenase inhibitor	0.115	COMP177	(0.096 COMP0)
Aldosterone antagonist	0.117	COMP178	
Alkaline phosphatase inhibitor	0.240	COMP177	
Alpha 2a adrenoreceptor antagonist	0.078	COMP177	
Alpha-mannosidase inhibitor	0.319	COMP0	
Androgen agonist	0.130	COMP178	(0.062 COMP176)
Androgen antagonist	0.119	COMP178	(0.092 COMP177)
Aryl hydrocarbon receptor agonist	0.441	COMP177	
Beta 2 adrenoreceptor antagonist	0.057	COMP177	
Butyrylcholinesterase inhibitor	0.152	COMP177	
CYP1A2 inhibitor	0.752	COMP177	(0.532 COMP176)
CYP2C9 inhibitor	0.423	COMP177	
CYP2D6 inhibitor	0.191	COMP177	
CYP3A4 inhibitor	0.731	COMP176	(0.295 COMP177)
Ca2+-transporting ATPase inhibitor	0.157	COMP0	(0.151 COMP177) (0.130 COMP176)
Cyclooxygenase 1 inhibitor	0.212	COMP177	
Cyclooxygenase 2 inhibitor	0.156	COMP177	
Cyclooxygenase inhibitor	0.188	COMP177	
Cystathionine beta-synthase inhibitor	0.488	COMP177	
DNA polymerase beta inhibitor	0.419	COMP177	(0.382 COMP176)
DOPA decarboxylase inhibitor	0.165	COMP177	
Dihydrofolate reductase inhibitor	0.044	COMP177	
Electron transport complex I inhibitor	0.220	COMP176	(0.200 COMP177)
Estrogen agonist	0.124	COMP177	(0.066 COMP178)
GABA aminotransferase inhibitor	0.111	COMP176	(0.074 COMP177) (0.068 COMP0)
GRP78 expression inhibitor	0.023	COMP0	
Glucose-6-phosphate isomerase inhibitor	0.153	COMP0	(0.076 COMP176) (0.045 COMP177)
Glutamate dehydrogenase inhibitor	0.065	COMP0	
HMG CoA reductase inhibitor	0.045	COMP178	
Heat shock protein 70 antagonist	0.278	COMP177	
Hexokinase inhibitor	0.210	COMP0	(0.137 COMP177)
Hypoxanthine phosphoribosyltransferase inhibitor	0.033	COMP0	
MAO A inhibitor	0.317	COMP177	(0.244 COMP176)
MAO inhibitor	0.294	COMP177	(0.289 COMP176)
Na+ K+ transporting ATPase inhibitor	0.151	COMP178	(0.139 COMP0) (0.117 COMP176) (0.086 COMP177)
Opioid delta receptor agonist	0.033	COMP177	
Peroxidase inhibitor	0.654	COMP177	
Phenylalanine 4-hydroxylase inhibitor	0.070	COMP177	
Phosphodiesterase 3A inhibitor	0.095	COMP177	
Phosphodiesterase 4D inhibitor	0.192	COMP177	
Phosphodiesterase inhibitor	0.132	COMP177	
Phosphofructokinase-1 inhibitor	0.280	COMP0	(0.087 COMP176)
Phosphoglycerate kinase inhibitor	0.053	COMP0	
Phospholipase A2 inhibitor	0.259	COMP178	(0.131 COMP177)
Phospholipase C inhibitor	0.866	COMP178	(0.173 COMP177) (0.157 COMP0)
Phosphorylase inhibitor	0.853	COMP178	(0.135 COMP0)
Platelet activating factor antagonist	0.095	COMP177	
Pyruvate kinase inhibitor	0.377	COMP177	
Succinate dehydrogenase inhibitor	0.317	COMP177	
Superoxide dismutase inhibitor	0.614	COMP177	
Topoisomerase I inhibitor	0.250	COMP177	(0.234 COMP0)
Topoisomerase II alpha inhibitor	0.276	COMP177	(0.076 COMP0)
Triose-phosphate isomerase inhibitor	0.421	COMP0	
Tyrosine 3 hydroxylase inhibitor	0.328	COMP177	
UDP-glucose 4-epimerase inhibitor	0.488	COMP0	(0.102 COMP177)
