Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.342	COMP0	(0.183 COMP177)
Acetylcholine release stimulant	0.108	COMP177	
Actinic keratosis treatment	0.149	COMP178	
Acute respiratory distress syndrome (ARDS) treatment	0.358	COMP0	(0.317 COMP178)
Alzheimer's disease treatment	0.289	COMP177	(0.237 COMP178)
Anabolic	0.177	COMP178	(0.099 COMP177)
Analeptic	0.856	COMP0	(0.272 COMP177) (0.170 COMP176)
Andropause treatment	0.081	COMP0	
Anesthetic	0.169	COMP178	
Anesthetic general	0.328	COMP177	(0.304 COMP0)
Anesthetic inhalation	0.060	COMP177	
Angiogenesis inhibitor	0.272	COMP177	
Angiogenesis stimulant	0.696	COMP0	(0.328 COMP178) (0.271 COMP177)
Antiacne	0.294	COMP178	(0.110 COMP0)
Antiallergic	0.417	COMP177	
Antiamyloidogenic	0.391	COMP177	
Antianemic	0.143	COMP0	(0.142 COMP177)
Antiarrhythmic	0.402	COMP176	
Antiarthritic	0.295	COMP178	(0.245 COMP0)
Antiasthmatic	0.313	COMP0	
Antibacterial	0.619	COMP0	(0.434 COMP178) (0.400 COMP176) (0.348 COMP177)
Antibiotic	0.193	COMP0	(0.072 COMP176) (0.065 COMP178)
Antibiotic Aminoglycoside-like	0.106	COMP0	
Antibiotic Anthracycline-like	0.031	COMP0	(0.019 COMP177)
Antibiotic Glycopeptide-like	0.171	COMP0	(0.049 COMP176)
Antibiotic Macrolide-like	0.017	COMP0	
Antibiotic Trimethoprim-like	0.020	COMP177	
Anticataract	0.197	COMP178	
Anticholelithogenic	0.098	COMP178	
Antidiabetic	0.833	COMP0	(0.764 COMP178)
Antidiabetic (type 1)	0.220	COMP0	(0.134 COMP178)
Antidiabetic (type 2)	0.608	COMP178	(0.428 COMP0)
Antidiabetic symptomatic	0.256	COMP0	
Antidiarrheal	0.264	COMP0	(0.137 COMP178) (0.135 COMP177)
Antidote	0.225	COMP0	(0.198 COMP177)
Antidote. heavy metal	0.080	COMP177	
Antidote. mercury	0.120	COMP177	
Antidote. organophosphates	0.081	COMP177	
Antiemetic	0.226	COMP0	
Antifungal	0.540	COMP0	(0.504 COMP176) (0.366 COMP178) (0.217 COMP177)
Antifungal (Aspergillus)	0.113	COMP177	
Antifungal (Candida)	0.104	COMP0	
Antifungal (Cryptococcus)	0.299	COMP0	
Antifungal (Pneumocystis)	0.177	COMP177	
Antifungal enhancer	0.232	COMP0	(0.207 COMP177) (0.111 COMP178)
Antihelmintic	0.706	COMP176	(0.568 COMP0) (0.294 COMP178) (0.243 COMP177)
Antihelmintic (Fasciola)	0.142	COMP177	
Antihelmintic (Nematodes)	0.418	COMP0	(0.206 COMP178) (0.130 COMP177)
Antihelmintic (Trematoda)	0.265	COMP177	(0.113 COMP0)
Antihemorrhagic	0.615	COMP0	(0.334 COMP177) (0.244 COMP176) (0.229 COMP178)
Antihypercholesterolemic	0.635	COMP0	(0.612 COMP178) (0.429 COMP176) (0.362 COMP177)
Antihyperlipoproteinemic	0.165	COMP178	
Antihypertriglyceridemic	0.559	COMP178	(0.503 COMP177) (0.444 COMP0) (0.236 COMP176)
Antihypotensive	0.422	COMP0	(0.349 COMP177) (0.245 COMP176)
Antihypoxic	0.917	COMP0	(0.387 COMP178) (0.378 COMP177) (0.208 COMP176)
Antiinfertility. female	0.247	COMP178	
Antiinflammatory	0.921	COMP178	(0.866 COMP0) (0.581 COMP177) (0.380 COMP176)
Antiischemic	0.298	COMP177	(0.213 COMP0)
Antileprosy	0.104	COMP178	(0.081 COMP0)
Antileukemic	0.788	COMP177	(0.754 COMP178) (0.554 COMP0) (0.487 COMP176)
Antimetabolite	0.074	COMP0	
Antimigraine	0.153	COMP0	
Antimitotic	0.647	COMP177	
Antimutagenic	0.838	COMP177	(0.529 COMP0) (0.502 COMP176)
Antimycobacterial	0.355	COMP0	(0.348 COMP176)
Antimycoplasmal	0.130	COMP0	
Antineoplastic (bladder cancer)	0.335	COMP178	(0.257 COMP177)
Antineoplastic (bone cancer)	0.268	COMP177	(0.166 COMP178)
Antineoplastic (brain cancer)	0.483	COMP177	(0.435 COMP178) (0.333 COMP176) (0.282 COMP0)
Antineoplastic (breast cancer)	0.831	COMP178	(0.804 COMP177) (0.487 COMP176)
Antineoplastic (carcinoma)	0.460	COMP177	(0.218 COMP178) (0.167 COMP176) (0.108 COMP0)
Antineoplastic (cervical cancer)	0.714	COMP177	(0.698 COMP178) (0.331 COMP176)
Antineoplastic (colon cancer)	0.700	COMP177	(0.663 COMP178) (0.280 COMP0) (0.276 COMP176)
Antineoplastic (colorectal cancer)	0.711	COMP177	(0.671 COMP178) (0.313 COMP0) (0.286 COMP176)
Antineoplastic (endocrine cancer)	0.704	COMP178	(0.325 COMP0)
Antineoplastic (gastric cancer)	0.301	COMP177	(0.197 COMP178) (0.177 COMP176) (0.150 COMP0)
Antineoplastic (glioblastoma multiforme)	0.546	COMP177	(0.536 COMP178) (0.338 COMP176)
Antineoplastic (glioma)	0.566	COMP177	(0.565 COMP178) (0.406 COMP176)
Antineoplastic (liver cancer)	0.467	COMP177	(0.409 COMP178) (0.222 COMP0)
Antineoplastic (lung cancer)	0.857	COMP178	(0.746 COMP177) (0.452 COMP0) (0.348 COMP176)
Antineoplastic (lymphocytic leukemia)	0.399	COMP178	(0.339 COMP177)
Antineoplastic (lymphoma)	0.783	COMP0	(0.392 COMP177) (0.275 COMP176)
Antineoplastic (melanoma)	0.819	COMP178	(0.620 COMP177) (0.296 COMP176)
Antineoplastic (multiple myeloma)	0.695	COMP178	(0.285 COMP177) (0.242 COMP176)
Antineoplastic (non-small cell lung cancer)	0.657	COMP177	(0.366 COMP178) (0.156 COMP176)
Antineoplastic (osteosarcoma)	0.407	COMP0	(0.369 COMP177) (0.223 COMP176)
Antineoplastic (ovarian cancer)	0.733	COMP178	(0.566 COMP177) (0.384 COMP176) (0.201 COMP0)
Antineoplastic (pancreatic cancer)	0.783	COMP178	(0.441 COMP177) (0.334 COMP0) (0.249 COMP176)
Antineoplastic (renal cancer)	0.481	COMP178	(0.392 COMP177) (0.246 COMP176) (0.236 COMP0)
Antineoplastic (sarcoma)	0.463	COMP177	(0.367 COMP0) (0.284 COMP176) (0.194 COMP178)
Antineoplastic (small cell lung cancer)	0.400	COMP177	
Antineoplastic (solid tumors)	0.327	COMP177	
Antineoplastic (squamous cell carcinoma)	0.505	COMP177	(0.221 COMP176) (0.216 COMP178) (0.163 COMP0)
Antineoplastic (uterine cancer)	0.288	COMP177	
Antineoplastic antibiotic	0.233	COMP0	(0.196 COMP176) (0.131 COMP178) (0.100 COMP177)
Antineoplastic antimetabolite	0.163	COMP0	
Antineoplastic enhancer	0.324	COMP177	(0.172 COMP0)
Antineoplastic. alkylator	0.282	COMP0	
Antinephritic	0.181	COMP177	(0.159 COMP178)
Antiobesity	0.282	COMP178	
Antiosteoporotic	0.449	COMP178	(0.302 COMP177)
Antioxidant	0.787	COMP177	(0.635 COMP0) (0.566 COMP178) (0.411 COMP176)
Antiparasitic	0.702	COMP176	(0.689 COMP0) (0.289 COMP178) (0.265 COMP177)
Antiparkinsonian	0.332	COMP177	
Antiparkinsonian. rigidity relieving	0.192	COMP178	
Antiparkinsonian. tremor relieving	0.136	COMP176	
Antiprotozoal	0.339	COMP177	(0.327 COMP0)
Antiprotozoal (Amoeba)	0.106	COMP177	
Antiprotozoal (Coccidial)	0.238	COMP0	(0.144 COMP177) (0.118 COMP176)
Antiprotozoal (Leishmania)	0.471	COMP177	(0.399 COMP178) (0.199 COMP0)
Antiprotozoal (Plasmodium)	0.267	COMP0	(0.253 COMP177)
Antiprotozoal (Toxoplasma)	0.292	COMP178	(0.097 COMP177)
Antiprotozoal (Trypanosoma)	0.298	COMP177	(0.177 COMP176)
Antipruritic. allergic	0.506	COMP178	(0.440 COMP0) (0.422 COMP177)
Antipruritic. non-allergic	0.274	COMP0	(0.256 COMP178) (0.239 COMP177) (0.136 COMP176)
Antipsoriatic	0.374	COMP178	
Antipyretic	0.676	COMP178	(0.392 COMP177) (0.315 COMP0)
Antirickettsial	0.207	COMP0	(0.178 COMP177/COMP178)
Antiseptic	0.613	COMP177	(0.114 COMP176)
Antismoking	0.111	COMP176	
Antispirochetal	0.242	COMP0	(0.092 COMP178)
Antithrombotic	0.594	COMP0	(0.374 COMP178) (0.318 COMP177)
Antitreponemal	0.088	COMP0	(0.075 COMP177)
Antituberculosic	0.165	COMP0	
Antitussive	0.321	COMP0	(0.119 COMP178) (0.103 COMP177)
Antiulcerative	0.440	COMP178	(0.277 COMP0) (0.215 COMP177)
Antiviral (HIV)	0.465	COMP178	(0.163 COMP0)
Antiviral (Hepatitis A)	0.088	COMP177	
Antiviral (Hepatitis B)	0.420	COMP178	(0.140 COMP0) (0.103 COMP176)
Antiviral (Hepatitis C)	0.324	COMP178	(0.151 COMP177)
Antiviral (Hepatitis)	0.414	COMP178	(0.167 COMP177) (0.145 COMP176)
Antiviral (Herpes)	0.443	COMP0	(0.336 COMP178) (0.125 COMP176)
Antiviral (Herpesvirus 3. Human)	0.068	COMP0	
Antiviral (Influenza A)	0.575	COMP178	(0.220 COMP0) (0.124 COMP176)
Antiviral (Influenza B)	0.201	COMP0	(0.132 COMP177)
Antiviral (Influenza)	0.569	COMP178	(0.357 COMP176) (0.344 COMP0) (0.190 COMP177)
Antiviral (Parainfluenza)	0.059	COMP177	
Antiviral (Poxvirus)	0.146	COMP0	
Antiviral (Rhinovirus)	0.234	COMP178	
Apoptosis agonist	0.942	COMP178	(0.849 COMP177) (0.832 COMP0) (0.588 COMP176)
Apoptosis antagonist	0.656	COMP178	(0.592 COMP0) (0.504 COMP177) (0.301 COMP176)
Atherosclerosis treatment	0.503	COMP178	
Bone diseases treatment	0.490	COMP178	(0.352 COMP177)
Bone formation stimulant	0.201	COMP177	
Bronchodilator	0.168	COMP177	
CNS active muscle relaxant	0.260	COMP176	
Cardioprotectant	0.718	COMP0	(0.639 COMP177) (0.384 COMP178) (0.222 COMP176)
Cardiotonic	0.448	COMP176	
Cardiovascular analeptic	0.552	COMP177	(0.257 COMP178) (0.209 COMP176)
Cell adhesion inhibitor	0.139	COMP0	
Cell wall synthesis inhibitor	0.298	COMP0	
Chemopreventive	0.901	COMP178	(0.628 COMP176) (0.576 COMP177) (0.527 COMP0)
Chemoprotective	0.781	COMP178	(0.614 COMP177) (0.401 COMP0) (0.278 COMP176)
Choleretic	0.207	COMP178	(0.203 COMP0) (0.140 COMP177)
Cholesterol absorption inhibitor	0.140	COMP0	(0.043 COMP178)
