Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.182	COMP548	(0.149 COMP984) (0.142 COMP981) (0.136 COMP982) (0.102 COMP985)
AR expression inhibitor	0.614	COMP548	(0.602 COMP222) (0.555 COMP218) (0.554 COMP220/COMP461) (0.501 COMP981) (0.481 COMP985) (0.413 COMP984) (0.301 COMP983) (0.217 COMP381) (0.214 COMP385) (0.183 COMP383) (0.181 COMP980)
CTGF expression inhibitor	0.758	COMP222	(0.739 COMP381) (0.731 COMP218) (0.674 COMP984) (0.638 COMP981) (0.552 COMP985) (0.439 COMP378/COMP380/COMP384/COMP979) (0.426 COMP982) (0.410 COMP980) (0.386 COMP385) (0.369 COMP383) (0.276 COMP220/COMP461) (0.225 COMP983)
GRP78 expression inhibitor	0.058	COMP982	(0.038 COMP220/COMP461) (0.026 COMP984) (0.025 COMP985) (0.022 COMP222/COMP381)
ICAM1 expression inhibitor	0.589	COMP220/COMP461	(0.519 COMP222) (0.484 COMP218) (0.423 COMP548) (0.420 COMP984) (0.414 COMP985) (0.392 COMP981) (0.305 COMP983) (0.275 COMP383) (0.267 COMP381) (0.251 COMP980/COMP982) (0.245 COMP385) (0.220 COMP378/COMP380/COMP384/COMP979)
LDLR expression enhancer	0.291	COMP218	(0.241 COMP222) (0.235 COMP981) (0.224 COMP985) (0.209 COMP382) (0.206 COMP548/COMP984) (0.192 COMP980) (0.183 COMP381) (0.168 COMP983) (0.147 COMP383)
NOS2 expression inhibitor	0.920	COMP220/COMP461	(0.774 COMP218) (0.728 COMP222) (0.681 COMP548) (0.588 COMP981) (0.530 COMP984) (0.494 COMP985) (0.279 COMP982) (0.259 COMP983) (0.225 COMP381) (0.203 COMP382) (0.150 COMP980)
NOS3 expression enhancer	0.514	COMP220/COMP461	(0.245 COMP222) (0.193 COMP218) (0.175 COMP985) (0.168 COMP981) (0.166 COMP984)
NOS3 expression inhibitor	0.804	COMP220/COMP461	(0.759 COMP381) (0.674 COMP222) (0.590 COMP218) (0.549 COMP980) (0.513 COMP378/COMP380/COMP384/COMP979) (0.502 COMP385) (0.484 COMP985) (0.481 COMP984) (0.453 COMP981/COMP983) (0.450 COMP383) (0.342 COMP548) (0.201 COMP982)
TNF expression inhibitor	0.905	COMP220/COMP461	(0.773 COMP218) (0.728 COMP222) (0.663 COMP381) (0.618 COMP548) (0.575 COMP983) (0.551 COMP984) (0.545 COMP985) (0.532 COMP981) (0.516 COMP378/COMP380/COMP384/COMP979) (0.478 COMP385) (0.393 COMP383) (0.358 COMP982) (0.355 COMP980) (0.252 COMP382)
VCAM1 expression inhibitor	0.687	COMP220/COMP461	(0.492 COMP218) (0.450 COMP984) (0.425 COMP222) (0.323 COMP985) (0.322 COMP981) (0.288 COMP983) (0.247 COMP382) (0.236 COMP548) (0.221 COMP381) (0.184 COMP982) (0.162 COMP378/COMP380/COMP384/COMP979)
VEGF expression inhibitor	0.369	COMP218	(0.349 COMP222) (0.274 COMP381) (0.241 COMP984) (0.232 COMP378/COMP380/COMP384/COMP979) (0.224 COMP981) (0.223 COMP985) (0.207 COMP383) (0.206 COMP385) (0.199 COMP980/COMP982) (0.174 COMP220/COMP461) (0.169 COMP983)
