Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake inhibitor	0.645	COMP381	(0.245 COMP385) (0.217 COMP980) (0.206 COMP378/COMP380/COMP384/COMP979)
5 Hydroxytryptamine uptake stimulant	0.709	COMP218	(0.678 COMP222) (0.650 COMP381) (0.486 COMP548) (0.470 COMP378/COMP380/COMP384/COMP979) (0.431 COMP980) (0.429 COMP984) (0.374 COMP220/COMP461) (0.362 COMP385) (0.344 COMP383) (0.289 COMP982) (0.276 COMP985) (0.272 COMP981) (0.203 COMP983)
Adenosine uptake inhibitor	0.041	COMP548	(0.037 COMP381)
Adrenaline uptake inhibitor	0.553	COMP381	(0.194 COMP378/COMP380/COMP384/COMP979) (0.156 COMP385) (0.100 COMP980) (0.082 COMP383)
Apical sodium codependent bile acid transporter inhibitor	0.017	COMP381	
Dopamine transporter inhibitor	0.676	COMP381	(0.447 COMP980) (0.412 COMP385) (0.316 COMP378/COMP380/COMP384/COMP979) (0.179 COMP383)
Dopamine uptake inhibitor	0.325	COMP381	(0.213 COMP385) (0.179 COMP378/COMP380/COMP384/COMP979) (0.136 COMP980) (0.085 COMP383) (0.058 COMP984)
Electron transport complex I inhibitor	0.182	COMP218	(0.169 COMP981) (0.134 COMP983) (0.132 COMP222) (0.129 COMP985) (0.112 COMP984)
Endocannabinoid uptake inhibitor	0.202	COMP983	(0.146 COMP984) (0.081 COMP382) (0.069 COMP222) (0.065 COMP218)
Equilibrative nucleoside transport protein inhibitor	0.067	COMP220/COMP461	
Excitatory amino acid transporter 1 inhibitor	0.015	COMP983	
Excitatory amino acid transporter 2 inhibitor	0.024	COMP983	
Excitatory amino acid transporter 3 inhibitor	0.025	COMP983	
Excitatory amino acid transporter EAAC1 inhibitor	0.345	COMP982	(0.281 COMP984) (0.193 COMP222) (0.179 COMP381) (0.153 COMP983) (0.127 COMP378/COMP380/COMP384/COMP979/COMP985) (0.105 COMP980) (0.099 COMP218) (0.097 COMP383) (0.095 COMP981)
Folate transporter 1 inhibitor	0.015	COMP982	
GABA transporter 1 inhibitor	0.017	COMP984	
GABA transporter 2 inhibitor	0.037	COMP984	
GABA transporter 3 inhibitor	0.062	COMP984	(0.029 COMP222/COMP982)
GABA transporter inhibitor	0.029	COMP984	
GABA uptake inhibitor	0.086	COMP984	(0.037 COMP548)
Glycine transporter 2 inhibitor	0.049	COMP984	
Ileal bile acid transport inhibitor	0.019	COMP984	(0.017 COMP381) (0.015 COMP220/COMP461)
Monocarboxylic acid transporter 1 inhibitor	0.027	COMP222	(0.022 COMP218)
Monocarboxylic acid transporter inhibitor	0.027	COMP222	(0.022 COMP218)
Multidrug resistance-associated protein 1 inhibitor	0.208	COMP218	(0.185 COMP222) (0.100 COMP220/COMP382/COMP461) (0.095 COMP981/COMP984)
Nucleoside transporters inhibitor	0.054	COMP218	(0.045 COMP220/COMP461/COMP984) (0.044 COMP222) (0.042 COMP985)
P-glycoprotein inhibitor	0.493	COMP383	(0.484 COMP385) (0.399 COMP378/COMP380/COMP384/COMP979) (0.387 COMP218) (0.291 COMP983) (0.276 COMP980) (0.271 COMP222) (0.249 COMP220/COMP461) (0.194 COMP984) (0.182 COMP382) (0.181 COMP381)
Phosphate transporter inhibitor	0.052	COMP984	
Sodium-dependent vitamin C transporter 2 inhibitor	0.128	COMP984	(0.109 COMP982) (0.090 COMP222) (0.061 COMP985) (0.055 COMP981) (0.048 COMP218) (0.037 COMP381)
Sodium/bile acid cotransporter inhibitor	0.420	COMP385	(0.419 COMP378/COMP380/COMP384/COMP979) (0.407 COMP383) (0.385 COMP982) (0.373 COMP381/COMP984) (0.339 COMP222) (0.330 COMP981) (0.323 COMP548) (0.316 COMP218) (0.312 COMP985) (0.234 COMP983)
Sodium/glucose cotransporter 1 inhibitor	0.108	COMP220/COMP461	(0.043 COMP984)
Sodium/glucose cotransporter 2 inhibitor	0.129	COMP220/COMP461	(0.085 COMP984) (0.041 COMP983) (0.027 COMP985) (0.026 COMP382)
Sodium/glucose cotransporter inhibitor	0.143	COMP220/COMP461	(0.071 COMP984) (0.032 COMP983) (0.025 COMP985)
Sodium/hydrogen exchanger 5 inhibitor	0.087	COMP381	
Urate transporter 1 inhibitor	0.046	COMP982	
Vesicle monoamine transporter inhibitor	0.127	COMP382	(0.122 COMP381) (0.063 COMP984) (0.062 COMP378/COMP380/COMP384/COMP979) (0.051 COMP385) (0.045 COMP383) (0.038 COMP980)
Vesicular acetylcholine transporter inhibitor	0.119	COMP381	(0.057 COMP385) (0.051 COMP378/COMP380/COMP384/COMP979) (0.036 COMP980) (0.033 COMP383) (0.024 COMP984)
Vesicular glutamate transport inhibitor	0.029	COMP982/COMP984	(0.019 COMP222) (0.016 COMP382)
