Name	Activation_Prob	Compound	Another_Probs
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.060	COMP1995	(0.052 COMP1994)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.086	COMP1994	(0.074 COMP1995)
5 Hydroxytryptamine release stimulant	0.337	COMP1995	(0.275 COMP1994)
5 Hydroxytryptamine uptake stimulant	0.222	COMP1995	(0.204 COMP1994)
5-Lipoxygenase inhibitor	0.153	COMP1994	
AR expression inhibitor	0.401	COMP1995	(0.379 COMP1994)
ATP citrate lysase inhibitor	0.034	COMP1995	(0.030 COMP1994)
ATPase (Vacuolar H+) inhibitor	0.114	COMP1995	(0.088 COMP1994)
ATPase inhibitor	0.257	COMP1995	(0.197 COMP1994)
Abortion inducer	0.422	COMP1995	(0.402 COMP1994)
Acaricide	0.133	COMP1995	(0.110 COMP1994)
Acetylcholine M1 receptor antagonist	0.130	COMP1994	
Acetylcholine M2 receptor agonist	0.125	COMP1994	
Aconitate hydratase inhibitor	0.109	COMP1995	(0.096 COMP1994)
Acyl-CoA dehydrogenase inhibitor	0.234	COMP1994	(0.224 COMP1995)
Adenosine deaminase inhibitor	0.085	COMP1994	(0.081 COMP1995)
Adenylate cyclase stimulant	0.209	COMP1995	(0.198 COMP1994)
Adenylate kinase inhibitor	0.303	COMP1995	(0.279 COMP1994)
Alcohol dehydrogenase substrate	0.708	COMP1995	(0.537 COMP1994)
Alcohol oxidase inhibitor	0.095	COMP1995	(0.077 COMP1994)
Aldehyde dehydrogenase inhibitor	0.234	COMP1995	(0.194 COMP1994)
Aldehyde dehydrogenase substrate	0.270	COMP1995	(0.183 COMP1994)
Aldehyde oxidase inhibitor	0.198	COMP1995	(0.159 COMP1994)
Alkylator	0.115	COMP1995	
Alpha-N-acetylglucosaminidase inhibitor	0.282	COMP1995	(0.250 COMP1994)
Alpha-mannosidase inhibitor	0.050	COMP1995	
Aminopeptidase B inhibitor	0.099	COMP1995	(0.084 COMP1994)
Aminopeptidase I inhibitor	0.078	COMP1995	(0.071 COMP1994)
Amylase inhibitor	0.119	COMP1995	
Anabolic	0.161	COMP1995	(0.156 COMP1994)
Analeptic	0.308	COMP1995	(0.273 COMP1994)
Anesthetic	0.203	COMP1995	(0.185 COMP1994)
Anesthetic general	0.197	COMP1994	(0.168 COMP1995)
Anesthetic inhalation	0.092	COMP1995	(0.084 COMP1994)
Anesthetic local	0.114	COMP1995	
Angiogenesis stimulant	0.338	COMP1995	(0.247 COMP1994)
Antiacne	0.224	COMP1994	(0.202 COMP1995)
Antiallergic	0.819	COMP1995	(0.696 COMP1994)
Antiarthritic	0.786	COMP1995	(0.639 COMP1994)
Antibacterial	0.509	COMP1995	(0.499 COMP1994)
Antibiotic	0.087	COMP1995	(0.083 COMP1994)
Antidiabetic	0.443	COMP1995	(0.323 COMP1994)
Antidote. mercury	0.140	COMP1995	(0.129 COMP1994)
Antidote. organophosphates	0.078	COMP1995	
Antieczematic	0.185	COMP1995	
Antiemphysemic	0.076	COMP1995	
Antifungal	0.711	COMP1995	(0.675 COMP1994)
Antifungal (Candida)	0.123	COMP1994	(0.113 COMP1995)
Antifungal (Cryptococcus)	0.499	COMP1994	(0.474 COMP1995)
Antifungal (Pneumocystis)	0.116	COMP1995	(0.111 COMP1994)
Antifungal enhancer	0.115	COMP1995	
Antiglaucomic	0.492	COMP1994	(0.456 COMP1995)
Antihelmintic	0.366	COMP1995	(0.251 COMP1994)
Antihelmintic (Nematodes)	0.155	COMP1995	(0.134 COMP1994)
Antihypercholesterolemic	0.352	COMP1995	(0.291 COMP1994)
Antihyperlipoproteinemic	0.118	COMP1995	(0.104 COMP1994)
Antihypertensive	0.369	COMP1994	(0.307 COMP1995)
Antihypertriglyceridemic	0.254	COMP1995	(0.160 COMP1994)
Antihypotensive	0.251	COMP1995	(0.235 COMP1994)
Antihypoxic	0.251	COMP1995	(0.218 COMP1994)
Antiinflammatory	0.919	COMP1995	(0.917 COMP1994)
Antileukemic	0.572	COMP1995	(0.418 COMP1994)
Antimetabolite	0.063	COMP1994	(0.060 COMP1995)
Antimutagenic	0.360	COMP1995	(0.322 COMP1994)
Antimycoplasmal	0.089	COMP1995	(0.080 COMP1994)
Antineoplastic (bone cancer)	0.838	COMP1994	(0.747 COMP1995)
Antineoplastic (brain cancer)	0.678	COMP1995	(0.530 COMP1994)
Antineoplastic (breast cancer)	0.630	COMP1995	(0.589 COMP1994)
Antineoplastic (carcinoma)	0.133	COMP1995	
Antineoplastic (cervical cancer)	0.229	COMP1995	
Antineoplastic (colon cancer)	0.333	COMP1995	(0.166 COMP1994)
Antineoplastic (colorectal cancer)	0.343	COMP1995	(0.175 COMP1994)
Antineoplastic (endocrine cancer)	0.237	COMP1995	
Antineoplastic (glioblastoma multiforme)	0.582	COMP1995	(0.532 COMP1994)
Antineoplastic (glioma)	0.542	COMP1995	(0.484 COMP1994)
Antineoplastic (lung cancer)	0.504	COMP1995	(0.272 COMP1994)
Antineoplastic (lymphocytic leukemia)	0.416	COMP1995	(0.313 COMP1994)
Antineoplastic (lymphoma)	0.174	COMP1995	
Antineoplastic (melanoma)	0.444	COMP1995	(0.314 COMP1994)
Antineoplastic (multiple myeloma)	0.595	COMP1995	(0.478 COMP1994)
Antineoplastic (non-small cell lung cancer)	0.392	COMP1995	(0.304 COMP1994)
Antineoplastic (ovarian cancer)	0.411	COMP1995	(0.231 COMP1994)
Antineoplastic (pancreatic cancer)	0.300	COMP1995	(0.167 COMP1994)
Antineoplastic (renal cancer)	0.403	COMP1995	(0.269 COMP1994)
Antineoplastic antibiotic	0.195	COMP1995	(0.118 COMP1994)
Antineoplastic enhancer	0.215	COMP1995	
Antineoplastic. alkylator	0.122	COMP1995	(0.101 COMP1994)
Antiobesity	0.656	COMP1994	(0.563 COMP1995)
Antiosteoporotic	0.824	COMP1994	(0.727 COMP1995)
Antioxidant	0.546	COMP1994	(0.505 COMP1995)
Antiparasitic	0.393	COMP1995	(0.275 COMP1994)
Antiprotozoal	0.446	COMP1994	(0.388 COMP1995)
Antiprotozoal (Leishmania)	0.830	COMP1994	(0.753 COMP1995)
Antiprotozoal (Trypanosoma)	0.185	COMP1995	(0.166 COMP1994)
Antiprotozoal activity enhancer	0.490	COMP1995	(0.475 COMP1994)
Antipruritic. allergic	0.492	COMP1995	(0.464 COMP1994)
Antipruritic. non-allergic	0.378	COMP1994	(0.348 COMP1995)
Antirickettsial	0.160	COMP1995	(0.149 COMP1994)
Antiseptic	0.138	COMP1995	(0.117 COMP1994)
Antispirochetal	0.217	COMP1995	(0.187 COMP1994)
Antithrombotic	0.398	COMP1995	(0.364 COMP1994)
Antiulcerative	0.579	COMP1994	(0.567 COMP1995)
Antiviral (HIV)	0.259	COMP1994	(0.255 COMP1995)
Antiviral (Hepatitis B)	0.344	COMP1995	(0.316 COMP1994)
Antiviral (Hepatitis)	0.249	COMP1995	(0.224 COMP1994)
Antiviral (Herpesvirus 3. Human)	0.082	COMP1995	(0.072 COMP1994)
Antiviral (Influenza B)	0.109	COMP1995	
Antiviral (Parainfluenza)	0.072	COMP1995	(0.064 COMP1994)
Antiviral (Poxvirus)	0.157	COMP1995	(0.135 COMP1994)
Apoptosis agonist	0.892	COMP1994	(0.874 COMP1995)
Apoptosis antagonist	0.386	COMP1995	(0.216 COMP1994)
Arachidonic acid antagonist	0.213	COMP1995	(0.206 COMP1994)
Arylamine N-Acetyltransferase substrate	0.151	COMP1995	(0.129 COMP1994)
Autoimmune disorders treatment	0.255	COMP1994	
Biliverdin reductase inhibitor	0.110	COMP1995	(0.095 COMP1994)
Bone diseases treatment	0.818	COMP1994	(0.730 COMP1995)
CTGF expression inhibitor	0.245	COMP1995	(0.223 COMP1994)
CYP1A2 substrate	0.474	COMP1995	(0.288 COMP1994)
CYP2B6 inhibitor	0.252	COMP1995	(0.226 COMP1994)
CYP2C19 substrate	0.257	COMP1995	(0.218 COMP1994)
CYP2C9 substrate	0.316	COMP1995	(0.272 COMP1994)
CYP2D6 substrate	0.338	COMP1995	(0.294 COMP1994)
CYP3A4 substrate	0.437	COMP1995	(0.276 COMP1994)
Ca2+-transporting ATPase inhibitor	0.156	COMP1995	(0.152 COMP1994)
Calcineurin inhibitor	0.011	COMP1995	(0.010 COMP1994)
Calcium-independent phospholipase A2 inhibitor	0.039	COMP1995	(0.037 COMP1994)
Cannabinoid CB1 receptor antagonist	0.113	COMP1994	(0.086 COMP1995)
Cannabinoid receptor antagonist	0.117	COMP1994	(0.082 COMP1995)
Carbamoyl phosphate synthetase inhibitor	0.105	COMP1995	(0.094 COMP1994)
Carcinogenic	0.304	COMP1995	(0.187 COMP1994)
Carcinogenic. group 1	0.267	COMP1995	(0.241 COMP1994)
Carcinogenic. group 2A	0.117	COMP1995	(0.099 COMP1994)
Carcinogenic. group 2B	0.082	COMP1995	
Carcinogenic. group 3	0.181	COMP1995	(0.147 COMP1994)
Cardiodepressant	0.147	COMP1995	
Cardioprotectant	0.274	COMP1995	(0.220 COMP1994)
Cardiovascular analeptic	0.155	COMP1995	
Caspase 3 stimulant	0.440	COMP1995	(0.395 COMP1994)
Caspase 9 stimulant	0.519	COMP1995	(0.475 COMP1994)
Cathepsin D inhibitor	0.052	COMP1994	(0.049 COMP1995)
Cathepsin E inhibitor	0.077	COMP1995	(0.072 COMP1994)
Cell wall synthesis inhibitor	0.169	COMP1995	
Chemopreventive	0.698	COMP1994	(0.564 COMP1995)
Chemoprotective	0.528	COMP1995	(0.471 COMP1994)
Choleretic	0.130	COMP1995	(0.112 COMP1994)
Cholesterol antagonist	0.464	COMP1995	(0.398 COMP1994)
Cholesterol synthesis inhibitor	0.176	COMP1995	(0.157 COMP1994)
Contraceptive female	0.157	COMP1995	(0.144 COMP1994)
Corneal wound healing stimulator	0.247	COMP1995	(0.147 COMP1994)
Cyclooxygenase 1 inhibitor	0.563	COMP1995	(0.427 COMP1994)
Cyclooxygenase inhibitor	0.266	COMP1995	(0.230 COMP1994)
Cyclophilin D inhibitor	0.443	COMP1995	(0.323 COMP1994)
Cystathionine beta-synthase inhibitor	0.123	COMP1995	(0.107 COMP1994)
Cytostatic	0.320	COMP1995	(0.208 COMP1994)
