Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.041	COMP1986	(0.040 COMP1347) (0.025 COMP1346)
ATPase inhibitor	0.788	COMP1993	(0.744 COMP1985/COMP1991) (0.738 COMP1990) (0.691 COMP1988) (0.682 COMP1987) (0.673 COMP1992) (0.659 COMP1989) (0.526 COMP1347) (0.450 COMP1346) (0.421 COMP1986) (0.344 COMP1977) (0.338 COMP1530) (0.308 COMP1982) (0.304 COMP1980) (0.291 COMP1981) (0.275 COMP1979) (0.252 COMP389/COMP390) (0.220 COMP1983) (0.216 COMP1978)
Acetylcholinesterase inhibitor	0.339	COMP1984	
Aconitate hydratase inhibitor	0.189	COMP389/COMP390	
Acyl-CoA dehydrogenase inhibitor	0.100	COMP389/COMP390	
Adenosine A1 receptor agonist	0.024	COMP1978	(0.021 COMP1983)
Adenylate cyclase inhibitor	0.650	COMP1989	(0.391 COMP1986) (0.377 COMP1985/COMP1991) (0.347 COMP1347) (0.337 COMP1346) (0.336 COMP1987) (0.335 COMP1993) (0.286 COMP1992) (0.269 COMP1979) (0.267 COMP1530) (0.248 COMP389/COMP390) (0.241 COMP1990) (0.228 COMP1983) (0.227 COMP1988) (0.226 COMP1978) (0.188 COMP1981) (0.165 COMP1977) (0.152 COMP1980)
Adenylate kinase inhibitor	0.194	COMP389/COMP390	
Alcohol dehydrogenase inhibitor	0.195	COMP389/COMP390	(0.157 COMP1980) (0.147 COMP1530) (0.136 COMP1981) (0.117 COMP1979) (0.113 COMP1982) (0.109 COMP1978) (0.107 COMP1977) (0.092 COMP1983)
Aldosterone antagonist	0.102	COMP1986	(0.090 COMP1347) (0.080 COMP1346)
Alkaline phosphatase inhibitor	0.382	COMP1984	(0.179 COMP389/COMP390) (0.115 COMP1983) (0.109 COMP1979)
Alpha-mannosidase inhibitor	0.276	COMP1978	(0.183 COMP1983) (0.134 COMP1979) (0.104 COMP1530) (0.084 COMP1977) (0.069 COMP1980) (0.067 COMP1981) (0.057 COMP1982) (0.056 COMP389/COMP390) (0.051 COMP1987) (0.049 COMP1989)
Androgen agonist	0.255	COMP1986	(0.249 COMP1346) (0.224 COMP1347) (0.111 COMP1992) (0.109 COMP1988) (0.100 COMP1990) (0.072 COMP1985/COMP1987/COMP1991) (0.062 COMP1993) (0.053 COMP1989)
Androgen antagonist	0.612	COMP1347	(0.576 COMP1986) (0.554 COMP1346) (0.221 COMP1984) (0.182 COMP1990) (0.166 COMP1992) (0.158 COMP1988) (0.092 COMP389/COMP390) (0.082 COMP1989)
Arginase inhibitor	0.093	COMP1530	(0.079 COMP1979) (0.072 COMP1978) (0.068 COMP1980) (0.060 COMP1977) (0.059 COMP1981) (0.055 COMP1983) (0.047 COMP389/COMP390) (0.041 COMP1982)
Argininosuccinate synthase inhibitor	0.103	COMP389/COMP390	
Aryl hydrocarbon receptor agonist	0.211	COMP1984	(0.148 COMP389/COMP390)
Beta 1 adrenoreceptor antagonist	0.057	COMP389/COMP390	
Beta 2 adrenoreceptor agonist	0.062	COMP389/COMP390	
Beta 2 adrenoreceptor antagonist	0.050	COMP389/COMP390	
Butyrylcholinesterase inhibitor	0.148	COMP1984	
CYP1A2 inhibitor	0.667	COMP1984	(0.362 COMP389/COMP390)
CYP2C9 inhibitor	0.499	COMP1984	(0.350 COMP389/COMP390)
CYP3A4 inhibitor	0.392	COMP1986	(0.355 COMP1347) (0.295 COMP1992) (0.270 COMP1984) (0.261 COMP1346) (0.252 COMP1990) (0.213 COMP1985/COMP1991) (0.199 COMP1987)
Ca2+-transporting ATPase inhibitor	0.177	COMP389/COMP390	(0.165 COMP1981) (0.161 COMP1530/COMP1979) (0.160 COMP1980) (0.156 COMP1983) (0.152 COMP1984/COMP1990) (0.147 COMP1977/COMP1988/COMP1992) (0.146 COMP1982) (0.142 COMP1978) (0.141 COMP1347) (0.139 COMP1993) (0.137 COMP1346/COMP1986) (0.135 COMP1985/COMP1991) (0.132 COMP1989)
Carbonic anhydrase II inhibitor	0.055	COMP1983/COMP389/COMP390	(0.051 COMP1979)
Carbonic anhydrase inhibitor	0.096	COMP1983	(0.080 COMP1979) (0.071 COMP1978/COMP389/COMP390)
Catalase inhibitor	0.273	COMP389/COMP390	
Cyclooxygenase 1 inhibitor	0.356	COMP1984	(0.272 COMP389/COMP390) (0.156 COMP1983) (0.141 COMP1978) (0.138 COMP1979) (0.127 COMP1981) (0.126 COMP1982) (0.124 COMP1980) (0.123 COMP1977) (0.121 COMP1530)
Cyclooxygenase 2 inhibitor	0.159	COMP389/COMP390	(0.151 COMP1984)
Cyclooxygenase inhibitor	0.225	COMP389/COMP390	(0.217 COMP1984) (0.126 COMP1983) (0.116 COMP1978)
Cystathionine beta-synthase inhibitor	0.677	COMP389/COMP390	(0.388 COMP1979) (0.372 COMP1981) (0.339 COMP1530) (0.328 COMP1980) (0.311 COMP1984) (0.309 COMP1977) (0.299 COMP1982) (0.246 COMP1983) (0.174 COMP1978)
DNA polymerase beta inhibitor	0.295	COMP389/COMP390	
DOPA decarboxylase inhibitor	0.240	COMP389/COMP390	(0.128 COMP1984)
Electron transport complex I inhibitor	0.220	COMP1984	
