Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.243	COMP135	(0.141 COMP3015)
Acetylcholine release stimulant	0.098	COMP135	
Actinic keratosis treatment	0.082	COMP135	
Anabolic	0.125	COMP135	(0.118 COMP3015)
Analeptic	0.453	COMP135	(0.282 COMP3015)
Anesthetic	0.294	COMP135	(0.130 COMP3015)
Anesthetic general	0.313	COMP135	(0.199 COMP3015)
Anesthetic inhalation	0.066	COMP135	(0.049 COMP3015)
Anesthetic local	0.259	COMP135	(0.094 COMP3015)
Angiogenesis stimulant	0.220	COMP135	
Antiacne	0.220	COMP3015	(0.133 COMP135)
Antiallergic	0.271	COMP135	(0.249 COMP3015)
Antiamyloidogenic	0.360	COMP135	
Antianemic	0.118	COMP135	
Antiarrhythmic	0.147	COMP135	
Antiarthritic	0.399	COMP3015	(0.256 COMP135)
Antibacterial	0.608	COMP3015	(0.454 COMP135)
Antibiotic	0.088	COMP3015	(0.077 COMP135)
Antibiotic Anthracycline-like	0.019	COMP135	
Anticholelithogenic	0.162	COMP135	(0.087 COMP3015)
Antidiabetic	0.365	COMP3015	(0.299 COMP135)
Antidiabetic symptomatic	0.377	COMP3015	
Antidiarrheal	0.144	COMP135	
Antidote	0.133	COMP135	
Antidote. heavy metal	0.071	COMP135	
Antifungal	0.422	COMP3015	(0.368 COMP135)
Antifungal (Aspergillus)	0.101	COMP135	
Antifungal (Cryptococcus)	0.158	COMP135	(0.131 COMP3015)
Antifungal (Pneumocystis)	0.143	COMP135	(0.110 COMP3015)
Antifungal enhancer	0.416	COMP135	(0.231 COMP3015)
Antihelmintic	0.647	COMP3015	(0.446 COMP135)
Antihelmintic (Fasciola)	0.094	COMP135	
Antihelmintic (Nematodes)	0.356	COMP135	(0.184 COMP3015)
Antihelmintic (Trematoda)	0.176	COMP135	(0.144 COMP3015)
Antihemorrhagic	0.158	COMP135	(0.131 COMP3015)
Antihypercholesterolemic	0.444	COMP135	(0.276 COMP3015)
Antihyperlipoproteinemic	0.129	COMP135	
Antihypertriglyceridemic	0.450	COMP135	(0.279 COMP3015)
Antihypotensive	0.381	COMP135	(0.246 COMP3015)
Antihypoxic	0.266	COMP135	(0.186 COMP3015)
Antiinflammatory	0.806	COMP3015	(0.618 COMP135)
Antiischemic	0.219	COMP135	
