Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.637	COMP9	(0.331 COMP468) (0.245 COMP1931) (0.229 COMP1553)
Acetylcholine release stimulant	0.145	COMP9	(0.139 COMP468) (0.098 COMP1931)
Actinic keratosis treatment	0.218	COMP9	(0.125 COMP468) (0.121 COMP1553) (0.109 COMP1931)
Acute neurologic disorders treatment	0.175	COMP468	
Acute respiratory distress syndrome (ARDS) treatment	0.391	COMP1931	(0.364 COMP1553) (0.166 COMP9)
Age-related macular degeneration treatment	0.263	COMP9	
Alzheimer's disease treatment	0.462	COMP1553	(0.350 COMP1930)
Amyotrophic lateral sclerosis treatment	0.190	COMP9	
Anabolic	0.156	COMP468	(0.138 COMP9) (0.095 COMP1931) (0.090 COMP1553)
Analeptic	0.650	COMP1931	(0.467 COMP468) (0.424 COMP1553) (0.419 COMP9)
Analgesic	0.242	COMP9	(0.237 COMP1930)
Analgesic. non-opioid	0.224	COMP9	
Andropause treatment	0.071	COMP1931	(0.064 COMP468)
Anesthetic	0.376	COMP9	(0.247 COMP468)
Anesthetic general	0.539	COMP1931	(0.534 COMP9) (0.470 COMP468) (0.200 COMP1553)
Anesthetic inhalation	0.108	COMP468	(0.103 COMP9)
Anesthetic local	0.258	COMP9	(0.176 COMP468)
Angiogenesis inhibitor	0.298	COMP1553	(0.201 COMP1931)
Angiogenesis stimulant	0.768	COMP1931	(0.735 COMP1553) (0.234 COMP468)
Antiacne	0.207	COMP9	(0.204 COMP1931) (0.197 COMP1553) (0.129 COMP468)
Antialcoholic	0.269	COMP1931	(0.263 COMP468) (0.192 COMP9) (0.156 COMP1553)
Antiamyloidogenic	0.579	COMP1553	(0.336 COMP1931) (0.282 COMP468) (0.200 COMP9)
Antianemic	0.260	COMP468	(0.127 COMP9)
Antianorexic	0.261	COMP9	(0.168 COMP468)
Antiarthritic	0.412	COMP1931	(0.353 COMP1553) (0.232 COMP9)
Antibacterial	0.744	COMP1553	(0.665 COMP1931) (0.487 COMP1930) (0.361 COMP468) (0.272 COMP9)
Antibiotic	0.229	COMP1553	(0.200 COMP1931) (0.158 COMP1930) (0.074 COMP468)
Antibiotic Aminoglycoside-like	0.112	COMP1931	(0.084 COMP1553)
Antibiotic Anthracycline-like	0.044	COMP1931	(0.035 COMP1553) (0.031 COMP468) (0.018 COMP9)
Antibiotic Glycopeptide-like	0.217	COMP1553	(0.214 COMP1931)
Antibiotic Macrolide-like	0.022	COMP1553	(0.017 COMP1931)
Antibiotic Tetracycline-like	0.017	COMP468	(0.015 COMP1553)
Anticataract	0.221	COMP1553	(0.133 COMP1931) (0.127 COMP9) (0.092 COMP468)
Anticholelithogenic	0.185	COMP468	(0.166 COMP9) (0.108 COMP1931)
Anticoagulant	0.124	COMP1931	
Anticonvulsant	0.173	COMP468	(0.154 COMP9)
Antidiabetic	0.852	COMP1931	(0.783 COMP1553) (0.308 COMP9)
Antidiabetic (type 1)	0.291	COMP1931	
