Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.830	COMP1061	(0.499 COMP3158) (0.352 COMP18) (0.334 COMP1909) (0.307 COMP697) (0.302 COMP864) (0.277 COMP144) (0.212 COMP3159) (0.205 COMP237) (0.183 COMP55) (0.152 COMP60) (0.143 COMP3155) (0.117 COMP322) (0.116 COMP3161/COMP3164) (0.109 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813)
Aldehyde dehydrogenase substrate	0.698	COMP1061	(0.381 COMP3158) (0.294 COMP18) (0.232 COMP237) (0.217 COMP60) (0.215 COMP864) (0.211 COMP144/COMP1909/COMP697) (0.209 COMP3155) (0.189 COMP55) (0.149 COMP322) (0.105 COMP3161/COMP3164) (0.101 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813)
Aldehyde oxidase substrate	0.322	COMP60	(0.321 COMP2800/COMP3156/COMP3157/COMP387) (0.303 COMP3155) (0.289 COMP864) (0.279 COMP322) (0.257 COMP1578/COMP1887) (0.255 COMP18) (0.246 COMP1165) (0.229 COMP3161/COMP3164) (0.223 COMP55) (0.218 COMP3160/COMP3162) (0.216 COMP1909) (0.214 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.183 COMP237/COMP3159) (0.181 COMP1061) (0.180 COMP697) (0.160 COMP3154) (0.150 COMP3158)
Aldose reductase substrate	0.949	COMP1061	(0.398 COMP508) (0.393 COMP781) (0.358 COMP864) (0.258 COMP55) (0.248 COMP18) (0.224 COMP1909) (0.204 COMP697) (0.165 COMP60) (0.161 COMP322) (0.144 COMP3161/COMP3164) (0.141 COMP3153) (0.130 COMP237) (0.128 COMP1578/COMP1887)
Arylamine N-Acetyltransferase substrate	0.350	COMP60	(0.337 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.318 COMP18) (0.263 COMP864) (0.234 COMP322) (0.219 COMP697) (0.218 COMP1165) (0.191 COMP3160/COMP3162) (0.188 COMP1578/COMP1887) (0.172 COMP1909/COMP55) (0.155 COMP2800/COMP3156/COMP3157/COMP387) (0.150 COMP3161/COMP3164) (0.133 COMP3155) (0.118 COMP237) (0.095 COMP508) (0.062 COMP781)
CYP1A2 inhibitor	0.425	COMP508	(0.394 COMP781) (0.352 COMP697) (0.339 COMP1165) (0.286 COMP1909) (0.265 COMP3153) (0.237 COMP1578/COMP1887) (0.226 COMP3159) (0.217 COMP60) (0.195 COMP3155) (0.178 COMP322)
CYP1A2 substrate	0.872	COMP1578/COMP1887	(0.781 COMP781) (0.766 COMP508) (0.692 COMP3153) (0.627 COMP2800/COMP3156/COMP3157/COMP387) (0.574 COMP697) (0.515 COMP1909) (0.487 COMP3161/COMP3164) (0.477 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.430 COMP864) (0.429 COMP3160/COMP3162) (0.428 COMP18) (0.407 COMP3155) (0.389 COMP1165) (0.359 COMP60) (0.350 COMP3159) (0.275 COMP322) (0.263 COMP237) (0.250 COMP1061/COMP3154) (0.237 COMP55) (0.217 COMP144)
CYP2A6 inhibitor	0.190	COMP3159	(0.155 COMP1165) (0.152 COMP3160/COMP3162) (0.133 COMP3155) (0.122 COMP322) (0.074 COMP237) (0.073 COMP18) (0.072 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.067 COMP1061) (0.066 COMP1578/COMP1887)
CYP2B6 inhibitor	0.330	COMP18	(0.317 COMP697) (0.298 COMP1578/COMP1887) (0.292 COMP237) (0.289 COMP1909) (0.279 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.273 COMP3155) (0.254 COMP1061) (0.251 COMP3161/COMP3164) (0.239 COMP1165/COMP144/COMP322) (0.238 COMP60) (0.233 COMP3160/COMP3162) (0.232 COMP2800/COMP3156/COMP3157/COMP387) (0.210 COMP3159/COMP864) (0.185 COMP55) (0.183 COMP3153) (0.159 COMP3158)
CYP2C19 inhibitor	0.516	COMP3153	(0.472 COMP697) (0.456 COMP2800/COMP3156/COMP3157/COMP387) (0.452 COMP1909) (0.423 COMP1578/COMP1887) (0.407 COMP237) (0.349 COMP3163) (0.345 COMP1165) (0.341 COMP3161/COMP3164) (0.319 COMP60) (0.308 COMP18) (0.299 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.280 COMP3159) (0.271 COMP322) (0.266 COMP3155) (0.260 COMP508) (0.239 COMP3160/COMP3162) (0.233 COMP781) (0.221 COMP55)
