Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.133	COMP18	(0.053 COMP988) (0.033 COMP3159)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.032	COMP988	(0.020 COMP18) (0.016 COMP1165) (0.014 COMP3155) (0.013 COMP3159/COMP3165)
1.3-Beta-glucan synthase inhibitor	0.036	COMP988	(0.035 COMP1578/COMP1887/COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.033 COMP3161/COMP3164) (0.031 COMP2800/COMP3156/COMP3157/COMP387) (0.028 COMP18) (0.027 COMP3153)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.145	COMP144	(0.063 COMP3154)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.054	COMP1552	(0.035 COMP144) (0.031 COMP1165) (0.027 COMP988)
12-Lipoxygenase inhibitor	0.779	COMP3166	(0.314 COMP3153) (0.287 COMP3159) (0.280 COMP988) (0.263 COMP3165) (0.260 COMP18) (0.235 COMP2800/COMP3156/COMP3157/COMP387) (0.227 COMP1165) (0.181 COMP3167)
15-Lipoxygenase inhibitor	0.702	COMP3153	(0.575 COMP3166) (0.565 COMP3165) (0.366 COMP3167) (0.341 COMP988) (0.317 COMP18) (0.252 COMP1165) (0.229 COMP3159) (0.209 COMP1578/COMP1887)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.065	COMP988	(0.051 COMP144) (0.049 COMP3155) (0.037 COMP18)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.082	COMP988	(0.078 COMP3159) (0.075 COMP3165) (0.073 COMP3167) (0.072 COMP1165) (0.062 COMP3153) (0.058 COMP18) (0.055 COMP144) (0.049 COMP3160/COMP3162)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.075	COMP988	(0.073 COMP1165) (0.069 COMP18) (0.068 COMP3165) (0.061 COMP3160/COMP3162) (0.058 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.055 COMP3159) (0.052 COMP3167) (0.051 COMP3155) (0.049 COMP1578/COMP1887) (0.040 COMP2800/COMP3156/COMP3157/COMP387) (0.039 COMP3161/COMP3164/COMP3166)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.259	COMP3153	(0.137 COMP18) (0.094 COMP988) (0.074 COMP3166) (0.053 COMP1165)
3C-like protease (Human coronavirus) inhibitor	0.358	COMP3165	(0.288 COMP3167) (0.270 COMP3159) (0.235 COMP3160/COMP3162) (0.225 COMP1165) (0.198 COMP988) (0.160 COMP3155) (0.159 COMP3163) (0.158 COMP3166)
4-Hydroxyphenylpyruvate dioxygenase inhibitor	0.016	COMP1165	
5 Hydroxytryptamine 1 agonist	0.157	COMP3154	(0.074 COMP1552)
5 Hydroxytryptamine 1 antagonist	0.149	COMP1552	
5 Hydroxytryptamine 1A agonist	0.092	COMP3167	(0.053 COMP3165) (0.044 COMP1552)
5 Hydroxytryptamine 1A antagonist	0.131	COMP1552	
5 Hydroxytryptamine 1B agonist	0.063	COMP1552	(0.049 COMP3155)
5 Hydroxytryptamine 1B antagonist	0.113	COMP1552	(0.069 COMP3155)
5 Hydroxytryptamine 1D agonist	0.071	COMP1552	(0.031 COMP988) (0.025 COMP3165)
5 Hydroxytryptamine 1D antagonist	0.106	COMP1552	(0.072 COMP3155) (0.057 COMP988)
5 Hydroxytryptamine 1E antagonist	0.372	COMP1552	(0.318 COMP3155) (0.304 COMP988) (0.292 COMP1578/COMP1887) (0.276 COMP3165) (0.264 COMP1165) (0.231 COMP3161/COMP3164) (0.219 COMP2800/COMP3156/COMP3157/COMP387) (0.214 COMP3160/COMP3162) (0.198 COMP3159) (0.192 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.177 COMP3163) (0.169 COMP18)
5 Hydroxytryptamine 1F agonist	0.039	COMP1552	
5 Hydroxytryptamine 1F antagonist	0.346	COMP1552	(0.190 COMP3155) (0.084 COMP988)
5 Hydroxytryptamine 2 agonist	0.112	COMP2796/COMP2802/COMP2804/COMP2811/COMP2813	(0.105 COMP3155) (0.073 COMP1552) (0.070 COMP3160/COMP3162) (0.062 COMP2800/COMP3156/COMP3157/COMP387) (0.058 COMP3161/COMP3164) (0.048 COMP988) (0.047 COMP1165)
5 Hydroxytryptamine 2 antagonist	0.207	COMP1552	(0.105 COMP3155) (0.101 COMP3165)
5 Hydroxytryptamine 2A agonist	0.169	COMP2796/COMP2802/COMP2804/COMP2811/COMP2813	(0.124 COMP3160/COMP3162) (0.104 COMP3155) (0.087 COMP988) (0.083 COMP1552) (0.076 COMP2800/COMP3156/COMP3157/COMP387) (0.068 COMP3161/COMP3164) (0.060 COMP1578/COMP1887) (0.059 COMP1165)
5 Hydroxytryptamine 2A antagonist	0.152	COMP1552	(0.085 COMP3165) (0.074 COMP3155)
5 Hydroxytryptamine 2B agonist	0.092	COMP2796/COMP2802/COMP2804/COMP2811/COMP2813	(0.059 COMP1552) (0.054 COMP3160/COMP3162) (0.045 COMP988) (0.044 COMP3155) (0.040 COMP1165) (0.037 COMP2800/COMP3156/COMP3157/COMP387)
5 Hydroxytryptamine 2B antagonist	0.287	COMP1552	(0.153 COMP3155) (0.104 COMP3160/COMP3162) (0.100 COMP2800/COMP3156/COMP3157/COMP387) (0.099 COMP3161/COMP3164) (0.098 COMP3165)
5 Hydroxytryptamine 2C agonist	0.114	COMP2796/COMP2802/COMP2804/COMP2811/COMP2813	
5 Hydroxytryptamine 2C antagonist	0.210	COMP1552	(0.107 COMP3155) (0.073 COMP3165)
