Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.499	COMP3158	(0.371 COMP988) (0.352 COMP18) (0.277 COMP144) (0.212 COMP3159) (0.143 COMP3155) (0.116 COMP3161/COMP3164) (0.109 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.103 COMP3167)
Aldehyde dehydrogenase substrate	0.381	COMP3158	(0.298 COMP988) (0.294 COMP18) (0.211 COMP144) (0.209 COMP3155) (0.105 COMP3161/COMP3164) (0.101 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813)
Aldehyde oxidase substrate	0.722	COMP1552	(0.321 COMP2800/COMP3156/COMP3157/COMP387) (0.303 COMP3155) (0.257 COMP1578/COMP1887) (0.255 COMP18) (0.249 COMP988) (0.246 COMP1165) (0.229 COMP3161/COMP3164) (0.218 COMP3160/COMP3162) (0.214 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.183 COMP3159) (0.160 COMP3154) (0.150 COMP3158)
Aldose reductase substrate	0.248	COMP18	(0.144 COMP3161/COMP3164) (0.141 COMP3153) (0.135 COMP3167) (0.128 COMP1578/COMP1887)
Arylamine N-Acetyltransferase substrate	0.337	COMP2796/COMP2802/COMP2804/COMP2811/COMP2813	(0.318 COMP18) (0.218 COMP1165) (0.191 COMP3160/COMP3162) (0.188 COMP1578/COMP1887) (0.175 COMP988) (0.155 COMP2800/COMP3156/COMP3157/COMP387) (0.150 COMP3161/COMP3164) (0.133 COMP3155) (0.099 COMP3165)
CYP1A2 inhibitor	0.919	COMP3166	(0.339 COMP1165) (0.271 COMP3165) (0.265 COMP3153) (0.237 COMP1578/COMP1887) (0.232 COMP988) (0.227 COMP3167) (0.226 COMP3159) (0.195 COMP3155)
CYP1A2 substrate	0.872	COMP1578/COMP1887	(0.692 COMP3153) (0.627 COMP2800/COMP3156/COMP3157/COMP387) (0.586 COMP3166) (0.487 COMP3161/COMP3164) (0.477 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.429 COMP3160/COMP3162) (0.428 COMP18) (0.407 COMP3155) (0.389 COMP1165) (0.362 COMP988) (0.357 COMP1552) (0.350 COMP3159) (0.250 COMP3154) (0.229 COMP3167) (0.217 COMP144) (0.193 COMP3165)
CYP2A6 inhibitor	0.318	COMP3167	(0.303 COMP1552) (0.302 COMP3165) (0.190 COMP3159) (0.161 COMP988) (0.155 COMP1165) (0.152 COMP3160/COMP3162) (0.133 COMP3155) (0.098 COMP3166) (0.073 COMP18) (0.072 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.066 COMP1578/COMP1887)
CYP2B6 inhibitor	0.351	COMP988	(0.343 COMP3166) (0.330 COMP18) (0.325 COMP3165) (0.298 COMP1578/COMP1887) (0.293 COMP1552) (0.279 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.277 COMP3167) (0.273 COMP3155) (0.251 COMP3161/COMP3164) (0.239 COMP1165/COMP144) (0.233 COMP3160/COMP3162) (0.232 COMP2800/COMP3156/COMP3157/COMP387) (0.210 COMP3159) (0.183 COMP3153) (0.159 COMP3158)
CYP2C19 inhibitor	0.516	COMP3153	(0.508 COMP3166) (0.474 COMP1552) (0.456 COMP2800/COMP3156/COMP3157/COMP387) (0.423 COMP1578/COMP1887) (0.352 COMP3165) (0.349 COMP3163) (0.345 COMP1165) (0.341 COMP3161/COMP3164) (0.331 COMP988) (0.308 COMP18) (0.299 COMP2796/COMP2802/COMP2804/COMP2811/COMP2813) (0.280 COMP3159) (0.266 COMP3155) (0.239 COMP3160/COMP3162) (0.217 COMP3167)
