Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.060	COMP452	(0.054 COMP2761) (0.026 COMP2918)
5 Hydroxytryptamine 1A agonist	0.044	COMP2761	
5 Hydroxytryptamine 1B agonist	0.063	COMP2761	
5 Hydroxytryptamine 2A agonist	0.083	COMP2761	
5 Hydroxytryptamine 2B agonist	0.059	COMP2761	
5 Hydroxytryptamine 2C antagonist	0.210	COMP2761	
5 Hydroxytryptamine 3 agonist	0.166	COMP2761	
5 Hydroxytryptamine 3A agonist	0.240	COMP2761	(0.107 COMP2918)
5 Hydroxytryptamine 4 agonist	0.025	COMP2917	
ATPase inhibitor	0.241	COMP452	(0.235 COMP2917) (0.218 COMP2918)
Acetylcholine M1 receptor agonist	0.276	COMP2761	(0.048 COMP2917)
Acetylcholine M1 receptor antagonist	0.382	COMP2761	(0.213 COMP2917) (0.149 COMP2918)
Acetylcholine M2 receptor agonist	0.057	COMP2761	
Acetylcholine M2 receptor antagonist	0.202	COMP2761	(0.063 COMP2917)
Acetylcholine M3 receptor agonist	0.095	COMP2761	
Acetylcholine M3 receptor antagonist	0.118	COMP2761	(0.060 COMP2917)
Aconitate hydratase inhibitor	0.784	COMP2918	(0.149 COMP2917)
Acyl-CoA dehydrogenase inhibitor	0.245	COMP2918	(0.243 COMP2917)
Adenosine deaminase inhibitor	0.111	COMP2917	(0.085 COMP2918)
Adenylate cyclase inhibitor	0.235	COMP2918	(0.199 COMP452) (0.189 COMP2917)
Adenylate kinase inhibitor	0.432	COMP2918	(0.358 COMP2917)
Adrenaline uptake inhibitor	0.060	COMP2761	
Alcohol dehydrogenase inhibitor	0.372	COMP2918	(0.345 COMP2917)
Aldosterone antagonist	0.085	COMP452	(0.064 COMP2917) (0.057 COMP2918)
Alkaline phosphatase inhibitor	0.129	COMP2917	(0.113 COMP2918)
Alpha 1a adrenoreceptor antagonist	0.067	COMP2761	
Alpha 1b adrenoreceptor antagonist	0.074	COMP2761	
Alpha 2a adrenoreceptor antagonist	0.166	COMP2761	
Alpha-mannosidase inhibitor	0.223	COMP2917	(0.137 COMP2918)
