Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.301	COMP502	
Acetylcholine release stimulant	0.102	COMP502	
Actinic keratosis treatment	0.150	COMP502	
Acute respiratory distress syndrome (ARDS) treatment	0.196	COMP502	
Anabolic	0.175	COMP502	
Analeptic	0.637	COMP502	
Andropause treatment	0.069	COMP502	
Anesthetic	0.313	COMP502	
Anesthetic general	0.453	COMP502	
Anesthetic inhalation	0.179	COMP502	
Anesthetic local	0.296	COMP502	
Angiogenesis stimulant	0.254	COMP502	
Antiacne	0.222	COMP502	
Antialcoholic	0.154	COMP502	
Antiallergic	0.610	COMP502	
Antianginal	0.167	COMP502	
Antianorexic	0.174	COMP502	
Antiarthritic	0.493	COMP502	
Antibacterial	0.452	COMP502	
Antibiotic	0.110	COMP502	
Anticholelithogenic	0.070	COMP502	
Antidiabetic	0.271	COMP502	
Antidiabetic (type 1)	0.147	COMP502	
Antidiabetic symptomatic	0.217	COMP502	
Antidote	0.253	COMP502	
Antidote. heavy metal	0.100	COMP502	
Antidote. mercury	0.164	COMP502	
Antidote. organophosphates	0.088	COMP502	
Antieczematic	0.209	COMP502	
Antiemphysemic	0.101	COMP502	
Antifungal	0.583	COMP502	
Antifungal (Candida)	0.146	COMP502	
Antifungal (Cryptococcus)	0.454	COMP502	
Antifungal (Pneumocystis)	0.120	COMP502	
Antifungal enhancer	0.263	COMP502	
Antiglaucomic	0.674	COMP502	
Antihelmintic	0.297	COMP502	
Antihelmintic (Nematodes)	0.307	COMP502	
Antihypercholesterolemic	0.661	COMP502	
Antihyperlipoproteinemic	0.161	COMP502	
Antihypertensive	0.474	COMP502	
Antihypertriglyceridemic	0.293	COMP502	
Antihypotensive	0.441	COMP502	
Antihypoxic	0.315	COMP502	
Antiinfertility. female	0.159	COMP502	
Antiinflammatory	0.776	COMP502	
Antiischemic	0.214	COMP502	
Antileukemic	0.201	COMP502	
Antimetabolite	0.067	COMP502	
Antimutagenic	0.460	COMP502	
Antimycoplasmal	0.129	COMP502	
Antineoplastic (bone cancer)	0.393	COMP502	
Antineoplastic (breast cancer)	0.275	COMP502	
Antineoplastic (carcinoma)	0.173	COMP502	
Antineoplastic (endocrine cancer)	0.329	COMP502	
Antineoplastic (lymphoma)	0.173	COMP502	
Antineoplastic (pancreatic cancer)	0.216	COMP502	
Antineoplastic (squamous cell carcinoma)	0.128	COMP502	
Antineoplastic antibiotic	0.134	COMP502	
Antineoplastic antimetabolite	0.154	COMP502	
Antineoplastic. alkylator	0.161	COMP502	
Antiosteoporotic	0.558	COMP502	
Antioxidant	0.399	COMP502	
Antiparasitic	0.323	COMP502	
Antiparkinsonian. rigidity relieving	0.299	COMP502	
Antiparkinsonian. tremor relieving	0.235	COMP502	
Antiprotozoal	0.290	COMP502	
Antiprotozoal (Amoeba)	0.109	COMP502	
Antiprotozoal (Coccidial)	0.176	COMP502	
Antiprotozoal (Leishmania)	0.520	COMP502	
Antiprotozoal (Toxoplasma)	0.128	COMP502	
Antiprotozoal (Trichomonas)	0.147	COMP502	
Antiprotozoal (Trypanosoma)	0.199	COMP502	
Antiprotozoal activity enhancer	0.511	COMP502	
Antipruritic	0.145	COMP502	
Antipruritic. allergic	0.580	COMP502	
Antipruritic. non-allergic	0.458	COMP502	
Antipsoriatic	0.259	COMP502	
Antipyretic	0.334	COMP502	
Antirickettsial	0.218	COMP502	
Antiseptic	0.367	COMP502	
Antispirochetal	0.383	COMP502	
Antithrombotic	0.595	COMP502	
Antitreponemal	0.082	COMP502	
Antiulcerative	0.664	COMP502	
Antiviral (HIV)	0.262	COMP502	
Antiviral (Hepatitis B)	0.125	COMP502	
Antiviral (Hepatitis)	0.167	COMP502	
Antiviral (Herpes)	0.153	COMP502	
Antiviral (Herpesvirus 3. Human)	0.073	COMP502	
Antiviral (Influenza A)	0.195	COMP502	
Antiviral (Influenza B)	0.181	COMP502	
Antiviral (Influenza)	0.231	COMP502	
Antiviral (Papilloma)	0.118	COMP502	
Antiviral (Parainfluenza)	0.171	COMP502	
Antiviral (Poxvirus)	0.207	COMP502	
Antiviral (Rhinovirus)	0.097	COMP502	
Apoptosis agonist	0.616	COMP502	
Apoptosis antagonist	0.386	COMP502	
Atherosclerosis treatment	0.268	COMP502	
Bone diseases treatment	0.602	COMP502	
Bone formation stimulant	0.185	COMP502	
Bronchodilator	0.090	COMP502	
CNS active muscle relaxant	0.335	COMP502	
Cardioprotectant	0.346	COMP502	
Cardiovascular analeptic	0.459	COMP502	
Cell wall synthesis inhibitor	0.218	COMP502	
Chemopreventive	0.400	COMP502	
Chemoprotective	0.579	COMP502	
Choleretic	0.142	COMP502	
Cholesterol synthesis inhibitor	0.294	COMP502	
Coagulant	0.152	COMP502	
Contraceptive	0.174	COMP502	
Contraceptive female	0.238	COMP502	
Contraceptive male	0.105	COMP502	
Corneal wound healing stimulator	0.326	COMP502	
Cytostatic	0.426	COMP502	
DNA synthesis inhibitor	0.291	COMP502	
Diabetic retinopathy treatment	0.133	COMP502	
Expectorant	0.244	COMP502	
Gastric antisecretory	0.149	COMP502	
Gastritis treatment	0.108	COMP502	
Gaucher disease treatment	0.082	COMP502	
Growth stimulant	0.135	COMP502	
Hair growth stimulant	0.452	COMP502	
Hematopoietic	0.087	COMP502	
Hemostatic	0.184	COMP502	
Hepatic disorders treatment	0.445	COMP502	
Hepatoprotectant	0.384	COMP502	
Hypercalcemia treatment	0.062	COMP502	
Hyperparathyroidism treatment	0.088	COMP502	
Hypolipemic	0.682	COMP502	
Immunomodulator	0.459	COMP502	
Immunostimulant	0.429	COMP502	
Immunosuppressant	0.567	COMP502	
Insulin sensitizer	0.273	COMP502	
Keratolytic	0.098	COMP502	
Leukotriene synthesis inhibitor	0.111	COMP502	
Lipoprotein disorders treatment	0.698	COMP502	
Mucolytic	0.217	COMP502	
Muscle relaxant	0.437	COMP502	
Muscular dystrophy treatment	0.150	COMP502	
Myocardial ischemia treatment	0.153	COMP502	
Narcotic antagonist	0.127	COMP502	
Neuropathy treatment	0.166	COMP502	
Non-steroidal antiinflammatory agent	0.411	COMP502	
Paget's disease treatment	0.139	COMP502	
Photosensitizer	0.169	COMP502	
Platelet aggregation inhibitor	0.280	COMP502	
Platelet antagonist	0.601	COMP502	
Postcoital contraceptive	0.073	COMP502	
Proliferative diseases treatment	0.459	COMP502	
Psychostimulant	0.220	COMP502	
Radioprotector	0.688	COMP502	
Radiosensitizer	0.485	COMP502	
Raynaud's phenomenon treatment	0.289	COMP502	
Respiratory analeptic	0.709	COMP502	
Restless leg syndrome treatment	0.086	COMP502	
Sepsis treatment	0.218	COMP502	
Septic shock treatment	0.249	COMP502	
Shock treatment	0.124	COMP502	
Skeletal muscle relaxant	0.310	COMP502	
Skin whitener	0.486	COMP502	
