Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.142	COMP326	(0.127 COMP3126) (0.108 COMP3131) (0.106 COMP338) (0.090 COMP264) (0.084 COMP3136)
AR expression inhibitor	0.866	COMP3136	(0.731 COMP338) (0.726 COMP326) (0.680 COMP1892) (0.587 COMP1193) (0.518 COMP1139) (0.475 COMP3135) (0.471 COMP264) (0.445 COMP110) (0.421 COMP3124/COMP3125) (0.403 COMP3132) (0.395 COMP3128/COMP3129) (0.356 COMP3134) (0.335 COMP3133) (0.330 COMP3127) (0.329 COMP3130) (0.321 COMP3131) (0.311 COMP3126) (0.185 COMP1654)
CTGF expression inhibitor	0.890	COMP3136	(0.796 COMP338) (0.737 COMP3135) (0.717 COMP1139) (0.707 COMP1654) (0.639 COMP3134) (0.629 COMP3128/COMP3129) (0.585 COMP3133) (0.451 COMP1892) (0.410 COMP1193) (0.365 COMP3124/COMP3125) (0.341 COMP3126) (0.327 COMP3131) (0.322 COMP110) (0.304 COMP3132) (0.264 COMP264) (0.191 COMP3127)
GRP78 expression inhibitor	0.032	COMP1139	(0.021 COMP110) (0.020 COMP1193)
ICAM1 expression inhibitor	0.571	COMP326	(0.494 COMP3136) (0.464 COMP1193) (0.455 COMP338) (0.450 COMP3134) (0.435 COMP3133) (0.417 COMP1139) (0.384 COMP3135) (0.368 COMP3126) (0.367 COMP3132) (0.353 COMP264) (0.323 COMP3131) (0.301 COMP3128/COMP3129) (0.298 COMP3130) (0.273 COMP3124/COMP3125) (0.257 COMP1892) (0.202 COMP3127)
LDLR expression enhancer	0.323	COMP3136	(0.294 COMP1139) (0.278 COMP338) (0.268 COMP3135) (0.232 COMP326) (0.136 COMP1654)
NOS2 expression inhibitor	0.917	COMP338	(0.900 COMP3136) (0.685 COMP326) (0.621 COMP3135) (0.604 COMP264) (0.555 COMP1139) (0.537 COMP1892) (0.414 COMP3134) (0.392 COMP3133) (0.377 COMP3130) (0.315 COMP1193) (0.310 COMP3131) (0.277 COMP110) (0.275 COMP3127) (0.258 COMP3124/COMP3125) (0.250 COMP3132) (0.242 COMP1654) (0.197 COMP3126) (0.191 COMP3128/COMP3129)
NOS3 expression enhancer	0.521	COMP338	(0.449 COMP3136) (0.252 COMP1139)
NOS3 expression inhibitor	0.635	COMP338	(0.620 COMP3136) (0.562 COMP3134) (0.524 COMP3133) (0.457 COMP326) (0.433 COMP3132) (0.432 COMP3128/COMP3129) (0.423 COMP1193) (0.422 COMP1892) (0.421 COMP3135) (0.420 COMP1139) (0.377 COMP3131) (0.315 COMP110) (0.275 COMP3124/COMP3125) (0.261 COMP1654) (0.253 COMP3126) (0.245 COMP3127) (0.200 COMP264) (0.190 COMP3130)
TNF expression inhibitor	0.907	COMP338	(0.890 COMP326) (0.819 COMP3136) (0.642 COMP1139) (0.639 COMP3135) (0.544 COMP1892) (0.493 COMP264) (0.491 COMP3134) (0.446 COMP3133) (0.444 COMP1193) (0.408 COMP3132) (0.400 COMP3131) (0.338 COMP110) (0.336 COMP1654) (0.320 COMP3128/COMP3129) (0.301 COMP3130) (0.299 COMP3124/COMP3125) (0.266 COMP3127)
VCAM1 expression inhibitor	0.551	COMP338	(0.410 COMP1139) (0.335 COMP3136) (0.318 COMP3135) (0.316 COMP3134) (0.315 COMP1892) (0.294 COMP264) (0.291 COMP3133) (0.285 COMP1193) (0.238 COMP110) (0.203 COMP1654) (0.190 COMP326) (0.162 COMP3132)
VEGF expression inhibitor	0.415	COMP3136	(0.342 COMP338) (0.294 COMP1139) (0.228 COMP1654) (0.218 COMP110) (0.210 COMP3135)
VEGFR2 expression inhibitor	0.073	COMP1654	
