Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.566	COMP326	(0.510 COMP1892) (0.472 COMP3133) (0.457 COMP3134) (0.439 COMP1193) (0.427 COMP3131) (0.419 COMP110) (0.412 COMP3128/COMP3129) (0.409 COMP3132) (0.405 COMP264) (0.383 COMP3135) (0.363 COMP3130) (0.361 COMP1139/COMP3124/COMP3125) (0.304 COMP3126) (0.253 COMP3127) (0.233 COMP338) (0.187 COMP3136) (0.174 COMP1654)
Carcinogenic	0.671	COMP264	(0.596 COMP1892) (0.589 COMP338) (0.559 COMP3136) (0.532 COMP110) (0.420 COMP1654) (0.318 COMP326) (0.298 COMP1139) (0.282 COMP3133) (0.271 COMP3134) (0.214 COMP3135) (0.189 COMP3131) (0.160 COMP1193) (0.157 COMP3130) (0.130 COMP3127)
Carcinogenic. group 1	0.473	COMP1139	(0.253 COMP1654) (0.243 COMP3136) (0.219 COMP3135) (0.195 COMP264) (0.188 COMP1892) (0.167 COMP110) (0.165 COMP3134) (0.158 COMP338) (0.136 COMP3133)
Carcinogenic. group 2A	0.261	COMP1139	(0.151 COMP1654) (0.106 COMP264) (0.104 COMP1892) (0.099 COMP110) (0.079 COMP338)
Carcinogenic. group 2B	0.337	COMP1139	(0.215 COMP338) (0.209 COMP1892) (0.207 COMP3136) (0.179 COMP1654) (0.145 COMP264) (0.137 COMP3134) (0.119 COMP3133) (0.091 COMP1193) (0.088 COMP110)
Carcinogenic. group 3	0.772	COMP264	(0.702 COMP1892) (0.317 COMP3136) (0.291 COMP1139) (0.225 COMP1654) (0.210 COMP338) (0.133 COMP3134) (0.119 COMP3133)
Cardiodepressant	0.534	COMP326	(0.502 COMP3135) (0.475 COMP1139) (0.404 COMP3136) (0.239 COMP338) (0.219 COMP3134) (0.161 COMP3133)
Cytotoxic	0.658	COMP326	(0.567 COMP3131) (0.513 COMP338) (0.484 COMP3128/COMP3129) (0.467 COMP3126) (0.427 COMP3130) (0.426 COMP3136) (0.386 COMP3135) (0.373 COMP3134) (0.362 COMP110) (0.361 COMP1892) (0.354 COMP3124/COMP3125) (0.348 COMP1654) (0.347 COMP3133) (0.322 COMP264) (0.309 COMP1139) (0.278 COMP3127) (0.236 COMP1193) (0.201 COMP3132)
DNA damaging	0.572	COMP3136	(0.445 COMP3135) (0.396 COMP338) (0.364 COMP1139) (0.300 COMP1654)
Embryotoxic	0.702	COMP1892	(0.650 COMP264) (0.622 COMP326) (0.435 COMP338) (0.418 COMP1193) (0.341 COMP3134) (0.325 COMP3133) (0.317 COMP1139) (0.272 COMP3135) (0.249 COMP3136) (0.226 COMP1654) (0.188 COMP110) (0.166 COMP3131) (0.156 COMP3127) (0.154 COMP3124/COMP3125) (0.153 COMP3132)
Eye irritation. high	0.435	COMP3134	(0.358 COMP1892) (0.357 COMP1654) (0.356 COMP3133) (0.333 COMP264) (0.297 COMP3135) (0.286 COMP1139) (0.167 COMP110) (0.151 COMP338) (0.126 COMP1193/COMP3127/COMP3130)
Genotoxic	0.849	COMP338	(0.708 COMP3136) (0.484 COMP1139) (0.332 COMP3135) (0.197 COMP1892) (0.176 COMP1654) (0.160 COMP3134) (0.148 COMP3133) (0.136 COMP264) (0.123 COMP1193)
Hypoglycemic	0.607	COMP338	(0.497 COMP3136) (0.337 COMP326) (0.316 COMP3135) (0.295 COMP1139) (0.223 COMP3128/COMP3129) (0.212 COMP1892) (0.203 COMP3133) (0.197 COMP3134) (0.191 COMP3131) (0.180 COMP264)
Mutagenic	0.589	COMP338	(0.554 COMP3136) (0.499 COMP1654) (0.451 COMP264) (0.392 COMP1892) (0.363 COMP110) (0.337 COMP3135) (0.310 COMP3133) (0.308 COMP1139) (0.267 COMP3134) (0.210 COMP3131) (0.121 COMP326)
Pneumotoxic	0.621	COMP1892	(0.603 COMP1139) (0.521 COMP264) (0.498 COMP3136) (0.466 COMP338) (0.342 COMP3135) (0.328 COMP1193) (0.269 COMP1654) (0.252 COMP3134) (0.250 COMP3133) (0.230 COMP110) (0.214 COMP3131) (0.198 COMP326) (0.165 COMP3128/COMP3129) (0.162 COMP3126) (0.159 COMP3130)
Sedative	0.641	COMP110	(0.598 COMP264) (0.391 COMP1892) (0.215 COMP1654) (0.207 COMP1139) (0.191 COMP3135) (0.169 COMP3134) (0.145 COMP1193)
Sensitization	0.900	COMP3130	(0.864 COMP3124/COMP3125) (0.850 COMP3132) (0.822 COMP3133) (0.820 COMP3131) (0.797 COMP326) (0.781 COMP3134) (0.775 COMP1193) (0.695 COMP3128/COMP3129) (0.678 COMP3127) (0.608 COMP264) (0.593 COMP3126) (0.592 COMP1654) (0.581 COMP3135) (0.548 COMP338) (0.537 COMP1892) (0.440 COMP1139) (0.370 COMP3136) (0.210 COMP110)
