Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.040	COMP683	(0.032 COMP2408)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.014	COMP683	
1.3-Beta-glucan synthase inhibitor	0.035	COMP3146	(0.033 COMP3141) (0.032 COMP3147/COMP56) (0.031 COMP2408/COMP2511/COMP3143) (0.030 COMP508) (0.028 COMP3138)
12-Lipoxygenase inhibitor	0.883	COMP724	(0.869 COMP48) (0.812 COMP856) (0.796 COMP191) (0.465 COMP3149) (0.450 COMP683) (0.226 COMP508) (0.206 COMP2511) (0.194 COMP56)
15-Lipoxygenase inhibitor	0.886	COMP724	(0.869 COMP48) (0.826 COMP856) (0.801 COMP191) (0.615 COMP3149) (0.516 COMP683) (0.296 COMP508) (0.230 COMP2511)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.061	COMP3147	(0.039 COMP3143) (0.038 COMP3146) (0.037 COMP2408)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.016	COMP2408	(0.015 COMP3143) (0.014 COMP3147) (0.013 COMP3146)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.129	COMP683	(0.087 COMP191) (0.071 COMP856) (0.067 COMP48) (0.055 COMP724)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.212	COMP683	(0.047 COMP856) (0.044 COMP191) (0.040 COMP724)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.635	COMP724	(0.603 COMP48) (0.512 COMP2511) (0.471 COMP56) (0.457 COMP856) (0.419 COMP191) (0.265 COMP508) (0.258 COMP683) (0.243 COMP3141) (0.076 COMP3149)
3C-like protease (Human coronavirus) inhibitor	0.246	COMP683	(0.146 COMP191) (0.142 COMP48)
5 Hydroxytryptamine 1E antagonist	0.285	COMP191	(0.265 COMP856) (0.210 COMP48) (0.177 COMP683) (0.176 COMP724)
5 Hydroxytryptamine 3A agonist	0.090	COMP191	
5 Hydroxytryptamine 3E antagonist	0.172	COMP683	(0.169 COMP191)
5 Hydroxytryptamine release inhibitor	0.649	COMP191/COMP508	(0.615 COMP683/COMP856) (0.573 COMP48) (0.541 COMP56) (0.538 COMP724) (0.505 COMP2511) (0.374 COMP3149) (0.360 COMP3141) (0.320 COMP3137) (0.261 COMP3145)
5 Hydroxytryptamine release stimulant	0.756	COMP3141	(0.623 COMP3138) (0.550 COMP56) (0.492 COMP2511) (0.432 COMP191) (0.370 COMP508) (0.360 COMP856) (0.298 COMP48) (0.293 COMP683) (0.243 COMP724) (0.196 COMP3145)
5 Hydroxytryptamine uptake stimulant	0.566	COMP683	(0.465 COMP191) (0.460 COMP48) (0.430 COMP856) (0.426 COMP724) (0.215 COMP3144/COMP3148) (0.211 COMP3145)
5-Alpha-reductase 1 inhibitor	0.026	COMP683	
5-Alpha-reductase 2 inhibitor	0.037	COMP683	(0.028 COMP3147) (0.026 COMP3143) (0.025 COMP2408) (0.019 COMP3146)
5-Alpha-reductase inhibitor	0.170	COMP3147	(0.119 COMP2408) (0.116 COMP3143) (0.093 COMP3146) (0.082 COMP683) (0.052 COMP3139) (0.044 COMP3149) (0.034 COMP3140)
5-Lipoxygenase inhibitor	0.484	COMP856	(0.481 COMP724) (0.455 COMP191) (0.454 COMP48) (0.401 COMP3149) (0.334 COMP683) (0.085 COMP508)
ABCA1 expression enhancer	0.182	COMP683	(0.147 COMP724) (0.141 COMP48) (0.105 COMP2408/COMP3143/COMP3147/COMP856) (0.102 COMP191) (0.099 COMP3146) (0.088 COMP3149)
AICAR transformylase inhibitor	0.062	COMP683	
AMP-activated protein kinase stimulant	0.684	COMP3141	(0.567 COMP56) (0.556 COMP2511) (0.405 COMP508) (0.304 COMP48) (0.294 COMP724) (0.241 COMP683) (0.226 COMP3138) (0.200 COMP191) (0.194 COMP856) (0.181 COMP3139) (0.171 COMP3149) (0.119 COMP3137) (0.098 COMP3140)
AMPA 1 receptor antagonist	0.044	COMP683	
AMPA 2 receptor antagonist	0.031	COMP683	
AMPA 3 receptor antagonist	0.048	COMP683	
AMPA 4 receptor antagonist	0.057	COMP683	
AMPA receptor antagonist	0.052	COMP683	
ATP citrate lysase inhibitor	0.130	COMP191	(0.117 COMP856) (0.074 COMP683) (0.068 COMP48) (0.063 COMP724) (0.035 COMP508)
ATPase (Vacuolar H+) inhibitor	0.181	COMP3140	(0.148 COMP3141) (0.146 COMP3139) (0.133 COMP2511/COMP508) (0.130 COMP683) (0.128 COMP3137) (0.125 COMP56) (0.110 COMP3138/COMP3144/COMP3148) (0.106 COMP3142) (0.091 COMP856) (0.080 COMP2408)
ATPase inhibitor	0.395	COMP3139	(0.330 COMP508) (0.309 COMP3140) (0.303 COMP3137) (0.296 COMP3141) (0.274 COMP2511) (0.262 COMP683) (0.248 COMP56) (0.222 COMP856) (0.200 COMP191) (0.157 COMP724) (0.144 COMP3138) (0.135 COMP48)
Acetyl-CoA transferase 1 inhibitor	0.088	COMP2408	(0.075 COMP3143) (0.052 COMP3146) (0.050 COMP3147)
Acetyl-CoA transferase 2 inhibitor	0.058	COMP3149	
Acetyl-CoA transferase inhibitor	0.125	COMP2408	(0.113 COMP3143) (0.073 COMP3147) (0.069 COMP3146)
Acetylcholine M1 receptor antagonist	0.132	COMP683	
Acetylcholine M2 receptor agonist	0.055	COMP3144/COMP3148	(0.048 COMP3142)
Acetylcholine release stimulant	0.098	COMP683	
Acetylcholinesterase inhibitor	0.506	COMP856	(0.495 COMP191) (0.466 COMP724) (0.457 COMP48) (0.246 COMP508) (0.231 COMP2511/COMP56) (0.169 COMP3141)
Aconitate hydratase inhibitor	0.318	COMP683	(0.046 COMP191/COMP856)
Acyl-CoA dehydrogenase inhibitor	0.216	COMP683	
Adenine nucleotide translocase inhibitor	0.162	COMP683	(0.078 COMP3149) (0.073 COMP3139) (0.071 COMP3138) (0.060 COMP56) (0.058 COMP2511/COMP508)
Adenosine A1 receptor agonist	0.024	COMP2511/COMP3142/COMP56	(0.022 COMP3138) (0.021 COMP3141)
Adenosine A3 receptor agonist	0.036	COMP3142	(0.023 COMP3144/COMP3148)
Adenosine A3 receptor antagonist	0.077	COMP48	(0.068 COMP724)
Adenosine deaminase inhibitor	0.081	COMP2511	(0.079 COMP683) (0.074 COMP56) (0.071 COMP724) (0.064 COMP48) (0.057 COMP856) (0.047 COMP191)
Adenylate cyclase inhibitor	0.218	COMP683	(0.138 COMP191) (0.137 COMP3138) (0.136 COMP56) (0.121 COMP856) (0.118 COMP2511)
Adenylate cyclase stimulant	0.210	COMP683	(0.187 COMP191) (0.184 COMP856) (0.179 COMP3138) (0.168 COMP48) (0.165 COMP56/COMP724) (0.162 COMP2511) (0.155 COMP3141) (0.153 COMP3149) (0.143 COMP508) (0.142 COMP3144/COMP3148) (0.139 COMP2408/COMP3145) (0.129 COMP3143) (0.122 COMP3146)
Adenylate kinase inhibitor	0.343	COMP683	(0.100 COMP856) (0.099 COMP3144/COMP3148) (0.096 COMP191)
Adrenaline agonist	0.141	COMP683	
Aggrecanase 2 inhibitor	0.050	COMP3144/COMP3148	(0.035 COMP3142)
Alcohol dehydrogenase inhibitor	0.494	COMP508	(0.492 COMP2511) (0.491 COMP56) (0.435 COMP48/COMP724) (0.402 COMP683) (0.316 COMP856) (0.315 COMP191) (0.280 COMP3141)
Alcohol oxidase inhibitor	0.895	COMP683	(0.128 COMP191) (0.112 COMP856) (0.083 COMP48) (0.073 COMP724) (0.057 COMP3144/COMP3148)
