Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.180	COMP3149	(0.172 COMP3143) (0.168 COMP2408) (0.162 COMP3147) (0.157 COMP3146) (0.147 COMP3145) (0.143 COMP683) (0.137 COMP3139) (0.134 COMP3138) (0.114 COMP3137) (0.108 COMP3140)
Aldehyde dehydrogenase substrate	0.206	COMP683	(0.156 COMP3139) (0.123 COMP3145) (0.115 COMP3149) (0.100 COMP3138) (0.098 COMP3137)
Aldehyde oxidase substrate	0.295	COMP683	(0.173 COMP191) (0.158 COMP856) (0.139 COMP48)
Aldose reductase substrate	0.442	COMP56	(0.437 COMP2511) (0.401 COMP3141) (0.398 COMP508) (0.380 COMP3138) (0.290 COMP3139) (0.267 COMP3137) (0.255 COMP3140) (0.183 COMP3145) (0.152 COMP683)
Arylamine N-Acetyltransferase substrate	0.332	COMP683	(0.194 COMP191) (0.165 COMP856) (0.114 COMP48) (0.095 COMP508) (0.084 COMP724)
CYP1A2 inhibitor	0.945	COMP48	(0.919 COMP724) (0.843 COMP191) (0.803 COMP856) (0.425 COMP508) (0.397 COMP56) (0.362 COMP2511) (0.266 COMP3141) (0.237 COMP3149) (0.205 COMP683)
CYP1A2 substrate	0.919	COMP724	(0.912 COMP48) (0.774 COMP856) (0.766 COMP508) (0.758 COMP191) (0.590 COMP2511) (0.572 COMP56) (0.411 COMP3141) (0.397 COMP683) (0.211 COMP3149)
CYP24 inhibitor	0.056	COMP2408	(0.050 COMP3143) (0.047 COMP3146/COMP3147)
CYP2A6 inhibitor	0.109	COMP191	(0.095 COMP856) (0.093 COMP48) (0.080 COMP724)
CYP2B6 inhibitor	0.528	COMP191	(0.471 COMP856) (0.374 COMP48) (0.329 COMP724) (0.210 COMP683)
CYP2C19 inhibitor	0.651	COMP48	(0.626 COMP724) (0.555 COMP191) (0.532 COMP856) (0.371 COMP3141) (0.360 COMP3138) (0.357 COMP3149) (0.354 COMP56) (0.323 COMP2511) (0.294 COMP683) (0.260 COMP508)
CYP2C19 substrate	0.755	COMP508	(0.665 COMP2511) (0.648 COMP56) (0.609 COMP3139) (0.601 COMP856) (0.584 COMP191) (0.566 COMP3141) (0.563 COMP724) (0.548 COMP48) (0.495 COMP683) (0.433 COMP3137) (0.417 COMP3149) (0.315 COMP3140) (0.301 COMP3138) (0.221 COMP3147) (0.187 COMP2408) (0.173 COMP3143)
