Name	Activation_Prob	Compound	Another_Probs
Acetylcholinesterase inhibitor	0.132	COMP3152	
Androgen antagonist	0.119	COMP3152	
Argininosuccinate synthase inhibitor	0.064	COMP3152	
CYP1A2 inhibitor	0.170	COMP3152	
CYP2C9 inhibitor	0.318	COMP3152	
CYP3A4 inhibitor	0.192	COMP3152	
Ca2+-transporting ATPase inhibitor	0.163	COMP3152	
Cyclooxygenase 1 inhibitor	0.307	COMP3152	
Cyclooxygenase inhibitor	0.201	COMP3152	
Cystathionine beta-synthase inhibitor	0.212	COMP3152	
DOPA decarboxylase inhibitor	0.140	COMP3152	
Electron transport complex I inhibitor	0.155	COMP3152	
Heat shock protein 70 antagonist	0.130	COMP3152	
Peroxidase inhibitor	0.308	COMP3152	
Phospholipase A2 inhibitor	0.273	COMP3152	
Phospholipase C inhibitor	0.218	COMP3152	
Succinate dehydrogenase inhibitor	0.364	COMP3152	
Superoxide dismutase inhibitor	0.363	COMP3152	
Tyrosine 3 hydroxylase inhibitor	0.341	COMP3152	
