Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.278	COMP3152	
15-Lipoxygenase inhibitor	0.263	COMP3152	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.055	COMP3152	
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.042	COMP3152	
4-Hydroxyphenylpyruvate dioxygenase inhibitor	0.015	COMP3152	
5 Hydroxytryptamine release inhibitor	0.562	COMP3152	
5 Hydroxytryptamine release stimulant	0.350	COMP3152	
5 Hydroxytryptamine uptake stimulant	0.291	COMP3152	
5-Alpha-reductase inhibitor	0.048	COMP3152	
5-Lipoxygenase inhibitor	0.402	COMP3152	
AR expression inhibitor	0.464	COMP3152	
ATP citrate lysase inhibitor	0.031	COMP3152	
ATPase (Vacuolar H+) inhibitor	0.080	COMP3152	
Abortion inducer	0.518	COMP3152	
Acaricide	0.159	COMP3152	
Acetyl-CoA transferase 2 inhibitor	0.054	COMP3152	
Acetylcholinesterase inhibitor	0.132	COMP3152	
Adenine nucleotide translocase inhibitor	0.086	COMP3152	
Adenylate cyclase stimulant	0.155	COMP3152	
Alcohol dehydrogenase substrate	0.118	COMP3152	
Aldehyde dehydrogenase substrate	0.111	COMP3152	
Aldehyde oxidase inhibitor	0.400	COMP3152	
Aldose reductase substrate	0.163	COMP3152	
Alpha 1L adrenoreceptor antagonist	0.052	COMP3152	
Alpha tubulin antagonist	0.047	COMP3152	
Alpha-glucosidase inhibitor	0.289	COMP3152	
Amylase inhibitor	0.275	COMP3152	
Amyloid beta aggregation inhibitor	0.269	COMP3152	
Anabolic	0.103	COMP3152	
Analeptic	0.307	COMP3152	
Androgen antagonist	0.119	COMP3152	
Anesthetic	0.232	COMP3152	
Anesthetic general	0.343	COMP3152	
Anesthetic inhalation	0.053	COMP3152	
Anesthetic local	0.186	COMP3152	
Angiogenesis inhibitor	0.209	COMP3152	
Angiogenesis stimulant	0.200	COMP3152	
Antiacne	0.182	COMP3152	
Antiallergic	0.215	COMP3152	
Antiamyloidogenic	0.314	COMP3152	
Antibacterial	0.519	COMP3152	
Antibacterial (Helicobacter pylori)	0.112	COMP3152	
Antibiotic	0.097	COMP3152	
Antibiotic Anthracycline-like	0.018	COMP3152	
Anticholelithogenic	0.094	COMP3152	
Antidiabetic	0.245	COMP3152	
Antifungal	0.466	COMP3152	
Antifungal (Aspergillus)	0.096	COMP3152	
Antifungal (Candida)	0.108	COMP3152	
Antifungal (Cryptococcus)	0.166	COMP3152	
Antifungal (Pneumocystis)	0.128	COMP3152	
Antifungal enhancer	0.307	COMP3152	
Antihelmintic	0.613	COMP3152	
