Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.033	COMP494	(0.026 COMP228) (0.025 COMP24)
5 Hydroxytryptamine 1B agonist	0.056	COMP221	
5 Hydroxytryptamine 2A agonist	0.124	COMP841	(0.111 COMP819) (0.093 COMP228) (0.074 COMP935) (0.057 COMP494)
5 Hydroxytryptamine 2B agonist	0.056	COMP841	(0.051 COMP819) (0.044 COMP228) (0.040 COMP935) (0.037 COMP494)
5 Hydroxytryptamine 3 agonist	0.086	COMP228	(0.067 COMP494) (0.064 COMP841)
5 Hydroxytryptamine 3A agonist	0.217	COMP228	(0.185 COMP494) (0.178 COMP841) (0.170 COMP935) (0.153 COMP221)
ATPase inhibitor	0.267	COMP228	(0.251 COMP20) (0.248 COMP221) (0.244 COMP932) (0.210 COMP935) (0.204 COMP494) (0.194 COMP24) (0.189 COMP685) (0.161 COMP841) (0.156 COMP824) (0.155 COMP931) (0.148 COMP934) (0.137 COMP819)
Acetylcholine M1 receptor antagonist	0.233	COMP494	(0.202 COMP932) (0.192 COMP841) (0.190 COMP819) (0.148 COMP228) (0.119 COMP818)
Acetylcholine M2 receptor antagonist	0.061	COMP841	(0.059 COMP932)
Acetylcholine M3 receptor antagonist	0.087	COMP841	(0.074 COMP932) (0.057 COMP228) (0.053 COMP494)
Acetylcholinesterase inhibitor	0.522	COMP221	(0.477 COMP931) (0.262 COMP935) (0.102 COMP36)
Aconitate hydratase inhibitor	0.346	COMP20	(0.341 COMP24) (0.199 COMP932) (0.182 COMP819) (0.172 COMP494) (0.162 COMP824) (0.107 COMP228) (0.099 COMP221) (0.098 COMP841) (0.089 COMP818/COMP935) (0.055 COMP933)
Acyl-CoA dehydrogenase inhibitor	0.245	COMP20	(0.211 COMP494) (0.204 COMP24) (0.203 COMP932) (0.171 COMP818) (0.147 COMP824) (0.133 COMP933) (0.116 COMP819) (0.115 COMP228) (0.107 COMP841) (0.086 COMP935) (0.072 COMP221)
Adenosine deaminase inhibitor	0.080	COMP932	(0.076 COMP818) (0.074 COMP20) (0.072 COMP819) (0.067 COMP24) (0.064 COMP933) (0.063 COMP824) (0.062 COMP228) (0.059 COMP841) (0.057 COMP494)
Adenylate cyclase inhibitor	0.297	COMP818	(0.219 COMP819) (0.196 COMP824) (0.177 COMP228) (0.161 COMP932) (0.155 COMP24) (0.150 COMP841) (0.140 COMP494) (0.122 COMP931) (0.120 COMP933) (0.110 COMP20) (0.097 COMP221)
Adenylate kinase inhibitor	0.431	COMP20	(0.400 COMP494) (0.340 COMP818) (0.324 COMP824) (0.318 COMP819) (0.302 COMP24) (0.295 COMP932) (0.235 COMP933) (0.216 COMP841) (0.201 COMP228) (0.170 COMP935) (0.148 COMP221)
Alcohol dehydrogenase inhibitor	0.252	COMP932	(0.243 COMP228) (0.231 COMP931) (0.211 COMP819) (0.197 COMP841) (0.192 COMP494) (0.168 COMP20) (0.162 COMP818) (0.158 COMP824) (0.151 COMP24) (0.126 COMP221) (0.105 COMP933) (0.102 COMP935)
Aldosterone antagonist	0.105	COMP221	(0.080 COMP494) (0.057 COMP935) (0.052 COMP932) (0.051 COMP228)
Alkaline phosphatase inhibitor	0.318	COMP931	(0.244 COMP221) (0.240 COMP228) (0.190 COMP932) (0.180 COMP935) (0.138 COMP819) (0.131 COMP841) (0.118 COMP494) (0.110 COMP818)
Alpha 2a adrenoreceptor agonist	0.037	COMP228	(0.023 COMP841) (0.018 COMP494)
Alpha 2a adrenoreceptor antagonist	0.087	COMP841	
Alpha 2b adrenoreceptor agonist	0.022	COMP228	(0.019 COMP494)
Alpha-mannosidase inhibitor	0.107	COMP841	(0.103 COMP819/COMP824) (0.094 COMP24) (0.089 COMP932) (0.088 COMP818) (0.078 COMP933) (0.076 COMP494) (0.074 COMP20) (0.073 COMP228) (0.064 COMP935) (0.054 COMP221)
Aminopeptidase A inhibitor	0.110	COMP818	(0.106 COMP824) (0.067 COMP24) (0.063 COMP819) (0.025 COMP20) (0.019 COMP933)
Aminopeptidase N inhibitor	0.156	COMP24	(0.143 COMP818) (0.138 COMP824) (0.116 COMP819) (0.051 COMP933) (0.043 COMP841)
Aminopeptidase P inhibitor	0.038	COMP819	(0.031 COMP824) (0.024 COMP818)
Androgen agonist	0.160	COMP36	(0.112 COMP228) (0.111 COMP221) (0.102 COMP24) (0.093 COMP494) (0.091 COMP932) (0.087 COMP931) (0.060 COMP935) (0.058 COMP841)
Androgen antagonist	0.240	COMP685	(0.232 COMP931) (0.178 COMP221) (0.167 COMP228) (0.108 COMP934) (0.105 COMP494) (0.099 COMP932) (0.076 COMP935)
Arginase inhibitor	0.214	COMP824	(0.198 COMP818) (0.129 COMP819) (0.099 COMP24) (0.081 COMP841) (0.070 COMP20) (0.060 COMP931) (0.045 COMP494) (0.043 COMP933) (0.042 COMP228) (0.037 COMP932)
Argininosuccinate synthase inhibitor	0.733	COMP824	(0.452 COMP24) (0.404 COMP819) (0.331 COMP494) (0.286 COMP818) (0.223 COMP20) (0.127 COMP228) (0.114 COMP932) (0.113 COMP841) (0.105 COMP933) (0.094 COMP935) (0.074 COMP221)
Aryl hydrocarbon receptor agonist	0.793	COMP931	(0.610 COMP221) (0.369 COMP935) (0.362 COMP228) (0.273 COMP932) (0.203 COMP494)
Beta 1 adrenoreceptor agonist	0.026	COMP841/COMP932	(0.023 COMP228) (0.021 COMP819)
Beta 1 adrenoreceptor antagonist	0.104	COMP932	(0.081 COMP228) (0.073 COMP841) (0.061 COMP935) (0.059 COMP494) (0.051 COMP819)
Beta 2 adrenoreceptor agonist	0.087	COMP841	(0.076 COMP228) (0.070 COMP932) (0.067 COMP819) (0.059 COMP494)
Beta 2 adrenoreceptor antagonist	0.081	COMP841	(0.079 COMP932) (0.075 COMP228) (0.053 COMP819) (0.049 COMP935)
Bradykinin B2 receptor agonist	0.037	COMP819	(0.027 COMP824) (0.025 COMP818)
Butyrylcholinesterase inhibitor	0.383	COMP221	(0.299 COMP931) (0.165 COMP935) (0.121 COMP36)
CYP1A2 inhibitor	0.930	COMP931	(0.532 COMP221) (0.368 COMP841) (0.366 COMP685) (0.342 COMP935) (0.309 COMP228) (0.219 COMP494) (0.217 COMP934)
CYP2C9 inhibitor	0.587	COMP931	(0.389 COMP841) (0.371 COMP685) (0.348 COMP221) (0.339 COMP20) (0.335 COMP228) (0.316 COMP935) (0.300 COMP934) (0.251 COMP494) (0.212 COMP932)
CYP2D6 inhibitor	0.284	COMP841	(0.229 COMP221) (0.189 COMP819) (0.186 COMP494) (0.184 COMP228) (0.181 COMP935)
CYP3A4 inhibitor	0.332	COMP221	(0.305 COMP931) (0.270 COMP841) (0.234 COMP935) (0.215 COMP228) (0.195 COMP494)
Ca2+-transporting ATPase inhibitor	0.211	COMP20	(0.203 COMP228) (0.200 COMP932) (0.199 COMP24) (0.191 COMP494) (0.177 COMP935) (0.172 COMP221) (0.171 COMP824) (0.168 COMP841) (0.163 COMP819) (0.159 COMP934) (0.154 COMP685/COMP931) (0.150 COMP933) (0.145 COMP818) (0.141 COMP36)
Calcium channel L-type blocker	0.142	COMP932	(0.067 COMP935)
Cannabinoid CB1 receptor antagonist	0.078	COMP20	
Cannabinoid CB2 receptor antagonist	0.086	COMP20	(0.046 COMP228)
Carbonic anhydrase I inhibitor	0.084	COMP221	(0.054 COMP228) (0.053 COMP494) (0.049 COMP932)
Carbonic anhydrase II inhibitor	0.061	COMP221	(0.057 COMP228) (0.051 COMP494)
Carbonic anhydrase inhibitor	0.177	COMP221	(0.072 COMP228) (0.063 COMP932) (0.057 COMP494) (0.053 COMP841)
Catalase inhibitor	0.489	COMP824	(0.414 COMP819) (0.385 COMP24) (0.335 COMP20) (0.325 COMP818) (0.262 COMP494) (0.241 COMP932) (0.194 COMP933) (0.136 COMP228/COMP935) (0.113 COMP841) (0.095 COMP221)
Cyclooxygenase 1 inhibitor	0.356	COMP931	(0.204 COMP228) (0.183 COMP36) (0.173 COMP221) (0.166 COMP20) (0.134 COMP935) (0.110 COMP932) (0.104 COMP933)
Cyclooxygenase 2 inhibitor	0.326	COMP931	(0.224 COMP221) (0.168 COMP933) (0.162 COMP935) (0.125 COMP228) (0.121 COMP20) (0.115 COMP818)
Cyclooxygenase inhibitor	0.365	COMP931	(0.240 COMP221) (0.187 COMP935) (0.174 COMP20) (0.165 COMP228/COMP933) (0.135 COMP818) (0.117 COMP36)
Cystathionine beta-synthase inhibitor	0.939	COMP931	(0.417 COMP228) (0.380 COMP819) (0.346 COMP221) (0.327 COMP935) (0.311 COMP20/COMP932) (0.288 COMP841) (0.230 COMP824) (0.217 COMP494) (0.207 COMP24) (0.173 COMP818)
DNA polymerase beta inhibitor	0.445	COMP932	(0.402 COMP221) (0.337 COMP228) (0.335 COMP931) (0.313 COMP935)
DOPA decarboxylase inhibitor	0.372	COMP819	(0.287 COMP931) (0.240 COMP841) (0.233 COMP228) (0.232 COMP824) (0.224 COMP494) (0.220 COMP932) (0.189 COMP24) (0.186 COMP935) (0.176 COMP818) (0.164 COMP221) (0.139 COMP20) (0.100 COMP933)
Diamine oxidase inhibitor	0.122	COMP841	(0.057 COMP494) (0.042 COMP819) (0.041 COMP935) (0.040 COMP228)
Dihydrofolate reductase inhibitor	0.052	COMP935	(0.048 COMP819) (0.046 COMP228) (0.043 COMP841) (0.042 COMP494)
Dipeptidyl peptidase IV inhibitor	0.058	COMP824	(0.053 COMP819) (0.046 COMP841)
Dopamine D2 agonist	0.046	COMP841	
Dopamine uptake inhibitor	0.052	COMP841	(0.050 COMP932)
Electron transport complex I inhibitor	0.306	COMP36	(0.295 COMP494) (0.283 COMP935) (0.178 COMP931) (0.155 COMP685) (0.148 COMP20) (0.143 COMP934) (0.130 COMP221) (0.123 COMP24) (0.111 COMP228)
Endothelin A receptor antagonist	0.038	COMP24	(0.030 COMP824)
