Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.818	COMP933	(0.788 COMP685) (0.609 COMP934) (0.488 COMP20) (0.399 COMP494) (0.363 COMP24) (0.175 COMP932) (0.157 COMP824) (0.151 COMP228) (0.132 COMP36) (0.131 COMP935) (0.122 COMP819)
Aldehyde dehydrogenase substrate	0.931	COMP933	(0.422 COMP685) (0.354 COMP934) (0.336 COMP20) (0.265 COMP24) (0.181 COMP932) (0.160 COMP824) (0.156 COMP228) (0.148 COMP819) (0.147 COMP818) (0.124 COMP841) (0.108 COMP36)
Aldehyde oxidase substrate	0.277	COMP819	(0.248 COMP935) (0.236 COMP494) (0.235 COMP933) (0.232 COMP228) (0.209 COMP841) (0.198 COMP24) (0.195 COMP221) (0.177 COMP824) (0.173 COMP932) (0.166 COMP20)
Aldose reductase substrate	0.960	COMP933	(0.312 COMP24) (0.220 COMP824) (0.193 COMP819) (0.187 COMP36) (0.179 COMP20) (0.155 COMP228) (0.150 COMP221) (0.146 COMP932) (0.136 COMP935) (0.133 COMP931)
Arylamine N-Acetyltransferase substrate	0.497	COMP818	(0.390 COMP20) (0.378 COMP819) (0.307 COMP841) (0.286 COMP228) (0.267 COMP824) (0.171 COMP932) (0.165 COMP931) (0.142 COMP494) (0.132 COMP24) (0.127 COMP935) (0.093 COMP221) (0.067 COMP933)
CYP1A2 inhibitor	0.930	COMP931	(0.532 COMP221) (0.368 COMP841) (0.366 COMP685) (0.342 COMP935) (0.309 COMP228) (0.219 COMP494) (0.217 COMP934)
CYP1A2 substrate	0.935	COMP685	(0.909 COMP934) (0.845 COMP931) (0.692 COMP221) (0.513 COMP20) (0.491 COMP228) (0.466 COMP935) (0.406 COMP841) (0.375 COMP494) (0.372 COMP932) (0.332 COMP819) (0.306 COMP24) (0.231 COMP933) (0.230 COMP36) (0.218 COMP824)
CYP24 inhibitor	0.026	COMP935	(0.023 COMP228)
CYP2A6 inhibitor	0.428	COMP221	(0.247 COMP841) (0.203 COMP494) (0.179 COMP228) (0.127 COMP931) (0.107 COMP935) (0.082 COMP933) (0.080 COMP819)
CYP2B6 inhibitor	0.646	COMP685	(0.604 COMP934) (0.459 COMP931) (0.414 COMP841) (0.398 COMP221) (0.375 COMP20) (0.325 COMP228) (0.274 COMP494) (0.272 COMP935) (0.246 COMP819) (0.231 COMP932) (0.218 COMP24) (0.188 COMP824)
CYP2C19 inhibitor	0.579	COMP931	(0.459 COMP841) (0.449 COMP934) (0.448 COMP221) (0.437 COMP20) (0.430 COMP685) (0.417 COMP935) (0.394 COMP228) (0.327 COMP494) (0.273 COMP932) (0.256 COMP819) (0.255 COMP24)
CYP2C19 substrate	0.908	COMP934	(0.904 COMP685) (0.856 COMP36) (0.601 COMP20) (0.551 COMP221) (0.514 COMP228) (0.481 COMP24) (0.443 COMP932) (0.441 COMP494) (0.434 COMP931) (0.335 COMP935) (0.272 COMP819) (0.270 COMP841) (0.237 COMP933) (0.230 COMP824)
