Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.194	COMP2140	(0.186 COMP2119) (0.131 COMP2108/COMP2121/COMP2125) (0.130 COMP2105/COMP2107/COMP2109/COMP2110/COMP2112/COMP2116) (0.126 COMP2115/COMP2117/COMP2118/COMP2120/COMP2132/COMP2897) (0.124 COMP2106/COMP2113/COMP2124/COMP2126/COMP2135/COMP2136) (0.123 COMP2137/COMP2896) (0.116 COMP2114) (0.108 COMP2044) (0.106 COMP2171) (0.104 COMP2898) (0.100 COMP2129) (0.097 COMP2895) (0.089 COMP2900) (0.087 COMP2899)
AR expression inhibitor	0.793	COMP354	(0.783 COMP1558) (0.772 COMP1559) (0.707 COMP2171) (0.677 COMP2131) (0.605 COMP2903) (0.582 COMP2901) (0.576 COMP2121/COMP2125) (0.574 COMP2895) (0.572 COMP2122) (0.560 COMP2108) (0.556 COMP2900) (0.538 COMP2896) (0.518 COMP2902) (0.514 COMP2897) (0.505 COMP2905) (0.500 COMP2904) (0.492 COMP2123) (0.486 COMP2114) (0.474 COMP2110/COMP2117/COMP2126/COMP2132) (0.472 COMP2044/COMP2137) (0.469 COMP2128) (0.463 COMP2129) (0.461 COMP2140) (0.451 COMP2105/COMP2107/COMP2109/COMP2112/COMP2115/COMP2116/COMP2118/COMP2120/COMP2124/COMP2135/COMP2136) (0.443 COMP2106/COMP2113) (0.404 COMP2898) (0.353 COMP2119) (0.346 COMP2899)
CTGF expression inhibitor	0.840	COMP354	(0.821 COMP1559) (0.761 COMP2171) (0.722 COMP2131) (0.706 COMP1558/COMP2129) (0.672 COMP2140) (0.616 COMP2044) (0.476 COMP2897) (0.402 COMP2895) (0.279 COMP2900) (0.271 COMP2896) (0.243 COMP2898) (0.218 COMP2901) (0.191 COMP2903)
ICAM1 expression inhibitor	0.537	COMP2897	(0.523 COMP2896) (0.500 COMP2117/COMP2132) (0.497 COMP2895) (0.488 COMP2108) (0.486 COMP2110/COMP2115/COMP2118/COMP2120/COMP2121/COMP2125) (0.471 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.460 COMP2898) (0.453 COMP2114) (0.452 COMP1558) (0.451 COMP2171) (0.449 COMP2899) (0.443 COMP2137) (0.442 COMP2119) (0.440 COMP2123) (0.438 COMP2129) (0.425 COMP2122/COMP2126) (0.422 COMP2128) (0.413 COMP2900) (0.410 COMP2044) (0.409 COMP2140) (0.404 COMP2124/COMP2135/COMP2136) (0.400 COMP354) (0.394 COMP2903) (0.393 COMP2106/COMP2113) (0.384 COMP1559) (0.378 COMP2905) (0.369 COMP2904) (0.364 COMP2901) (0.349 COMP2131) (0.300 COMP2902)
LDLR expression enhancer	0.320	COMP2131	(0.314 COMP354) (0.295 COMP1559) (0.259 COMP1558) (0.255 COMP2171) (0.235 COMP2129/COMP2901) (0.229 COMP2903) (0.225 COMP2896) (0.201 COMP2900) (0.176 COMP2895) (0.167 COMP2897) (0.160 COMP2140) (0.157 COMP2044) (0.138 COMP2902)
NOS2 expression inhibitor	0.894	COMP2171	(0.863 COMP2903) (0.806 COMP2901) (0.794 COMP354) (0.787 COMP2896) (0.764 COMP1558) (0.762 COMP1559) (0.724 COMP2131) (0.714 COMP2904) (0.672 COMP2897) (0.633 COMP2895) (0.629 COMP2902) (0.614 COMP2129) (0.590 COMP2905) (0.528 COMP2900) (0.498 COMP2140) (0.494 COMP2044) (0.485 COMP2121/COMP2125) (0.473 COMP2898) (0.450 COMP2899) (0.406 COMP2110) (0.385 COMP2114) (0.365 COMP2137) (0.362 COMP2108) (0.358 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.356 COMP2117/COMP2126/COMP2132) (0.345 COMP2122) (0.339 COMP2123) (0.306 COMP2115/COMP2118/COMP2120/COMP2124/COMP2135/COMP2136) (0.290 COMP2106/COMP2113) (0.287 COMP2128) (0.187 COMP2119)
NOS3 expression enhancer	0.485	COMP2171	(0.329 COMP2044) (0.316 COMP2140/COMP354) (0.309 COMP2129) (0.270 COMP1559) (0.209 COMP2131) (0.206 COMP2902) (0.202 COMP1558) (0.135 COMP2124) (0.126 COMP2117/COMP2132)
NOS3 expression inhibitor	0.628	COMP2171	(0.594 COMP2897) (0.583 COMP2110) (0.570 COMP2895) (0.558 COMP2114) (0.554 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.553 COMP2896) (0.547 COMP2117/COMP2132) (0.545 COMP2123) (0.541 COMP2137) (0.540 COMP2900) (0.529 COMP2121/COMP2125/COMP2901) (0.519 COMP2115/COMP2118/COMP2120) (0.518 COMP2128) (0.513 COMP354) (0.504 COMP2108/COMP2122) (0.502 COMP1559) (0.500 COMP2126) (0.473 COMP2898) (0.470 COMP2124/COMP2135/COMP2136) (0.459 COMP2044) (0.458 COMP2106/COMP2113) (0.457 COMP2903) (0.456 COMP2902) (0.447 COMP2119) (0.444 COMP1558) (0.437 COMP2140) (0.435 COMP2131) (0.402 COMP2129) (0.399 COMP2899) (0.389 COMP2905) (0.382 COMP2904)
TNF expression inhibitor	0.896	COMP2901	(0.892 COMP2903) (0.886 COMP2896) (0.882 COMP2171) (0.848 COMP2904) (0.840 COMP2044) (0.829 COMP2895) (0.804 COMP2128) (0.797 COMP2897) (0.794 COMP2140) (0.793 COMP2123) (0.753 COMP2137) (0.747 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.744 COMP354) (0.735 COMP2110) (0.718 COMP2902) (0.711 COMP2129) (0.709 COMP1559) (0.699 COMP2114) (0.694 COMP2122) (0.669 COMP2115/COMP2118/COMP2120) (0.661 COMP2131) (0.658 COMP2117/COMP2132) (0.621 COMP2121/COMP2125) (0.603 COMP2124/COMP2135/COMP2136) (0.596 COMP1558) (0.594 COMP2126) (0.587 COMP2900) (0.584 COMP2106/COMP2113) (0.577 COMP2108) (0.574 COMP2898) (0.443 COMP2899) (0.415 COMP2905) (0.341 COMP2119)
VCAM1 expression inhibitor	0.557	COMP2903	(0.554 COMP2129/COMP2171) (0.480 COMP2044) (0.434 COMP2901) (0.428 COMP2904) (0.392 COMP2131) (0.384 COMP1559) (0.377 COMP354) (0.366 COMP2140) (0.284 COMP1558) (0.273 COMP2902) (0.272 COMP2905) (0.222 COMP2896) (0.219 COMP2898) (0.195 COMP2899) (0.178 COMP2897) (0.174 COMP2895) (0.167 COMP2900)
