Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.345	COMP2903	(0.306 COMP2901) (0.258 COMP2904) (0.239 COMP2902) (0.219 COMP2044) (0.179 COMP2140) (0.157 COMP2905) (0.151 COMP2129) (0.133 COMP2121/COMP2125) (0.131 COMP2105/COMP2107/COMP2109/COMP2110/COMP2112/COMP2116) (0.128 COMP2897) (0.127 COMP2137) (0.126 COMP2896) (0.124 COMP2114) (0.123 COMP2898) (0.121 COMP2115/COMP2117/COMP2118/COMP2120/COMP2132) (0.119 COMP2108) (0.118 COMP2123/COMP2128) (0.116 COMP2122) (0.111 COMP2895) (0.108 COMP2124/COMP2126/COMP2135/COMP2136) (0.107 COMP2106/COMP2113) (0.106 COMP2119)
Aldehyde dehydrogenase substrate	0.177	COMP2129	(0.176 COMP2044) (0.173 COMP2140) (0.167 COMP2903) (0.136 COMP2901) (0.119 COMP2904) (0.106 COMP2905) (0.104 COMP2898) (0.102 COMP2902)
Aldehyde oxidase substrate	0.189	COMP2140	(0.183 COMP354) (0.170 COMP1559) (0.166 COMP2044) (0.161 COMP2131) (0.149 COMP1558) (0.146 COMP2129)
Aldose reductase substrate	0.197	COMP2044	(0.167 COMP2140) (0.130 COMP1559)
Arylamine N-Acetyltransferase substrate	0.158	COMP354	(0.156 COMP1559) (0.087 COMP2044) (0.071 COMP2131)
CYP1A2 inhibitor	0.896	COMP1558	(0.837 COMP354) (0.816 COMP1559) (0.772 COMP2131) (0.701 COMP2171) (0.554 COMP2901) (0.458 COMP2129) (0.387 COMP2903) (0.277 COMP2902) (0.213 COMP2904) (0.174 COMP2140)
CYP1A2 substrate	0.928	COMP2171	(0.624 COMP354) (0.602 COMP1559) (0.519 COMP2131) (0.480 COMP2901) (0.479 COMP2140) (0.469 COMP2903) (0.444 COMP1558) (0.403 COMP2129) (0.399 COMP2898) (0.344 COMP2895) (0.301 COMP2897) (0.300 COMP2896) (0.299 COMP2044) (0.279 COMP2900) (0.239 COMP2899) (0.220 COMP2904) (0.197 COMP2902)
CYP24 inhibitor	0.041	COMP2896	(0.021 COMP2897)
CYP2A6 inhibitor	0.210	COMP2903	(0.155 COMP1558) (0.144 COMP2901) (0.110 COMP2131) (0.073 COMP1559)
CYP2B6 inhibitor	0.600	COMP2903	(0.482 COMP2901) (0.451 COMP354) (0.438 COMP1559) (0.411 COMP2131) (0.388 COMP1558) (0.308 COMP2904) (0.303 COMP2902) (0.243 COMP2896) (0.236 COMP2129/COMP2171) (0.186 COMP2900) (0.177 COMP2895) (0.175 COMP2898) (0.174 COMP2905) (0.171 COMP2044) (0.166 COMP2140) (0.156 COMP2897) (0.152 COMP2899)
CYP2C19 inhibitor	0.615	COMP2171	(0.560 COMP2901) (0.546 COMP1558) (0.530 COMP354) (0.528 COMP1559) (0.494 COMP2131) (0.485 COMP2896) (0.456 COMP2897) (0.453 COMP2900) (0.404 COMP2895) (0.357 COMP2129) (0.343 COMP2902) (0.314 COMP2903) (0.275 COMP2044)
CYP2C19 substrate	0.784	COMP2171	(0.705 COMP2896) (0.655 COMP2897) (0.629 COMP2903) (0.585 COMP2895) (0.566 COMP2140) (0.555 COMP2129) (0.552 COMP2898/COMP2901) (0.533 COMP354) (0.508 COMP1559) (0.489 COMP2899) (0.382 COMP2900) (0.318 COMP2904) (0.317 COMP2044) (0.316 COMP1558) (0.314 COMP2131) (0.258 COMP2905) (0.231 COMP2902) (0.194 COMP2119) (0.186 COMP2121/COMP2125)
CYP2C9 inhibitor	0.507	COMP2901	(0.488 COMP2171/COMP354) (0.467 COMP1559) (0.437 COMP1558) (0.395 COMP2131) (0.343 COMP2902) (0.281 COMP2044) (0.251 COMP2900) (0.212 COMP2903)
CYP2C9 substrate	0.669	COMP2896	(0.635 COMP2128) (0.594 COMP2140) (0.584 COMP354) (0.582 COMP2123) (0.580 COMP1559) (0.572 COMP2137) (0.558 COMP2898) (0.549 COMP2115/COMP2118/COMP2120/COMP2122) (0.547 COMP2895/COMP2897) (0.532 COMP2903) (0.529 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.506 COMP2119) (0.501 COMP2117/COMP2132) (0.480 COMP2110) (0.466 COMP2108) (0.459 COMP2114) (0.450 COMP2171) (0.448 COMP2129/COMP2900) (0.434 COMP1558) (0.409 COMP2899) (0.407 COMP2901) (0.394 COMP2121/COMP2125) (0.391 COMP2131) (0.385 COMP2044) (0.323 COMP2124/COMP2135/COMP2136) (0.303 COMP2904) (0.302 COMP2106/COMP2113) (0.290 COMP2126) (0.289 COMP2905)
CYP2D6 inhibitor	0.330	COMP2901	
CYP2D6 substrate	0.730	COMP2903	(0.577 COMP2901) (0.454 COMP2140) (0.428 COMP2129) (0.404 COMP2171) (0.394 COMP2904) (0.333 COMP1559) (0.329 COMP2897/COMP354) (0.310 COMP2131) (0.309 COMP1558) (0.297 COMP2895) (0.278 COMP2896) (0.275 COMP2902) (0.271 COMP2044) (0.260 COMP2905) (0.227 COMP2137) (0.218 COMP2900) (0.217 COMP2115/COMP2118/COMP2120) (0.197 COMP2898) (0.182 COMP2117/COMP2132) (0.175 COMP2128)
CYP3A4 inhibitor	0.633	COMP2901	(0.595 COMP2904) (0.550 COMP2903) (0.542 COMP2902) (0.434 COMP2125) (0.335 COMP1558) (0.299 COMP2171) (0.295 COMP2131) (0.270 COMP2137) (0.268 COMP1559) (0.267 COMP354) (0.237 COMP2905) (0.204 COMP2107/COMP2112/COMP2116) (0.200 COMP2115) (0.195 COMP2896)
CYP3A4 substrate	0.661	COMP2896	(0.646 COMP2171) (0.619 COMP2895) (0.582 COMP2897) (0.494 COMP1559) (0.484 COMP2115/COMP2118/COMP2120) (0.483 COMP354) (0.479 COMP2901) (0.478 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.442 COMP2128) (0.437 COMP2117/COMP2132) (0.429 COMP2110) (0.395 COMP2900) (0.393 COMP2123/COMP2137) (0.387 COMP2119) (0.386 COMP2108/COMP2121/COMP2125) (0.378 COMP2903) (0.374 COMP2905) (0.368 COMP2140) (0.360 COMP2131) (0.354 COMP2904) (0.353 COMP1558) (0.352 COMP2124) (0.347 COMP2122) (0.329 COMP2898) (0.325 COMP2044) (0.323 COMP2129) (0.293 COMP2114) (0.272 COMP2135/COMP2136) (0.249 COMP2106/COMP2113) (0.241 COMP2126) (0.225 COMP2899)
FMO1 substrate	0.476	COMP2131	(0.462 COMP354) (0.435 COMP1559) (0.408 COMP2044) (0.398 COMP2140) (0.396 COMP1558) (0.379 COMP2129) (0.301 COMP2171) (0.224 COMP2903)
FMO3 substrate	0.346	COMP2140	(0.305 COMP2129) (0.292 COMP2044) (0.251 COMP354) (0.237 COMP1559) (0.236 COMP2171) (0.219 COMP1558) (0.192 COMP2131)
Flavin-containing monooxygenase substrate	0.258	COMP2140	(0.207 COMP2044/COMP354) (0.205 COMP2171) (0.204 COMP2129) (0.194 COMP1559) (0.187 COMP1558) (0.178 COMP2131)
GST A substrate	0.816	COMP2044	(0.808 COMP2140) (0.647 COMP2901) (0.620 COMP2129) (0.518 COMP2903) (0.476 COMP2171) (0.411 COMP2902) (0.368 COMP1559) (0.331 COMP354) (0.313 COMP2131) (0.311 COMP2904) (0.278 COMP1558)
GST M1-1 substrate	0.526	COMP2171	(0.415 COMP1559) (0.405 COMP2131) (0.393 COMP354) (0.384 COMP1558) (0.305 COMP2140) (0.297 COMP2044) (0.293 COMP2901) (0.278 COMP2129) (0.248 COMP2903) (0.237 COMP2902) (0.236 COMP2899) (0.222 COMP2895) (0.216 COMP2905) (0.215 COMP2897) (0.214 COMP2900)
GST P1-1 substrate	0.607	COMP2044	(0.539 COMP2140) (0.444 COMP2129) (0.213 COMP354) (0.177 COMP1559) (0.169 COMP2901) (0.143 COMP2171) (0.136 COMP2131) (0.110 COMP1558) (0.098 COMP2903)
GST T1-1 substrate	0.124	COMP2171	(0.117 COMP2131) (0.103 COMP1558/COMP2140) (0.101 COMP2044)
