Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.785	COMP2251	(0.538 COMP57/COMP624) (0.520 COMP2228) (0.427 COMP1909) (0.412 COMP1254/COMP1659/COMP2884) (0.378 COMP933) (0.265 COMP966) (0.263 COMP2893) (0.232 COMP950) (0.225 COMP887) (0.195 COMP2881) (0.194 COMP1934/COMP2140/COMP2860) (0.193 COMP24) (0.189 COMP537/COMP871/COMP895) (0.186 COMP1260/COMP2859/COMP2878) (0.180 COMP155) (0.175 COMP2888) (0.174 COMP9) (0.169 COMP126) (0.168 COMP112/COMP134) (0.163 COMP18) (0.161 COMP2863) (0.158 COMP521) (0.152 COMP2883) (0.147 COMP2868) (0.146 COMP114/COMP131) (0.145 COMP2875/COMP49) (0.144 COMP124) (0.140 COMP2873/COMP473/COMP601) (0.138 COMP725) (0.136 COMP122/COMP238/COMP2877/COMP772) (0.133 COMP109/COMP136/COMP145) (0.127 COMP2867/COMP505) (0.126 COMP616) (0.123 COMP113/COMP132/COMP142) (0.122 COMP158/COMP172) (0.120 COMP1244) (0.119 COMP40/COMP41) (0.118 COMP780) (0.117 COMP43) (0.116 COMP1433) (0.114 COMP1241) (0.112 COMP872) (0.107 COMP1166/COMP502) (0.106 COMP1881/COMP2171) (0.105 COMP237/COMP2866) (0.104 COMP11/COMP2876/COMP8) (0.103 COMP27) (0.101 COMP2885) (0.100 COMP490) (0.099 COMP6) (0.098 COMP1181/COMP153) (0.095 COMP2892) (0.094 COMP544) (0.093 COMP2886) (0.090 COMP141/COMP264/COMP547) (0.087 COMP2870) (0.086 COMP1724/COMP1725/COMP1726/COMP2865/COMP463/COMP774/COMP891) (0.085 COMP2808) (0.084 COMP941) (0.083 COMP2861) (0.082 COMP1424)
AR expression inhibitor	0.991	COMP57/COMP624	(0.970 COMP2251) (0.952 COMP2228) (0.937 COMP49) (0.894 COMP463/COMP774/COMP891) (0.891 COMP780) (0.873 COMP933) (0.856 COMP1254/COMP1267/COMP1659) (0.847 COMP2322) (0.841 COMP483) (0.835 COMP2891) (0.820 COMP1724/COMP1725/COMP1726) (0.793 COMP46) (0.788 COMP2886) (0.784 COMP2816/COMP2817/COMP348) (0.776 COMP2861) (0.771 COMP301/COMP56) (0.764 COMP510) (0.758 COMP305) (0.753 COMP2003) (0.752 COMP692/COMP785) (0.742 COMP119/COMP157/COMP160/COMP162/COMP169/COMP2888) (0.731 COMP302) (0.727 COMP2884) (0.726 COMP2019) (0.723 COMP43) (0.708 COMP361) (0.707 COMP1881/COMP2171) (0.700 COMP2887) (0.673 COMP1901) (0.668 COMP1905) (0.667 COMP2866) (0.666 COMP238/COMP772) (0.658 COMP11/COMP8) (0.653 COMP1914) (0.640 COMP2889) (0.636 COMP1310) (0.634 COMP2892) (0.602 COMP222) (0.596 COMP112/COMP134) (0.594 COMP1909) (0.591 COMP537/COMP871/COMP895) (0.587 COMP1193/COMP887) (0.584 COMP2875) (0.582 COMP2085) (0.577 COMP163) (0.574 COMP966) (0.557 COMP101) (0.556 COMP40/COMP41) (0.554 COMP220) (0.552 COMP2881) (0.551 COMP2859/COMP2878) (0.536 COMP109/COMP136/COMP145) (0.529 COMP1668/COMP523) (0.524 COMP27) (0.523 COMP725) (0.511 COMP2885) (0.504 COMP18/COMP24) (0.500 COMP941) (0.499 COMP122) (0.486 COMP1897/COMP497) (0.481 COMP2893) (0.479 COMP120) (0.471 COMP141/COMP264/COMP547) (0.469 COMP2883) (0.461 COMP1934/COMP2140/COMP2860) (0.457 COMP950) (0.455 COMP118) (0.450 COMP129) (0.448 COMP1424) (0.446 COMP1433) (0.445 COMP110/COMP1166/COMP123/COMP161/COMP502) (0.440 COMP1240/COMP1247/COMP295) (0.431 COMP1429/COMP227) (0.425 COMP2880) (0.422 COMP521) (0.419 COMP2834) (0.416 COMP1016/COMP1024) (0.387 COMP2871/COMP505) (0.370 COMP1260) (0.367 COMP2797/COMP2814/COMP2815/COMP2863) (0.347 COMP2873/COMP473/COMP601) (0.343 COMP124) (0.338 COMP1181/COMP153) (0.337 COMP4/COMP490) (0.335 COMP237) (0.334 COMP1151) (0.327 COMP2876) (0.320 COMP113/COMP132/COMP142) (0.319 COMP2808) (0.318 COMP2869) (0.316 COMP2874) (0.313 COMP312) (0.311 COMP1408) (0.301 COMP2882) (0.299 COMP2879) (0.296 COMP126) (0.295 COMP2870) (0.290 COMP2877) (0.278 COMP616) (0.272 COMP2868) (0.268 COMP6) (0.265 COMP1169) (0.259 COMP2862) (0.255 COMP114/COMP131) (0.243 COMP872) (0.242 COMP2864) (0.241 COMP229) (0.236 COMP2890) (0.232 COMP2865) (0.225 COMP1244/COMP2813) (0.222 COMP9) (0.216 COMP2872) (0.208 COMP44) (0.206 COMP32) (0.185 COMP1654) (0.181 COMP155)
CTGF expression inhibitor	0.921	COMP780	(0.919 COMP49) (0.884 COMP2886) (0.803 COMP2085) (0.802 COMP887) (0.779 COMP32) (0.777 COMP40/COMP41) (0.771 COMP2866) (0.766 COMP18/COMP43) (0.761 COMP1881/COMP2171) (0.758 COMP222) (0.748 COMP966) (0.744 COMP229) (0.742 COMP27) (0.719 COMP1909) (0.713 COMP941) (0.710 COMP505) (0.707 COMP1654) (0.704 COMP57/COMP624) (0.703 COMP510) (0.702 COMP483) (0.693 COMP692/COMP785) (0.686 COMP2873/COMP473/COMP601) (0.683 COMP725) (0.673 COMP1429/COMP1433/COMP227) (0.672 COMP1934/COMP2140/COMP2860) (0.671 COMP361) (0.669 COMP24) (0.664 COMP301/COMP56) (0.660 COMP2891) (0.659 COMP2884) (0.658 COMP1424) (0.636 COMP2885) (0.630 COMP2019) (0.625 COMP2877) (0.618 COMP305) (0.610 COMP490) (0.608 COMP46) (0.607 COMP2882) (0.585 COMP1151) (0.581 COMP122/COMP2228/COMP237) (0.573 COMP2868) (0.569 COMP2003) (0.563 COMP123/COMP161) (0.561 COMP101/COMP1260) (0.555 COMP2816/COMP2817/COMP348) (0.551 COMP463/COMP774/COMP891) (0.545 COMP2888) (0.544 COMP2871) (0.541 COMP1408) (0.540 COMP2874) (0.511 COMP2861) (0.510 COMP2863) (0.509 COMP2864) (0.508 COMP1267) (0.499 COMP2883) (0.495 COMP1169) (0.493 COMP2876) (0.476 COMP2867) (0.467 COMP2322) (0.464 COMP521) (0.460 COMP2862) (0.457 COMP1724/COMP1725/COMP1726) (0.443 COMP2887) (0.436 COMP9) (0.413 COMP544) (0.410 COMP1193/COMP2808) (0.408 COMP2859/COMP2878) (0.403 COMP2870/COMP2879) (0.393 COMP872) (0.390 COMP2865) (0.382 COMP933) (0.378 COMP1166/COMP502) (0.376 COMP616) (0.374 COMP1241) (0.372 COMP2869) (0.368 COMP129/COMP2813/COMP2875) (0.364 COMP2251) (0.353 COMP109/COMP114/COMP131/COMP136/COMP145/COMP537/COMP871/COMP895) (0.349 COMP2872) (0.346 COMP118) (0.344 COMP120) (0.342 COMP6) (0.325 COMP2797/COMP2814/COMP2815) (0.322 COMP110) (0.318 COMP1897/COMP497) (0.308 COMP1240/COMP1247/COMP295) (0.305 COMP155) (0.283 COMP158/COMP172) (0.280 COMP1016/COMP1024/COMP1310) (0.278 COMP112/COMP134/COMP2881/COMP2889) (0.276 COMP220/COMP950) (0.273 COMP1901) (0.268 COMP44) (0.267 COMP11/COMP8) (0.266 COMP1244/COMP1905) (0.264 COMP141/COMP264/COMP547) (0.257 COMP1254/COMP1659) (0.255 COMP2892) (0.245 COMP2890) (0.233 COMP1115) (0.231 COMP126) (0.228 COMP1181/COMP153) (0.227 COMP2893) (0.223 COMP113/COMP132/COMP142/COMP1914/COMP2880) (0.222 COMP119/COMP157/COMP160/COMP162/COMP169) (0.213 COMP302) (0.210 COMP1083/COMP2326) (0.203 COMP4) (0.202 COMP124) (0.193 COMP1668/COMP523) (0.191 COMP238/COMP772)
GRP78 expression inhibitor	0.047	COMP1310	(0.039 COMP2859/COMP2878) (0.038 COMP220) (0.036 COMP2877) (0.035 COMP2866/COMP2868) (0.033 COMP1433/COMP18) (0.032 COMP2874) (0.031 COMP122/COMP1408) (0.030 COMP109/COMP136/COMP1424/COMP145/COMP24/COMP2870/COMP537/COMP725/COMP871/COMP895) (0.028 COMP2085/COMP2813/COMP2863/COMP2884) (0.027 COMP2797/COMP2814/COMP2815/COMP2873/COMP473/COMP601) (0.026 COMP1897/COMP497) (0.025 COMP114/COMP131/COMP237/COMP2871/COMP2872/COMP305) (0.024 COMP1909/COMP361) (0.023 COMP112/COMP134/COMP2881/COMP40/COMP41/COMP490/COMP510/COMP872/COMP950) (0.022 COMP1169/COMP1260/COMP222/COMP2876/COMP2887/COMP9) (0.021 COMP110/COMP27/COMP2808/COMP2816/COMP2817/COMP32/COMP348) (0.020 COMP1151/COMP1193/COMP301/COMP505/COMP544/COMP56/COMP616/COMP966)
ICAM1 expression inhibitor	0.785	COMP155	(0.688 COMP238/COMP772) (0.615 COMP2816/COMP2817/COMP348) (0.611 COMP46) (0.606 COMP2251) (0.594 COMP1905) (0.590 COMP1901/COMP2003) (0.589 COMP220) (0.585 COMP2887) (0.581 COMP1310/COMP305) (0.578 COMP301/COMP56) (0.576 COMP692/COMP785) (0.571 COMP510) (0.567 COMP361) (0.564 COMP49) (0.559 COMP2891) (0.556 COMP2019/COMP483) (0.529 COMP780) (0.519 COMP222/COMP2885) (0.518 COMP2881) (0.511 COMP27) (0.502 COMP112/COMP134) (0.498 COMP1181/COMP153) (0.496 COMP158/COMP172) (0.493 COMP725) (0.491 COMP2859/COMP2878) (0.481 COMP872) (0.480 COMP2866) (0.477 COMP40/COMP41) (0.470 COMP463/COMP774/COMP891) (0.464 COMP1193) (0.459 COMP2893) (0.457 COMP1724/COMP1725/COMP1726) (0.453 COMP1241/COMP1267) (0.452 COMP2884/COMP887) (0.451 COMP1881/COMP1909/COMP2171) (0.449 COMP123/COMP161/COMP941) (0.444 COMP2861) (0.442 COMP2322) (0.441 COMP1244) (0.437 COMP966) (0.436 COMP18) (0.429 COMP950) (0.427 COMP6) (0.426 COMP505) (0.423 COMP2886) (0.421 COMP1429/COMP227/COMP2882) (0.412 COMP616) (0.409 COMP1934/COMP2140/COMP2860) (0.405 COMP163/COMP544) (0.400 COMP537/COMP871/COMP895) (0.399 COMP122/COMP490) (0.397 COMP237) (0.395 COMP2808/COMP2863) (0.388 COMP1914) (0.386 COMP114/COMP131) (0.378 COMP2889) (0.376 COMP101/COMP1668/COMP523) (0.373 COMP2870) (0.371 COMP109/COMP136/COMP145) (0.370 COMP2865) (0.366 COMP1254/COMP1659) (0.360 COMP126/COMP2880/COMP9) (0.358 COMP2877) (0.354 COMP2834/COMP2869/COMP2873/COMP473/COMP601) (0.353 COMP141/COMP264/COMP547) (0.347 COMP2797/COMP2814/COMP2815) (0.337 COMP124/COMP1433) (0.334 COMP1260) (0.332 COMP24) (0.328 COMP43) (0.327 COMP2879) (0.326 COMP2085/COMP2874) (0.321 COMP129) (0.311 COMP113/COMP132/COMP142) (0.309 COMP120) (0.305 COMP1408/COMP2868) (0.296 COMP2813) (0.283 COMP2875) (0.281 COMP118) (0.279 COMP2871) (0.273 COMP1897/COMP497) (0.268 COMP2883) (0.265 COMP2864) (0.259 COMP2876) (0.257 COMP312) (0.248 COMP2862) (0.246 COMP11/COMP8) (0.240 COMP1240/COMP1247/COMP295) (0.234 COMP1016/COMP1024) (0.231 COMP1169) (0.218 COMP4/COMP521) (0.214 COMP1166/COMP502) (0.212 COMP2872) (0.201 COMP302) (0.196 COMP1424/COMP2890)
LDLR expression enhancer	0.420	COMP780	(0.327 COMP2886) (0.314 COMP49) (0.312 COMP887) (0.301 COMP101/COMP122) (0.286 COMP2251) (0.276 COMP2885) (0.275 COMP1254/COMP1659/COMP2882) (0.272 COMP120) (0.265 COMP1429/COMP227) (0.260 COMP2863/COMP2874) (0.259 COMP1408) (0.257 COMP2866) (0.255 COMP1881/COMP2171/COMP505) (0.254 COMP118) (0.248 COMP4) (0.247 COMP725) (0.244 COMP119/COMP157/COMP160/COMP162/COMP169) (0.242 COMP2884) (0.241 COMP222) (0.240 COMP2876/COMP2877) (0.238 COMP950) (0.237 COMP1914) (0.236 COMP2870) (0.235 COMP2893/COMP302) (0.232 COMP2879) (0.231 COMP2085) (0.229 COMP2869/COMP616) (0.227 COMP2872/COMP2873/COMP473/COMP601) (0.226 COMP27) (0.225 COMP1260/COMP312/COMP544/COMP941) (0.224 COMP1909) (0.223 COMP9) (0.221 COMP2889) (0.220 COMP112/COMP134) (0.218 COMP1433) (0.214 COMP11/COMP8) (0.213 COMP2864) (0.211 COMP126) (0.210 COMP40/COMP41) (0.208 COMP1181/COMP153) (0.207 COMP1169/COMP966) (0.206 COMP1244) (0.204 COMP2862) (0.203 COMP2834) (0.196 COMP1151/COMP24) (0.194 COMP158/COMP172/COMP537/COMP871/COMP895) (0.193 COMP2808) (0.190 COMP2892) (0.189 COMP124) (0.188 COMP521) (0.187 COMP123/COMP161) (0.186 COMP2868) (0.185 COMP1424) (0.182 COMP1166/COMP502) (0.178 COMP1267/COMP18) (0.176 COMP155) (0.175 COMP2871) (0.173 COMP1668/COMP523) (0.170 COMP2859/COMP2878/COMP490) (0.168 COMP229/COMP2861) (0.167 COMP2865) (0.166 COMP6) (0.165 COMP237) (0.163 COMP1241) (0.161 COMP2881) (0.160 COMP1934/COMP2140/COMP2860) (0.158 COMP109/COMP136/COMP145/COMP238/COMP772) (0.149 COMP2019) (0.147 COMP113/COMP132/COMP142/COMP1724/COMP1725/COMP1726/COMP43) (0.145 COMP163) (0.138 COMP872) (0.137 COMP463/COMP774/COMP891) (0.136 COMP1654)
NOS2 expression inhibitor	0.972	COMP2003	(0.967 COMP1901/COMP46) (0.965 COMP2019) (0.964 COMP1905) (0.960 COMP2816/COMP2817/COMP348) (0.958 COMP301/COMP56) (0.956 COMP483) (0.954 COMP510) (0.951 COMP2887) (0.949 COMP305) (0.946 COMP2891) (0.926 COMP692/COMP785) (0.921 COMP780) (0.920 COMP220) (0.894 COMP1881/COMP2171) (0.890 COMP361) (0.871 COMP49) (0.836 COMP2886) (0.786 COMP2322) (0.728 COMP222) (0.718 COMP2885) (0.694 COMP101) (0.650 COMP1914) (0.649 COMP887) (0.634 COMP2889) (0.627 COMP2085) (0.625 COMP1668/COMP523) (0.615 COMP1310) (0.613 COMP155) (0.606 COMP1429/COMP227) (0.604 COMP1240/COMP1247/COMP141/COMP264/COMP295/COMP547) (0.596 COMP238/COMP772) (0.594 COMP4) (0.578 COMP1181/COMP153) (0.576 COMP1254/COMP1659) (0.563 COMP120/COMP302) (0.561 COMP2834) (0.548 COMP119/COMP157/COMP160/COMP162/COMP169) (0.542 COMP27) (0.539 COMP966) (0.533 COMP2866/COMP941) (0.527 COMP725) (0.523 COMP2864) (0.519 COMP118) (0.515 COMP40/COMP41) (0.509 COMP123/COMP161) (0.508 COMP1267) (0.506 COMP2870/COMP2882) (0.498 COMP1934/COMP2140/COMP2860) (0.495 COMP505) (0.491 COMP312) (0.488 COMP11/COMP8) (0.482 COMP1724/COMP1725/COMP1726) (0.480 COMP2893) (0.478 COMP2251) (0.474 COMP1424) (0.472 COMP24) (0.466 COMP463/COMP774/COMP891) (0.461 COMP2892) (0.459 COMP2859/COMP2878) (0.458 COMP2861) (0.457 COMP158/COMP172) (0.452 COMP950) (0.446 COMP1909) (0.445 COMP18) (0.444 COMP2862) (0.438 COMP1166/COMP502) (0.435 COMP1260/COMP237) (0.433 COMP2865) (0.431 COMP490) (0.430 COMP122/COMP2874) (0.426 COMP2808) (0.423 COMP1408) (0.419 COMP163) (0.414 COMP2879) (0.413 COMP872) (0.412 COMP537/COMP871/COMP895) (0.410 COMP112/COMP134) (0.408 COMP2881) (0.404 COMP2869) (0.402 COMP6) (0.400 COMP2797/COMP2814/COMP2815) (0.399 COMP2875) (0.397 COMP2876/COMP521/COMP616) (0.392 COMP1151/COMP1433/COMP2863) (0.376 COMP2873/COMP473/COMP601) (0.375 COMP1169) (0.374 COMP1244) (0.372 COMP124/COMP2872) (0.371 COMP126) (0.369 COMP544) (0.361 COMP1016/COMP1024) (0.358 COMP109/COMP136/COMP145/COMP43/COMP9) (0.356 COMP2813/COMP2877) (0.351 COMP113/COMP132/COMP142) (0.347 COMP2884) (0.339 COMP2888) (0.336 COMP229/COMP2868) (0.321 COMP1241) (0.318 COMP2880) (0.316 COMP2228) (0.315 COMP1193) (0.308 COMP1897/COMP497) (0.291 COMP2883) (0.290 COMP57/COMP624) (0.277 COMP110) (0.273 COMP32) (0.271 COMP114/COMP131) (0.255 COMP2867) (0.248 COMP2890) (0.242 COMP1654) (0.238 COMP2871) (0.231 COMP129) (0.201 COMP44) (0.176 COMP933)
NOS3 expression enhancer	0.767	COMP463/COMP774/COMP891	(0.739 COMP1267) (0.733 COMP483) (0.732 COMP2891) (0.722 COMP46) (0.721 COMP301/COMP56) (0.720 COMP2816/COMP2817/COMP348) (0.718 COMP305) (0.715 COMP510) (0.697 COMP49) (0.694 COMP2003/COMP692/COMP785) (0.693 COMP1724/COMP1725/COMP1726) (0.690 COMP2019) (0.673 COMP1909) (0.648 COMP2861) (0.644 COMP1901/COMP1905) (0.640 COMP780) (0.621 COMP2322) (0.608 COMP2887) (0.601 COMP1310) (0.594 COMP361) (0.550 COMP887) (0.526 COMP966) (0.514 COMP220) (0.485 COMP1881/COMP2171) (0.477 COMP2866) (0.453 COMP2884) (0.429 COMP2886) (0.421 COMP941) (0.413 COMP1424) (0.409 COMP101) (0.348 COMP118) (0.326 COMP120) (0.324 COMP521) (0.316 COMP1934/COMP2140/COMP2860) (0.275 COMP725) (0.271 COMP1429/COMP227) (0.261 COMP122) (0.253 COMP1254/COMP1659) (0.245 COMP222) (0.233 COMP2868) (0.220 COMP2085) (0.204 COMP2885) (0.203 COMP302) (0.185 COMP2875) (0.183 COMP4) (0.176 COMP2863) (0.171 COMP11/COMP8) (0.170 COMP40/COMP41) (0.161 COMP2251) (0.147 COMP1016/COMP1024) (0.142 COMP1260) (0.141 COMP27) (0.138 COMP2834) (0.132 COMP505) (0.131 COMP616) (0.129 COMP9) (0.128 COMP1166/COMP502) (0.125 COMP119/COMP157/COMP160/COMP162/COMP169) (0.124 COMP2859/COMP2878) (0.123 COMP312) (0.121 COMP2808) (0.119 COMP1241)
NOS3 expression inhibitor	0.845	COMP2322	(0.842 COMP27) (0.841 COMP305) (0.837 COMP301/COMP56) (0.834 COMP49) (0.829 COMP510) (0.804 COMP220) (0.798 COMP2019) (0.788 COMP692/COMP785) (0.780 COMP521) (0.769 COMP2891) (0.767 COMP483) (0.764 COMP40/COMP41) (0.763 COMP780) (0.759 COMP2816/COMP2817/COMP348) (0.757 COMP46) (0.747 COMP361) (0.719 COMP2003) (0.688 COMP1310) (0.682 COMP1905) (0.674 COMP1901/COMP222) (0.666 COMP2887) (0.664 COMP18) (0.636 COMP2866) (0.634 COMP1260) (0.628 COMP1881/COMP2171) (0.612 COMP2886) (0.594 COMP2876) (0.576 COMP2859/COMP2878) (0.573 COMP2875) (0.564 COMP463/COMP774/COMP891) (0.556 COMP11/COMP8) (0.549 COMP1166/COMP502) (0.541 COMP43) (0.537 COMP1016/COMP1024/COMP1724/COMP1725/COMP1726) (0.530 COMP2892) (0.528 COMP1267) (0.526 COMP2881) (0.523 COMP112/COMP134) (0.517 COMP2882) (0.510 COMP1433) (0.508 COMP119/COMP157/COMP160/COMP162/COMP169) (0.500 COMP537/COMP871/COMP895) (0.486 COMP2873/COMP473/COMP601) (0.485 COMP2877) (0.483 COMP1169) (0.477 COMP725) (0.470 COMP238/COMP772) (0.466 COMP2893) (0.464 COMP1909) (0.460 COMP490/COMP505/COMP966) (0.457 COMP2865) (0.454 COMP887) (0.453 COMP2872) (0.449 COMP1254/COMP1659) (0.448 COMP2861) (0.440 COMP237) (0.439 COMP24) (0.437 COMP109/COMP136/COMP145/COMP1934/COMP2140/COMP2860) (0.426 COMP123/COMP161) (0.423 COMP1193/COMP2085) (0.417 COMP1244) (0.410 COMP1241) (0.405 COMP1151) (0.403 COMP129) (0.390 COMP126) (0.389 COMP950) (0.376 COMP101) (0.375 COMP2808/COMP2879) (0.373 COMP2884) (0.366 COMP1424) (0.362 COMP122) (0.358 COMP2889) (0.346 COMP2885) (0.344 COMP872/COMP9) (0.343 COMP158/COMP172) (0.331 COMP2870) (0.320 COMP941) (0.317 COMP2863) (0.315 COMP110/COMP616) (0.314 COMP114/COMP131) (0.310 COMP2871) (0.309 COMP2864/COMP57/COMP624) (0.294 COMP1914) (0.293 COMP2869) (0.287 COMP544) (0.276 COMP1429/COMP227) (0.270 COMP2883) (0.266 COMP302) (0.264 COMP1668/COMP523) (0.263 COMP2797/COMP2814/COMP2815) (0.262 COMP1897/COMP2862/COMP497) (0.261 COMP1654) (0.259 COMP2813) (0.258 COMP2228) (0.255 COMP163) (0.248 COMP2868) (0.247 COMP120) (0.243 COMP118) (0.226 COMP113/COMP132/COMP142) (0.221 COMP2874) (0.217 COMP2880) (0.213 COMP1408) (0.205 COMP155) (0.202 COMP124) (0.200 COMP1240/COMP1247/COMP141/COMP264/COMP295/COMP547) (0.198 COMP1115)
TNF expression inhibitor	0.959	COMP2019	(0.951 COMP301/COMP56) (0.943 COMP510) (0.942 COMP692/COMP785) (0.937 COMP305/COMP361) (0.912 COMP1901) (0.905 COMP220/COMP483) (0.904 COMP119/COMP157/COMP160/COMP162/COMP169) (0.903 COMP1905) (0.896 COMP780) (0.888 COMP2003) (0.882 COMP1881/COMP2171) (0.881 COMP27) (0.879 COMP2891) (0.871 COMP2889) (0.870 COMP11/COMP8) (0.869 COMP46) (0.863 COMP1260) (0.858 COMP1914) (0.857 COMP40/COMP41) (0.854 COMP2892) (0.852 COMP2875) (0.847 COMP49) (0.842 COMP2885) (0.836 COMP2816/COMP2817/COMP348) (0.833 COMP887) (0.829 COMP2887) (0.809 COMP238/COMP772) (0.799 COMP2886) (0.796 COMP1166/COMP502) (0.794 COMP1934/COMP2140/COMP2860) (0.785 COMP2876) (0.763 COMP18) (0.751 COMP2884) (0.749 COMP1254/COMP1659) (0.733 COMP1151/COMP2893) (0.728 COMP222) (0.709 COMP2251) (0.694 COMP1429/COMP227) (0.685 COMP966) (0.683 COMP2085) (0.668 COMP1267) (0.664 COMP1909) (0.658 COMP302) (0.656 COMP941) (0.643 COMP2872) (0.640 COMP2881) (0.636 COMP463/COMP774/COMP891) (0.634 COMP1181/COMP153) (0.633 COMP101) (0.629 COMP112/COMP134/COMP2866) (0.626 COMP2861) (0.617 COMP24) (0.616 COMP490) (0.613 COMP950) (0.607 COMP505) (0.605 COMP1668/COMP523) (0.602 COMP2859/COMP2878) (0.599 COMP237/COMP725) (0.592 COMP1433) (0.591 COMP2813) (0.590 COMP2873/COMP473/COMP601) (0.587 COMP123/COMP161) (0.586 COMP122) (0.583 COMP1724/COMP1725/COMP1726) (0.582 COMP158/COMP172) (0.578 COMP1016/COMP1024) (0.568 COMP2865) (0.565 COMP1310) (0.561 COMP2864) (0.543 COMP2879) (0.540 COMP2863/COMP2877) (0.538 COMP2888) (0.535 COMP120/COMP1244/COMP126/COMP2808/COMP616) (0.534 COMP2874) (0.527 COMP109/COMP136/COMP145) (0.524 COMP1408/COMP2870) (0.523 COMP43) (0.511 COMP2869) (0.509 COMP1424) (0.503 COMP2862) (0.499 COMP544) (0.496 COMP2882/COMP6) (0.494 COMP118) (0.493 COMP141/COMP264/COMP547) (0.489 COMP521) (0.484 COMP163/COMP2322) (0.471 COMP2797/COMP2814/COMP2815) (0.469 COMP9) (0.468 COMP537/COMP871/COMP895) (0.464 COMP2868) (0.457 COMP1241) (0.456 COMP124) (0.454 COMP1169/COMP1897/COMP497) (0.448 COMP57/COMP624) (0.447 COMP155) (0.446 COMP4) (0.444 COMP1193) (0.441 COMP872) (0.426 COMP113/COMP132/COMP142) (0.420 COMP2228) (0.407 COMP1240/COMP1247/COMP295) (0.404 COMP129) (0.393 COMP312) (0.392 COMP2880) (0.379 COMP2867) (0.371 COMP229) (0.366 COMP2834) (0.354 COMP2871) (0.342 COMP114/COMP131) (0.338 COMP110/COMP32) (0.336 COMP1654) (0.319 COMP2890) (0.309 COMP933) (0.288 COMP44) (0.281 COMP2883) (0.223 COMP1115)
