Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.566	COMP2893	(0.563 COMP2797/COMP2814/COMP2815) (0.544 COMP40/COMP41) (0.541 COMP11/COMP8) (0.540 COMP119/COMP157/COMP160/COMP162/COMP169) (0.535 COMP2892) (0.530 COMP27) (0.526 COMP2875) (0.519 COMP1166/COMP502) (0.515 COMP2889) (0.508 COMP1260) (0.507 COMP18) (0.495 COMP2876/COMP490) (0.485 COMP237) (0.480 COMP2859/COMP2878/COMP2881) (0.471 COMP163) (0.468 COMP950) (0.465 COMP2873/COMP473/COMP601) (0.462 COMP1914) (0.460 COMP2884) (0.459 COMP24) (0.454 COMP1240/COMP1247/COMP1668/COMP295/COMP523) (0.453 COMP238/COMP2872/COMP772) (0.450 COMP1016/COMP1024) (0.448 COMP112/COMP134) (0.442 COMP124/COMP537/COMP871/COMP895) (0.441 COMP1433) (0.439 COMP1193/COMP2877) (0.438 COMP725) (0.431 COMP2863) (0.426 COMP113/COMP132/COMP142) (0.421 COMP129) (0.419 COMP110) (0.416 COMP126) (0.414 COMP2865) (0.413 COMP122) (0.412 COMP2871) (0.411 COMP1254/COMP1659/COMP2866) (0.410 COMP302) (0.405 COMP141/COMP264/COMP547) (0.404 COMP109/COMP136/COMP145) (0.402 COMP43) (0.396 COMP1909) (0.391 COMP966) (0.389 COMP1151) (0.387 COMP2880) (0.377 COMP2874) (0.375 COMP521/COMP887) (0.371 COMP1169) (0.370 COMP2879) (0.368 COMP2251) (0.366 COMP1408/COMP6) (0.364 COMP4) (0.361 COMP1244) (0.358 COMP2228/COMP57/COMP624) (0.357 COMP2888) (0.350 COMP2870) (0.349 COMP123/COMP161) (0.340 COMP118) (0.337 COMP2085) (0.334 COMP1181/COMP153) (0.333 COMP2861) (0.332 COMP2869) (0.330 COMP120) (0.329 COMP2834) (0.327 COMP114/COMP131) (0.321 COMP2868/COMP872) (0.320 COMP101/COMP1897/COMP497) (0.316 COMP1934/COMP2140/COMP2860) (0.309 COMP2808) (0.307 COMP1424) (0.298 COMP1724/COMP1725/COMP1726) (0.295 COMP1429/COMP227/COMP2862/COMP463/COMP774/COMP891) (0.286 COMP2813) (0.284 COMP312) (0.280 COMP941) (0.277 COMP2885/COMP616) (0.274 COMP505) (0.271 COMP2864) (0.269 COMP1267) (0.261 COMP2886) (0.259 COMP158/COMP172) (0.258 COMP1310) (0.255 COMP222) (0.246 COMP1881/COMP2171) (0.241 COMP229) (0.232 COMP9) (0.230 COMP32) (0.213 COMP2882) (0.210 COMP49) (0.205 COMP544) (0.204 COMP155) (0.190 COMP1241) (0.187 COMP780) (0.178 COMP2867) (0.174 COMP1654) (0.172 COMP2883) (0.167 COMP933) (0.154 COMP2890) (0.148 COMP44)
Carcinogenic	0.940	COMP46	(0.932 COMP2816/COMP2817/COMP348) (0.924 COMP119/COMP157/COMP160/COMP162/COMP169) (0.912 COMP301/COMP56) (0.903 COMP510) (0.898 COMP305) (0.897 COMP2003) (0.895 COMP692/COMP785) (0.890 COMP11/COMP8) (0.871 COMP483) (0.868 COMP2892) (0.867 COMP220/COMP302) (0.860 COMP2875) (0.856 COMP2889) (0.853 COMP1901/COMP2891) (0.849 COMP1905) (0.848 COMP2019) (0.847 COMP1914) (0.834 COMP361) (0.819 COMP2887) (0.816 COMP1254/COMP1659) (0.802 COMP43) (0.792 COMP123/COMP161) (0.789 COMP463/COMP774/COMP891) (0.752 COMP2884) (0.748 COMP27) (0.744 COMP1240/COMP1247/COMP295) (0.736 COMP1166/COMP502) (0.731 COMP57/COMP624) (0.724 COMP49) (0.722 COMP1260) (0.718 COMP2251) (0.708 COMP40/COMP41) (0.696 COMP1724/COMP1725/COMP1726) (0.678 COMP2813) (0.673 COMP1267) (0.671 COMP141/COMP264/COMP547) (0.669 COMP2861) (0.664 COMP2876) (0.662 COMP222) (0.657 COMP1668/COMP523) (0.651 COMP1169) (0.637 COMP1310) (0.627 COMP780) (0.609 COMP113/COMP132/COMP142) (0.602 COMP18) (0.595 COMP2882) (0.589 COMP2085) (0.576 COMP2867) (0.569 COMP2322/COMP2865) (0.566 COMP2873/COMP473/COMP601) (0.564 COMP966) (0.559 COMP1151) (0.558 COMP2888) (0.554 COMP2872) (0.550 COMP521) (0.540 COMP1881/COMP2171) (0.532 COMP110) (0.518 COMP24) (0.507 COMP1909) (0.504 COMP101) (0.497 COMP124) (0.489 COMP158/COMP172) (0.486 COMP1934/COMP2140/COMP2860) (0.485 COMP2797/COMP2814/COMP2815) (0.471 COMP725) (0.468 COMP2886/COMP941) (0.465 COMP2877) (0.464 COMP2228) (0.462 COMP1241) (0.456 COMP32) (0.451 COMP4) (0.439 COMP2866) (0.433 COMP887) (0.428 COMP1424) (0.422 COMP114/COMP131) (0.421 COMP505) (0.420 COMP163/COMP1654) (0.419 COMP490) (0.409 COMP2885) (0.400 COMP2871) (0.398 COMP237) (0.386 COMP238/COMP772) (0.379 COMP1244) (0.377 COMP112/COMP134) (0.372 COMP1433) (0.362 COMP933) (0.357 COMP2834) (0.350 COMP118) (0.349 COMP312) (0.341 COMP1897/COMP497) (0.337 COMP2883) (0.329 COMP1181/COMP153/COMP6) (0.326 COMP120) (0.323 COMP122) (0.320 COMP126) (0.311 COMP2868) (0.307 COMP2808) (0.306 COMP1429/COMP227) (0.303 COMP2881) (0.296 COMP229) (0.288 COMP1016/COMP1024) (0.283 COMP2859/COMP2878/COMP9) (0.274 COMP950) (0.271 COMP109/COMP136/COMP145) (0.269 COMP2880) (0.265 COMP2862) (0.253 COMP2864) (0.248 COMP616) (0.232 COMP2863/COMP872) (0.230 COMP2870) (0.227 COMP155/COMP2893) (0.214 COMP544) (0.202 COMP1408) (0.199 COMP2874) (0.182 COMP2879) (0.179 COMP129) (0.177 COMP537/COMP871/COMP895) (0.173 COMP44) (0.160 COMP1193) (0.150 COMP2869)
Carcinogenic. group 1	0.758	COMP220	(0.685 COMP222) (0.532 COMP2866) (0.519 COMP1408) (0.501 COMP2874) (0.488 COMP1310) (0.465 COMP305) (0.464 COMP1424) (0.461 COMP18) (0.459 COMP2877) (0.447 COMP521) (0.441 COMP40/COMP41/COMP510) (0.435 COMP2884) (0.413 COMP237) (0.407 COMP1433) (0.400 COMP2870) (0.393 COMP27/COMP301/COMP56) (0.387 COMP118) (0.383 COMP2873/COMP473/COMP601) (0.371 COMP2868) (0.370 COMP32) (0.368 COMP490) (0.366 COMP2813) (0.360 COMP2867) (0.357 COMP1166/COMP2019/COMP4/COMP502) (0.353 COMP941) (0.343 COMP1260) (0.341 COMP120/COMP2872) (0.332 COMP24) (0.331 COMP2876) (0.329 COMP122) (0.328 COMP2085) (0.326 COMP933) (0.319 COMP2834) (0.318 COMP1909) (0.317 COMP101) (0.313 COMP49) (0.311 COMP229) (0.305 COMP1169/COMP2863) (0.297 COMP1429/COMP227) (0.293 COMP312) (0.291 COMP725/COMP9) (0.287 COMP2886) (0.286 COMP2322) (0.285 COMP43) (0.283 COMP2879) (0.280 COMP2251) (0.279 COMP2864) (0.278 COMP2891) (0.277 COMP1254/COMP1659) (0.276 COMP2869) (0.272 COMP2865) (0.271 COMP2871) (0.270 COMP966) (0.267 COMP2862/COMP57/COMP624) (0.263 COMP2228) (0.254 COMP1151) (0.253 COMP1654) (0.246 COMP780) (0.242 COMP616) (0.240 COMP2888) (0.239 COMP483) (0.235 COMP505) (0.228 COMP1016/COMP1024/COMP544) (0.226 COMP302) (0.223 COMP887) (0.221 COMP692/COMP785) (0.220 COMP2816/COMP2817/COMP348) (0.218 COMP1244) (0.216 COMP44) (0.212 COMP2883) (0.206 COMP2797/COMP2814/COMP2815) (0.197 COMP361/COMP6) (0.196 COMP2885) (0.195 COMP141/COMP264/COMP2882/COMP547) (0.193 COMP1241/COMP46) (0.191 COMP11/COMP8) (0.187 COMP1115/COMP2890) (0.180 COMP2887/COMP2889) (0.179 COMP2003/COMP2892) (0.178 COMP1881/COMP2171) (0.177 COMP2808) (0.176 COMP2875) (0.171 COMP872) (0.169 COMP1934/COMP2140/COMP2860) (0.168 COMP1914) (0.167 COMP110) (0.165 COMP126) (0.163 COMP113/COMP132/COMP142) (0.162 COMP119/COMP157/COMP160/COMP162/COMP169) (0.161 COMP123/COMP1240/COMP1247/COMP161/COMP295) (0.158 COMP114/COMP131) (0.154 COMP2859/COMP2878) (0.151 COMP124) (0.148 COMP158/COMP172) (0.146 COMP155) (0.142 COMP1897/COMP497) (0.139 COMP1668/COMP523) (0.137 COMP109/COMP136/COMP145/COMP537/COMP871/COMP895) (0.134 COMP2880)
Carcinogenic. group 2A	0.620	COMP220	(0.617 COMP1310) (0.467 COMP2813) (0.462 COMP2867) (0.374 COMP1424) (0.341 COMP1408) (0.338 COMP521) (0.329 COMP2874) (0.281 COMP2868) (0.271 COMP118) (0.270 COMP222) (0.264 COMP32) (0.262 COMP2870) (0.247 COMP2866) (0.242 COMP120/COMP2834/COMP4) (0.241 COMP2085) (0.238 COMP941) (0.236 COMP312) (0.232 COMP1254/COMP1659) (0.226 COMP2877) (0.220 COMP1433) (0.210 COMP1169) (0.208 COMP2869) (0.205 COMP229) (0.198 COMP101) (0.197 COMP2871) (0.189 COMP302) (0.188 COMP2251) (0.187 COMP1429/COMP227/COMP9) (0.185 COMP122) (0.184 COMP305) (0.183 COMP1166/COMP502) (0.180 COMP2863) (0.179 COMP1909) (0.177 COMP2873/COMP473/COMP601) (0.176 COMP510) (0.168 COMP2322) (0.167 COMP237) (0.165 COMP2872/COMP2884) (0.158 COMP301/COMP56) (0.157 COMP2879) (0.151 COMP1654/COMP44) (0.149 COMP490) (0.148 COMP11/COMP2019/COMP8) (0.146 COMP2862) (0.145 COMP57/COMP624) (0.144 COMP616) (0.142 COMP2865) (0.141 COMP2888/COMP872) (0.140 COMP43) (0.137 COMP6) (0.134 COMP2228) (0.132 COMP1151) (0.130 COMP725) (0.129 COMP2887) (0.127 COMP544) (0.125 COMP966) (0.122 COMP114/COMP131/COMP18) (0.119 COMP2876) (0.117 COMP1115) (0.116 COMP505) (0.115 COMP933) (0.111 COMP119/COMP157/COMP160/COMP162/COMP169/COMP2892) (0.110 COMP1905/COMP2864) (0.108 COMP2890) (0.107 COMP2816/COMP2817/COMP348) (0.106 COMP141/COMP264/COMP547) (0.103 COMP1901) (0.101 COMP1881/COMP2171) (0.100 COMP155/COMP2875) (0.099 COMP110/COMP40/COMP41) (0.095 COMP2886) (0.093 COMP24/COMP887) (0.092 COMP2885) (0.091 COMP113/COMP132/COMP142) (0.090 COMP1241) (0.088 COMP1244) (0.085 COMP1240/COMP1247/COMP295) (0.083 COMP46) (0.082 COMP27) (0.080 COMP2882) (0.077 COMP1016/COMP1024/COMP2859/COMP2878/COMP49) (0.076 COMP124/COMP2003) (0.073 COMP123/COMP161)
Carcinogenic. group 2B	0.718	COMP113/COMP132/COMP142	(0.706 COMP2867) (0.666 COMP521) (0.516 COMP2085) (0.504 COMP1909) (0.494 COMP118) (0.492 COMP101) (0.432 COMP966) (0.422 COMP1424) (0.414 COMP2866) (0.408 COMP4) (0.393 COMP1934/COMP2140/COMP2860) (0.382 COMP2868) (0.365 COMP32) (0.358 COMP941) (0.356 COMP1254/COMP1659) (0.348 COMP887) (0.344 COMP302) (0.342 COMP1169) (0.339 COMP2887) (0.336 COMP2834) (0.335 COMP120) (0.330 COMP1310) (0.313 COMP1166/COMP502) (0.308 COMP2884) (0.295 COMP1408) (0.288 COMP2874) (0.282 COMP1240/COMP1247/COMP295) (0.277 COMP2251) (0.276 COMP2888) (0.275 COMP312) (0.274 COMP1901) (0.273 COMP2816/COMP2817/COMP348) (0.266 COMP229) (0.264 COMP46) (0.260 COMP1429/COMP227) (0.257 COMP57/COMP624) (0.254 COMP1905) (0.253 COMP2865) (0.251 COMP2886) (0.249 COMP1433) (0.246 COMP2882) (0.245 COMP2876) (0.243 COMP222) (0.235 COMP725) (0.232 COMP49) (0.231 COMP124) (0.228 COMP43) (0.227 COMP2872) (0.226 COMP1260) (0.221 COMP1881/COMP2171) (0.216 COMP2877) (0.211 COMP11/COMP8) (0.209 COMP2228) (0.207 COMP305) (0.203 COMP18/COMP2873/COMP473/COMP601) (0.202 COMP2870/COMP301/COMP56) (0.200 COMP109/COMP136/COMP145/COMP510) (0.199 COMP2875) (0.198 COMP220) (0.194 COMP2813) (0.193 COMP24) (0.192 COMP2869) (0.189 COMP2885) (0.186 COMP2003/COMP505) (0.184 COMP361) (0.183 COMP9) (0.179 COMP1654) (0.177 COMP2863) (0.175 COMP2861) (0.174 COMP2892) (0.168 COMP2879) (0.163 COMP780) (0.162 COMP114/COMP131) (0.161 COMP40/COMP41) (0.158 COMP237/COMP537/COMP871/COMP895) (0.157 COMP2880) (0.156 COMP1914) (0.155 COMP119/COMP157/COMP160/COMP162/COMP169/COMP2797/COMP2814/COMP2815) (0.151 COMP112/COMP134/COMP2881) (0.149 COMP2859/COMP2878) (0.148 COMP1724/COMP1725/COMP1726/COMP2871/COMP44) (0.145 COMP141/COMP2019/COMP264/COMP547) (0.139 COMP122) (0.138 COMP933) (0.137 COMP490) (0.136 COMP463/COMP774/COMP891) (0.135 COMP27) (0.130 COMP616) (0.129 COMP1241) (0.126 COMP1181/COMP153) (0.125 COMP155) (0.124 COMP1151/COMP1897/COMP497) (0.122 COMP2862) (0.118 COMP2891) (0.117 COMP123/COMP161) (0.116 COMP872) (0.114 COMP1244/COMP483/COMP692/COMP785) (0.113 COMP2322) (0.112 COMP6) (0.108 COMP544) (0.104 COMP2890) (0.102 COMP2883) (0.096 COMP126) (0.095 COMP2864) (0.091 COMP1193) (0.088 COMP110) (0.087 COMP158/COMP172) (0.082 COMP1267)
Carcinogenic. group 3	0.800	COMP2867	(0.799 COMP49) (0.785 COMP222) (0.772 COMP141/COMP264/COMP547) (0.738 COMP43) (0.721 COMP521/COMP57/COMP624) (0.674 COMP1240/COMP1247/COMP295) (0.589 COMP941) (0.568 COMP2085) (0.538 COMP2322/COMP2884) (0.517 COMP2866) (0.516 COMP780) (0.500 COMP1424) (0.461 COMP2868) (0.459 COMP1909) (0.454 COMP305/COMP40/COMP41) (0.431 COMP18) (0.419 COMP2228) (0.415 COMP220/COMP2882) (0.408 COMP490) (0.406 COMP237) (0.395 COMP2891/COMP301/COMP56) (0.394 COMP2886) (0.391 COMP1668/COMP523) (0.388 COMP1166/COMP502) (0.382 COMP510) (0.381 COMP27) (0.366 COMP1169) (0.363 COMP1429/COMP227) (0.362 COMP725) (0.359 COMP101) (0.352 COMP1433) (0.347 COMP2873/COMP473/COMP601) (0.346 COMP118) (0.344 COMP32) (0.343 COMP483/COMP966) (0.339 COMP2885) (0.334 COMP2877) (0.332 COMP123/COMP161) (0.324 COMP2816/COMP2817/COMP348) (0.322 COMP9) (0.317 COMP2888) (0.315 COMP6) (0.306 COMP1310/COMP692/COMP785) (0.303 COMP2871) (0.302 COMP2251) (0.301 COMP2876/COMP505) (0.300 COMP302) (0.295 COMP120/COMP1241) (0.288 COMP2863) (0.286 COMP1151/COMP46) (0.285 COMP2870) (0.277 COMP887) (0.275 COMP2875) (0.274 COMP11/COMP8) (0.273 COMP2865) (0.268 COMP1254/COMP1659) (0.264 COMP1408) (0.260 COMP2872) (0.259 COMP2889) (0.253 COMP24) (0.252 COMP155/COMP2874) (0.250 COMP1881/COMP2171) (0.248 COMP4/COMP872) (0.244 COMP616) (0.241 COMP122) (0.240 COMP2019/COMP2813) (0.237 COMP1914) (0.235 COMP544) (0.231 COMP1260) (0.229 COMP158/COMP172) (0.227 COMP463/COMP774/COMP891) (0.225 COMP1654) (0.215 COMP1934/COMP2140/COMP2860/COMP361) (0.213 COMP2892) (0.204 COMP229) (0.194 COMP2834) (0.190 COMP1016/COMP1024) (0.187 COMP933) (0.183 COMP114/COMP131) (0.178 COMP112/COMP1181/COMP134/COMP153) (0.175 COMP119/COMP157/COMP160/COMP162/COMP169) (0.166 COMP44) (0.163 COMP312) (0.162 COMP1724/COMP1725/COMP1726) (0.161 COMP2808) (0.156 COMP2003) (0.152 COMP1244) (0.148 COMP113/COMP132/COMP142) (0.145 COMP2883) (0.144 COMP124) (0.140 COMP2862) (0.138 COMP2887) (0.125 COMP2881) (0.123 COMP126/COMP1267) (0.122 COMP2859/COMP2878) (0.121 COMP1897/COMP497) (0.116 COMP2861/COMP537/COMP871/COMP895) (0.112 COMP2864) (0.111 COMP2869) (0.109 COMP2797/COMP2814/COMP2815) (0.099 COMP2879) (0.097 COMP109/COMP136/COMP145/COMP2893)
Cardiodepressant	0.790	COMP2813	(0.767 COMP312) (0.734 COMP4) (0.697 COMP2834) (0.643 COMP2865) (0.626 COMP101) (0.584 COMP120) (0.568 COMP112/COMP134) (0.566 COMP109/COMP136/COMP145) (0.545 COMP118) (0.509 COMP1166/COMP502) (0.507 COMP2876) (0.503 COMP238/COMP772) (0.496 COMP1260) (0.482 COMP2873/COMP473/COMP601) (0.466 COMP2881) (0.456 COMP2879) (0.445 COMP2085) (0.443 COMP2872/COMP2875) (0.441 COMP2859/COMP2878) (0.438 COMP1433) (0.425 COMP2863) (0.412 COMP18) (0.411 COMP2877) (0.405 COMP490) (0.404 COMP2866) (0.400 COMP1408) (0.398 COMP122) (0.397 COMP237) (0.394 COMP2874) (0.392 COMP725) (0.386 COMP2869) (0.385 COMP505) (0.374 COMP521) (0.371 COMP2868) (0.369 COMP1169/COMP2870) (0.363 COMP2864) (0.347 COMP2885) (0.343 COMP780) (0.341 COMP1151/COMP2862) (0.332 COMP2886) (0.317 COMP887) (0.316 COMP40/COMP41) (0.314 COMP49) (0.303 COMP1310) (0.301 COMP1424) (0.294 COMP24) (0.289 COMP1429/COMP227) (0.283 COMP1897/COMP2867/COMP497) (0.282 COMP537/COMP871/COMP895) (0.277 COMP9) (0.271 COMP2880) (0.268 COMP2882) (0.264 COMP114/COMP131/COMP27/COMP941) (0.257 COMP1934/COMP2140/COMP2860) (0.243 COMP11/COMP8) (0.241 COMP222) (0.239 COMP1909) (0.227 COMP1115) (0.226 COMP113/COMP132/COMP142/COMP966) (0.225 COMP1881/COMP2171) (0.224 COMP57/COMP624) (0.220 COMP1267) (0.219 COMP124) (0.213 COMP2228) (0.205 COMP1724/COMP1725/COMP1726/COMP463/COMP774/COMP891) (0.204 COMP2892) (0.201 COMP1016/COMP1024) (0.200 COMP616) (0.198 COMP2893) (0.188 COMP229) (0.180 COMP872) (0.179 COMP510) (0.175 COMP2861) (0.164 COMP32) (0.162 COMP1254/COMP1659) (0.160 COMP2871) (0.151 COMP2884) (0.148 COMP119/COMP157/COMP160/COMP162/COMP169/COMP2019) (0.146 COMP2808) (0.135 COMP301/COMP56) (0.131 COMP1914)
Cytotoxic	0.700	COMP1901	(0.697 COMP1905) (0.658 COMP46) (0.657 COMP2003) (0.640 COMP2816/COMP2817/COMP348) (0.626 COMP2019/COMP220/COMP301/COMP56) (0.625 COMP2887) (0.617 COMP510) (0.610 COMP305) (0.597 COMP692/COMP785) (0.595 COMP238/COMP772) (0.592 COMP361) (0.577 COMP483) (0.565 COMP2891) (0.557 COMP163) (0.523 COMP1310) (0.495 COMP1881/COMP2171) (0.492 COMP2893) (0.487 COMP950) (0.484 COMP155) (0.480 COMP463/COMP774/COMP891) (0.479 COMP1267) (0.478 COMP1724/COMP1725/COMP1726) (0.473 COMP43) (0.470 COMP158/COMP172) (0.462 COMP2861) (0.457 COMP1181/COMP153) (0.456 COMP27) (0.453 COMP780) (0.440 COMP1260) (0.433 COMP40/COMP41) (0.424 COMP2228/COMP2251) (0.423 COMP49) (0.414 COMP2085) (0.410 COMP1166/COMP502) (0.409 COMP2876) (0.406 COMP119/COMP157/COMP160/COMP162/COMP169) (0.405 COMP2884) (0.400 COMP2892) (0.399 COMP222) (0.391 COMP24) (0.390 COMP1914/COMP2889) (0.388 COMP2875) (0.384 COMP101) (0.383 COMP2886) (0.373 COMP2882) (0.371 COMP11/COMP8) (0.362 COMP110) (0.361 COMP1254/COMP1659) (0.360 COMP18) (0.358 COMP2881) (0.357 COMP1668/COMP2797/COMP2814/COMP2815/COMP523) (0.356 COMP1244) (0.355 COMP126) (0.354 COMP1240/COMP1247/COMP295) (0.350 COMP112/COMP134) (0.349 COMP123/COMP161) (0.348 COMP1654) (0.347 COMP2872) (0.340 COMP302/COMP32) (0.338 COMP229) (0.337 COMP2859/COMP2878) (0.330 COMP57/COMP624) (0.329 COMP544) (0.328 COMP2888) (0.324 COMP2322) (0.322 COMP141/COMP264/COMP547) (0.319 COMP2808/COMP6) (0.317 COMP1934/COMP2140/COMP2860) (0.316 COMP120) (0.315 COMP505) (0.314 COMP2866) (0.291 COMP490/COMP887) (0.286 COMP1151) (0.285 COMP2880) (0.283 COMP237) (0.282 COMP2813) (0.278 COMP2885) (0.277 COMP2870) (0.276 COMP521) (0.275 COMP1241/COMP1424) (0.273 COMP118/COMP122) (0.263 COMP2873/COMP473/COMP601/COMP616/COMP725) (0.261 COMP1016/COMP1024) (0.259 COMP109/COMP136/COMP145) (0.256 COMP1433) (0.252 COMP124) (0.240 COMP2877) (0.237 COMP1169/COMP2865) (0.236 COMP1193) (0.231 COMP872) (0.228 COMP1897/COMP497/COMP966) (0.225 COMP537/COMP871/COMP895) (0.219 COMP1909) (0.217 COMP1083/COMP2326) (0.216 COMP2862) (0.215 COMP2874) (0.214 COMP114/COMP131/COMP2863/COMP9) (0.210 COMP1408/COMP941) (0.209 COMP1429/COMP227) (0.208 COMP2834) (0.203 COMP2869) (0.199 COMP129/COMP2867) (0.192 COMP2868) (0.190 COMP4) (0.185 COMP113/COMP132/COMP142) (0.184 COMP2883) (0.182 COMP2871) (0.181 COMP933) (0.174 COMP2879) (0.166 COMP312) (0.155 COMP2864)
DNA damaging	0.889	COMP2003	(0.876 COMP46) (0.861 COMP2816/COMP2817/COMP348) (0.851 COMP2019) (0.824 COMP301/COMP56) (0.810 COMP510) (0.801 COMP2887) (0.798 COMP305) (0.750 COMP483) (0.732 COMP1901) (0.724 COMP2891) (0.709 COMP220) (0.704 COMP1905) (0.649 COMP692/COMP785) (0.542 COMP361) (0.533 COMP2322) (0.518 COMP780) (0.484 COMP1310) (0.472 COMP2886) (0.467 COMP112/COMP134) (0.458 COMP2085) (0.452 COMP2871) (0.441 COMP49) (0.437 COMP887) (0.434 COMP2885) (0.427 COMP222) (0.411 COMP1424) (0.405 COMP490) (0.391 COMP2884) (0.389 COMP237) (0.385 COMP1909) (0.375 COMP521) (0.371 COMP544) (0.370 COMP966) (0.359 COMP1881/COMP2171) (0.353 COMP1429/COMP227) (0.348 COMP1267/COMP941) (0.339 COMP1241/COMP158/COMP172/COMP2877/COMP4) (0.334 COMP18) (0.330 COMP229/COMP2834) (0.325 COMP32) (0.322 COMP2870) (0.321 COMP1169) (0.319 COMP1244) (0.318 COMP2873/COMP473/COMP601) (0.317 COMP2866) (0.313 COMP122) (0.307 COMP2882/COMP463/COMP774/COMP891) (0.302 COMP2861) (0.301 COMP2874) (0.300 COMP1408/COMP1654) (0.297 COMP1115) (0.296 COMP1433) (0.290 COMP616) (0.289 COMP1914) (0.288 COMP101/COMP2889) (0.284 COMP120) (0.278 COMP312) (0.275 COMP40/COMP41) (0.262 COMP2869) (0.248 COMP1181/COMP153) (0.239 COMP118) (0.238 COMP1724/COMP1725/COMP1726) (0.237 COMP1934/COMP2140/COMP2860) (0.233 COMP1260) (0.230 COMP2863) (0.229 COMP2876/COMP505/COMP9) (0.227 COMP123/COMP161) (0.226 COMP27) (0.224 COMP2868) (0.222 COMP2879) (0.219 COMP2881) (0.217 COMP2893) (0.207 COMP1151) (0.200 COMP109/COMP136/COMP145) (0.197 COMP537/COMP871/COMP895) (0.194 COMP2867/COMP6) (0.187 COMP155) (0.184 COMP725) (0.182 COMP1166/COMP502) (0.178 COMP163/COMP2872) (0.175 COMP2808) (0.174 COMP2859/COMP2878) (0.170 COMP24) (0.166 COMP950) (0.162 COMP2251) (0.160 COMP113/COMP132/COMP142)
Embryotoxic	0.812	COMP2889	(0.806 COMP463/COMP774/COMP891) (0.804 COMP1166/COMP502) (0.801 COMP1901) (0.800 COMP1905) (0.797 COMP46) (0.795 COMP220) (0.794 COMP1914) (0.784 COMP2816/COMP2817/COMP348) (0.768 COMP301/COMP56) (0.756 COMP305) (0.751 COMP510) (0.744 COMP112/COMP134) (0.743 COMP1267) (0.738 COMP1724/COMP1725/COMP1726) (0.736 COMP2813) (0.732 COMP2003) (0.727 COMP2872) (0.714 COMP1310) (0.712 COMP57/COMP624) (0.711 COMP2861/COMP2887) (0.707 COMP2876) (0.702 COMP2019/COMP40/COMP41) (0.698 COMP692/COMP785) (0.692 COMP361) (0.689 COMP302) (0.688 COMP2884) (0.682 COMP1668/COMP523) (0.681 COMP1240/COMP1247/COMP295) (0.675 COMP2873/COMP473/COMP601) (0.673 COMP119/COMP157/COMP160/COMP162/COMP169) (0.671 COMP18) (0.668 COMP1254/COMP1659) (0.667 COMP1151) (0.650 COMP141/COMP2251/COMP264/COMP483/COMP547) (0.644 COMP27) (0.633 COMP11/COMP8) (0.632 COMP2891) (0.628 COMP24) (0.620 COMP43) (0.608 COMP490) (0.589 COMP2877) (0.586 COMP237) (0.582 COMP2892) (0.580 COMP1169) (0.578 COMP2875) (0.573 COMP1260) (0.568 COMP725) (0.533 COMP2865) (0.516 COMP2893) (0.474 COMP2888) (0.472 COMP1433) (0.471 COMP521) (0.469 COMP2085) (0.468 COMP2228) (0.455 COMP1909) (0.453 COMP1016/COMP1024) (0.443 COMP966) (0.438 COMP49) (0.426 COMP109/COMP136/COMP145) (0.419 COMP2866/COMP2871) (0.418 COMP1193) (0.408 COMP1881/COMP2171) (0.401 COMP2881) (0.397 COMP123/COMP161) (0.396 COMP2882) (0.394 COMP222) (0.388 COMP1934/COMP2140/COMP2860) (0.384 COMP101) (0.381 COMP505) (0.377 COMP887) (0.376 COMP122) (0.357 COMP933) (0.347 COMP2864) (0.343 COMP6) (0.341 COMP2867) (0.338 COMP126/COMP1424/COMP780) (0.318 COMP950) (0.308 COMP2859/COMP2878) (0.307 COMP155) (0.304 COMP120) (0.300 COMP2885) (0.297 COMP544) (0.295 COMP2863/COMP2879) (0.290 COMP158/COMP172) (0.285 COMP118) (0.284 COMP872) (0.280 COMP2870) (0.277 COMP2808) (0.275 COMP2868) (0.270 COMP941) (0.266 COMP2797/COMP2814/COMP2815) (0.261 COMP2886) (0.249 COMP9) (0.248 COMP1115) (0.245 COMP1181/COMP153/COMP616) (0.243 COMP32) (0.240 COMP1244) (0.238 COMP1241) (0.234 COMP163) (0.233 COMP2874) (0.232 COMP124) (0.231 COMP1408) (0.229 COMP2880) (0.226 COMP1654) (0.222 COMP2869) (0.216 COMP537/COMP871/COMP895) (0.215 COMP113/COMP132/COMP142) (0.214 COMP4) (0.209 COMP2883) (0.188 COMP110) (0.184 COMP2322) (0.183 COMP1429/COMP227) (0.173 COMP2862) (0.170 COMP114/COMP131) (0.166 COMP312) (0.164 COMP229) (0.163 COMP238/COMP772) (0.151 COMP1083/COMP2326) (0.146 COMP129)
