Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.220	COMP1496	(0.213 COMP1495) (0.201 COMP1497) (0.163 COMP294) (0.126 COMP1216)
Acetylcholine release stimulant	0.126	COMP1500	
Actinic keratosis treatment	0.175	COMP1216	(0.168 COMP1497) (0.161 COMP1495) (0.112 COMP1496) (0.085 COMP1498)
Acute neurologic disorders treatment	0.215	COMP1499	(0.196 COMP1497)
Acute respiratory distress syndrome (ARDS) treatment	0.379	COMP1495	(0.132 COMP1216)
Age-related macular degeneration treatment	0.261	COMP1499	(0.169 COMP1500)
Alzheimer's disease treatment	0.373	COMP294	
Anabolic	0.179	COMP1497	(0.121 COMP1496) (0.109 COMP1216) (0.108 COMP1495) (0.104 COMP294)
Analeptic	0.512	COMP1495	(0.481 COMP294) (0.320 COMP1497) (0.251 COMP1500) (0.193 COMP1498) (0.190 COMP1496)
Analgesic	0.315	COMP1499	
Analgesic. non-opioid	0.372	COMP1499	
Andropause treatment	0.089	COMP1498	
Anesthetic	0.163	COMP1496	(0.129 COMP1497)
Anesthetic general	0.277	COMP1497	(0.263 COMP1496) (0.262 COMP294) (0.255 COMP1495) (0.219 COMP1500)
Anesthetic inhalation	0.057	COMP1496	(0.052 COMP294) (0.051 COMP1500) (0.047 COMP1497)
Anesthetic local	0.094	COMP1496	
Angiogenesis inhibitor	0.312	COMP1495	(0.243 COMP1497) (0.192 COMP294)
Angiogenesis stimulant	0.723	COMP1495	(0.394 COMP1216) (0.253 COMP294) (0.198 COMP1497) (0.176 COMP1500) (0.152 COMP1496)
Antiacne	0.200	COMP1495	(0.195 COMP1496) (0.169 COMP1216) (0.119 COMP1497)
Antialcoholic	0.250	COMP1495	(0.243 COMP1497) (0.189 COMP1496) (0.154 COMP1500)
Antiallergic	0.317	COMP1500	(0.194 COMP294)
Antiamyloidogenic	0.461	COMP294	(0.418 COMP1495) (0.296 COMP1497) (0.187 COMP1496) (0.167 COMP1498)
Antianemic	0.240	COMP1496	(0.163 COMP1500) (0.131 COMP294)
Antianorexic	0.114	COMP1496	
Antiarthritic	0.507	COMP1216	(0.394 COMP1495) (0.298 COMP1500) (0.256 COMP1498)
Antiasthmatic	0.225	COMP1500	
Antibacterial	0.724	COMP1495	(0.688 COMP1216) (0.459 COMP1496) (0.451 COMP294) (0.449 COMP1497) (0.316 COMP1499) (0.278 COMP1498) (0.235 COMP1500)
Antibiotic	0.275	COMP1495	(0.244 COMP1216) (0.096 COMP1497) (0.090 COMP1496) (0.081 COMP294)
Antibiotic Aminoglycoside-like	0.103	COMP1495	(0.100 COMP1216)
Antibiotic Anthracycline-like	0.050	COMP1216	(0.048 COMP1495) (0.031 COMP1496) (0.027 COMP1497)
Antibiotic Glycopeptide-like	0.214	COMP1495	(0.137 COMP1216)
Antibiotic Macrolide-like	0.014	COMP1495	(0.012 COMP1216)
Antibiotic Tetracycline-like	0.027	COMP1497	(0.025 COMP1496) (0.021 COMP1216) (0.020 COMP1495)
Anticholelithogenic	0.088	COMP1496	(0.083 COMP1497) (0.072 COMP1500)
Anticonvulsant	0.213	COMP1499	(0.183 COMP1500)
Antidiabetic	0.822	COMP1495	(0.630 COMP1216) (0.308 COMP1496)
Antidiabetic (type 1)	0.231	COMP1495	(0.163 COMP1499)
Antidiabetic (type 2)	0.459	COMP1495	(0.174 COMP1216)
Antidiabetic symptomatic	0.453	COMP1216	(0.412 COMP1495) (0.176 COMP1497)
Antidiarrheal	0.256	COMP1495	(0.203 COMP1497)
Antidote	0.377	COMP1495	(0.223 COMP1497) (0.193 COMP294) (0.171 COMP1496) (0.120 COMP1216) (0.115 COMP1500)
Antidote. heavy metal	0.071	COMP1497	(0.064 COMP1496) (0.054 COMP1495) (0.053 COMP1500/COMP294)
Antidote. mercury	0.172	COMP1500	(0.162 COMP1498) (0.109 COMP1496/COMP1497/COMP294) (0.088 COMP1499)
Antidote. organophosphates	0.107	COMP1500	(0.104 COMP1498) (0.079 COMP1497) (0.076 COMP294) (0.074 COMP1496)
Antieczematic	0.200	COMP1500	
Antiepileptic	0.199	COMP1500	
Antifungal	0.537	COMP1495	(0.519 COMP1216) (0.392 COMP294) (0.347 COMP1496) (0.306 COMP1497) (0.203 COMP1498)
Antifungal (Aspergillus)	0.109	COMP294	(0.106 COMP1497) (0.100 COMP1498) (0.097 COMP1500)
Antifungal (Candida)	0.095	COMP1500	
Antifungal (Cryptococcus)	0.243	COMP1495	(0.214 COMP1500) (0.194 COMP1216) (0.172 COMP1499) (0.156 COMP1498) (0.139 COMP1497)
Antifungal (Pneumocystis)	0.164	COMP294	(0.138 COMP1497) (0.129 COMP1495) (0.123 COMP1500) (0.120 COMP1498) (0.115 COMP1496) (0.112 COMP1216)
Antifungal enhancer	0.553	COMP1495	(0.309 COMP1497) (0.290 COMP1216) (0.238 COMP294) (0.218 COMP1496) (0.203 COMP1498) (0.131 COMP1500)
Antiglaucomic	0.264	COMP1496	
Antihelmintic	0.613	COMP1495	(0.462 COMP294) (0.305 COMP1496) (0.276 COMP1216) (0.267 COMP1497)
Antihelmintic (Fasciola)	0.152	COMP1496	(0.130 COMP294) (0.110 COMP1497) (0.106 COMP1498) (0.092 COMP1500)
Antihelmintic (Nematodes)	0.367	COMP1495	(0.297 COMP1496) (0.235 COMP1497) (0.213 COMP294)
Antihelmintic (Trematoda)	0.237	COMP1497	(0.219 COMP294) (0.214 COMP1495) (0.124 COMP1496) (0.123 COMP1500) (0.115 COMP1498)
Antihemophilic	0.074	COMP1497	(0.067 COMP1500)
Antihemorrhagic	0.603	COMP1495	(0.392 COMP1216) (0.273 COMP1497) (0.259 COMP294) (0.233 COMP1496) (0.155 COMP1500)
Antihypercholesterolemic	0.857	COMP1495	(0.546 COMP1216) (0.471 COMP1496) (0.453 COMP1497) (0.413 COMP294)
Antihyperlipoproteinemic	0.193	COMP1497	(0.155 COMP1496) (0.127 COMP294) (0.108 COMP1495)
Antihypertriglyceridemic	0.601	COMP1216	(0.566 COMP1495) (0.497 COMP1496) (0.452 COMP294) (0.379 COMP1497)
Antihypotensive	0.485	COMP1495	(0.365 COMP1497) (0.310 COMP1500) (0.296 COMP294) (0.270 COMP1216) (0.255 COMP1496) (0.213 COMP1498) (0.166 COMP1499)
Antihypoxic	0.868	COMP1495	(0.518 COMP1216) (0.348 COMP294) (0.316 COMP1497) (0.315 COMP1498) (0.289 COMP1500) (0.277 COMP1496) (0.240 COMP1499)
Antiinflammatory	0.804	COMP1216	(0.791 COMP1495) (0.600 COMP294) (0.516 COMP1496) (0.446 COMP1498) (0.385 COMP1497) (0.381 COMP1499) (0.362 COMP1500)
Antiischemic	0.279	COMP1495	
Antileprosy	0.083	COMP1497	
Antileukemic	0.681	COMP1495	(0.652 COMP1216) (0.629 COMP294) (0.549 COMP1497) (0.448 COMP1498) (0.304 COMP1496)
Antimigraine	0.321	COMP1498	(0.274 COMP1500) (0.266 COMP1499)
Antimitotic	0.507	COMP294	(0.178 COMP1497) (0.162 COMP1499) (0.143 COMP1498)
Antimutagenic	0.950	COMP1495	(0.895 COMP294) (0.725 COMP1216) (0.716 COMP1497) (0.338 COMP1496) (0.141 COMP1498) (0.113 COMP1500)
Antimycobacterial	0.406	COMP1216	(0.372 COMP1495) (0.331 COMP1496) (0.209 COMP1497)
Antimycoplasmal	0.184	COMP1495	(0.127 COMP1216) (0.122 COMP1496) (0.101 COMP1497) (0.070 COMP294)
Antineoplastic (bladder cancer)	0.491	COMP1497	(0.324 COMP1216) (0.315 COMP1495) (0.274 COMP294) (0.240 COMP1500) (0.210 COMP1496)
Antineoplastic (bone cancer)	0.196	COMP1500	(0.191 COMP1495) (0.188 COMP294) (0.177 COMP1497) (0.158 COMP1216) (0.148 COMP1496)
Antineoplastic (brain cancer)	0.540	COMP1495	(0.457 COMP1216) (0.417 COMP1497) (0.331 COMP294) (0.300 COMP1496) (0.253 COMP1498) (0.240 COMP1500)
Antineoplastic (breast cancer)	0.739	COMP294	(0.666 COMP1497) (0.582 COMP1495) (0.536 COMP1216) (0.468 COMP1498) (0.365 COMP1499) (0.317 COMP1496)
Antineoplastic (carcinoma)	0.390	COMP1216	(0.322 COMP294) (0.308 COMP1495) (0.181 COMP1497) (0.160 COMP1498) (0.132 COMP1499)
Antineoplastic (cervical cancer)	0.642	COMP294	(0.605 COMP1497) (0.495 COMP1495) (0.384 COMP1216) (0.268 COMP1498) (0.256 COMP1496) (0.249 COMP1499)
Antineoplastic (colon cancer)	0.688	COMP1216	(0.657 COMP294) (0.567 COMP1497) (0.539 COMP1495) (0.261 COMP1498) (0.161 COMP1499)
Antineoplastic (colorectal cancer)	0.698	COMP1216	(0.667 COMP294) (0.577 COMP1497) (0.569 COMP1495) (0.282 COMP1498) (0.174 COMP1499)
Antineoplastic (endocrine cancer)	0.341	COMP1495	(0.314 COMP1216) (0.311 COMP1500) (0.297 COMP1497) (0.272 COMP1499) (0.259 COMP294) (0.243 COMP1498)
Antineoplastic (gastric cancer)	0.271	COMP1495	(0.248 COMP1499) (0.246 COMP294) (0.188 COMP1497) (0.148 COMP1500) (0.146 COMP1216)
Antineoplastic (glioblastoma multiforme)	0.489	COMP1495	(0.476 COMP1497) (0.471 COMP294) (0.450 COMP1216) (0.158 COMP1496)
Antineoplastic (glioma)	0.503	COMP1495	(0.489 COMP1497) (0.486 COMP294) (0.485 COMP1216) (0.267 COMP1498) (0.198 COMP1496)
