Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.045	COMP994	
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.018	COMP994	
12-Lipoxygenase inhibitor	0.366	COMP992	(0.325 COMP993) (0.204 COMP994)
15-Lipoxygenase inhibitor	0.587	COMP992	(0.274 COMP993) (0.257 COMP994)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.069	COMP994	
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.080	COMP994	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.095	COMP994	
3C-like protease (Human coronavirus) inhibitor	0.245	COMP994	(0.134 COMP993)
5 Hydroxytryptamine 1 agonist	0.065	COMP992	
5 Hydroxytryptamine 1 antagonist	0.526	COMP992	(0.168 COMP993)
5 Hydroxytryptamine 1A agonist	0.072	COMP992	(0.041 COMP993)
5 Hydroxytryptamine 1A antagonist	0.560	COMP992	(0.207 COMP993)
5 Hydroxytryptamine 1B agonist	0.075	COMP992	
5 Hydroxytryptamine 1B antagonist	0.118	COMP992	
5 Hydroxytryptamine 1D antagonist	0.085	COMP992	
5 Hydroxytryptamine 1E antagonist	0.351	COMP992	(0.268 COMP993) (0.198 COMP994)
5 Hydroxytryptamine 1F antagonist	0.188	COMP992	
5 Hydroxytryptamine 2 agonist	0.150	COMP993	(0.080 COMP992)
5 Hydroxytryptamine 2 antagonist	0.597	COMP992	(0.424 COMP993)
5 Hydroxytryptamine 2A agonist	0.112	COMP993	(0.094 COMP992)
5 Hydroxytryptamine 2A antagonist	0.565	COMP992	(0.374 COMP993)
5 Hydroxytryptamine 2B agonist	0.043	COMP993	
5 Hydroxytryptamine 2B antagonist	0.359	COMP992	(0.230 COMP993)
5 Hydroxytryptamine 2C agonist	0.162	COMP993	(0.042 COMP992)
5 Hydroxytryptamine 2C antagonist	0.128	COMP992	(0.097 COMP993)
5 Hydroxytryptamine 3A agonist	0.107	COMP994	
5 Hydroxytryptamine 3B antagonist	0.059	COMP992	
5 Hydroxytryptamine 3E antagonist	0.217	COMP994	(0.210 COMP993)
5 Hydroxytryptamine 4 antagonist	0.084	COMP992	
5 Hydroxytryptamine 5 antagonist	0.277	COMP992	(0.067 COMP993)
5 Hydroxytryptamine 5A antagonist	0.297	COMP992	(0.075 COMP993)
5 Hydroxytryptamine 6 antagonist	0.056	COMP993	
5 Hydroxytryptamine 7 agonist	0.102	COMP993	(0.088 COMP992)
5 Hydroxytryptamine 7 antagonist	0.630	COMP992	(0.057 COMP993)
5 Hydroxytryptamine agonist	0.285	COMP993	(0.131 COMP992)
5 Hydroxytryptamine antagonist	0.550	COMP992	(0.499 COMP993)
5 Hydroxytryptamine release inhibitor	0.547	COMP994	
5 Hydroxytryptamine release stimulant	0.834	COMP992	(0.802 COMP993) (0.499 COMP994)
5 Hydroxytryptamine uptake inhibitor	0.131	COMP993	
5 Hydroxytryptamine uptake stimulant	0.437	COMP994	(0.243 COMP993)
5-Alpha-reductase 1 inhibitor	0.016	COMP994	
5-Alpha-reductase 2 inhibitor	0.034	COMP994	
5-Alpha-reductase inhibitor	0.060	COMP994	
