Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.375	COMP64	(0.332 COMP77) (0.290 COMP402) (0.127 COMP153) (0.125 COMP290) (0.116 COMP292/COMP762) (0.115 COMP365) (0.113 COMP760) (0.108 COMP761) (0.104 COMP758)
Aldehyde dehydrogenase substrate	0.226	COMP64	(0.131 COMP761) (0.102 COMP365) (0.100 COMP760) (0.099 COMP762)
Aldehyde oxidase substrate	0.157	COMP759	
Aldose reductase substrate	0.481	COMP207	(0.407 COMP761) (0.396 COMP365) (0.394 COMP760) (0.393 COMP762) (0.375 COMP758) (0.357 COMP363) (0.157 COMP759) (0.128 COMP402)
Arylamine N-Acetyltransferase substrate	0.150	COMP759	
CYP1A2 inhibitor	0.799	COMP759	(0.302 COMP207) (0.180 COMP363)
CYP1A2 substrate	0.854	COMP759	(0.560 COMP207) (0.500 COMP758) (0.407 COMP363) (0.295 COMP64) (0.269 COMP77) (0.193 COMP402)
CYP24 inhibitor	0.060	COMP77	(0.056 COMP402) (0.053 COMP153)
CYP2A6 inhibitor	0.111	COMP759	
CYP2B6 inhibitor	0.464	COMP759	(0.197 COMP153) (0.183 COMP64) (0.152 COMP77) (0.151 COMP402)
CYP2C19 inhibitor	0.589	COMP363	(0.583 COMP758) (0.556 COMP759) (0.368 COMP153) (0.347 COMP207) (0.261 COMP77) (0.246 COMP64)
CYP2C19 substrate	0.897	COMP77	(0.784 COMP64) (0.753 COMP402) (0.710 COMP207) (0.632 COMP759) (0.494 COMP153) (0.476 COMP758) (0.344 COMP363) (0.304 COMP290) (0.233 COMP760) (0.214 COMP762) (0.212 COMP761) (0.209 COMP365) (0.196 COMP292)
CYP2C9 inhibitor	0.560	COMP759	(0.331 COMP758) (0.326 COMP363)
CYP2C9 substrate	0.838	COMP64	(0.767 COMP207) (0.717 COMP77) (0.701 COMP759) (0.619 COMP402) (0.597 COMP758) (0.503 COMP363) (0.478 COMP762) (0.465 COMP760) (0.464 COMP153) (0.447 COMP365) (0.249 COMP761) (0.208 COMP290)
CYP2D6 substrate	0.522	COMP207	(0.519 COMP759) (0.437 COMP77) (0.351 COMP64) (0.307 COMP758) (0.304 COMP402) (0.286 COMP363) (0.208 COMP762)
CYP3A4 inhibitor	0.290	COMP759	(0.224 COMP153) (0.206 COMP363) (0.194 COMP758)
CYP3A4 substrate	0.883	COMP77	(0.863 COMP402) (0.706 COMP207) (0.662 COMP762) (0.623 COMP64) (0.611 COMP759) (0.573 COMP758) (0.514 COMP363) (0.421 COMP365) (0.370 COMP760) (0.348 COMP153) (0.324 COMP292) (0.283 COMP290) (0.230 COMP761)
FMO1 substrate	0.440	COMP759	(0.332 COMP153) (0.263 COMP64)
FMO3 substrate	0.347	COMP759	(0.232 COMP153)
Flavin-containing monooxygenase substrate	0.332	COMP759	(0.187 COMP153)
GST A substrate	0.462	COMP759	(0.385 COMP64) (0.291 COMP363) (0.275 COMP758) (0.201 COMP153)
GST M1-1 substrate	0.398	COMP759	(0.301 COMP363) (0.299 COMP758) (0.254 COMP64) (0.239 COMP153) (0.223 COMP207) (0.210 COMP290)
