Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.405	COMP847	
Acetylcholine release stimulant	0.134	COMP847	
Actinic keratosis treatment	0.176	COMP847	(0.123 COMP848) (0.099 COMP849)
Acute respiratory distress syndrome (ARDS) treatment	0.156	COMP847	
Alzheimer's disease treatment	0.500	COMP849	(0.402 COMP847)
Amyotrophic lateral sclerosis treatment	0.187	COMP847	
Anabolic	0.159	COMP847	(0.123 COMP849) (0.103 COMP848)
Analeptic	0.561	COMP848	(0.512 COMP847) (0.416 COMP849)
Analgesic. opioid	0.095	COMP849	
Andropause treatment	0.068	COMP847	
Anesthetic	0.168	COMP847	
Anesthetic general	0.391	COMP847	(0.175 COMP848)
Anesthetic inhalation	0.119	COMP847	(0.073 COMP848)
Anesthetic local	0.147	COMP847	
Angiogenesis inhibitor	0.246	COMP849	
Angiogenesis stimulant	0.372	COMP847	(0.295 COMP848) (0.255 COMP849)
Antiacne	0.107	COMP848	
Antialcoholic	0.293	COMP847	(0.220 COMP849)
Antiamyloidogenic	0.646	COMP849	(0.356 COMP847)
Antianemic	0.222	COMP847	
Antianorexic	0.161	COMP847	
Antiarrhythmic	0.172	COMP849	
Antibacterial	0.502	COMP848	(0.485 COMP849) (0.406 COMP847)
Antibiotic	0.094	COMP847	(0.078 COMP848) (0.074 COMP849)
Antibiotic Anthracycline-like	0.029	COMP847	(0.021 COMP849) (0.018 COMP848)
Antibiotic Quinolone-like	0.020	COMP847	
Antibiotic Tetracycline-like	0.016	COMP847	
Anticataract	0.173	COMP847	
Anticholelithogenic	0.114	COMP847	(0.076 COMP848/COMP849)
Antidiabetic	0.571	COMP849	(0.396 COMP847)
Antidiabetic (type 2)	0.242	COMP849	
Antidiabetic symptomatic	0.388	COMP849	(0.339 COMP847) (0.184 COMP848)
Antidiarrheal	0.258	COMP849	(0.225 COMP847)
Antidote	0.306	COMP847	(0.258 COMP849) (0.182 COMP848)
Antidote. heavy metal	0.162	COMP847	(0.082 COMP849) (0.072 COMP848)
Antidote. mercury	0.306	COMP847	
Antidote. organophosphates	0.145	COMP847	
Antifungal	0.412	COMP849	(0.399 COMP848) (0.329 COMP847)
Antifungal (Aspergillus)	0.135	COMP847	(0.098 COMP849)
Antifungal (Candida)	0.102	COMP847	
Antifungal (Cryptococcus)	0.125	COMP847	
Antifungal (Pneumocystis)	0.188	COMP847	(0.135 COMP849)
